date,title,content
2023-12-20,포스코 정기 임원 인사... 김지용 미래기술연구원장 사장 승진,"후임 회장 인선 절차 고려해 소폭 인사주요 사장단 인사는 미뤄포스코그룹은 20일 정기 임원 인사를 발표하고 포스코그룹의 김지용(61) 포스코홀딩스 미래기술연구원장(부사장)을 사장으로 승진 발령했다. 김 신임 사장은 그룹CT0(최고기술경영자)를 맡아 이차전지 소재, 수소 분야 연구개발(R&D) 전략과 기술개발을 주도하고 있다. 포스코그룹은 “그룹 7대 핵심사업의 중장기 성장전략에 맞춰 그룹내 인적역량을 적재적소에 재배치하고 혁신을 도모하는 것에 초점을 맞췄다”고 설명했다.서울 삼성동 포스코센터 전경./조선DB철강사업회사 포스코에선 탄소중립 생산체제의 단계적 전환을 위해 철강 전문가를 중용했다. 이백희(59) 포항제철소장과 이진수(60) 광양제철소장이 각각 안전환경본부장과 생산기술본부장으로 자리를 옮겼고, 후임 포항제철소장에는 포항제철소 공정품질 담당 천시열(58) 부소장, 광양제철소장에는 이동렬(59) 포스코엠텍 사장이 각각 포스코 부사장으로 승진해 자리를 옮겼다. 천시열 신임 포항제철소장은 생산기술전략실장, 도금부장, 냉연부장 등을 역임했고, 이동렬 신임 광양제철소장은 광양제철소 선강담당 부소장, 제강부장, 인도네시아 법인 제강부장 등을 역임했다.그룹 중점 육성 사업인 이차전지 소재 분야 발탁도 이어졌다. 전문성과 기술력을 보유한 사업가형 인재를 전진 배치했고, 외부 인재도 영입했다. 엄기천(57) 포스코 마케팅전략실장이 포스포퓨처엠 에너지소재사업부장(부사장)으로 승진 이동했고, 배터리 제조사 삼성SDI윤태일(56) 상무를 포스코퓨처엠 기술품질전략실장으로 영입했다.LG화학에서 영입한 포스코홀딩스 미래기술연구원 홍영준 이차전지소재연구소장은 부사장으로 승진했다.작년 태풍 힌남노로 인한 포항제철소 침수피해 복구에 크게 기여한 포항제철소 이영걸 설비기술부장, 서광일 포스코명장은 각각 임원과 상무보로 승진했다.포스코그룹은 매년 12월 20~22일쯤 사장단·임원 인사를 단행해왔는데 이날 인사는 승진 11명 소폭 인사에 그쳤다. 포스코·포스코퓨처엠 등 주요 그룹사 사장단은 유임됐다. 포스코그룹은 “현재 진행 중인 포스코그룹 회장 선임 절차를 고려해 주요 그룹사 사장단 인사와 포스코홀딩스 임원인사는 추후 시행할 예정”이라고 했다.포스코 로고<포스코그룹 2024년도 정기 임원 인사 주요 명단>○ 김지용 포스코홀딩스 미래기술연구원장 및 그룹CTO(사장 승진)○ 천시열 포스코 포항제철소장 (부사장 승진)○ 이동렬 포스코 광양제철소장 (부사장 승진)○ 엄기천 포스코퓨처엠 에너지소재사업부장 (부사장 승진)○ 홍영준 포스코홀딩스 미래기술연구원 이차전지소재연구소장 (부사장 승진)○ 이영걸 포스코 포항제철소 설비기술부장 (상무 승진)○ 서광일 포스코 포항제철소 포스코명장 (상무보 승진)○ 사업회사 대표(사장)- 포스코플로우 : 윤양수 포스코스틸리온 사장- 포스코스틸리온: 김봉철 포스코 중국통합가공센터 법인장 (승진)- 포스코엠텍 : 정범수 포스코 생산기술전략실장 (승진)- 포스코MC머터리얼즈 : 서영현 포스코퓨처엠 기초소재사업부장- 포스코A&C : 김우기 이앤씨 건축사업실장 (승진)- 포스코HY클린메탈: 임지우 포스코Smartfactory기획그룹장, P7 (임원 신규선임)- 포스코경영연구원 : 공석 * 박현성 철강연구실장 원장 직무대행"
2022-09-09,포항제철소 고로 3기 내일부터 순차적 가동,"태풍으로 침수 피해를 본 포스코 포항제철소가 추석 연휴 기간 고로(高爐·용광로) 가동을 재개한다. 포항제철소는 지난 6일 태풍으로 하천이 범람하면서 전기가 끊겨 고로 가동을 전면 중단한 상태다.포스코는 8일 “포항제철소 피해 복구 작업이 속도를 내면서 고로 3기를 10일부터 순차적으로 가동할 방침”이라고 밝혔다. 철강업계에선 ‘고로 가동 중단이 일주일 이상 지속될 경우 내부 균열로 인해 3개월 이상 셧다운이 이어질 수 있다’는 우려가 나왔지만 전력 복구 작업이 속도를 내면서 최악의 상황은 피한 것이다.포항제철소는 이날 한전에서 전력을 보급받는 수전변전소와 쇳물 생산, 철강 반제품(슬래브) 생산 공정에 전력을 공급하는 선강변전소 복구 작업을 완료했다고 밝혔다. 제철소 내 변전소 3곳 중 2곳이 정상화된 것이다. 압연 라인에 있는 변전소는 10일까지 복구를 끝낼 계획이다.포항제철소는 고로 재가동 이후 생산되는 쇳물을 처리하기 위해 제강 공장도 추석 연휴 기간에 재가동하겠다고 밝혔다. 포스코 관계자는 “이번 사태가 국내 산업계에 미치는 영향을 최소화하기 위해 쇳물을 광양제철소로 보내 가공하는 방안도 검토하고 있다”고 말했다.포항제철소에서는 현재 대대적인 배수 작업이 이뤄지고 있다. 제철소에 있는 다수의 지하 설비가 침수됐기 때문이다. 경북 소방청에서 지원받은 대형 양수기 8대와 현대중공업을 비롯한 조선 3사에서 지원받은 양수기·비상발전기 78대가 투입됐다. 추석에도 포항제철소 임직원뿐 아니라 광양제철소의 직영·협력업체 직원들까지 복구 작업에 뛰어들어 연휴 기간 안에 제철소 내 토사·쓰레기를 치우고 건물을 청소하는 환경 정비를 완료할 계획이다.한편 포항제철소 가동 중단 사태로 외국인들이 포스코 그룹주를 매도한 것으로 집계됐다. 8일 한국거래소에 따르면 지난 7일 포스코홀딩스 주가는 6500원(2.57%) 내린 24만6000원에 마감됐다. 이날 외국인들은 234억9500만원어치를 순매도했다. 외국인들은 포스코케미칼(36억4100만원)과 포스코엠텍(4억4200만원), 포스코스틸리온(6600만원)도 순매도했다. 이날 포스코엠텍(-4.21%), 포스코스틸리온(-4.11%) 주가도 일제히 하락했다."
2023-12-21,포스코그룹 소폭 인사… 사장 1명 등 11명 승진,"포스코그룹은 20일 정기 임원 인사를 발표하고 김지용(61·사진) 포스코홀딩스 미래기술연구원장(부사장)을 사장으로 승진 발령했다. 김 신임 사장은 그룹CT0(최고기술경영자)를 맡아 이차전지 소재, 수소 분야 연구 개발(R&D) 전략과 기술 개발을 주도하고 있다.포스코그룹은 매년 12월 20~22일쯤 사장단·임원 인사를 단행해왔는데 이날 인사는 승진 11명 소폭 인사에 그쳤다. 포스코·포스코퓨처엠 등 주요 그룹사 사장단은 유임됐다. 포스코그룹은 “현재 진행 중인 포스코그룹 회장 선임 절차를 고려해 주요 그룹사 사장단 인사와 포스코홀딩스 임원인사는 추후 시행할 예정”이라고 설명했다.포스코홀딩스는 지난 19일 이사회를 열고 대표이사 회장 선임 절차를 포함한 ‘포스코형 신(新)지배구조 개선안’을 의결한 바 있다. 이른바 ‘셀프 연임’이라고 비판받아 온 현직 회장 우선심사제를 폐지했고, 선임 절차에 보다 공정성을 강화하기 위해 전원 사외이사로 구성된 ‘CEO후보 추천위원회(후추위)’를 가동하기로 했다. 포스코홀딩스는 21일 임시이사회를 열고CEO후추위 운영을 의결하고 신임 회장 후보를 찾기 위한 인선 절차에 들어갈 예정이다.▲포스코홀딩스▷부사장 홍영준▲포스코▷부사장 천시열 이동렬▷상무 이영걸▷상무보 서광일▲포스코퓨처엠▷부사장 엄기천▲포스코스틸리온▷대표 김봉철▲포스코엠텍▷대표 정범수▲포스코A&C▷대표 김우기▲포스코HY클린메탈▷대표 임지우"
2023-12-21,포스코그룹 100억·한진그룹 20억… 연말 맞아 이웃 돕기 성금 전달,포스코그룹은 연말 이웃 돕기 성금 100억원을 사회복지공동모금회에 전달했다고 20일 밝혔다. 올해는 포스코·포스코인터내셔널·포스코이앤씨·포스코퓨처엠·포스코DX·포스코플로우·포스코스틸리온·포스코엠텍 등 총 8개 그룹사가 모금에 참여했다. 1999년부터 매년 기부한 이웃 돕기 성금 누적 총액은 1920억원에 달한다. 한진그룹도 전날 사회복지공동모금회에 이웃 사랑 성금 20억원을 전달했다. 2001년부터 누적 성금 약 530억원을 전달했다.
2023-08-31,"[기업 브리핑] 포스코, 문화재 복원현장에 아트펜스 도입 확대","포스코와 컬러 강판 제조 기업 포스코스틸리온은 문화재청과 함께 궁이나 능 같은 문화재 수리 현장에서 공공 디자인을 개선할 수 있도록 ‘아트펜스’ 도입을 확대하는 업무 협약을 체결했다고 30일 밝혔다.포스코는 문화재 복원 현장의 공사 가림막에 부식에 강한 특수 철강재 ‘포스맥’과 잉크젯 프린트 강판 ‘포스아트’를 적용해, 예술성이 더해진 아트펜스를 제작한다. 판넬과 시트지를 쓴 기존 가림막은 내구성이 떨어져 복원 기간 중 주변 경관을 저해한다는 지적이 이어졌기 때문이다. 포스코는 “포스아트는 기존 컬러 강판 대비 최대 4배 이상 높은 해상도로 잉크를 프린트할 수 있어 생생한 색상과 질감 표현이 가능하다”고 했다. 디자인에는 문화재청 궁능유적본부 홍보대사인 이명호 사진작가가 참여하고, 작년 착공한 덕수궁 선원전, 올해 말 착공 예정인 경복궁 영훈당 복원 현장에 먼저 도입할 예정이다."
2024-04-18,"철강·알루미늄株, 중국산 美 관세 인상 추진에 급등","미국이 철강 분야에서도 대(對)중국 견제 조치에 들어간다는 소식에 국내 철강과 알루미늄 관련주들이 18일 급등세를 보였다.조 바이든 대통령은 현재 7.5%인 중국산 철강·알루미늄 제품의 관세를 25%로 3배 이상 올리도록 미국 무역대표부(USTR)에 권고했다고 17일 밝혔다.이에 18일 국내 대표 철강업체인 포스코스틸리온은 전날보다 10.76% 오른 4만5300원으로 장을 마쳤다. 포스코홀딩스(5.12%), 현대제철(4.57%),KG스틸(4.20%), 동국씨엠(2.84%), 고려제강(1.99%) 동국제강(1.39%) 등도 올랐다.중소형 철강업체 중에선 하이스틸이 18.07% 급등하며 3430원에 마감했다. 신스틸(10.06%),TCC스틸(7.47%)도 급등했다. 삼아알미늄(8.59%), 조일알미늄(6.58%), 남선알미늄(2.47%) 등 알루미늄 업체들도 강세를 보였다.그러나 한국산 철강 제품은 미국 수출에서 연간 200만t대의 쿼터를 적용받고 있어 미국의 대중국 관세 인상의 반사이익은 크지 않을 것으로 전망된다. 2018년 트럼프 행정부가 수입산 철강 제품에 고율의 관세를 부과하고 물량을 제한하는 조치인 ‘철강 232조’를 적용하자, 한국은 ‘고율 관세’ 대신 ‘쿼터 축소’ 카드를 선택한 바 있다. 현재 한국은 ‘263만t 무관세’를 적용받고 있다. 그 결과 2015∼2017년 연평균 383만t이던 한국산 철강의 미국 수출량은 2021년 200만t대로 줄었다.철강업계 관계자는 “미국이 중국산 수입 물량을 축소해도 한국이 미국에 추가로 수출할 여지는 적을 것으로 보인다”며 “오히려 중국산 철강의 미국 수출길이 막힐 경우 전 세계적으로 철강 공급 과잉 현상을 심화할 수 있다”고 말했다."
2023-04-20,“새로운 2차전지株” 포스코에 개미들 투자 몰려,"리튬·양극재 생산사업 등 부각POSCO홀딩스, 개인 순매수 1위작년 12월 12일(현지 시각) 아르헨티나 살타주 '옴브레 무에르토' 염호에서 오재훈 포스코아르헨티나DP생산기술실장이 염수를 추출해 건조시키는 폰드(인공 연못)에 대해 설명하고 있다. 리튬을 함유한 염수를 지하에서 뽑아낸 뒤 폰드에서 수개월간 건조하면 염수 내 리튬 농도가 높아진다. /강다은 기자지난달 에코프로 주가를 급등시켰던 국내 증시의 ‘배터리(2차전지) 열풍’이, 이젠POSCO홀딩스 등 포스코그룹 주식으로 옮겨붙고 있다. 포스코그룹은 대표적인 철강 종목이지만, 최근 리튬 사업 등을 통해 ‘새로운 배터리 주’라는 인식이 시장에 확산했기 때문이다.19일 한국거래소에 따르면, 국내 개인 투자자들은 이달 들어 전날까지 포스코그룹 지주사인POSCO홀딩스 주식을 2조8046억원어치 순매수했다. 주식 종목 중 개인 순매수 1위다. 2위인 에코프로(3056억원)의 9배가 넘는다. 이 기간POSCO홀딩스 주가는 13% 올랐다. 코스피 상승률(4%)의 3배 이상이다.지난달 개인 순매수 1·2위는 대표 배터리 주로 꼽히는 에코프로(9742억원)와 에코프로비엠(7658억원)이었다. 그러나 최근 시장에서 과열 경고가 나오고 에코프로 주가도 70만원대에서 60만원대로 주저앉자 개미들이 ‘다음 타자’를 찾아 이동했다는 말이 나온다.최근 포스코그룹의 배터리 연관성은 크게 부각되고 있다. 계열사인 포스코퓨처엠(옛 포스코케미칼)이 배터리 양극재 등을 생산하고 있고, 그룹 차원에선 배터리 핵심 소재인 리튬 생산을 위해 아르헨티나에 대규모 공장을 건설하고 있다. 포스코퓨처엠 주가는 이달 들어 18일까지 40% 뛰었다. 또 다른 계열사인 포스코DX(78%), 포스코스틸리온(71%) 등은 배터리와 직접 관련은 없지만 상승률은 더 높았다.시장 일각에선 포스코그룹주도 고평가됐다는 우려가 나온다. 백광제 교보증권 연구원은 최근 보고서에서 “시장의 (2차전지) 테마 형성으로POSCO홀딩스의 주가가 과도하게 오른 측면이 있다”며 투자 의견을 ‘매수’에서 ‘보류’로 낮췄다."
2022-12-01,"포스코 그룹주 일제히 상승, 일부는 상한가…이유는","30일 포스코그룹의 철강부문 계열사인 포스코스틸리온 주가가 상한가를 기록, 전거래일 대비 29.9% 오른 4만원에 마감했다. 이날 다른 포스코 계열사인 포스코ICT(10%)와 그룹 지주사인 포스코홀딩스(2%) 등도 상승 마감했다.증권업계에선 포스코 그룹주들의 이날 상승이 포스코 노조의 민노총 탈퇴 때문이라는 해석이 나왔다. 업계에 따르면, 민노총 포항지부 소속 포스코지회는 지난 28일부터 이날까지 민노총 탈퇴 여부에 대해 조합원 재투표를 실시한 결과, 찬성률 약 69.9%로 탈퇴를 결정했다. 포스코의 교섭대표 노조는 한국노총 소속이다.사우디 호재 + 민주노총 금속노조 탈퇴 추진 겹친 듯앞서 이달 초 포스코지회는 66.9%의 찬성률로 탈퇴안을 가결시켰지만, 민노총 측은 ‘투표일 일주일 전에 공지해야 한다’며 이의를 제기했고 이를 고용노동부가 수용하면서 재투표가 실시됐다. 포스코지회는 지난 23일 입장문에서 “(민노총) 금속노조는 금속노조를 위해 일하지 않는다는 이유로 포스코 직원이 직접 선출한 지회장 등을 징계하고 있다”며 “노조의 존재 이유는 조직의 기득권 유지가 아니고 직원을 위하는 것”이라고 했다.일각에선 최근 포스코와 삼성물산 등으로 구성된 국내 컨소시엄이 사우디 국부펀드(PIF)와 65억달러 규모의 ‘그린수소 플랜트 건설 프로젝트’를 추진한다는 양해각서를 체결했다는 소식도 주가 상승에 영향을 미쳤다는 분석도 나온다."
2022-12-01,원희룡 “‘민폐노총’ 손절이 민심”,포스코 노조 민노총 탈퇴 결정 후 페이스북에 글 올려원희룡 국토교통부 장관. /연합뉴스원희룡 국토교통부 장관이 1일 자신의 페이스북에 포스코 양대 노조 중 하나인 포스코지회가 민노총 금속노조 탈퇴 절차를 밟고 있는 것과 관련해 “‘민폐노총’ 손절이 민심”이라고 밝혔다.원 장관은 “포스코 노조의 민노총 탈퇴 직후 주가 급등은 민노총에 대한 개미 투자자들의 평가를 그대로 반영하고 있다”며 “생산 현장을 지키는 다수 노동자의 진정한 뜻은 민폐노총이 돼버린 민노총의 전위대 역할을 거부하는 것”이라고 밝혔다. 이어 “포스코 노조의 민노총 손절! 축하하고 환영한다!”며 글을 마무리했다.전날 포스코 양대 노조 중 하나인 포스코지회는 “민주노총 금속노조 탈퇴를 위한 조합원 투표를 지난달 28~30일 진행한 결과 찬성률 69.9%로 가결됐다”고 밝혔다.포스코지회의 민노총 탈퇴 소식에 이날 포스코의 강판 생산 계열사인 포스코스틸리온 주가는 상한가를 기록해 전 거래일 대비 약 29.9% 오른 4만원을 기록했다.
2022-07-26,"포스코인터내셔널, 인천공항 확장공사에 강재 2만3000t 공급","포스코인터내셔널은 인천공항 제2 여객터미널 확장 공사에 포스코그룹이 생산한 철강재 총 2만3000톤을 공급한다고 26일 밝혔다.인천공항 제2여객터미널 조감도이에 따르면 포스코인터내셔널은 포스코와 포스코스틸리온의 친환경 소재를 적용한 스틸 커튼월(Curtainwall)과 지붕재를 인천공항 제2 여객터미널 확장 공사가 완료되는 2024년까지 공급한다.총면적 8만㎡의 여객터미널 지붕에는 포스코의 철강재인 포스맥(PosMAC)과 포스코스틸리온의 알루미늄 불소 도장 강판 등 포스코그룹이 생산하는 고기능 소재들이 사용될 예정이다.이와 별도로 포스코인터내셔널은 영종도에 건설 중인 인스파이어 복합리조트에 포스맥 불연 컬러강판을, 창원 대상공원에 건립 예정인 '맘스프리존'에는 스틸 커튼월과 비정형 3D 복합패널을 공급할 예정이다."
