date,title,content
2023-12-20,포스코 정기 임원 인사... 김지용 미래기술연구원장 사장 승진,"후임 회장 인선 절차 고려해 소폭 인사주요 사장단 인사는 미뤄포스코그룹은 20일 정기 임원 인사를 발표하고 포스코그룹의 김지용(61) 포스코홀딩스 미래기술연구원장(부사장)을 사장으로 승진 발령했다. 김 신임 사장은 그룹CT0(최고기술경영자)를 맡아 이차전지 소재, 수소 분야 연구개발(R&D) 전략과 기술개발을 주도하고 있다. 포스코그룹은 “그룹 7대 핵심사업의 중장기 성장전략에 맞춰 그룹내 인적역량을 적재적소에 재배치하고 혁신을 도모하는 것에 초점을 맞췄다”고 설명했다.서울 삼성동 포스코센터 전경./조선DB철강사업회사 포스코에선 탄소중립 생산체제의 단계적 전환을 위해 철강 전문가를 중용했다. 이백희(59) 포항제철소장과 이진수(60) 광양제철소장이 각각 안전환경본부장과 생산기술본부장으로 자리를 옮겼고, 후임 포항제철소장에는 포항제철소 공정품질 담당 천시열(58) 부소장, 광양제철소장에는 이동렬(59) 포스코엠텍 사장이 각각 포스코 부사장으로 승진해 자리를 옮겼다. 천시열 신임 포항제철소장은 생산기술전략실장, 도금부장, 냉연부장 등을 역임했고, 이동렬 신임 광양제철소장은 광양제철소 선강담당 부소장, 제강부장, 인도네시아 법인 제강부장 등을 역임했다.그룹 중점 육성 사업인 이차전지 소재 분야 발탁도 이어졌다. 전문성과 기술력을 보유한 사업가형 인재를 전진 배치했고, 외부 인재도 영입했다. 엄기천(57) 포스코 마케팅전략실장이 포스포퓨처엠 에너지소재사업부장(부사장)으로 승진 이동했고, 배터리 제조사 삼성SDI윤태일(56) 상무를 포스코퓨처엠 기술품질전략실장으로 영입했다.LG화학에서 영입한 포스코홀딩스 미래기술연구원 홍영준 이차전지소재연구소장은 부사장으로 승진했다.작년 태풍 힌남노로 인한 포항제철소 침수피해 복구에 크게 기여한 포항제철소 이영걸 설비기술부장, 서광일 포스코명장은 각각 임원과 상무보로 승진했다.포스코그룹은 매년 12월 20~22일쯤 사장단·임원 인사를 단행해왔는데 이날 인사는 승진 11명 소폭 인사에 그쳤다. 포스코·포스코퓨처엠 등 주요 그룹사 사장단은 유임됐다. 포스코그룹은 “현재 진행 중인 포스코그룹 회장 선임 절차를 고려해 주요 그룹사 사장단 인사와 포스코홀딩스 임원인사는 추후 시행할 예정”이라고 했다.포스코 로고<포스코그룹 2024년도 정기 임원 인사 주요 명단>○ 김지용 포스코홀딩스 미래기술연구원장 및 그룹CTO(사장 승진)○ 천시열 포스코 포항제철소장 (부사장 승진)○ 이동렬 포스코 광양제철소장 (부사장 승진)○ 엄기천 포스코퓨처엠 에너지소재사업부장 (부사장 승진)○ 홍영준 포스코홀딩스 미래기술연구원 이차전지소재연구소장 (부사장 승진)○ 이영걸 포스코 포항제철소 설비기술부장 (상무 승진)○ 서광일 포스코 포항제철소 포스코명장 (상무보 승진)○ 사업회사 대표(사장)- 포스코플로우 : 윤양수 포스코스틸리온 사장- 포스코스틸리온: 김봉철 포스코 중국통합가공센터 법인장 (승진)- 포스코엠텍 : 정범수 포스코 생산기술전략실장 (승진)- 포스코MC머터리얼즈 : 서영현 포스코퓨처엠 기초소재사업부장- 포스코A&C : 김우기 이앤씨 건축사업실장 (승진)- 포스코HY클린메탈: 임지우 포스코Smartfactory기획그룹장, P7 (임원 신규선임)- 포스코경영연구원 : 공석 * 박현성 철강연구실장 원장 직무대행"
2023-05-23,"‘그라운드’ 옮긴 배터리 주식들, 주가 오를까 내릴까","코스피200에 금양, 코스닥150에 포스코엠텍 등 10 종목 편입최근 한국거래소가 ‘코스피200′과 ‘코스닥150′ 지수에 포함되는 종목들을 일부 조정하면서, 새로 편입된 종목들에 대한 투자자들의 관심이 커지고 있다. 회사 자체의 실적과 무관하게, 주요 지수에 포함됐다는 사실이 거래 물량과 주가에 영향을 주기 때문이다.22일 한국거래소에 따르면, 다음 달 9일부터 유가증권시장(코스피) 상장사 금양과 코스모화학이 코스피200 지수에 포함된다. 코스피200 지수는 코스피 상장사 900여 곳 가운데 시가총액과 거래 대금이 큰 기업 200곳을 뽑아 만든 주가 지표다. 일종의 ‘코스피 대형주 모음’인 셈이다. 또 같은 날부터 ‘코스닥 대형주’인 코스닥150 지수에 레인보우로보틱스와 포스코엠텍 등 8개 종목이 새로 포함된다. 총 10개 종목이 두 지수에 편입되면서, 동원산업과 휴온스 등 기존 10개 종목은 목록에서 제외된다./그래픽=양인성배터리 관련주 대거 포함이번에 새로 포함된 종목 중엔 이른바 ‘2차전지(배터리) 테마주’가 많다. 코스피200 편입주 2곳(금양·코스모화학)이 모두 배터리 관련주로 꼽힌다. 코스닥150 편입주 가운데서도 포스코엠텍, 어반리튬, 미래나노텍 등 3개가 최근 ‘2차전지 주 열풍’을 타고 주가가 상승했다. 특히 금양은 원래 발포제 전문업체지만, 이 회사의 박순혁 전 홍보이사가 유튜브 등에서 “배터리주가 저평가됐다”고 주장하며 ‘밧데리(배터리) 아저씨’로 유명해지자 덩달아 급등했다. 올 들어 주가 상승률이 130%에 육박한다.통상 어떤 기업이 ‘대형주 지수’에 신규 편입되면, 해당 지수를 따라 투자하는 펀드의 자금이 유입돼 주가가 상승하는 효과가 있다. 예를 들어 기존엔 900개 이상의 코스피 상장주에 분산 투자하는 ‘코스피 펀드’ 자금만 들어오다가, 추가로 ‘코스피200 펀드’ 자금이 들어오는 것이다.키움증권 분석에 따르면, 이번에 코스피200에 새로 포함된 두 종목에 유입될 자금은 약 1600억원으로 추정된다. 코스피150 신규 종목엔 약 600억원이 유입될 것으로 이 증권사는 추산했다. 이런 기대를 반영하듯 편입 10종목 중 7종목이 편입 발표 다음날인 지난 19일 주가가 상승했다.공매도발 주가 하락 위험도이와는 반대로 지수에 편입되면 공매도 때문에 주가 하락이 우려되는 측면도 있다. 공매도는 주식을 빌려서 판 다음 나중에 사서 갚는 매매 기법으로, 시장에선 공매도 물량이 많아지면 주가가 하방 압력을 받는다고 본다. 그런데 현재 공매도는 코스피200·코스닥150 종목만 가능하기 때문에, 이번에 새로 편입된 종목들은 이제 ‘공매도 가능주’가 된 셈이다. 금융 당국은 지난 2020년 3월 코로나 위기가 닥치자 시장 불안을 이유로 공매도를 전면 금지했다가, 2021년 거래량이 많은 코스피200·코스닥150 종목에만 공매도를 허용했다. 시장에선 이를 ‘편입 종목의 역설’이라고 부른다.특히 총 발행 주식 중 대차잔고(투자자가 증권사로부터 빌린 뒤 상환하지 않은 주식)의 비율이 높은 종목의 하락 가능성이 크다고 전문가들은 지적한다. 공매도는 주식을 빌려서 하는 매매기법인 만큼, 대차 잔고가 클수록 공매도 물량도 많아질 가능성이 있기 때문이다. 남아란 다올투자증권 연구원은 “단기간에 주가가 급등했고 대차잔고 비율이 상승한 종목은 공매도 타깃이 될 수 있어 주의가 필요하다”고 했다.한편, 이번 신규 편입 종목이 발표되자 일각에선 ‘종목 선정 적정성’ 논란이 일기도 했다. 코스피200에 편입된 금양은 지난 16일 거래소로부터 불성실 공시법인으로 지정됐고, 이번에 같이 발표된KRX300(주요 코스피·코스닥 기업 300곳) 신규 종목엔 최근 ‘SG증권발 폭락 사태’의 타깃이 됐던 8종목 가운데 5종목이 포함됐다. 거래소는 이에 대해 “지수 편입 결정은 시가총액 등 계량적 수치에 따른 것”이라고 해명했지만, 지수 산정 방식 보완책도 준비하고 있다.백영찬 상상인증권 리서치센터장은 “특정 종목이 코스피200 등 지수에 포함된 것은 주가가 그만큼 올랐다는 것이지, 그 기업의 펀더멘털(기초 체력)이 개선됐다는 뜻은 아니다”라며 “그 둘을 헷갈리는 ‘착시 효과’에 유의하면서 투자 판단을 해야 한다”고 말했다."
2022-09-09,포항제철소 고로 3기 내일부터 순차적 가동,"태풍으로 침수 피해를 본 포스코 포항제철소가 추석 연휴 기간 고로(高爐·용광로) 가동을 재개한다. 포항제철소는 지난 6일 태풍으로 하천이 범람하면서 전기가 끊겨 고로 가동을 전면 중단한 상태다.포스코는 8일 “포항제철소 피해 복구 작업이 속도를 내면서 고로 3기를 10일부터 순차적으로 가동할 방침”이라고 밝혔다. 철강업계에선 ‘고로 가동 중단이 일주일 이상 지속될 경우 내부 균열로 인해 3개월 이상 셧다운이 이어질 수 있다’는 우려가 나왔지만 전력 복구 작업이 속도를 내면서 최악의 상황은 피한 것이다.포항제철소는 이날 한전에서 전력을 보급받는 수전변전소와 쇳물 생산, 철강 반제품(슬래브) 생산 공정에 전력을 공급하는 선강변전소 복구 작업을 완료했다고 밝혔다. 제철소 내 변전소 3곳 중 2곳이 정상화된 것이다. 압연 라인에 있는 변전소는 10일까지 복구를 끝낼 계획이다.포항제철소는 고로 재가동 이후 생산되는 쇳물을 처리하기 위해 제강 공장도 추석 연휴 기간에 재가동하겠다고 밝혔다. 포스코 관계자는 “이번 사태가 국내 산업계에 미치는 영향을 최소화하기 위해 쇳물을 광양제철소로 보내 가공하는 방안도 검토하고 있다”고 말했다.포항제철소에서는 현재 대대적인 배수 작업이 이뤄지고 있다. 제철소에 있는 다수의 지하 설비가 침수됐기 때문이다. 경북 소방청에서 지원받은 대형 양수기 8대와 현대중공업을 비롯한 조선 3사에서 지원받은 양수기·비상발전기 78대가 투입됐다. 추석에도 포항제철소 임직원뿐 아니라 광양제철소의 직영·협력업체 직원들까지 복구 작업에 뛰어들어 연휴 기간 안에 제철소 내 토사·쓰레기를 치우고 건물을 청소하는 환경 정비를 완료할 계획이다.한편 포항제철소 가동 중단 사태로 외국인들이 포스코 그룹주를 매도한 것으로 집계됐다. 8일 한국거래소에 따르면 지난 7일 포스코홀딩스 주가는 6500원(2.57%) 내린 24만6000원에 마감됐다. 이날 외국인들은 234억9500만원어치를 순매도했다. 외국인들은 포스코케미칼(36억4100만원)과 포스코엠텍(4억4200만원), 포스코스틸리온(6600만원)도 순매도했다. 이날 포스코엠텍(-4.21%), 포스코스틸리온(-4.11%) 주가도 일제히 하락했다."
2023-12-21,포스코그룹 소폭 인사… 사장 1명 등 11명 승진,"포스코그룹은 20일 정기 임원 인사를 발표하고 김지용(61·사진) 포스코홀딩스 미래기술연구원장(부사장)을 사장으로 승진 발령했다. 김 신임 사장은 그룹CT0(최고기술경영자)를 맡아 이차전지 소재, 수소 분야 연구 개발(R&D) 전략과 기술 개발을 주도하고 있다.포스코그룹은 매년 12월 20~22일쯤 사장단·임원 인사를 단행해왔는데 이날 인사는 승진 11명 소폭 인사에 그쳤다. 포스코·포스코퓨처엠 등 주요 그룹사 사장단은 유임됐다. 포스코그룹은 “현재 진행 중인 포스코그룹 회장 선임 절차를 고려해 주요 그룹사 사장단 인사와 포스코홀딩스 임원인사는 추후 시행할 예정”이라고 설명했다.포스코홀딩스는 지난 19일 이사회를 열고 대표이사 회장 선임 절차를 포함한 ‘포스코형 신(新)지배구조 개선안’을 의결한 바 있다. 이른바 ‘셀프 연임’이라고 비판받아 온 현직 회장 우선심사제를 폐지했고, 선임 절차에 보다 공정성을 강화하기 위해 전원 사외이사로 구성된 ‘CEO후보 추천위원회(후추위)’를 가동하기로 했다. 포스코홀딩스는 21일 임시이사회를 열고CEO후추위 운영을 의결하고 신임 회장 후보를 찾기 위한 인선 절차에 들어갈 예정이다.▲포스코홀딩스▷부사장 홍영준▲포스코▷부사장 천시열 이동렬▷상무 이영걸▷상무보 서광일▲포스코퓨처엠▷부사장 엄기천▲포스코스틸리온▷대표 김봉철▲포스코엠텍▷대표 정범수▲포스코A&C▷대표 김우기▲포스코HY클린메탈▷대표 임지우"
2023-12-21,포스코그룹 100억·한진그룹 20억… 연말 맞아 이웃 돕기 성금 전달,포스코그룹은 연말 이웃 돕기 성금 100억원을 사회복지공동모금회에 전달했다고 20일 밝혔다. 올해는 포스코·포스코인터내셔널·포스코이앤씨·포스코퓨처엠·포스코DX·포스코플로우·포스코스틸리온·포스코엠텍 등 총 8개 그룹사가 모금에 참여했다. 1999년부터 매년 기부한 이웃 돕기 성금 누적 총액은 1920억원에 달한다. 한진그룹도 전날 사회복지공동모금회에 이웃 사랑 성금 20억원을 전달했다. 2001년부터 누적 성금 약 530억원을 전달했다.
2023-01-20,사업 계획만으로 주가 10배 급등… ‘리튬 테마주’ 주의보,"채굴권·기술력 공언하는 업체들 옥석 가려야주식 투자자들 사이에 리튬주의보가 울리고 있다. 아르헨티나 염호를 확보한 포스코홀딩스의 리튬 사업 가치가 3조원대에 달한다는 평가가 나오면서 ‘리튬’ 개발을 내건 기업들의 주가가 폭등하고 있기 때문이다. 아직 생산 실적은 전무하지만 사업 기대감으로 1년 새 주가가 10배 가까이 치솟은 기업도 있다. 전문가들은 “일부 기업에서 ‘염호에서 10일 만에 리튬 생산’ ‘볼리비아 130조원대 리튬 확보’ 등 현실성이 없는 사업계획을 부풀리고 있다”며 주의를 당부했다.‘리튬’ 간판에 훨훨 나는 주가‘하얀 석유’라 불리는 리튬은 전기차 배터리 생산 원가의 약 40%를 차지하는 핵심 소재다. 전기차 시장 확대, 미국 인플레이션 감축법(IRA) 시행을 앞두고 배터리 및 2차전지 업체들이 중국 이외 지역에서 리튬 선점 경쟁을 벌이면서 가격도 크게 올랐다. 한국광해광업공단에 따르면 지난 18일 리튬 가격은kg당 447.5위안(약 8만원)으로 1년 전(약 325위안) 대비 약 37% 올랐다. 2021년 초와 비교하면 7배 넘게 비싸졌다.국내에서도 리튬 붐이 불면서 관련 기업들 주가가 치솟고 있다. 아르헨티나 염호 사업을 본격화한 포스코홀딩스는 작년 9월 태풍 힌남노 침수 피해에도 불구하고, 주가는 21만원대(9월 말)에서 이달 19일 장중 30만500원으로 약 40%나 올랐다. 리튬 사업 덕분이라는 평가다. 연초 증권가도 포스코홀딩스의 리튬 사업 가치를 최소 3조5000억원으로 추산하고 목표가를 40만원대로 상향 조정했다.덩달아 다른 중소업체들도 리튬 테마주로 묶여 주가가 크게 오르고 있다. 출렁다리 등 교량 제조업체였던 하이드로리튬(옛 코리아에스이)은 작년 10월 리튬플러스에 인수된 뒤 사명을 바꾸고 사업 목적에 2차전지 관련 사업을 추가하면서 주가가 급등했다. 반년 사이 주당 1900원대에서 2만원대로 10배 넘게 올랐다. 지열냉난방시스템 사업을 하던 지엔원에너지도 미국과 남미 염호에서 리튬 생산 사업을 추진한다고 밝히면서 주가가 3배 넘게 뛰기도 했다.발포제 생산 기업 금양도 콩고민주공화국 리튬 광산 개발 호재로 5000원대였던 주가가 4만원을 돌파하기도 했다. 휴대전화 액세서리 제조업체에서 2차전지 사업으로 전환한 어반리튬(옛 더블유아이)도 최근 반년 사이 주가가 5배 오르기도 했고, 포스코그룹의 철강 원료, 제품 포장 계열사인 포스코엠텍은 리튬 사업과 큰 관련이 없는데도 투자자 사이에서 ‘리튬 테마주’로 묶여 한때 주가가 급등했다.“130조원 리튬 확보”에 대사관 즉각 반박하고 대표는 기소리튬 업계와 전문가들은 “지금은 ‘리튬’ 간판만 달아도 기대감으로 돈이 몰리고 있다. 무작정 쫓아들어갈 것이 아니라 기업 사정을 냉정하게 파악해야 한다”고 우려한다. 리튬은 중국, 남미 등에 매장량은 풍부하지만 채굴 허가권 확보, 채굴, 채취·정제 기술 등 생산 과정에서 상당한 시간과 투자가 필요하다. 또 글로벌 자원 기업 수준의 자원 확보 능력과 기술력과 생산 시설도 필요하다. 이런 과정에 대한 검증 없이 묻지 마 투자를 했다가 낭패를 볼 수 있다는 것이다.실제로 중소기업 인동첨단소재는 작년 11월 “볼리비아 우유니 소금사막 지역의 리튬 광업권을 보유한 미국 기업으로부터 121만5000t(약 130조원) 리튬 조광권을 취득했다”고 발표했다가, 회사 경영진이 작년 말 자본시장법 위반 혐의로 구속돼 이달 기소됐다. 당시 주한 볼리비아대사관과 볼리비아리튬공사는 “어떤 외국 기업과도 우유니 소금사막 내 리튬 채굴권 양도 계약을 한 적이 없다”는 입장문까지 냈다.일부 회사에 대해서도 의혹이 제기되고 있다. 국내 A업체는 “한국지질자원연구원과 함께 10일 이내 염수에서 탄산리튬을 고속 추출하는 기술을 보유하고 있다”고 발표했지만, 지질연구원은 “사실이 아니다”라고 즉각 반박했다. B업체는 “국내 최초로 배터리 등급의 초고순도 수산화리튬 대량 생산에 성공했고, 제2공장까지 완공 시 총 5만3600t 규모로 글로벌 수준의 생산 능력을 확보한다”고 밝혔는데, 이 업체 주장대로라면 리튬 생산 세계 1위 업체인 중국 간펑리튬(연 7만t)과 비슷한 수준이 되는 것이다.리튬업계 고위 관계자는 “염호 리튬 사업 경제성을 확보하기 위해선 매장량과 품질이 높아야 하는데 자원 경쟁이 붙어 최근 염호 거래 가격은 1조원을 상회한다”며 “한마디로 사업을 시작한 지 수개월, 자본금 수천~수억원대의 기업들이 하기 힘든 사업”이라고 말했다."
2023-03-17,[부음] 구정숙 별세 외,"▲구정숙별세,홍진의·홍종의청주중앙신협 근무·홍선의·홍세기모친상,나정영매일일보 회장·김종우청주 흥덕경찰서 근무 장모상=15일19시20분 청주 참사랑병원, 발인 18일7시, (043)298-9200▲권태련별세,채홍완·채홍태법무사·채홍준·채홍호前 대구시 행정부시장·채홍희모친상,전효숙·박화선·박오심·신명숙시모상=16일2시 문경제일병원, 발인 18일12시, (054)550-7948▲김영식별세,신소미·신소림풍덕고 교사·신소진모친상,고태조영남대 기계공학부 교수·최우성한겨레신문사 사장·박승모가좌연세소아과병원 원장 장모상=16일4시23분 이대서울병원, 발인 18일8시30분, (02)6986-4440▲김용하별세,김도형삼성증권 상무·김도균·김현지부친상,장모수포스코엠텍 이사 장인상=16일9시30분 포항의료원, 발인 18일8시30분, (054)245-0444▲서영호별세,김광자남편상,서금주·서원식·서정식현대오토에버 대표 부친상=15일18시16분 서울아산병원, 발인 18일9시20분, (02)3010-2000▲송인국前 서울신문 편집국 부국장 별세,최영숙남편상,송경섭서울신문 인재개발팀장 부친상=15일19시 대전 을지대병원, 발인 18일9시, (042)611-3979▲시종필별세,곽영지대전교통방송 사장 모친상=16일5시50분 대전 성심장례식장, 발인 18일8시, (042)522-4494▲오경진별세,이창준대구신문 정치부 차장 장모상=16일11시 경북 청송군보건의료원, 발인 18일8시, (054)873-7801▲조윤옥별세,전순자·전명자·전복자·전인홍조선일보CS효성센터 대표·전옥자모친상,윤순자시모상=16일6시30분 인천 한림병원, 발인 18일7시30분, (032)543-2444▲조재현별세,조영철前 축구 국가대표 선수 부친상=15일20시10분 울산영락원, 발인 17일9시30분, (052)272-1111▲하해용별세,하정희구로구청 복지자원팀장·하다희·하지연부친상,이상범MBN보도제작부장·박용천펄맨 이사 장인상=16일14시30분 이대서울병원, 발인 18일6시, (02)6986-4440"
2024-12-24,"포스코그룹, 계열사 7곳 대표이사 교체","이희근, 정희민, 엄기천(왼쪽부터 순서대로)포스코그룹은 23일 계열사 7곳의 대표이사를 교체하고, 주요 조직을 축소하는 내용을 담은 정기 임원 인사 및 조직 개편 내용을 발표했다. 승진 규모는 지난해와 비교해 30% 이상 줄었으며, 전체 임원 숫자도 15% 축소했다. 위기 돌파를 위한 세대 교체와 안전사고에 대한 ‘무관용 원칙’이 적용됐다는 설명이다.포스코 신임 대표에는 이희근 설비강건화TF팀장(부사장)이 선임됐다. 이 신임 대표는 포항제철소 선강담당 부소장, 안전환경본부장 및 포스코엠텍 사장 등을 지냈다. 특히 선강 조업분야 기술과 안전에 대한 전문 지식을 갖춰 조업, 안전 및 설비 강건화 추진에 적임자라고 평가받는다. 포스코의 비수익 사업 구조조정과 본원 경쟁력 강화 역할을 맡는다.포스코이앤씨는 정희민 건축사업본부장(부사장)을 신임 대표로 내정했다. 포스코퓨처엠 대표에는 엄기천 에너지소재사업부장(부사장)이, 포스코DX대표에는 심민석 포스코 디지털혁신실장(상무)이 각각 선임됐다. 포스코휴먼스와 포스코HY클린메탈, 포스코IH도 각각 박승대 사장, 오개희 사장, 박부현 사장을 신임 대표로 내정했다.포스코그룹은 이번 인사에서 5명의 여성 임원을 선임했다. 전체 신규 선임된 임원 45명 중 11%에 이른다.  회사 측은 “전문성과 사업 역량을 갖춘 여성 리더를 발탁한 것”이라고 말했다.불확실한 경영 환경을 극복하기 위해 사업 조직은 축소했다. 포스코홀딩스는 본부제를 도입해 의사결정 단계를 간소화한다. 최근 화재 사고가 연이어 발생한 포스코는 사장 직속으로 고로안정화TF팀을 신설했다. 전기차 캐즘(일시적 수요 정체) 영향으로 실적 부진을 겪고 있는 포스코퓨처엠은 경영기획본부와 경영지원본부를 통합해 조직 슬림화에 나섰다."
2024-12-23,"임원 15% 감축, 안전사고 ‘무관용’…포스코 세대교체 인사","서울 강남구 포스코센터. 중앙포토포스코그룹이 23일 계열사 7곳의 대표이사(CEO)를 교체하고, 주요 조직을 축소하는 내용을 담은 정기 임원 인사 및 조직 개편을 실시했다.이번 인사에서 신규 선임된 45명을 포함해 승진 임원 수는 62명으로 지난해(92명)와 비교해 30% 이상 줄었다. 조직 슬림화를 통해 전체 임원 숫자도 15%가량 축소됐다. 1963년 이전 출생 임원은 경영 일선에서 물러나는 등 세대교체가 이뤄졌고, 안전사고 발생에 대한 ‘무관용 원칙’이 적용됐다는 설명이다.이희근 포스코 대표이사 사장. 사진 포스코그룹포스코 신임 대표이사에는 이희근 설비강건화TF팀장(부사장)이 내정됐다. 이 신임 대표는 포항제철소 선강담당 부소장, 안전환경본부장 및 포스코엠텍 사장 등을 역임했다. 특히 선강 조업분야 기술력과 안전에 대한 전문적인 시각으로 조업, 안전 및 설비 강건화 추진에 적임자라고 평가받는다. 앞으로 비수익 사업 구조조정과 사업 경쟁력 강화라는 역할을 맡는다.포스코이앤씨는 정희민 건축사업본부장(부사장)이 대표로 승진한다. 포스코퓨처엠 신임 대표에는 엄기천 에너지소재사업부장(부사장)이, 포스코DX대표에는 심민석 포스코 디지털혁신실장(상무)이 각각 내정됐다. 이들은 각사별 주주총회와 이사회를 거쳐 취임할 예정이다.정희민 포스코이앤씨 대표이사 사장. 사진 포스코그룹전문성과 사업 역량을 갖춘 여성 임원들의 약진도 눈에 띈다. 포스코그룹은 이번 인사에서 5명의 여성 임원을 신규 선임했다. 신규 선임된 45명의 임원 중 여성 비율은 11%에 달한다.엄기천 포스코퓨처엠 대표이사 사장. 사진 포스코그룹포스코그룹은 불확실한 경영 환경에 대비하기 위해 주요 사업조직을 정비했다. 포스코홀딩스는 기존 총괄제(총괄-팀-담당) 대신 본부제를 도입해 의사결정 단계를 ‘본부-실’로 간소화한다. 잇따라 화재 사고가 발생했던 포스코는 사장 직속으로 고로안정화TF팀을 신설해 안전담당 조직을 강화했다. 전기차 캐즘(일시적 수요 정체) 영향으로 실적 부진을 겪고 있는 포스코퓨처엠은 경영기획본부와 경영지원본부를 통합했다.포스코 측은 “조직 개편과 임원 인사에 이은 직원 인사를 조속히 마무리하고, 조직 안정화를 통해 사업 경쟁력 강화에 역량을 집중할 계획”이라고 밝혔다."
2023-12-21,[인사] 포스코홀딩스 外,◆포스코홀딩스 ▶사장 김지용 ▶부사장 홍영준 ◆포스코 ▶부사장 천시열 이동렬 ▶상무 이영걸 ▶상무보 서광일 ◆포스코퓨처엠 ▶부사장 엄기천 ◆포스코스틸리온 ▶사장 김봉철 ◆포스코엠텍 ▶사장 정범수 ◆포스코A&C ▶사장 김우기 ◆포스코HY클린메탈 ▶대표 임지우◆두산에너빌리티 ▶부회장 정연인 〈신규임원〉 ◆㈜두산 ▶권영민 김봉효 ◆두산에너빌리티 ▶김승민 김종우 김지현 이경렬 이기철 이지훈 최항석 한명훈 ◆두산밥캣 ▶김대왕 신윤철 아담콜린스 브래디시버트 재로드스텍 트람파스굿맨슨 ◆두산퓨얼셀 ▶방원조 ◆두산로보틱스 ▶김상욱 ◆두산모빌리티이노베이션 ▶김봉경 ◆오리콤 ▶정승우
