date,title,content
2024-12-24,"포스코, 10개월 만에 핵심 계열사 대표 3명 교체","장인화 체제 첫 대규모 인사포스코그룹이 주력 계열사인 포스코와 포스코이앤씨, 포스코퓨처엠 대표이사를 10개월 만에 일제히 교체하는 2025년 정기 임원 인사를 23일 실시했다. 승진 규모를 지난해보다 30% 이상 축소하면서 전체 임원 수를 15% 줄였다.그래픽=조선디자인랩 정다운철강 계열사인 포스코 신임 대표에는 이희근 설비강건화TF팀장이 사장으로 승진해 임명됐고, 건설 계열사인 포스코이앤씨는 정희민 건축사업본부장(부사장)이 대표를 맡는다. 이차전지 사업을 맡은 포스코퓨처엠 대표에는 엄기천 에너지소재사업부장(부사장)이 임명됐고, 로봇·AI(인공지능) 등 미래 사업을 담당하는 포스코DX새 대표에는 심민석 포스코 디지털혁신실장이 임명됐다. 이들은 각사 주주총회와 이사회를 거쳐 임명될 예정이다.기존 포스코 이시우 대표와 포스코이앤씨 전중선 대표, 포스코퓨처엠 유병옥 대표는 장인화 회장 선출 직후인 지난 2월 각 회사의CEO가 됐는데 10개월 만에 물러나게 됐다. 이시우 대표는 최정우 전 포스코 회장 시절 포스코 사장이 돼 2월 포스코 단독 대표가 됐다. 장인화 회장과 회장 자리를 두고 경쟁하던 전중선 사장도 당시 포스코이앤씨 대표로 임명됐었다. 유병옥 대표도 같은 시기 사장 승진과 함께 포스코퓨처엠CEO가 됐지만 이번에 물러나게 됐다.이번 정기 인사에서 승진자는 62명으로 지난해 92명에서 33% 줄였다. 지난 3월 취임한 장인화 회장이 실시한 사실상 첫 대규모 인사다. 포스코그룹은 “전체 조직을 슬림화해 의사 결정 속도를 높이고 검증된 우수 인재를 중심으로 과감한 세대교체로 불확실한 경영 여건을 돌파한다는 취지를 담았다”고 설명했다."
2024-12-13,"포스코퓨처엠, 철강생산 필수재 ‘전극봉’ 국산화","그간 中·日서 年 1800억원 수입국책과제 선정 5년간 연구·개발포스코퓨처엠이 제조기술을 국산화한 직경 300mm의UHP(UltraHighPower)급 전극봉. /포스코퓨처엠포스코퓨처엠이 그간 중국, 일본 등에서 전량 수입하던 ‘전극봉’ 국산화에 성공했다. 전극봉은 전기로 철강 생산 공정의 필수 소재로, 국내 철강 업계에선 연간 약 3만t(톤), 약 1800억원어치를 수입해 왔다. 지난 2017년에는 중국산 전극봉 부족으로 국내 중소 규모 전기로 제강사들이 가동 중단 위기에 놓인 적도 있다.포스코퓨처엠은 지름 300mm고품질 초고출력 전극봉 제조 기술 개발을 최근 완료했다고 12일 밝혔다. 전극봉은 전기로 제강 공정에서 원료인 철스크랩(고철)을 녹여 쇳물을 만들거나 용광로에서 생산한 쇳물의 불순물을 제거하는 정련 공정에 쓰이는 고부가가치 탄소 소재다. 포스코퓨처엠은 2020년 산업통상자원부의 ‘300mm이상급 인조흑연 전극봉 기술 개발’ 국책 과제 주관 기관으로 선정된 뒤 약 4년 9개월간 기술 국산화를 위한 연구·개발을 해왔다.포스코퓨처엠 관계자는 “산학연이 전량 수입에 의존하는 전극봉의 국산화 필요성에 공감하고 긴밀하게 협력해 고품질 전극봉 제조 기술을 확보했다”며 “국내 철강 산업의 소재 공급망 안정화와 글로벌 경쟁력 확보를 위한 전환점이 될 것으로 기대한다”고 했다."
2024-02-23,"포스코퓨처엠, 광양 양극재 공장 착공… 전기차 58만대분 규모","배터리 소재 하이니켈NCA전용“2030년 매출 43조원 달성할 것”이차전지 소재 기업 포스코퓨처엠이 전남 광양에 고성능 배터리 소재인 ‘하이니켈NCA양극재’ 전용 공장을 조성한다. 양극재는 배터리 용량과 수명을 결정하는 핵심 소재로, 니켈 함량을 80~90%까지 높인 하이니켈 양극재는 고성능 전기차에 주로 쓰인다. 최근 전기차 시장 수요가 둔화했지만, 상대적으로 수요가 탄탄한 고성능 전기차 부문 위주로 꾸준히 투자를 이어나간다는 전략이다.김준형 포스코퓨처엠 대표가 22일 광양 율촌제1산업단지에서 열린 '광양 하이니켈NCA양극재 전용공장' 착공식에서 기념사를 하고 있다.2024.2.22/뉴스1포스코퓨처엠은 22일 전남 광양 율촌제1산업단지에서 하이니켈NCA양극재 공장 착공식을 개최했다. 포스코퓨처엠은 현재 국내에선 경북 구미·포항, 광양에서 양극재 공장을 가동하고 있다. 2025년 상반기 준공 예정인 이번 공장은 니켈(N)·코발트(C)·알루미늄(A)을 원료로 만드는 양극재 전용 라인으로 추진한다.NCA양극재는 에너지 밀도와 출력이 높아 최근 전기차 고성능화 추세에 따라 수요가 증가하고 있다.공장은 연산 5만2500t 규모로, 전기차 58만대 배터리를 만들 수 있는 양이다. 전량 배터리 제조사 삼성SDI에 공급한다. 현재 가동 중인 공장과 2025~2026년 준공을 앞둔 공장을 합하면 포스코퓨처엠의 국내외 양극재 생산량은 연간 35만t까지 늘어난다.김준형 포스코퓨처엠 대표이사는 이날 착공식에서 “현재 배터리 시장이 캐즘 (Chasm·대중화 전 일시적 수요 둔화기)을 통과하고 있다는 점을 고려하면 적절한 투자라고 생각한다”고 했다. 앞서 제시한 2030년 매출 43조원, 영업이익 3조4000억원, 양극재 100만t 생산 목표에 대해서도 “현재까지 사업 목표를 수정하고 있지 않다”며 “배터리 원료 광물인 니켈·리튬 가격이 반등하는 점을 감안하면 오는 2030년 매출 목표를 달성하는 데는 큰 문제가 없을 것”이라고 했다."
2023-08-29,포스코퓨처엠 “2030년에 매출 43조원 달성”,"비전 선포식, 작년 매출의 13배포스코그룹의 이차전지 소재 계열사인 포스코퓨처엠이 오는 2030년 매출 43조원, 영업이익 3조4000억원을 달성하겠다는 비전을 제시했다. 지난해 매출(3조3019억원), 영업이익(1659억원)의 13배, 20배에 이르는 목표치다.포스코퓨처엠은 28일 서울 대치동 포스코센터에서 비전 선포식 행사를 열고 ‘친환경 미래소재로 세상에 가치를 더하는 기업’을 새로운 회사 비전으로 공개했다. 포스코퓨처엠 관계자는 “미래 친환경 사회 실현에 기여하는 소재를 개발해 세상에 필요한 가치를 만들고, 더 나은 세상을 만들어 나가겠다는 의미”라고 했다.포스코퓨처엠은 글로벌 배터리 업계에서 유일하게 원료 광산부터 소재 생산과 리사이클링까지 포괄하는 ‘토털 설루션 프로바이더’가 되겠다는 청사진도 내놨다. 포스코그룹의 자금력을 기반으로 신속한 투자 결정을 내리고, 이를 통해 글로벌 양산 능력을 확대하는 한편, 산학연 연구개발(R&D) 트라이앵글(삼각편대)을 구축해 기술 개발 선순환 구조를 이룩하겠다는 것이다. 이를 통해 2030년 기준 양극재 100만t 생산체제를 구축하고 글로벌 1위로 도약한다는 목표다. 김준형 사장은 “포스코퓨처엠의 모든 직원이 세계 최고라는 자부심을 가질 수 있도록 하겠다”고 말했다."
2023-07-27,"포스코퓨처엠, 우리은행 지원으로 양·음극재 투자 확대","포스코퓨처엠은 26일 우리은행과 ‘이차전지 핵심소재 경쟁력 강화를 위한 금융지원 업무협약(MOU)’을 체결했다고 27일 밝혔다. 이날 협약식에는 우리은행 조병규 은행장, 김준형 포스코퓨처엠 사장 등 양사 주요 관계자가 참석했다.협약에 따라 포스코퓨처엠은 우리은행으로부터 양·음극재 사업 시설투자와 해외사업 진출 등의 목적으로 3년간 2조원 규모의 금융지원을 받게 된다. 포스코퓨처엠은 글로벌 전기차 시장 성장 추세에 맞춰 2030년 양극재 100만톤, 음극재 37만톤을 생산한다는 로드맵을 바탕으로 투자를 확대하고 있다. 우리은행과 손을 잡음으로써 안정적인 투자 자금 조달이 가능해져 글로벌 시장에서의 경쟁력 강화가 기대된다.김준형(왼쪽) 포스코퓨처엠 사장과 조병규 우리은행 은행장이 26일 '이차전지 핵심소재 경쟁력 강화를 위한 금융지원 업무협약(MOU)'을 체결했다./포스코퓨처엠포스코퓨처엠 김준형 사장은 “이번 협약으로 흔들림 없이 사업을 추진할 수 있는 재원을 확보하게 됐다”며 “국내외 시설 투자를 확대해 친환경 미래 소재 선도기업으로 도약해 나가겠다”고 말했다. 우리은행 조병규 은행장은 “대한민국 미래를 책임질 수 있는 신성장 기업이 탄탄하게 뿌리 내릴 수 있도록 신성장 산업에 대한 금융지원을 아끼지 않겠다”고 했다.포스코퓨처엠은 높은 성장성과 신용등급(AA-)을 바탕으로 대규모 투자계획에 따른 자금조달을 차질없이 진행하고 있다. 포스코퓨처엠은 지난해 7월부터 현재까지 국내·외 주요 금융기관과의 업무협약(MOU)을 통해 약 8조원 규모의 투자자금(국내은행 5.5조원, 해외은행 21억 달러)를 확보했다. 올해 2월에는 4000억원 규모의ESG(환경·사회·지배구조) 채권을, 4월에는 3000억원 규모의 한국형 녹색 채권을 성공적으로 발행했다."
2023-06-03,"포스코퓨처엠, GM과 합작 배터리 소재에 1조 추가 투자","포스코퓨처엠은 2일 미국 자동차 회사GM(제너럴모터스)과 합작해 설립한 얼티엄캠에 7억5700만달러(약 1조원)를 추가 투자해 생산 능력을 확대한다고 밝혔다. 포스코퓨처엠은 작년 7월 2억7800만달러를 출자해 얼티엄캠을 세우고, 2024년 완공을 목표로 캐나다 퀘벡주 베캉쿠아에서 연산 3만t 규모의 양극재 공장을 건설하고 있다. 이번 투자로 2026년까지 얼티엄캠의 양극재 생산 능력은 연산 6만3000t으로 확대되고, 이와 별개로 연산 4만5000t 규모의 전구체 생산 능력도 갖추게 된다. 배터리 원가의 40%를 차지하는 양극재는 배터리 성능을 좌우하는 핵심 소재다. 전구체는 니켈·코발트·망간 등을 가공해 제조하는 양극재 중간 소재다.얼티엄캠은 증설 라인에서 만들게 될 하이니켈 양극재를GM과LG에너지솔루션의 배터리 합작사인 얼티엄셀즈에 2025년부터 9년간 13조1800억원어치를 공급하는 계약도 맺었다. 포스코퓨처엠은 “현재 10만5000t인 전체 양극재 생산 능력을 2030년까지 61만t으로 늘릴 계획”이라며 “북미 전기차 수요 증가와 배터리 공급망 강화 정책에 선제적으로 대응하며 시장 주도권을 확고히 할 것”이라고 했다."
2023-04-27,"포스코퓨처엠, 올해 1분기 역대 최대 매출 기록… “양극재 판매량 증가 영향”","포스코퓨처엠(구 포스코케미칼)이 올해 1분기 사상 최대 분기 매출을 올렸다. 포스코케미칼은 1분기 연결 기준 매출 1조1352억원, 영업이익 203억원을 올렸다고 27일 밝혔다. 매출은 전년 동기 대비 70.8% 늘었다. 다만 영업이익은 지난해보다 20.7% 줄었다. 포스코퓨처엠은 “지난해 대비 환율이 떨어졌고, 가동 초기 단계인 전남 광양 양극재 공장의 고정 비용이 늘어난 것이 요인”이라고 했다.포스코퓨처엠 양극재 광양공장 전경. /포스코퓨처엠특히 배터리 소재 사업 매출이 7799억원으로 지난해 1분기 3171억원의 2배 이상으로 늘었다. 이 중에서도 양극재 부문 매출이 7122억원을 기록했다. 포스코퓨처엠은 “양극재 판매량이 전반적으로 상승한 데다, 고효율NCMA하이니켈 양극재 생산·판매가 시작되며 매출 상승을 이끌었다”고 했다. 음극재 부문 매출도 677억원으로 분기 최대 매출을 올렸다. 내화물 등 기초소재 사업 매출은 3553억원이다.이번 1분기 실적에는 포스코퓨처엠이 최근 주요 배터리 업체들과 체결한 공급 계약은 반영되지 않았다. 포스코퓨처엠은 지난 1월 삼성SDI와 10년간 40조원, 지난 26일LG에너지솔루션과 7년간 30조원 규모의 양극재 공급 계약을 체결했다. 2022년 이래 배터리 소재 분야의 수주 실적만 93조원이다. 포스코퓨처엠 관계자는 “주요 국내외 고객사와 공급 계약 협상을 계속하고 있어 향후에도 관련 투자와 매출이 지속적으로 늘어날 전망”이라고 했다."
2023-04-27,포스코퓨처엠 30조 규모 수주,"LG엔솔에 양극재 7년간 공급포스코퓨처엠(옛 포스코케미칼)이LG에너지솔루션에 앞으로 7년간 30조원 규모의 하이니켈 양극재를 공급한다. 연평균 4조3000억원 규모로 지난 1월 삼성SDI와 체결한 10년간 40조원을 뛰어넘는 대형 계약이다. 양극재는 배터리 용량과 출력을 결정하는 핵심 소재로 전기차 배터리 원가의 40% 이상을 차지한다.포스코퓨처엠은 26일 “올해부터 2029년까지 7년간LG에너지솔루션에 약 30조2595억원 규모의 양극재를 공급하는 계약을 체결했다”고 밝혔다. 포스코퓨처엠은LG에너지솔루션의 국내외 배터리 공장에 하이니켈NCM(니켈·코발트·망간) 및NCMA(니켈·코발트·망간·알루미늄) 양극재를 공급하게 된다.이번 계약으로 포스코퓨처엠이LG에너지솔루션에 공급하는 양극재 규모는 52조원을 돌파했다. 삼성SDI공급계약까지 포함하면 수주 잔액은 92조원에 달한다. 포스코퓨처엠은 현재 연간 10만5000t 양극재 생산능력을 오는 2030년 61만t으로 확대한다는 계획이다. 음극재도 같은 기간 8만2000t에서 32만t으로 확장한다.김준형 포스코퓨처엠 사장은 “이번 수주는 사업 초기부터 이어온LG에너지솔루션과 긴밀한 협력이 있었기에 가능했다”며 “원료 경쟁력, 품질 기술, 안정적인 양산 능력 등 고객을 위한 사업 역량을 더욱 강화할 것”이라고 했다."
2023-04-26,"포스코퓨처엠, LG엔솔에 7년간 30조원 규모 양극재 공급","포스코퓨처엠(옛 포스코케미칼)이LG에너지솔루션과 30조원 규모의 중장기 양극재 공급계약을 체결했다.포스코퓨처엠은 올해부터 2029년까지 7년간LG엔솔에 약 30조2595억원 규모의 양극재를 공급하는 계약을 체결했다고 26일 밝혔다. 연평균 약 4조3000억원 규모 계약으로, 지난 1월 삼성SDI와 체결한 10년간 40조원 규모 공급을 뛰어넘는 대형 계약이다.포스코퓨처엠 양극재 광양공장 전경 /포스코퓨처엠포스코퓨처엠이 공급하는 제품은 전기차 고성능화에 필요한 배터리 소재인 하이니켈 니켈·코발트·망간(NCM) 및 니켈·코발트·망간·알루미늄(NCMA) 양극재다.LG엔솔의 국내외 배터리 공장에 조달될 예정이다.양극재는 배터리 원가 40% 이상을 차지하며 용량과 출력을 결정하는 핵심 소재다. 특히 전기차 배터리에 주로 활용되는 하이니켈 양극재는 니켈 비중을 높여 에너지 저장용량을 높이고 코발트, 망간, 알루미늄 등을 사용해 안정성과 출력을 보완한 고부가가치 제품으로 꼽히고 있다.이번 계약으로 포스코퓨처엠은 장기간 이어온LG엔솔과의 협력도 더 강화했다. 양사는 2011년 협력을 시작한 이래 2012년부터 양극재, 음극재 등을 주고받으면서 파트너십을 유지했고 있다. 이번 계약으로 포스코퓨처엠이LG엔솔에 공급하는 양극재 수주 규모도 52조원을 넘어섰다.김준형 포스코퓨처엠 사장은 “포스코퓨처엠의 배터리 소재 사업 성장은 사업 초기부터 이어온LG에너지솔루션과의 긴밀한 협력이 있었기 때문에 가능했다”며 “포스코퓨처엠의 원료 경쟁력, 품질 기술, 안정적인 양산 능력 등 고객을 위한 사업역량을 더욱 강화하고 미래 파트너십을 더욱 공고히 해 나갈 것”이라고 말했다."
2023-04-25,포항에 세번째 양극재 공장… 포스코퓨처엠 6000억 투자,"포스코퓨처엠이 6000억여원을 투자해 경북 포항에 세 번째 양극재 공장을 건설한다. 양극재는 배터리 용량과 수명을 결정하는 핵심 소재다.포스코퓨처엠은 24일 이사회를 열고 포항 영일만 4일반산업단지에 4만6000t 규모의 하이니켈NCMA(니켈·코발트·망간·알루미늄) 양극재 공장을 추가 건설하는 안건을 승인했다고 밝혔다. 올해 하반기 착공해 2025년 준공 예정이다. 이번 투자가 완료되면 2025년 포항 공장의 양극재 생산 능력은 연간 10만6000t까지 늘어난다. 하이니켈NCMA양극재는 리튬·니켈·코발트·망간·알루미늄을 원료로 제조하며, 이 중에서도 니켈의 비율을 80% 이상 높인 양극재를 뜻한다. 배터리 용량과 출력, 수명이 모두 뛰어나 배터리 업계의 수요가 크게 늘고 있다.포스코퓨처엠은 지난해 4월과 지난 3월에도 각 3만t 규모의 양극재 공장을 포항 영일만 산업단지에 짓겠다고 했다. 이번 투자 발표를 포함해 포스코퓨처엠의 국내외 양극재 생산 능력은 2025년까지 총 27만1000t으로 늘어나게 된다."
