date,title,content
2024-12-09,[경제계 인사] 풀무원 CEO 이우봉,풀무원은 지난 6일 정기 이사회를 열고 이우봉 전략경영원장을 내년 1월1일자로 총괄CEO(최고경영자)에 선임했다고 밝혔다. 풀무원이 2018년 전문 경영인 체제로 전환한 후 두 번째 총괄CEO다.
2024-11-15,"풀무원, 3분기 실적 사상 최대치…영업이익은 전년비 50%넘게 올라","풀무원이 올해 3분기 최고 매출과 영업이익을 달성했다고 15일 밝혔다. 3분기 연결 기준과 1~3분기 누적 기준 모두 역대 최고 실적이다.풀무원의 올해 3분기 연결기준 매출은 작년 동기 대비 11.7% 증가한 8337억원이고, 영업이익은 52% 증가한 333억원을 기록했다. 3분기 누적 매출과 영업이익은 각각 2조3960억원, 658억원이다.국내 사업은 식품 서비스 유통 사업 부문에서 신규 사업 수주 및 단체급식 사업의 지속적인 확대가 영업이익 성장에 도움을 줬다. 식품 서비스 유통 사업 부문의 3분기 매출은 전년 동기 대비 30.4% 증가한 2405억원을 기록했다.해외 식품 제조유통 사업 부문에선 미국 법인에서 코스트코 등 채널의 추가 고객 확보와 아시안 푸드의 성장세로 3분기 매출이 33.3% 늘어 흑자 전환을 앞두고 있다.중국 법인에선 냉장 파스타와 두부 제품의 호조로 3분기 매출이 9.2% 증가했다.풀무원 관계자는 “3분기 식품 서비스 유통 사업과 해외 사업이 매출 성장을 이끌었다”며 “4분기에도 성장을 유지하고 해외 시장에K-푸드 제품군을 확장해 수익성을 개선하겠다”고 했다."
2024-11-08,쿠쿠·풀무원까지… 김치냉장고 ‘전국시대’,"선두 ‘딤채’ 휘청하자 빈틈 공략본격적인 김장철을 앞두고 김치냉장고를 첫 출시한 기업이 잇따르면서 시장이 달아오르고 있다. 지난 9월 풀무원이 국내 식품업체 최초로 김치냉장고를 내놓은 데 이어 밥솥과 정수기로 유명한 쿠쿠도 7일 처음으로 김치냉장고를 출시했다. 삼성전자와LG전자와 같은 기존 기업들은AI(인공지능), 냄새 흡수 필터 등을 장착한 신기능 김치냉장고를 선보였다. 김장하는 인구가 점차 줄고 있는데 올해 김치냉장고 시장은 오히려 커지는 추세다. 롯데하이마트는 올해 10월 김치냉장고 매출이 전년 동기 대비 약 20%나 증가했다고 밝혔다./딤채한국 김치냉장고 시장의 선두주자였던 딤채의 스탠드형 김치냉장고.  딤채 김치냉장고는 채소, 과일, 밀키트 등을 편리하게 보관 할 수 있는 무빙 ‘고메트레이’ 와 다양한 음료 및 주류 등을 편리하게 수납 가능한 ‘고메포켓’ 구조로 구성된 게 장점이다. 이밖에 딤채만의 새로운 숙성 알고리즘을 적용한 비건김치 숙성모드도 있다. 채식주의자들도 맛있는 김치를 오랫동안 보관해 먹을 수 있도록 한 기능이다.왕좌의 빈틈을 노려라업계에선 올해 김치 냉장고 판도가 바뀐 주요인으로 시장 1위 ‘딤채’의 생산 부진을 꼽는다. 위니아가 지난해 기업 회생절차를 거치면서 생산이 중단됐던 딤채는 올 들어 공장이 재가동됐지만 가동률은 45%에 그치고 있다. 위니아 관계자는 “공장 가동률이 아직 절반 수준이어서 생산 물량이 수요를 못 따라가고 있다”고 했다. 왕좌를 지켜온 딤채의 물량이 수요를 채우지 못하고 주춤하자, 이 틈을 겨냥해 중소 업체들은 잇따라 시장에 뛰어들었고 기존 대기업들은 신제품을 출시하며 1위 자리를 노리고 있다.삼성전자는 올해AI기능이 탑재된 김치 냉장고 신제품 ‘비스포크AI김치플러스’를 내놨다.AI가 사용자의 이용 패턴을 분석해 냉장고를 자주 이용하지 않는 시간대에는 성에를 자동으로 제거, 냉장고 안의 온도 상승 폭을 최소화한다. 여기에 더해 업계 최초로 가스 밸브와 필터를 장착해 김치 냄새를 제거하는 ‘냄새 케어 김치통’도 출시했다. 김치가 숙성되는 과정에서 발생하는 이산화탄소 농도가 기준치를 넘을 때 일시적으로 가스 밸브가 열리면서 흡수 필터로 나가는 방식이다.그래픽=이진영LG전자도 지난달 ‘LG디오스 오브제컬렉션 김치 톡톡’을 내놨다.LG전자 제품은 김치의 맛을 좌우하는 유산균이 잘 자랄 수 있는 최적의 온도를 지원한다. 섭씨 6.5도를 유지해 김치 맛을 더욱 시원하고 감칠맛이 돌게 하는 기술이다. 이밖에LG전자 가전 플랫폼인 씽큐 앱으로 포장김치 바코드를 찍고 제조일자를 입력하면, 김치 제조사와 제조일자에 맞춰 맛있게 익히고 보관하는 ‘인공지능 맞춤보관’ 기능도 지원한다.“김치냉장고의 맥주가 별미’”이같은 지각 변동 속에서 올해 김치냉장고 시장은 뜻밖의 호재도 맞고 있다. 김치냉장고를 다목적 냉장고로 활용하려는 수요가 늘면서 사용자 저변이 확대된 것이다. 예컨대 2030세대 사이에서 ‘맥주는 김치냉장고에 보관해야 시원하다’는 입소문이 퍼지면서 김치냉장고가 음료나 육류, 신선식품을 보관하는 ‘서브 냉장고’로 자리매김하고 있다.LG전자 신제품은 상칸을 좌우로 분리하는 다용도 분리벽이 적용돼 상칸 좌·우, 중칸, 하칸까지 독립된 4개 칸을 다용도 냉장고로 쓸 수 있게 했다. 여기에 더해 맥주 모드, 사과 모드, 잎채소 모드 등 보관품 종류별로 다양한 모드를 제공한다.올해 가격 장벽을 낮춘 비교적 저렴한 제품들이 많이 나온 것도 매출 신장에 영향을 미친 것으로 분석된다. 쿠쿠와 풀무원같은 중소기업들이 참전하며 소비자의 가격 선택폭이 커졌다. 풀무원과 쿠쿠가 출시한 제품은 60만원~80만원대로 1~2인 가구를 노린 가성비 제품이다. 쿠쿠 관계자는 “김치냉장고의 핵심인 정온성(일정한 온도를 유지하는 기능)을 위해 온도 편차를 0.3도로 최소화한 것이 특징”이라며 “김치의 신선함을 장기간 유지할 수 있고 다양한 식재료 보관도 가능하다”고 말했다.프리미엄 제품을 파는 삼성전자와LG전자도 가격을 낮춘 제품을 올해 처음으로 내놓았다. 가전업계 관계자는 “삼성전자와LG전자 모두 기본 옵션으로 제공되던 김치통을 빼는 식으로 대략 20만원 가량 할인된 제품을 올해 내놨다”며 “100만원 이하 제품이 늘어난 것도 김치냉장고 판매 확대에 영향을 끼친 것으로 보고 있다”고 했다."
2024-09-02,"거래처에 ‘최저 판매가’ 강제…공정위, 풀무원생활건강에 시정명령","풀무원CI./풀무원자사 제품을 판매하는 소매점들에게 최저 판매가격을 강제한 풀무원건강생활에 대해 공정거래위원회가 2일 시정명령을 내렸다. 풀무원건강생활은 풀무원의 자회사다.공정위에 따르면, 풀무원건강생활은 자신이 주문자 상표 부착생산(OEM) 방식으로 제작한 에어프라이어를 소매점 3곳에게 공급하면서 자신이 정한 판매 가격보다 낮은 가격에 판매하지 못하도록 강제했다.이 회사는 수시로 소매점의 판매 가격을 점검하면서, 최저 판매가격보다 싸게 판 소매점에 “판매가격을 인상하라”고 요구하고, 포털 검색 화면에서 낮은 가격이 노출되지 않도록 했다. 반복적인 미준수 업체에겐 ‘공급 중단’이나 ‘거래 종료’ 등을 시사하기도 했다.또한, 소매점이 자체 판촉행사를 진행하려는 경우에는 반드시 풀무원 측과 사전협의(승인)를 거치도록 함으로써 거래처의 판매가격을 일정 수준 이상으로 통제했다는 것이 공정위의 조사 결과다.공정위 관계자는 “이번 조치를 통해 소형 주방가전 시장에서 가격경쟁이 촉진되고, 소비자들이 보다 낮은 가격에 제품을 구매하는 등 소비자의 선택권이 확대될 것으로 기대한다”고 말했다."
2024-04-17,"속 빈 강정이었나… 풀무원 요거트, 유산균수 기준치 90% 미달","풀무원 요거트 요거톡/ 연합뉴스풀무원의 일부 요거트 제품의 유산균 수가 기준치 보다 부족해 부적합 판정을 받았다.17일 식품의약품안전처에 따르면, 풀무원다논의 떠먹는요거트인 ‘요거톡 초코그래놀라’,‘요거톡 초코필로우＆크런치’,‘요거톡 링＆초코볼’의 유산균 함량이 기준치에 못 미치는 것으로 나타났다.요거트 같은 발효유류는 유산균 수 또는 효모 수가 1㎖당 1000만CFU(집락형성단위) 이상이어야 한다.CFU는 유산균 수를 세는 단위다. 문제의 제품들은 그 수치가 각각 63만~95만CFU여서, 기준치의 10분의 1에도 미치지 못한 것으로 파악됐다.다만 유산균 수 함량 부족은 안정성 문제와는 관련이 없는 만큼 회수 대상은 아니라는 게 식약처의 설명이다.식약처 관계자는 “지방자치단체가 해당 시설에서 생산하는 다른 발효유 제품에 대해 검사를 실시하고 있다”고 전했다. 또한 이번에 적발된 제품 외에도 다른 생산 제품에서도 품질상 문제가 있는지 수거 검사를 확대할 예정이다.풀무원 측은 자사 연구소와 외부 공인기관을 통해 재검사를 진행한다는 입장이다."
2024-03-25,풀무원 “이사회 중심 경영… 9명 중 7명이 사외이사”,"풀무원은 올해 창사 40년을 맞아 사외이사가 다수인 이사회 중심 경영 체제를 확립했다고 25일 밝혔다. 풀무원 이사회는 9명 중 7명(77.8%)이 사외이사로, 사외이사 비율이 비금융권 상장사 중 최고 수준이다. 또 사외이사 7명 중 여성(3명)의 비율은 43%다. 이는 비금융권 상장사 평균(21%)의 2배 수준이다.풀무원 관계자는 “경영진이 사외이사들을 설득하지 않고서는 안건이 이사회를 통과할 수 없는 구조를 갖추고 있다”며 “이사회 내 성별 다양성도 확보했다”고 설명했다.또 풀무원은 이사회에 상법상 의무 설치 위원회인 감사위원회와 사외이사후보추천위원회 외에 6개 위원회를 추가로 설치했다고 밝혔다. 6개 위원회는 총괄CEO후보추천위원회, 보상위원회, 사외이사평가위원회, 전략위원회,ESG위원회, 경영위원회다. 자산 2조원 이상의 국내 기업은 보통 이사회 내에 위원회를 평균 4개 두고 있는데, 풀무원 이사회 내 위원회는 8개로 2배 수준이다.1980년대 국내 최초의 유기농식품기업으로 출발한 풀무원은 국내 대표적인ESG(환경·사회·지배구조)기업으로 꼽힌다. 2018년 소유와 경영을 분리하고 가업승계가 아닌 전문경영인 체제로 전환했다. 2019년 3월에는 지주회사 ㈜풀무원이 비상장사인 자회사의 지분 100%(합자회사 제외)를 보유한 지배구조 체계를 완성했다."
2023-12-12,"원조 CF퀸 복귀하자… 풀무원, 창사 39년 만에 첫 연예인 모델 선정","풀무원의 광고 모델이 된 이효리. /풀무원풀무원이 지속가능식품 브랜드 ‘지구식단’ 모델로 가수 이효리를 선정했다. 풀무원이 유명 연예인을 광고 모델로 기용한 것은 1984년 창사 이래 처음이다.풀무원은 12일 이효리가 등장하는 풀무원지구식단 캠페인 티저 영상과 이미지를 공개하며 이같이 밝혔다. 풀무원은 ‘이효리는 풀무원 지구식단 합니다’라는 슬로건으로 온오프라인 캠페인을 펼칠 예정이다.풀무원의 지구식단은 식물성 제품과 동물복지 원료를 사용한 식품 브랜드다. 두부면, 두유면, 식물성 숯불직화불고기, 식물성 런천미트 등 30여종의 제품을 선보이고 있다. 지난해 8월 출시한 이래 누적 매출 430억원을 기록했다.풀무원은 이효리를 모델로 발탁한 배경에 대해 “평소 바른먹거리 기업 이미지를 중요시해 특정CF모델을 발탁하지 않았지만 지구식단이 지속가능한 라이프스타일을 추구하는 이효리와 가치관·이미지 면에서 부합해 시너지를 극대화할 수 있을 것으로 판단했다”고 설명했다.이효리는 2011년 유기동물보호에 관심을 가지면서 채식을 시작한 것으로 알려졌다. 2000년대 원조 ‘CF퀸’ ‘완판녀’ 등으로 불리던 그는 이듬해 환경보호, 동물보호, 채식 등 자신의 신념에 반하는 상업적 광고는 찍지 않겠다고 선언했다.상업 광고를 중단해 온 그는 11년 만인 지난 7월 소셜미디어를 통해 “광고를 다시 하고 싶다”고 알렸다. 광고 수입으로 유튜브 콘텐츠 제작에 더 많은 투자를 하고, 기부금도 늘리고 싶다는 이유였다. ‘원조CF퀸’의 복귀 소식에 광고주들의 러브콜은 쏟아지고 있다. 이효리는 롯데온을 시작으로 스포츠 브랜드 리복, 화장품 브랜드 달바 등의 모델로 활동하고 있다.내년 창사 40주년을 맞는 풀무원은 사업 역량을 지구식단에 집중해 식품 사업을 대표하는 미래 핵심 브랜드로 육성할 방침이다. 2026년까지 지속가능식품을 식품 전체 매출의 65까지 끌어올리고, 지구식단을 연 매출 1000억원 규모 브랜드로 키우는 게 목표다."
2023-12-21,[경제계 인사] 풀무원 외,▲풀무원▷임원 박광순 김성훈 도경업 강창수▲풀무원푸드앤컬처▷임원 박순득
2023-02-28,"풀무원, 생수 가격 인상계획 철회… 주류업계도 유보","냉동식품·음료·제과류 할 것 없이 식품 업계가 잇달아 제품 가격을 올리는 가운데 풀무원이 내달 예정돼 있던 생수 가격 인상을 철회했다. 주류업체인 하이트진로와 오비맥주도 당분간 주류 가격을 올리지 않기로 했다. 정부가 물가 안정을 위해 직간접적으로 기업을 압박하자 제품 가격 인상을 유보한 것으로 보인다.풀무원은 27일 “3월 1일부터 생수 출고가를 5% 올리겠다는 가격 인상 계획을 철회한다”고 밝혔다. 풀무원 측은 “내부 논의를 거쳐 제품 가격을 올리지 않기로 결정했다”며 “고물가 시대에 서민들의 가계 부담을 낮춰주기 위해 가격 인상 계획을 철회했다”고 말했다. 풀무원은 이날 유통 업체에도 가격 인상 철회를 공지했다.다른 업체들도 가격 동결에 동참한다. 동원샘물을 판매하는 동원F&B와 백산수를 판매하는 농심도 “가격을 인상해야 할 요인은 같지만 당분간 가격을 올리지 않을 것”이라는 입장을 밝혔다. 생수업계는 작년 말부터 가격 인상이 계속되고 있다. 작년 12월 롯데칠성음료가 생수 제품인 아이시스 가격을 최대 15.7% 올렸고, 올해 2월 제주도개발공사의 제주삼다수와 해태htb의 강원평창수가 각각 9.8%, 7% 인상했다.이날 소주 업계 1위 업체인 하이트진로도 “당분간 소주 가격을 인상하지 않겠다”고 밝혔다. 회사 측은 “어려운 경제 상황에서 소비자와 자영업자들의 부담을 덜어주려는 조치”라고 설명했다. 맥주업계 1위 업체인 오비맥주는 “4월 맥주에 부과되는 주세(酒稅)가 오르더라도 맥주 가격을 동결하는 방향으로 가닥을 잡았다”고 말했다. 주류업계는 원재료 인상과 세금 요인을 반영해 소주·맥주 출고가를 올릴 수밖에 없다는 입장이었지만, 최근 음식점에서 판매하는 소주와 맥주 가격이 많게는 병당 1만원까지 치솟으면서 소비자 불만이 쏟아지자 인상을 유보하기로 했다."
2024-12-03,“혼자 끼니는 잘 드세요?” 야쿠르트 배달 때 살핀다,"오세훈(왼쪽 여섯번째) 서울시장이 2일 오전 서울 중구 서울시청에서 열린 '외로움 없는 서울' 민관협력 업무협약식에서 기념 촬영을 하고 있다. 왼쪽부터 문은경 한국빨래방협회 이사, 손지욱BGF리테일 커뮤니케이션 실장, 윤명랑 풀무원식품 마케팅본부장, 함윤식 우아한형제들 부사장, 황도연 당근마켓 대표, 오세훈 서울시장, 안병현 교보문고 대표, 변경구hy대표, 김경숙 대상ESG경영실장, 김천주GS리테일 편의점지원 부문장, 진수희 서울시복지재단 대표/뉴시스서울시가 1인 가구의 고립·은둔 문제를 해결하기 위해 기업들과 손을 잡았다. 서울시는 2일 기업·단체 9곳과 ‘외로움 없는 서울을 위한 업무협약’을 체결했다고 밝혔다.아홉 단체는 교보문고, 당근마켓,hy(한국야쿠르트), 우아한형제들,GS리테일, 대상,BGF리테일, 풀무원식품, 사단법인 한국빨래방협회다.서울시 관계자는 “시와 기업, 단체가 자신만의 특기를 살려 시민들의 외로움 문제를 풀어보자는 취지에서 뭉쳤다”고 했다.교보문고는 ‘외로움’을 주제로 책 모임을 연다. 참가자들에게는 교보문고가 여는 강연회에 참여할 수 있는 기회를 준다.이른바 ‘야쿠르트 아줌마’들은 서울 곳곳을 다니며 홀로 사는 노인의 안부를 확인한다. 이미 독거노인 8000명을 살피고 있는데 이를 1만명으로 확대하기로 했다.음식 배달 플랫폼인 ‘배달의민족’ 앱에서는 자신의 ‘고립 위험도’를 체크해 볼 수 있는 자가 진단 코너를 운영하기로 했다. 진단 결과를 서울시의 ‘외로움 안녕 120′ 등에 공유하면 할인 쿠폰을 준다. ‘외로움 안녕 120′은 서울시가 24시간 운영하는 고독 문제 전담 콜센터다. 내년 4월부터 운영한다. 120다산콜로 전화를 건 뒤 전담 상담원을 찾으면 된다.당근마켓은 고립·은둔 상황을 극복한 시민과 고립·은둔 청년을 모아 동네 모임을 만들 예정이다. 1인 가구가 자주 찾는 편의점과 빨래방에는 외로울 때 상담을 받을 수 있는 방법 등을 안내하는 포스터를 붙일 예정이다. 다른 시민들과 어울릴 수 있는 ‘마음 편의점’도 4곳 생긴다. 편의점처럼 편하게 들를 수 있는 장소라는 뜻이다. 대상과 풀무원이 준비한 쌀국수와 볶음밥, 라면을 만들어 먹을 수 있다.통계청에 따르면, 서울시 1인 가구는 전체 가구의 38.2%다. 세 집 중 한 집꼴로 혼자 사는 셈이다."
