date,title,content
2024-04-18,"철강·알루미늄株, 중국산 美 관세 인상 추진에 급등","미국이 철강 분야에서도 대(對)중국 견제 조치에 들어간다는 소식에 국내 철강과 알루미늄 관련주들이 18일 급등세를 보였다.조 바이든 대통령은 현재 7.5%인 중국산 철강·알루미늄 제품의 관세를 25%로 3배 이상 올리도록 미국 무역대표부(USTR)에 권고했다고 17일 밝혔다.이에 18일 국내 대표 철강업체인 포스코스틸리온은 전날보다 10.76% 오른 4만5300원으로 장을 마쳤다. 포스코홀딩스(5.12%), 현대제철(4.57%),KG스틸(4.20%), 동국씨엠(2.84%), 고려제강(1.99%) 동국제강(1.39%) 등도 올랐다.중소형 철강업체 중에선 하이스틸이 18.07% 급등하며 3430원에 마감했다. 신스틸(10.06%),TCC스틸(7.47%)도 급등했다. 삼아알미늄(8.59%), 조일알미늄(6.58%), 남선알미늄(2.47%) 등 알루미늄 업체들도 강세를 보였다.그러나 한국산 철강 제품은 미국 수출에서 연간 200만t대의 쿼터를 적용받고 있어 미국의 대중국 관세 인상의 반사이익은 크지 않을 것으로 전망된다. 2018년 트럼프 행정부가 수입산 철강 제품에 고율의 관세를 부과하고 물량을 제한하는 조치인 ‘철강 232조’를 적용하자, 한국은 ‘고율 관세’ 대신 ‘쿼터 축소’ 카드를 선택한 바 있다. 현재 한국은 ‘263만t 무관세’를 적용받고 있다. 그 결과 2015∼2017년 연평균 383만t이던 한국산 철강의 미국 수출량은 2021년 200만t대로 줄었다.철강업계 관계자는 “미국이 중국산 수입 물량을 축소해도 한국이 미국에 추가로 수출할 여지는 적을 것으로 보인다”며 “오히려 중국산 철강의 미국 수출길이 막힐 경우 전 세계적으로 철강 공급 과잉 현상을 심화할 수 있다”고 말했다."
2023-10-26,경남도 투자유치 설명회...기업 11곳 6300여억원 투자 협약,"2023 경상남도 투자유치 설명회가 26일 오전 서울 웨스틴조선서울호텔에서 열린 가운데 투자 유치를 협약한 11개 기업과 경남도, 도내 시군 관계자가 협약 약정서를 들고 기념촬영을 하고 있다. /경남도.경남도가 서울에서 연 투자유치 설명회에서 대대적인 기업 지원 인센티브를 내걸어 방위·항공우주 분야 등에서 6300억원 규모 투자를 이끌어냈다.경남도는 26일 오전 웨스틴조선서울호텔에서 ‘2023 경상남도 투자유치 설명회(이하 투자유치 설명회)’를 개최했다.김병규 경상남도 경제부지사가 수도권 소재한 기업CEO등 300여명에게 경남의 투자환경 및 투자지원제도를 소개하고 경남 투자기업 성공사례를 발표했다.경남도는 이날 설명회에서 방위·항공우주·미래 모빌리티·관광 등 핵심 전략 및 신성장 동력 산업 분야에서 11개 기업과 6371억원에 달하는 투자협약을 체결했다. 전체 신규 고용 효과는 540명이다.도에 따르면 대표적으로KG모빌리티·KG스틸은 창원국가산업단지에 700억원 규모를 투자해 차세대 전기차 핵심부품 제조로 사업 재편을 위한 신규설비를 증설한다. 연간 전기차 5만대에 공급할 수 있는 규모의 배터리 팩 공장을 설립하는 게 골자다. 100명의 신규 인력 고용도 확정했다.에스앤에스밸브는 진주시에 산업용 밸브류 제조를 위한 200억원을 투자를 협약했다. 30명 고용이 예상된다. 호산은 진주뿌리일반산업단지에 알루미늄 패널류를 제조하기 위해 120억원을 투자하기로 했다.관광업 및 호텔운영 전문 기업인 터루는 장기간 휴업상태인 사천시 소재 남일대리조트를 인수하고, 약 3000억원을 투자하기로 했다. 200명 신규 고용이 이뤄질 전망이다.2023 경상남도 투자유치 설명회가 26일 오전 서울 웨스틴조선서울호텔에서 열렸다. /경남도.벽진에너지는 서부경남 경남항공국가산업단지 1호 투자협약 기업으로, 200억원을 들여 30명을 고용하는 투자를 진행한다.천연가스 운반용 강관 제조 전문기업인 두원하이스틸은 밀양시 삼랑진읍 일원에 강관 파이프 제조를 위한 공장을 신설하기로 하고, 525억원의 투자와 30명의 신규고용을 확정했다.엠에스씨는 건강기능식품 시장을 적극적으로 공략하기 위해 양산시 상북면 일원에 1360억 원 규모를 투자한다.경남도는 올해 조례 개정을 통해 대규모 투자기업 특별지원 확대, 부지매입비 무이자 융자지원 확대 등 전국 최고 수준의 인센티브를 제공하고 있다. 또 기업 애로에 적극적으로 대응하고, 투자전담기관인 경남투자청을 개청하는 등 투자유치를 위한 기반 마련에 총력을 기울이고 있다. 올해 9월 말 기준 121개사, 8조 5531억원의 투자유치를 달성했다. 민선 8기 들어서는 총 12조 7430억원의 투자유치를 이끌어냈다.김병규 경제부지사는 “경남은 항공우주, 방산, 원자력, 조성해양플랜트는 전국 1위, 기계산업 및 자동차 부품은 전국 상위권을 차지하는 대한민국 제조산업의 중심지다”며 “주요 선도 기업 유치 등 전략적 투자유치 활동을 통한 기회발전 특구 지정에도 적극적으로 대응해 경남에 투자를 선택한 기업인에 모든 혜택이 돌아갈 수 있도록 최선을 다하겠다”고 말했다."
2024-05-21,영업이익 무려 430배… 올해 1분기 실적 깜짝 우등생 기업은?,"1분기 실적 분석·2분기 전망그래픽=조선디자인랩·Midjourney올해 1분기(1~3월) 실적 발표 시즌이 마무리되는 가운데, 유가증권시장(코스피) 상장사들의 올해 1분기 매출, 영업이익, 순이익이 모두 지난해보다 증가한 것으로 나타났다.증권가에선 “실적을 이기는 지표는 없다”는 말이 있다. 지난 1분기 실적이 가장 좋았던 우등생은 누구일까? 오는 2분기 컨센서스(증권사 전망치 평균)를 통해 예측한 예비 우등생들은 누구일까? 올 상반기 코스피를 책임진, 그리고 책임질 기업들을 분석했다.그래픽=양진경1분기 우등생은 삼성전자… 깜짝 증가는 화승20일 한국거래소와 한국상장회사협의회에 따르면, 유가증권시장 12월 결산 700사 중 분석이 가능한 622사 가운데 올해 1분기 영업이익이 가장 높았던 기업은 삼성전자였다. 삼성전자의 영업이익은 전년 동기 대비 932% 증가해 6조6060억원을 기록했다. 지난해 수요 감소로 부진했던 반도체가 턴어라운드했기 때문이다.SK하이닉스도 반도체 훈풍에 힘입어 적자에서 흑자로 전환하며 영업이익이 2조8860억원으로 4위를 기록했다. 영업이익 2위는 3조5574억원을 기록한 현대차가 차지했지만, 아산공장 셧다운 등의 영향으로 전년 동기 대비 2.3% 감소했다. 반면, 기아 영업이익은 3조4257억원으로 전년 동기 대비 19% 증가해 3위에 올랐다.한편 영업이익 증가율만 보면 의외의 이름들이 나왔다. 영업이익 증가율 1위는 ‘화승인더스트리’였다. 1분기 영업이익이 120억원이었지만, 전년 동기 대비로는 4만2757%(약 430배) 증가했다. 박현진 신한투자증권 연구위원은 “아디다스 등을 고객으로 둔 신발 주문자상표부착생산(OEM) 기업인 자회사 화승엔터프라이즈가 지난해 공급 과잉을 조정하고 올해 높은 실적을 나타내면서 화승인더스트리 실적도 함께 급증했다”고 말했다.2위는CJ씨푸드였다. 전 세계적인 김 열풍으로, 김 수출이 급격히 늘어나며 전년 동기 대비 1만131% 증가해 13억3300만원의 영업이익을 기록했다. 3위는 이화산업으로 전년 동기 대비 5400% 증가한 8억8200만원을 기록했다. 이화산업은 식품 첨가물 및 섬유 염색 등을 다루는 화학 기업으로 경기 회복으로 이익이 증가했다.4위는NICE로 전년 동기 대비 4981% 증가한 256억원을 기록했다. 5위는 하이스틸로 전년 동기 대비 2100% 증가한 1억1100만원이었다. 해외 수출 물량이 증가한 것이 영향을 줬다.2분기 예비 우등생은 ‘아모레퍼시픽’그렇다면 증권사들이 예측한 2분기 예비 우등생은 누구일까?본지와 에프앤가이드가 증권사 3곳 이상의 컨센서스를 바탕으로 분석한 결과, 1위는 아모레퍼시픽이 차지했다. 2분기 영업이익이 전년 동기 대비 1369% 증가한 867억원을 기록할 것으로 추정됐다. 박은정 하나증권 연구원은 “중국에서의 손익 안정화와 내수 시장의 성장 전환, 북미·유럽에서의 고성장 등이 실적을 견인할 것으로 보인다”고 말했다.2위는SGC에너지였다. 전년 동기 대비 1293% 증가하며 418억원의 영업이익을 낼 것으로 추정된다. 박광래 신한투자증권 연구위원은 “유연탄 등 주요 원자재 가격의 안정화가 수익성 개선으로 이어질 전망”이라며 “플랜트 부문에서는 사우디아라비아와 말레이시아 등 해외 수주에 집중하면서 매출과 이익이 반등할 가능성이 높다”고 말했다.3위는S-Oil(에쓰오일)이었다. 전년 동기 대비 1152% 증가하며 4557억원을 기록할 것으로 보인다. 이진호 미래에셋증권 연구원은 “2분기에 정제 마진이 소폭 개선되고 원화 환율이 떨어져 이익이 늘어날 것으로 기대된다”고 했다.4위는 삼성전자였다. 전년 동기 대비 1124% 증가하며 8조1818억원의 영업이익을 거둘 것으로 추정된다. 김석환 미래에셋증권 연구원은 “반도체에 대한 실적 눈높이가 여전히 높은 상황”이라고 말했다.5위는HDC현대산업개발로, 전년 동기 대비 923% 증가하며 583억원을 기록할 것으로 보인다. 조정현IBK투자증권 연구원은 “매출과 영업이익이 모두 코로나 사태 이전 수준으로 회복하며 바닥권에서 회복하는 모습을 보여주고 있다”며 “특히 오는 9월 착공할 예정인 광운대 역세권 개발 사업으로 도약할 가능성이 높다”고 말했다."
2024-05-28,122m 협곡 아래 추락하고 생존… 美 19세 청소년의 기적,"미국에서 가장 큰 철도 교량 중 하나인 하이 스틸 브릿지. 사진 유튜브 채널'BoschVoyage'캡처미국 워싱턴주에서 10대 청소년이 철교를 걷다 122ｍ 아래 협곡으로 떨어졌으나 큰 부상없이 기적적으로 살아 돌아돌아왔다.NBC뉴스의 27일(현지시간) 보도에 따르면 올해 19세로 알려진 이 청소년은 지난 25일 미국에서 가장 큰 철도 교량 중 하나인 하이 스틸 브릿지 아래에 설치된 등산로를 지나가다가 협곡 아래로 추락했다.구조 작업에 나섰던 메이슨 카운티 보안관실은 ""이 청소년이 무려 122ｍ 높이에서 떨어졌음에도 팔에 약간의 상처만 입은 채 구조됐다""면서 ""현재는 근처 병원으로 옮겨진 상태""라고 밝혔다.소방대원들은 철교에 오른 후 밧줄과 하네스(밧줄에 몸을 고정하는 장비)를 협곡 아래로 내려보내 추락자의 몸에 고정한 후 끌어올리는 방식으로 청소년을 2시간 만에 구조하는 데 성공했다.사고가 일어난 길은 사고 위험으로 인해 폐쇄된 상태였다.이 지역 보안관실은 ""이 길이 가파르고 미끄러우며 안전하지 않다는 경고 문구가 곳곳에 달려 있지만 이를 보지 못하거나 무시한 사람들이 이 길에 들어섰다가 사고를 당하곤 한다""고 설명했다.이 길에서 추락하는 사람은 매년 5∼7명 정도인데, 대부분 사망한다고 한다.구조대는 ""이번에 구조된 청소년은 믿을 수 없을 정도로 운이 좋은 경우""라고 밝혔다."
2023-04-26,현대제철 “2030년까지 탄소배출 12% 감축”…넷제로 로드맵 발표,"안동일 현대제철 사장이 26일 탄소 배출량 감축을 담은 탄소 중립 로드맵을 발표하고 있다. 사진 현대제철현대제철이 2030년까지 탄소 배출량을 현 수준보다 12% 감축하는 ‘탄소중립 로드맵’을 26일 내놨다. 탄소 배출 감축은 2050년 넷제로(Net-Zero) 달성을 위한 중간 단계다.현대제철은 우선 제품의 품질을 유지하면서 저탄소화한 자동차용 고급 강재 생산을 목표로 전기로-고로 복합 프로세스 생산 체제를 구축할 계획이다. 1단계로 기존 전기로를 활용해 저탄소화한 쇳물을 고로 전로 공정에 혼합 투입하는 방식을 적용한다. 2단계에서는 현대제철 고유의 새로운 전기로를 신설해 2030년까지 탄소 배출이 약 40% 저감된 강재를 시장에 선보인다는 방침이다.현대제철 관계자는 “새로운 전기로에는 현대제철이 독자적으로 만든 저탄소 제품 생산체계인 ‘하이큐브 기술’이 적용된다”며 “전기로에 철 스크랩과 고로의 탄소중립 용선, 수소환원 직접환원철 등을 혼합 사용해 탄소 배출을 최소화하는 동시에 최고급 판재를 생산한다”고 설명했다.저탄소 제품들은 현대제철의 고유 브랜드인 ‘하이에코스틸(HyECOsteel)’을 붙여 글로벌 주요 고객에게 공급할 예정이다. 앞서 현대제철은 지난해 10월 세계 최초로 1.0기가 파스칼급 전기로 저탄소 고급 판재의 시험 생산에 성공한 바 있다.안동일 현대제철 사장은 “글로벌 선진국은 기후변화와 연계해 자국 산업 보호 및 경쟁력 선점에 주력하고 있다”며 “탄소중립은 선택이 아닌 필수이며 신성장 동력 확보와 지속가능한 친환경 철강사로 나아가기 위해 현대제철의 모든 역량을 집중하겠다”고 강조했다.한편 현대제철은 이날 올해 1분기 실적을 발표했다. 매출 6조3891억원, 영업이익 3339억원으로 흑자 전환했다."
2024-06-03,석유·가스 관련주 30%씩 뛰었다…'무더기 상한가' 전문가 우려도,"윤석열 대통령이 3일 오전 서울 용산 대통령실 청사 브리핑실에서 열린 국정브리핑에서 동해 석유·가스 매장과 관련해 설명하고 있다. 사진 대통령실동해 앞바다에 막대한 양의 석유와 가스가 매장돼 있을 가능성이 크다는 정부 발표에 3일 석유·에너지 관련 주가가 폭등했다. 윤석열 대통령은 이날 용산 대통령실에서 안덕근 산업통상자원부 장관이 배석한 가운데 국정브리핑을 열고 “경북 포항 영일만 앞바다에 막대한 양의 석유가 가스가 매장돼 있을 가능성이 높다는 물리탐사 결과가 나왔다”고 밝혔다.이 소식에 석유·에너지 관련 테마주가 일제히 상승했다. 이재원 신한투자증권 연구원은 “K-산유국 테마가 부각되며 석유·강관·피팅 등 관련 테마주가 급등했다”고 분석했다.━상한가 10개 중 7개는 석유·가스주한국거래소에 따르면 이날 가격제한폭까지 오른 10개 종목 중 7개 종목이 석유·가스 관련 종목이다. 유가증권시장에서 한국석유가 전 거래일 대비 29.98% 오른 1만7950원에 거래를 마쳤다. 대성에너지(29.91%) 동양철관(29.89%) 한국가스공사(29.87%) 한국ANKOR유전(29.74%) 등이 상한가 행렬에 동참했다. 이밖에 동방(27.78%) 하이스틸(19.91%) 포스코인터내셔널(18.93%)DSR제강(18.11%)SH에너지화학(16.61%)KIB플러그에너지(15.37%) 대성산업(15%) 등도 10% 넘게 올랐다.코스닥 시장에서는 흥구석유(30%) 화성 밸브(29.94%)가 상한가로 장을 마감하고, 중앙에너비스(29.51%) 대동스틸(27.91%) 등도 주가가 급등했다.윤 대통령은 “오늘 산업통상자원부에 동해 심해 석유 가스전에 대한 탐사시추 계획을 승인했다”며 “사전 준비 작업을 거쳐서 올해 말에 첫 번째 시추공 작업에 들어가면 내년 상반기까지는 어느 정도 결과가 나올 것”이라고 말했다. 안덕근 산업부 장관은 “동해 석유·가스 매장 가치는 삼성전자 시가총액의 5배 정도”라고 덧붙였다.다만 증권가에선 성과가 가시화하기까지 시일이 걸리는 만큼 투자에 주의가 필요하다는 지적이 나온다. 문경원 메리츠증권 연구원은 “발표된 자원량은 미국 액트지오사에 의뢰한 결과로 실제 매장량과 구별할 필요가 있다”며 “만약 사업이 시작되더라도 채굴 원가가 경제성이 있을지도 불확실하다”고 분석했다. 이어 “2027~2028년 탐사를 시작하면 상업적인 개발은 2035년부터 가능하다”며 “시추 이전까지는 결과를 예단할 수 없다”고 말했다.0초0초광고 후 계속됩니다.다음 동영상subjectauthor취소석유·가스 관련주 30%씩 뛰었다…'무더기 상한가' 전문가 우려도중앙일보재생4,256재생 (space/k)재생04:070:00:00재생 (space/k)재생음소거 (m)음소거00:00/04:07실시간설정전체 화면 (f)해상도자동 480p자막사용 안함재생 속도1.0x (기본)인기 구간 표시해상도자동 (480p)1080pHD720pHD480p360p270p144p자막설정사용 안함옵션글자 크기배경색재생 속도0.5x1.0x (기본)1.5x2.0x죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.도움말음소거 상태입니다.도움말라이선스디버그 정보 다운로드고화질 재생이 가능한 영상입니다.설정에서 해상도를 변경해보세요.더 알아보기00:00"
2024-06-07,"""상당히 유망"" 액트지오 고문 회견에도, 석유테마주 일제히 급락","이른바 '대왕고래 프로젝트'와 관련해 동해의 석유와 가스 매장을 분석한 미국 액트지오의 기자회견이 열린 7일 관련주가 일제히 급락했다.이날 오후 1시 3분 현재 한국가스공사의 주가는 3만9300원으로 전 거래일보다 10.07% 하락했다.대성에너지(-9.73%), 중앙에너비스(-4.38%), 한국ANKOR유전(-4.91%) 등도 일제히 내리고 있다.경북 포항 영일만 일대에 최대 140억배럴 규모의 석유·가스가 매장돼 있을 가능성이 있다고 분석한 미국 액트지오(Act-Geo)의 비토르 아브레우 대표가 7일 오전 정부세종청사 산업통상자원부 기자실에서 동해 심해 가스전 개발과 관련한 브리핑을 하며 물을 마시고 있다. 연합뉴스한국석유는 1800원(-7.73%) 내린 2만1500원에 거래되고 있다. 한국석유는 아스팔트 등 석유공업제품 생산기업으로 석유·가스 채굴과 관련이 없지만, '동해석유 테마주'로 묶이면서 최근 상승세를 이어갔다.실제 동해 심해 가스전 프로젝트를 추진하는 한국석유공사는 비상장 회사로 한국석유와는 관련이 없다.3거래일 연속 상한가 행진을 했던 강관업체 동양철관의 주가도 5.17% 하락한 1448원에 거래되고 있다. 하이스틸(-9.90%), 휴스틸(-8.55%), 세아제강(-4.05%) 등 강관업체 종목도 일제히 내리고 있다.하지만 한때 15%대까지 하락했던 동양철관의 주가는 이날 오후 1시15분 1.77% 하락한 1500원으로 회복하는 등 극심한 주가 변동성을 보여줬다.액트지오 설립자이자 소유자인 비토르 아브레우 고문은 이날 오전 정부세종청사에서 열린 기자회견에서 ""우리가 분석한 모든 유정이 석유와 가스의 존재를 암시하는 모든 제반 요소를 갖췄다""며 ""이 프로젝트의 유망성은 상당히 높다""고 말했다.이번 석유·가스전의 성공률로 '20%'의 수치가 제시된 것에 대해서는 ""굉장히 양호하고 높은 수준의 가능성을 의미한다""고 말했다.0초0초광고 후 계속됩니다.다음 동영상subjectauthor취소재생0재생 (space/k)재생00:000:00:00재생 (space/k)재생음소거 (m)음소거00:00/00:00실시간설정전체 화면 (f)해상도currentTrack자막사용 안함재생 속도NaNx인기 구간 표시해상도자막설정사용 안함옵션글자 크기배경색재생 속도0.5x1.0x (기본)1.5x2.0x죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.도움말음소거 상태입니다.도움말라이선스디버그 정보 다운로드고화질 재생이 가능한 영상입니다.설정에서 해상도를 변경해보세요.더 알아보기00:00"
2024-06-17,올해 국내주식 거래 ‘단타’ 58%…박스권 장세 장기화 영향,"71% 개인…외국인 17% 기관 10%17일 오전 서울 중구 하나은행 본점 딜링룸 현황판에 코스피, 원-달러 환율, 코스닥 지수가 표시돼 있다. 연합뉴스올해 국내 주식시장 거래의 절반가량이 주식을 구입한 날 바로 되파는 단타 매매(데이트레이딩)로 나타났다.17일 한국거래소에 따르면 올해 들어 6월13일까지 코스피시장과 코스닥시장의 데이트레이딩 거래량은 총 1020억9774만주로 전체 거래량(1752억3760만주)의 58%를 차지한 것으로 집계됐다. 이 기간에 데이트레이딩 거래대금은 총 1111조1139억원으로 전체 거래대금(2302조5862억원)의 48%로 나타났다. 데이트레이딩 금액 비중(총거래대금 대비)은 코스피가 40.1%, 코스닥이 57.1%로 나타났다. 올해 코스닥 거래대금에서 데이트레이딩이 차지하는 비중은 2005년 관련 집계를 시작한 뒤 최고치를 기록했다. 2022년과 2023년에는 각각 53%, 55%였다. 유가증권시장의 경우 최근 5년간 30∼40%대에 머물렀다.데이트레이딩 주체는 개인 투자자 비율이 높았다. 올해 코스피·코스닥 데이트레이딩 중 개인은 71.3%를 차지했고, 외국인과 기관이 각각 17.8%, 10.2%를 차지했다. 단타의 기승은 글로벌 증시가 강세장을 펼치는 와중에도 국내 증시는 장기간 박스권에 갇혀 상대적으로 부진한 데 따라 변동성이 큰 종목을 골라 짧게 사고파는 사례가 증가한 영향도 있는 것으로 보인다.올해 코스피 시장에서 데이트레이딩 비중이 높은 종목은 삼성공조(84%), 코오롱모빌리티그룹(80%), 동일고무벨트(79%), 비상교육(78%), 제주은행(78%), 한국석유(78%), 광전자(77%), 하이스틸(77%), 대영포장(76%) 순이었다. 코스닥 시장에서는 기업인수목적회사(SPAC·스팩) 종목들이 대부분 데이트레이딩 비중 상위권을 차지한 가운데, 노브랜드(89%), 씨씨에스(79%), 와이씨(75%), 신성델타테크(73%), 필옵틱스(70%), 제주반도체(68%) 등의 데이트레이딩 거래 비중이 상대적으로 높았다."
2022-05-01,5월2일 궂긴소식,"고 장이재 시조시인. 향년 94. 유족 제공◆ 장순하(시조 시인)씨 별세: 이재(시인) 안재 능재 규재(시인)씨 부친=1일 오전 2시12분 서울대병원. 발인 3일 오전 10시 한국시조협회장. (02)2072-2016.◆ 박양림씨 별세: 정재권(<한국방송> 이사, 전 <한겨레> 전략기획실장) 재원(부천 다니엘병원 소청과 과장) 지숙 선숙씨 모친, 박미라(작가) 김세정씨 시모, 이계일(호남대 행정처장) 이현민(조은손해사정사무소 대표)씨 장모=1일 오전 10시26분 연세대세브란스병원. 발인 3일 오전 11시20분. (02)2227-7556.◆ 박원상씨 별세: 준호(대상주식회사 홍보팀장) 진호(스튜디오BOB실장)씨 부친=30일 오후 12시5분 서울대병원. 발인 2일 오전 5시. (02)2072-2011.◆ 윤순애씨 별세: 박구서(하나로컨설팅 회장·전JW홀딩스 부회장)씨 모친=1일 오전 5시 중앙대병원. 발인 3일 오전 9시. (02)860-3501.◆ 정용희씨 별세: 김선진(플랫바이오 대표이사)씨 모친, 이상은(서울대 명예교수) 고병희(한양대 명예교수)씨 장모=30일 오전 6시30분 분당서울대병원. 발인 4일 오전 8시. (031)787-1510.◆ 김정혜씨 별세: 김성수(카카오 부회장·카카오엔터테인먼트 대표이사)씨 모친=30일 오전 서울성모병원. 발인 2일 오전 6시. (02)2258-5940.◆ 오병숙씨 별세: 김수용(한국전력 국제원자력대학원대학교 생활관장) 수완(디엠파트너스 이사)씨 모친, 김희옥(하나금융투자 청주지점 부장) 김규리(청주지방법원 근무)씨 시모=30일 오전 9시58분 청주 참사랑병원. 발인 2일 오전 9시. (043)298-9200.◆ 진귀임씨 별세: 장정석(프로야구KIA타이거즈 단장)씨 장모, 재영(프로야구 키움 히어로즈 선수)씨 외조모=30일 오전 6시25분 중앙대광명병원. 발인 2일 오전 6시. (02)2610-9472.◆ 김인구씨 별세: 맹윤(한화 글로벌부문 대표)씨 부친=29일 오후 8시 연세대세브란스병원. 발인 3일 오전 9시. (02)2227-7580.◆ 정필녀씨 별세: 민병권 병률(대화한의원 원장) 병우(<엠비시 플레이비> 이사)씨 모친, 신성미 노정수 김순란(T&C병리과의원 원장)씨 시모=1일 오전 3시 경남 양산 신세계병원. 발인 3일 오전 7시. (055)232-4334.◆ 고묘란씨 별세: 엄정헌(한일철강 회장) 정근(하이스틸 대표이사)씨 모친=30일 연세대세브란스병원. 발인 2일. (02)2227-7500.◆ 지순내씨 별세: 성용덕(삼일병원 성형외과 진료부장)씨 모친=4월 29일 대구 영남대병원. 발인 2일 오전 8시. (053)620-4670."
2024-06-07,액트지오 고문 회견 뒤 동해 석유 테마주들 10%대 급락,"경북 포항 영일만 일대에 최대 140억배럴 규모의 석유·가스가 매장돼 있을 가능성이 있다고 분석한 미국 액트지오(Act-Geo)의 비토르 아브레우 대표가 7일 오전 정부세종청사 산업통상자원부 기자실에서 발언 후 자리로 돌아가고 있다. 연합뉴스동해 심해 석유·가스 매장 분석을 담당한 미국 액트지오(Act-Geo) 고문이 서울에 와 기자회견을 연 7일 주식시장에서 ‘동해 석유·가스 테마주’들이 일제히 -10%대의 급락세를 연출하고 있다.이날 오후 1시30분 현재 한국거래소에서 강관업체인 동양철관 주가는 전 거래일 대비 7.33%(112원) 내린 1415원에 거래 중이다. 앞서 동양철관은 3거래일 연속 상한가를 기록했다. 하이스틸(-10.94%), 휴스틸(-10.18%), 대동스틸(-14.20%), 세기상사(-9.42%) 등 다른 강관업체 종목도 일제히 내리고 있다.한국석유도 전 거래일 대비 9.23% 하락한 2만1150원에 거래 중이다. 한국석유는 아스팔트 등 석유공업제품 생산기업으로 석유·가스 채굴과 관련이 없지만, 동해석유 테마주로 묶이면서 최근 상승세를 이어갔다. 실제 동해 심해 가스전 프로젝트를 추진하는 한국석유공사는 비상장 회사로 한국석유와는 관련이 없다.한국가스공사는 전 거래일 대비 10.07%(4400원) 내린 3만9300원에 거래 중이고, 대성에너지(-9.89%), 중앙에너비스(-4.38%), 한국ANKOR유전(-7.64%), 흥구석유(-0.86%) 등도 일제히 내리고 있다.액트지오 설립자이자 소유자인 비토르 아브레우 고문은 이날 오전 정부세종청사에서 기자회견을 열고 “우리가 분석한 모든 유정이 석유와 가스의 존재를 암시하는 모든 제반 요소를 갖췄다. 이 프로젝트의 유망성은 상당히 높다”며, 이번 석유·가스전의 성공률로 20%의 수치가 제시된 것에 대해 “굉장히 양호하고 높은 수준의 가능성을 의미한다”고 말했다."
