date,title,content
2024-12-19,[경제계 인사] 하이트진로 외,▲하이트진로▷전무 오성택▷상무 이정훈 백명규▲키움증권▷상무 김경주▲키움투자자산운용▷상무 박세중▲키움캐피탈▷상무 김우석▲한국토지신탁▷사장 김성진▷부사장 정명량▷전무 심창우 김치완 배효진
2024-11-13,"하이트진로, 3분기 영업 이익 61.5%↑... “신제품 출시 등 효과”","하이트진로가 올해 3분기 두 자릿수 영업이익 신장률을 달성했다.13일 금융감독원 전자공시시스템에 따르면 하이트진로는 올해 3분기 연결 기준 702억 원의 영업이익을 기록해 전년 동기 대비 61.5% 늘었다. 같은 기간 매출은 4.8% 증가한 6857억 원으로 나타났다.하이트진로 대표 제품 '일품진로' 광고 속 가수 이효리. /유튜브특히 맥주 판매에서 영업이익이 크게 늘었다. 이 기간 맥주 매출은 4.3% 증가한 2457억 원을 기록했으며, 영업이익은 409.2% 늘어난 211억 원으로 나타났다. 소주 매출은 5.4% 증가한 3770억원을, 영업이익은 53.6% 늘어난 481억 원을 기록했다.3분기 누적 기준으로는 영업이익은 전년 동기 대비 98.6% 증가한 1868억 원을, 매출은 3.8% 증가한 1조 9721억 원을 기록했다. 구체적으로 3분기 누적 맥주 매출은 2.2% 증가한 6446억 원을 달성했으며, 영업이익은 387억원을 기록하며 흑자 전환에 성공했다. 소주 매출은 5.4% 증가한 1조1530억 원을, 영업이익은 54.6% 증가한 1447억 원을 기록한 것으로 나타났다.하이트진로 측은 “올해 마케팅 비용 효율화로 영업이익을 개선할 수 있었다”며 “전체 주류 시장 규모가 줄었음에도 신제품 출시 등으로 매출 또한 3분기 연속 성장 중”이라고 말했다.하이트진로는 지난 5월 출시한 프리미엄급 증류식 소주 ‘일품진로 오크25′, 지난 7월 출시한 맥주 ‘테라 라이트’ 등 신제품을 연이어 출시하고 있다."
2024-10-25,로제 신곡 ‘아파트’ 덕분… 하이트진로 6% 급등,"걸그룹 블랙핑크 멤버 로제가 발표한 신곡 ‘아파트(APT.)’의 글로벌 인기에 덩달아 국내 주류 업체인 하이트진로의 주가가 24일 6% 급등했다.24일 한국거래소에 따르면, 하이트진로는 이날 6% 상승한 2만1200원에 거래를 마쳤다. 올 들어 지난 2월 2일(6.59%) 이후 가장 높은 주가 상승률이었다.하이트진로의 주가 급등은 최근 로제의 신곡을 홍보하는 미국 잡지사 영상에서 이 회사 소주인 ‘참이슬’이 노출된 점이 주요인으로 작용했다. 로제는 영상에서 ‘참이슬 오리지널’과 벨기에 맥주를 섞어 소맥(소주와 맥주의 혼합주)을 만드는 모습을 보였다. 해당 영상은 24일 268만회의 조회 수를 기록하고 있는데, 곡의 인기가 치솟자 영상 속 국내 소주 브랜드에도 관심이 쏠린 것으로 분석된다.로제의 ‘아파트’는 한국 술 문화, 아파트 게임 등이 음악에 녹아들어 있는데, 22일 세계 최대 음원 플랫폼 스포티파이 글로벌·미국 차트 1위에 오르는 등 글로벌 인기를 끌고 있다. 한편 하이트진로는 ‘K소주’를 내세우며 일본·미국 등에 소주를 수출하고 있으며, 2022년 소주 단일 품목으로 수출 1억달러를 기록하기도 했다."
2024-07-09,"100년 전 ‘眞露'가 돌아온다… 하이트진로, ‘진로 오리진 에디션’ 출시","1924년 진천양조상회에서 출시됐던 최초의 ‘眞露(진로)’가 돌아온다. 올해 창립 100주년을 맞은 하이트진로가 100년 전 사용했던 라벨 디자인을 현대적으로 재해석한 ‘진로 오리진 에디션’을 한정 출시한다고 9일 밝혔다.하이트진로가 9일 출시한 '진로 오리진 에디션'.창립 100주년을 기념해, 1924년 진로 최초 출시 당시의 라벨을 현대적으로 재해석해서 적용했다. /하이트진로진로 오리진은 1924년에 선보였던 진로의 최초 라벨을 적용한 소주 제품이다. 도수와 가격은 기존 진로와 동일하다. 1924년 출시 당시의 라벨에 ‘진로 100주년 기념 한정판’ 문구와 1924, 2024를 표시해 100주년의 의미를 강조했다. 원래 라벨에 그려져 있던 원숭이는 진로의 대표 상징인 두꺼비로 바꿨지만, 전체 수량의 3%는 원숭이와 두꺼비가 함께 그려진 ‘럭키 라벨’로 출시해 찾는 재미를 더했다.하이트진로는 진로 에디션을 11일부터 한정 수량으로 판매한다. 하이트진로 오성택 마케팅실 상무는 “진로 오리진 에디션이 진로 브랜드의 오랜 역사와 가치를 재조명하는 기회가 될 것으로 기대한다”며 “소주의 원조로 다양한 세대와 지속적으로 소통하고 사랑에 보답하도록 노력하겠다”고 밝혔다."
2024-06-02,"하이트진로 25일간 점거한 노조 간부들, 1심 징역형 집행유예","지난 2022년 8월 22일 전국민주노동조합총연맹(민주노총) 공공운수노조 화물연대가 점거 농성 중인 서울 강남구 하이트진로 본사에 현수막이 걸려 있다. /뉴스1서울 강남구에 있는 하이트진로 본사를 25일간 불법 점거한 민주노총 공공운수노조 화물연대 간부 등이 1심에서 징역형 집행유예를 선고받았다.2일 법조계에 따르면, 서울중앙지법 형사25단독 김지영 판사는 폭력행위처벌법상 공동주거침입·업무방해 혐의로 기소된 김경선 당시 민주노총 공공운수노조 화물연대 대전지역본부장과 박수동 하이트진로지부 지회장 등 4명에게 각각 징역 1년에 집행유예 2년을 선고했다.이들은 지난 2022년 8월 16일부터 9월 9일까지 25일간 강남 청담동의 하이트진로 건물에 무단 침입해 로비와 옥상을 점거한 채 농성을 한 혐의로 기소됐다. 노조 간부들은 회사에 운송료 인상, 해고자 복직 등을 요구하며 40여명의 노조원을 동원해 사옥을 봉쇄하고 본사를 점거했다.김 전 본부장 등은 이 과정에서 회사로 들어오려는 직원들에게 “신나통을 들고 올라가 있다” “문 열지 말라. 사람이 죽는다”고 위협한 것으로 조사됐다. 다만 현장에서 시너 등 인화성 물질이 발견되진 않은 것으로 알려졌다.김 판사는 “조합원을 동원해 피해자 회사 사옥에 무단 침입해 업무를 방해한 수법과 위험성에 비춰 피고인들의 죄책이 가볍지 않다”며 “김 전 본부장의 경우 (지위에 비춰) 영향력이나 파급력도 상당하다”고 했다.김 판사는 양형에 대해 “피고인들이 피해자 회사와 합의한 점, 범행 동기, 범행 후의 정황 등을 고려해 형을 정했다”고 설명했다.검찰과 피고인들 모두 1심에 항소한 것으로 전해졌다."
2024-05-07,"‘점액질 맥주’ 정체는 필라이트 후레쉬… 하이트진로, 자진 회수","창고형 대형마트에서 구매한 캔맥주에서 점액질이 발견됐다. /JTBC최근 한 맥주에서 ‘콧물 같은 점액질’이 나왔다는 소비자 제보가 이어져 논란이 인 가운데, 해당 제품이 하이트진로의 필라이트 후레쉬인 것으로 드러났다. 하이트진로는 7일 직접 보도자료를 내고 문제 제품이 생산된 당일의 맥주를 자진 회수했다고 밝혔다.하이트진로는 이날 홈페이지에 올린 사과문에서 “지난 3월 13일과 25일 강원공장에서 생산된 일부 필라이트 후레쉬 355㎖ 캔 제품에 대해 이취 및 혼탁 등이 발생해 소비자 클레임이 접수됐다”며 “당사는 4월 22일경 해당 사안에 대해 인지하게 됐으며, 인지 즉시 해당 날짜 제품들에 대해 출고 정지는 물론 기 출고된 제품의 회수를 적극적으로 시행했다”고 했다. 이어 “예방적 차원에서 4월 3일, 17일 생산 제품에 대해서도 자진 회수하는 것과 함께, 해당 공장의 생산 라인을 점검했다”고 했다.하이트진로는 제품에서 발생한 문제에 대해선 “현재까지는 공정상의 일시적인 문제로, 젖산균이 원인이며, 다당류의 탄수화물과 단백질이 결합하며 발생한 것으로 인체에는 무해한 것으로 파악됐다”고 했다.하이트진로는 끝으로 “이번 일을 계기로 소비자 여러분들과 거래처 분들께 완벽한 제품을 공급해 드리기 위해 더욱 노력하겠다”며 “또 소비자는 물론 거래처에 어떤 피해도 가지 않도록 철저하게 점검하고 적절한 조처를 할 수 있도록 최선을 다하겠다. 진심으로 사과드린다”고 했다.앞서 지난 3일JTBC사건반장에는 대형마트에서 24개들이 캔맥주 3박스를 구입했는데, 이 가운데 여러 캔에서 끈적한 점액질이 발견됐다는 제보가 전해졌다. 당시 제보자는 “처음엔 팔보채처럼 보였고 시간이 지나니 콧물처럼 됐다”고 했다.이후 온라인상에도 비슷한 제보가 이어졌다. “몇 년 째 마시고 있는 맥주인데 최근에 두 번이나 이런 점액질이 나왔다” “대형마트에서 보냉팩 안에 넣어서 파는 제품을 샀는데 몇 캔에서 나와서 고객센터에 접수했다” “저도 같은 대형마트에서 두 박스 구매했는데 두 캔이 그렇다” 등이다. 이들의 공통점은 모두 같은 제품의 맥주를 창고형 형마트에서 구매했다는 점이었고, 제조일은 올해 3월 13일, 25일 등이었다."
2024-04-03,‘일감 몰아주기’ 박태영 하이트진로 사장 집유 확정,"하이트 진로.편법 승계를 위해 총수 일가 소유 계열사에 일감을 몰아준 혐의로 기소된 박태영 하이트진로 사장이 대법원에서 유죄를 확정받았다.대법원 1부(주심 노태악 대법관)는 공정거래법 위반 혐의로 기소된 박 사장에게 징역 1년 3개월에 집행유예 2년을 선고한 원심을 확정했다고 3일 밝혔다. 80시간의 사회봉사 명령도 확정했다. 양벌규정(임직원의 위법행위 책임을 법인도 함께 물리는 것)에 따라 기소된 하이트진로 법인은 벌금 1억5000만원이 확정됐다.이 사건은 공정거래위원회가 하이트진로의 일감 몰아주기를 적발해 과징금을 부과하고 박 사장 등을 검찰에 고발하면서 시작됐다. 하이트진로는 지난 2008년부터 2017년까지 박 사장이 최대 주주로 있는 생맥주 기기 납품업체 서영이앤티에 약 43억원 상당의 일감을 몰아준 혐의로 기소됐다. 박 사장은 하이트진로 총수 박문덕 회장의 장남이다.박 사장이 받은 혐의는 크게 세 가지다. 먼저 맥주용 공캔을 납품하던 삼광글라스로부터 맥주캔의 원재료인 알루미늄코일을 구매하는 과정에 서영이앤티를 끼워 넣어 ‘통행세’를 받았다는 혐의다. 또 글라스락 캡(밀폐용기 뚜껑)을 거래하는 과정에도 서영이앤티를 끼워 넣었다는 혐의다. 서영이앤티가 자회사 서해인사이트 주식을 고가에 매각하도록 하이트진로가 우회 지원한 혐의도 받았다. 하이트진로 법인은 자회사에 인력을 부당하게 지원한 혐의를 받았다.1심은 박 사장에게 징역 1년6개월에 집행유예 2년을 선고하고 120시간의 사회봉사를 명령했다. 1심 재판부는 서해인사이트 주식을 고가에 매각하도록 한 혐의만 무죄로 판단하고 나머지는 모두 유죄로 판단했다.그러나 2심은 삼광글라스로부터 알루미늄코일을 구매하는 과정에 서영이앤티를 끼워 넣었다는 혐의에 대해서도 무죄로 판단했다. 재판부는 “피고인들이 직접 서영이앤티에 대한 부당지원행위를 한 것이 아니라 삼광글라스가 부당지원행위를 행하도록 교사한 것”이라며 “코일 거래 당시 시행 중이던 옛 공정거래법상 별도의 처벌 규정이 없었으므로 형사처벌의 대상이 될 수 없다”고 했다. 부당 지원을 하도록 교사한 행위는 처벌할 수 없다는 것이다.2심 재판부는 형량을 낮춰 징역 1년3개월에 집행유예 2년을 선고하고 80시간의 사회봉사를 명령했다. 대법원도 원심 판단이 옳다고 이를 확정했다.재판부는 “이 사건은 하이트진로 총수의 2세인 박태영의 경영권 승계를 위해 지배구조를 변경한 것”이라며 “피고인들이 공정거래법 위반을 인식하면서도 회피하는 방법을 모색했다는 점에서 죄질이 매우 좋지 않다”고 했다. 다만 “2심에 이르러 자백하고 반성하고 있는 점, 하이트진로 법인이 사회 과징금을 납부하고 리스크 관리 시스템을 도입하는 점 등을 고려해 형을 정했다”고 했다.한편 박 사장과 함께 기소된 김인규 하이트진로 대표이사은 징역 8개월에 집행유예 1년을, 김창규 전 상무는 징역 4개월에 집행유예 1년을 확정받았다."
2024-03-15,"하이트진로, 제로슈거·저도수 '진로골드' 내놓아","하이트진로, 소주 신제품 ‘진로골드’ 출시하이트진로가 기존 ‘진로’의 정통성을 살리면서 제로슈거와 저도수 신제품 ‘진로골드’를 내놓는다고 15일 밝혔다.진로골드는 과당을 사용하지 않은 제로슈거 소주로 하이트진로는 “쌀 100% 증류원액을 첨가해 부드러운 맛을 극대화했다”고 설명했다. 도수는 15.5도로 낮췄다.진로골드는 병(360ml) 제품만 우선 출시한다. 오는 21일 첫 출고 이후 전국 유흥채널과 가정채널에서 판매할 예정이다.오성택 하이트진로 마케팅실 상무는 “진로 브랜드의 특징을 살리면서 최근 소비자들의 입맛 변화를 반영한 제품”이라고 말했다."
2023-11-09,"오늘부터 참이슬 가격 오른다…하이트진로, 출고가 약 7% 인상","8일 오후 서울 시내 한 대형마트에 주류가 진열돼 있는 모습. /연합뉴스소주 업계 1위인 하이트진로는 9일부터 자사의 소주 가격이 인상된다고 밝혔다. 하이트진로가 소주 가격을 올리는 것은 1년 8개월 만이다. 앞서 지난달 맥주 업계 1위 오비맥주도 가격 인상을 한 바 있다. 주류 업계가 잇따라 맥주·소주 출고가를 올리면서 식당·주점 등에서도 주류 가격이 오를 것으로 예상된다.하이트진로는 자사의 소주 대표 브랜드 참이슬 후레쉬와 참이슬 오리지널 출고가가 이날부터 6.95% 인상된다고 밝혔다. 360㎖ 병 제품과 1.8L 미만 페트류 제품이 인상 대상이다. 농어촌 중심의 소비가 많은 담금주를 포함한 1.8L 이상의 페트류 제품과 일품진로 등은 이번 인상에서 제외됐다.하이트진로 관계자는 “연초부터 소주의 주원료인 주정 가격이 10.6% 인상되고 신병 가격은 21.6%나 인상되는 등 원부자재 가격, 물류비, 제조경비 등 전방위적으로 큰 폭의 원가 상승 요인이 발생했다”며 “정부의 물가안정 노력에 발맞추고 소비자들의 부담을 최소화 하는 선에서 인상률을 결정했다”고 설명했다.하이트진로는 소비자가 소주 제품을 직접 구입할 수 있는 대형할인매장, 농협하나로마트, 개인대형 슈퍼마켓 매장에서 다양한 가격할인 행사를 실시해 연말까지 가격인상에 대한 소비자 체감을 최소화 할 수 있도록 노력하겠다고 밝혔다."
2023-10-31,"소주 가격 오른다... 하이트진로, 참이슬 가격 6.95% 인상","21일 서울시 마포구 합정동에 있는 한 일본식 선술집 메뉴판. 소주인 참이슬 한 병 가격이 7000원이다. /조선DB국내 맥주 업계 1위인 오비맥주가 이달 맥주 가격을 인상한데 이어 소주 업계 1위인 하이트진로도 다음달부터 소주 출고가를 인상한다. 가격 인상을 자제해왔던 주류 업계가 잇달아 가격을 올리면서 연말을 앞두고 식당 등에서 판매하는 주류 가격이 인상될 것으로 예상된다.하이트진로는 다음달 9일부터 참이슬 후레쉬와 참이슬 오리지널 출고가를 6.95% 인상한다고 31일 밝혔다. 360mL병과 1.8L 미만 페트류가 인상 대상이다. 농어촌 중심의 소비가 많은 담금주 등 1.8L 이상의 페트류 제품과 일품진로 등은 이번 인상에서 제외했다.하이트진로 관계자는 “연초부터 소주의 주원료인 주정 가격이 10.6% 인상되고 신병 가격은 21.6%나 인상되는 등 원부자재 가격, 물류비, 제조경비 등 전방위적으로 큰 폭의 원가 상승 요인이 발생했다”며 “정부의 물가안정 노력에 발맞추고 소비자들의 부담을 최소화 하는 선에서 인상률을 결정했다”고 말했다.하이트진로는 가격 인상 전에 주류 취급 거래처들이 재고를 확보할 수 있도록 물량을 충분히 공급하고, 소비자들이 직접 소주를 구입하는 대형할인매장과 슈퍼마켓 등에서 가격 할인 행사를 실시해 체감 인상률을 낮춘다는 계획이다. 가격 인상 이후부터 연말까지 판매한 참이슬과 진로 소주 1병당 30원을 적립해 요식업소 자녀 대상 장학사업과 건강증진상품권 지원 등을 하고, 거래처에 필요한 물품을 지원할 예정이다."
