date,title,content
2024-06-10,오너의 딸 회사에 '불법 인력 지원'한 한국콜마 계열사…과징금 5억원,"한국콜마한국콜마 그룹 소속 계열사가 그룹 오너의 딸이 소유한 회사에 대해 부당한 ‘인력 지원’을 한 혐의로 공정거래위원회로부터 과징금 약 5억원을 부과받았다.공정위는 한국콜마 소속의 화장품 제조사 에치엔지가 자회사인 케이비랩을 부당 지원한 혐의에 대해 과징금 5억1000만원과 시정명령을 부과했다고 10일 밝혔다. 케이비랩은 윤동원 한국콜마 회장의 딸인 윤여원 콜마비앤에이치 대표가 소유한 회사로, 화장품 브랜드 ‘랩노’의 판매를 위해 2016년 설립됐다.공정위에 따르면, 에치엔지는 지난 2016~2020년 약 4년 간 임직원들을 케이비랩에 파견 근무하도록 했다. 윤 대표는 케이비랩을 2018년 인수했다. 파견 인력은 연도별로 4~15명 규모였다. 이 과정에서 윤 대표는 인력지원의 세부적인 사항까지 직접 결정한 것으로 알려졌다.해당 기간 동안 에치앤지는 이들 파견 인력에 대한 인건비 약 9억여원을 케이비랩 대신 지급했다. 케이비랩이 지급한 인건비는 총 7200만원에 그쳤다. 케이비랩은 영업·마케팅 분야의 업무 노하우을 갖춘 파견 인력을 활용, 경쟁사에 비해 상당히 유리한 조건에서 영업할 수 있었다는 것이 공정위 판단이다.실제 케이비랩의 매출액은 2016년 4200만원에서 2019년 약 25억원으로 3년 간 60배 이상으로 늘었다.공정위 관계자는 “이번 조치는 총수 일가의 개인회사에 대한 지원행위가 은밀하게 이뤄질 수 있는 중견 기업집단의 부당지원행위를 적발해 제재한 것”이라며 “대기업집단 뿐 아니라 시장 감시의 사각지대에 있는 중견기업집단에 대한 부당지원행위도 지속적으로 감시할 것”이라고 말했다."
2024-10-08,"한국콜마, 서울대 인문대에 2억원 기부","한국콜마는 지난 7일 서울대학교 발전재단에 인문대학 발전 기금 2억원을 기부했다고 8일 밝혔다. 사진은 오른쪽부터 최현규 한국콜마 대표이사, 김성애 여사, 유홍림 서울대학교 총장, 허현행 한국콜마 부사장. /한국콜마화장품 위탁생산업체인 한국콜마가 서울대 인문대에 2억원을 기부했다고 8일 밝혔다. 기부금은 서울대 인문대학 건물 증축과 인문학 도서관 설립을 위해 쓰인다. 평소 인문학의 중요성을 강조해온 윤동한 한국콜마 회장은 2008년 서울대 인문대 최고지도자 인문학 과정을 수료했다. 2021년 대구가톨릭대에 신설된 ‘이순신 학과’ 1호 박사이기도 하다. 아내 김성애 여사도 2010년부터 우송 김학봉 한국학 기금 1억5000만원, 무궁화길 조성 사업기금 1000만원을 후원하는 등 서울대 인문대에 지속적인 기부 활동을 펼쳐왔다."
2023-01-26,"한국콜마, 세종에 공장 신설 AI기술로 색조화장품 증산","한국콜마가 세종시에 인공지능(AI) 기술이 적용된 화장품 생산 공장을 새로 짓는다. 오는 30일부터 실내 마스크 착용 의무가 해제되면서 장기적으로 색조 화장품 수요가 늘어날 것에 대비한 것이다.한국콜마는 세종시 전의면에 약 5만8895㎡ 넓이의 부지를 확보해 연간 2억2000만개 화장품 생산이 가능한 공장을 짓겠다고 25일 밝혔다. 100% 재생에너지로 가동되는 친환경 물류센터도 들어선다. 올 1분기 착공해 2024년 준공 예정이다. 신공장이 가동에 들어가면 한국콜마의 국내 기초·색조 화장품 생산 능력은 연간 8억700만개까지 늘어난다. 특히 색조 화장품 생산 능력은 기존보다 약 80% 늘어난다.신축 공장에는AI기술이 적용된다. 한국콜마는 “화장품 제조 탱크 내부의 온도, 압력, 작업 시간과 같은 제조 공정의 각종 요소를 데이터로 가공해 축적해왔다”며 “이렇게 쌓인 데이터를AI가 분석해 불량률이 낮은 최적의 공정을 찾아내고, 이를 품목별로 표준화해 신규 공장에 적용할 예정이다”고 밝혔다.신공장은 화장품 제조 과정에서 돼지 관련 원료나 금지 성분을 함유하지 않은 할랄(이슬람 율법) 인증도 받을 계획이다. 성장 가능성이 큰 화장품 시장인 중동·동남아 진출을 위해서다."
2022-05-18,"한국콜마, 세계 콜마의 주인됐다",원조기업 ‘美 콜마’로부터상표권 100% 인수해한국콜마 종합기술원. /한국콜마 제공미국 브랜드 이름을 따 출발한 한국콜마가 ‘콜마’라는 상표의 주인이 됐다.한국콜마는 17일 콜마의 원조 기업 미국콜마로부터 ‘KOLMAR’상표권을 100% 인수했다고 밝혔다. 윤상현 한국콜마 부회장은 “100년 전 미국에서 시작된 콜마 브랜드의 주인이 한국 기업으로 바뀐 것”이라며 “창립 32년 만에 한국콜마가 전 세계 콜마 브랜드의 중심이 됐다”고 했다. 상표권 인수 가격은 공개하지 않았다.콜마는 1921년 미국 위스콘신주 밀워키에서 시작된 화장품ODM(제조자 개발 생산) 전문 기업이다. 사업 모델이 성공하자 일본·이탈리아 등 전 세계 13국에서 이를 본따 ‘콜마’라는 이름의 화장품ODM기업들이 생겨났다. 한국콜마는 1990년 일본콜마와 합작 법인으로 세워졌다. 미국콜마와 지분 등 직접적 관계는 없었지만 각 나라의 콜마 소속 연구진들이 매년 학술 활동 등을 통해 교류를 해왔다.한국콜마는 2007년 독자적으로 중국 베이징에 베이징콜마를 설립했다. 이후에도 지속적인 해외 투자 끝에 ‘콜마’라는 브랜드 자체를 소유하게 됐다. 한국콜마는 미국 법인PTP도 ‘KOLMARUSA’로 이름을 바꿀 예정이다. 미국콜마는 앞으로 다른 이름으로 화장품ODM이 아닌 별도의 사업을 진행할 것으로 알려졌다.
2024-02-03,"윤동한 한국콜마 회장, 문경 순직 소방관 유족에 2억원 위로금","윤동한 한국콜마 회장, 문경 화재 순직 소방관 유족에게 2억원 위로금/경북도윤동한 한국콜마 회장이 3일 “문경 화재 진압 도중 숨진 문경소방서 故김수광(28) 소방장과 박수훈(36) 소방교 유족에게 각각 1억원 씩 총 2억원의 위로금을 전하고 싶다”는 뜻을 경북도에 밝혔다.한국 콜마는 1990년 설립된 국내 최초 화장품 제조업자 개발생산(ODM) 기업이다.경북도에 따르면 윤 회장은 지난 2일 이철우 경북도지사에게 “국민을 위해 자기 몸을 내던진 고인들의 숭고함에 큰 감명을 받았다”며 “그들의 깊은 뜻을 기리고 소중한 가족을 잃은 유족이 안정을 찾는 데 도움이 되기를 바란다”고 말했다.이 지사는 “우리 사회가 공동체를 위해 희생한 분의 유가족을 따뜻하게 보듬어야 하는데 도와주신다고 하니 고맙다”며”순직한 분들의 고귀한 희생을 잊지 않고, 국민께서도 두 영웅을 기억할 수 있게 노력하겠다”고 답했다.경북도는 순직 소방관들의 모든 장례 절차를 끝낸 이후 관계기관, 유가족과 협의 후 성금의 전달 방식을 결정할 예정이다.지난달 31일 경북 문경 육가공 제조 공장 화재 현장에서 순직한 문경소방서 119구조구급센터 소속 故 김수광 소방교(왼쪽)와 故 박수훈 소방사의 모습. /경북소방본부순직한 두 소방관의 유해는 이날 오전 영결식 이후 문경 지역 화장장인 예송원으로 운구돼 화장을 거친 뒤 국립대전현충원에 안장된다. 이들을 추모하기 위해 문경소방서와 구미소방서, 상주소방서, 경북도청 등 4곳에 마련된 분향소는 오는 5일까지 운영된다.두 소방관은 지난달 31일 오후 7시 47분쯤 경북 문경시 신기동 신기산업단지 육가공공장 화재 현장에 출동했다가 숨을 거뒀다. 이들은 “건물 안에 사람이 있을 수도 있다”는 말을 듣고 공장 안으로 들어가 인명을 찾던 중 갑자기 번진 화마를 피하지 못한 것으로 조사됐다."
2024-08-24,이순신학과 ‘1호 박사’ 된 77세 K뷰티 전도사,"한국콜마 창업주 윤동한 회장, 대구가톨릭대서 문학박사윤동한 한국콜마 회장이 지난해 8월 경기 여주에 있는 자택 서재에서 논문 작성 작업을 위해 수집한 각종 충무공 관련 자료들을 책상 위에 쌓아 놓고 포즈를 취하고 있다. /한국콜마충무공 이순신의 철학과 업적을 학문으로 연구하는 ‘이순신 학과(學科)’의 1호 박사가 배출됐다. 1947년생, 일흔일곱 나이에 대구가톨릭대 이순신학과에서 ‘고하도·고금도 지리적 이점을 활용한 이순신의 승리 전략 연구’라는 주제로 161쪽 분량 학위 논문을 쓴 박사다.2022년 대구가톨릭대 일반대학원에 신설된 ‘이순신학과’도 생소하지만, ‘1호 박사’의 이력도 특이하다. 작년 연 매출 2조원에 달하는 화장품·제약기업 한국콜마 창업주 윤동한(77) 회장이 그 주인공이다. 한국콜마는 로레알, 에스티로더, 아르마니, 키엘 등 세계적 화장품 브랜드의 주문을 받아 제조업자개발생산(ODM) 방식으로 만들어 공급한다. 연간 국내외 900여 고객사의 기초 화장품 4억5000만개를 만든다. 코스맥스와 함께 ‘K뷰티’ 제조 강자이자 세계적인 화장품 제조 전문기업으로 꼽히는 회사다.1990년 한국콜마를 창업해 이같이 성장시킨 윤 회장은 대구가톨릭대 제약공학과에선 ‘석좌교수’지만, 지난 2년간 이순신학과에선 박사과정 학생으로 논문을 썼다. 지난 22일 학위수여식에서 ‘이순신학(문학) 박사’ 학위를 받은 윤 회장과 23일 전화 인터뷰를 통해 ‘왜 이순신이었나’에 대해 들어봤다.그는 “1990년 안정적인 직장을 나와 창업할 때 롤모델을 찾다가 이순신을 접했다”며 “육지에서 생활할 수 있는 병마절도사 자리를 포기하고 수군절도사를 고집하며 결국 나라를 지켜낸 그의 발자취를 보고, 그를 따라 ‘한길’만 집중하면 기업도 성공할 것이라고 생각했다”고 했다. 그는 2017년 이순신의 자(字) ‘여해’를 딴 서울여해재단을 만들고, 이순신을 주제로 책도 두 권이나 쓴 ‘이순신 마니아’다.윤 회장은 “그간 한국에서 이순신 연구는 해전(海戰) 전략, 군사 측면에만 집중돼 아쉬움이 있었다”며 “박사 논문에선 군사, 지리, 행정, 인사, 재정 등 다방면 통달한 종합 경영인으로 이순신을 조명하고자 했다”고 말했다. 2008년 수원대 경영학 박사, 지난 2월 세종대 명예 이학 박사에 이어 세 번째 박사 학위다. 윤 회장은 영남대 경영학과 졸업 후 농협을 거쳐 1974년 대웅제약에 입사해 초고속 승진을 거듭해 1988년 부사장으로 승진했다. 1990년 직원 단 3명과 함께 한국콜마를 창업했다.윤 회장은 책으로만 이순신을 접하지 않고 이순신의 발자취가 남은 곳을 수차례 찾았다. 논문 주제로 삼은 전남 목포시 고하도, 완도군 고금도 모두 마찬가지다. 윤 회장이 20여 년 전부터 셀 수도 없이 수차례 찾았던 두 섬은 이순신이 머무르며 전략 기지로 삼았던 곳이다. 고하도는 서해와 남해가 만나는 지점으로, 이곳을 사수하지 못하면 호남의 곡창 지대를 왜구에 내어주는 전략 요충지였다. 이곳에서 자란 소나무는 함선 건조에도 적합했다. 윤 회장은 “이순신은 해전에만 강했던 게 아니라 지리에도 밝았고, 병참기지 조성까지 통달한 리더였기 때문에 논문도 이런 복합적인 측면을 조명할 수 있는 주제로 정했다”고 했다. 인문지리를 전공한 이상율 교수가 지도교수를 맡았다.윤 회장은 대한민국학술원, 서울대 규장각 도서관을 찾아 문헌 연구를 했고, 고하도·고금도를 수차례 오가며 논문을 썼다. 윤 회장은 “논문을 쓰면서 원문 연구를 깊이 있게 했으면 하는 아쉬움도 있었지만 경영인 관점에서 이순신을 다방면으로 접근했다는 건 장점”이라고 했다.윤 회장은 경영인 시각으로 이순신을 연구해 앞서 책도 두 권이나 냈다. 2019년 이순신의 멘토 ‘80세 현역 정걸 장군’을 썼고, 2022년에는 충무공의 어머니 초계 변씨를 다룬 ‘조선을 지켜낸 어머니’를 출간했다.지난 22일 대구가톨릭대 학위수여식에서 윤동한 한국콜마 회장이 이순신학(문학) 박사 학위를 받은 뒤 성한기 총장과 악수하고 있다. /한국콜마대구가톨릭대가 2022년 국내 최초로 개설한 이순신학과도 윤 회장이 앞장섰다. 이순신을 연구하는 ‘학과 간 협동 석박사 과정’인데 여해재단에서 장학금을 지원한다. 2022년 신입생으로 등록하고 이번에 학위를 딴 윤 회장도 수업을 함께 들었다. 윤 회장과 함께 4명이 졸업했고, 현재 17명이 재학 중이다. 다음 학기에는 2명이 새로 입학한다.윤 회장은 기업인으로 이순신학과 지원뿐 아니라 논문까지 쓴 이유에 대해 “이순신을 다양한 시각으로 바라보는 연구를 누군가는 먼저 개척해야 했다”고 했다."
2024-06-19,“원하는대로 만들어드립니다”… 한국엔 ‘화장품 TSMC’가 있다,"세계 최강 ‘주문자 생산’ 업체K뷰티 성공에 날개 달아줘바쁘게 돌아가는 한국콜마 공장 - 17일 오전 세종시 전의면 한국콜마 관정화장품공장 포장실에서 근로자들이 선크림 제품 포장 작업을 하고 있다. K화장품의 인기 상승과 함께 한국콜마의 수주 물량도 늘어나면서 이날 포장 공정에 쓰이는 컨베이어 벨트 11개 전부가 쉴 새 없이 돌아갔다. /신현종 기자지난 17일 오전 10시쯤 세종시 전의면에 있는 한국콜마의 관정 화장품 공장 제2제조실. 믹서와 원리가 같은 1t짜리 대형 제조 설비 9개엔MNF-○○○○,GML-□□□□ 등 모두 다 다른 ‘암호’가 적혀 있었다. 고객사와 제품 품목명을 표시한 것으로, 각 설비에서 M사의 선크림, G사의 로션, A사의 아이크림 등을 만들고 있다는 의미다. 분홍색 선로션을 제조하던 직원은 “원료들을 한데 넣고 섞는 단순한 작업처럼 보일 수도 있지만, 잘못 제조하면 층 분리 현상이 일어나거나 점성이 달라져 품질이 떨어질 수 있다”며 “한 제품을 만드는 데 30~40개 원료가 들어가는데, 어떤 비율로 배합할지, 어떤 순서와 속도로, 어느 온도에서 원료를 섞을지 결정하는 모든 과정에 기술이 들어간다”고 했다.축구장 6개 크기(약 4만㎡)의 이 공장의 주요 생산 시설을 이날 본지에 공개됐다. 이곳에선 연간 국내외 900여 고객사의 기초 화장품 4억5000만개가 생산된다. 매출로는 7000억원 규모다. 이날 방문한 공장은 제조실 33개 설비, 포장실 11개의 생산 라인이 쉼 없이 ‘풀가동’되고 있었다. 여기에서 만들어진 제품들은 로레알, 에스티로더, 아르마니, 키엘 등 세계적 화장품 브랜드 용기에 포장돼 전 세계로 수출된다. 프랑스 샤를드골 공항 면세점, 영국 런던 해러즈 백화점, 일본 도쿄 오모테산도 거리 등 세계 주요 ‘뷰티 성지’에 이 공장에서 만들어진 ‘메이드 인 코리아’ 제품이 팔리는 것이다. 한국콜마가 ‘화장품 업계의TSMC’라고 불리는 이유다.그래픽=김현국한국엔 ‘화장품계TSMC’가 있다한국콜마는 반도체 업계의TSMC처럼, 자체 브랜드는 없지만 기술력과 생산력을 바탕으로 주문자들의 주문을 받아 위탁생산을 맡는 일종의 파운드리 업체다. 다른 말로 화장품 연구·개발·생산(ODM) 업체라고 한다. 전 세계 화장품ODM3대 기업인 한국콜마, 코스맥스, 인터코스(이탈리아) 중 두 곳이 한국에 있다. 1990년대 설립된 두 회사는 여러 글로벌ODM기업이 자체 브랜드를 만들어 종합 화장품 회사로 변모하는 동안에도ODM만을 고집해왔다. “고객과 경쟁하지 않는다”는TSMC의 경영 철학처럼 자체 브랜드를 만들면 장기적으로 고객사와 신뢰가 깨질 것을 우려했기 때문이다.ODM업체들은 꾸준한 연구개발(R&D)로 독보적인 자체 기술력도 키워가고 있다. 두 업체 모두 전체 매출의 5~7% 수준을 R&D에 투자하며 전 세계 고객사들의 요구에 맞추기 위해 다양한 인종과 국적의 피부를 연구하고 있다. 수년간 각각 1000곳이 넘는 고객사 제품을 위탁 생산하면서 쌓은 데이터베이스양도 방대하다.이 때문에 한국의ODM업체를 찾는 고객사들의 문의가 폭주하고 있다. 지난해 한국콜마는 전년(170곳) 대비 48.8% 증가한 253곳과 신규 계약을 맺었다. 한국콜마 영업 담당자는 “월 평균 100여 고객사에서 오는 문의와 요구사항을 처리하고 있고, 공장으로 투어를 오는 잠재 고객사도 늘어 직원들의 야근이 잦다”고 했다. 이에 따라 한국콜마는 올 하반기 세종시 관정 화장품 공장을 2배 규모로 증설하고 미국에도 2공장을 완공할 예정이다. 코스맥스 역시 올해 신규 문의가 폭증하면서 약 300곳 이상의 고객사를 추가할 것으로 예상하고 있다. 전 세계에서 문의가 폭증하면서 2022년 ‘코스맥스 재팬’을 설립한 데 이어 올해 중동, 인도, 아프리카, 남미 등 4개 지역을 대상으로TF를 꾸리고 시장 개척에 나섰다.‘K화장품’ 수출에 날개 달아준ODM업체두ODM업체는 ‘K화장품’ 수출에도 일등 공신 역할을 했다. 최근 국내에선 인지도가 없던 ‘조선미녀’ ‘달바’ 등 중소·신생 화장품 브랜드까지 좋은 수출 실적을 내고 있는데, 이 배경엔 기술력과 생산능력을 갖춘 콜마 같은 화장품ODM기업이 있다. 누구라도 아이디어와 마케팅 능력만 있으면, 한국콜마와 코스맥스가 그 아이디어를 ‘세계 최고’ 화장품으로 탄생시켜주기 때문이다. 이처럼 두ODM기업이 한국 중소 화장품 브랜드의 든든한 ‘뒷배’가 돼 주니, 작은 화장품 브랜드들은 생산이나 기술력 걱정 없이ODM사의 기술력이 들어간 좋은 제품을 홍보하고 판매하는 일에만 몰두할 수 있다.이 덕에 국내 중소기업의 올해 1분기 화장품 수출은 15억5000만달러(약 2조원)로 30.1% 급증하며 수출 1위 품목에 올랐다. 1분기 기준으로 역대 최대치다. 수출국 역시 아시아, 북미, 중동 지역 등으로 다변화돼 국가별 화장품 수출은 미국 60.5%, 일본 18.3% 증가하는 등 수출 상위 10국 중 8국에서 두 자릿수 증가율을 보였다. 중소벤처기업부 관계자는 “화장품은 중국 경기가 안 좋은 와중에도 수출 다변화에 성공해 성과를 내고 있는 모범적 수출 품목”이라고 했다."
2024-11-06,"美행동주의, 콜마홀딩스 지분 5% 매수...”단순 투자”","한국콜마미국 행동주의펀드 운용사인 달튼인베스트먼트가 한국콜마그룹의 지주사인 콜마홀딩스 지분 172만1862주(지분율 5.02%)를 보유하고 있다고 6일 공시했다. 달튼 측은 투자 목적을 ‘단순투자’라고 밝혔다.이날 달튼이 해당 내용을 공시한 것은 지난달 30일 지분율 5%를 넘겨 주요주주에 올라 공시할 의무가 생겨서다. 달튼은 올해 초부터 장내에서 지분을 매집해온 것으로 알려졌다.콜마홀딩스는 화장품 제조업자개발생산(ODM) 업체인 한국콜마, 화장품 패키징 회사 연우, 건강기능식품 제조사 콜마비앤에이치 등을 계열사로 보유한 한국콜마그룹의 지주사다.일각에선 배당 확대와 자사주 매입 및 소각 등 주주행동주의에 나설 것이란 전망이 제기되고 있으나, 아직까지 달튼 측에서 특별한 움직임을 보이진 않은 것으로 전해졌다.달튼은 2019년 현대홈쇼핑, 2020년 삼영무역에 대해 주주행동주의를 펼쳤다. 2022년엔SK그룹에 서한을 보내 적극적인 주주환원 등을 요구했다.콜마 측은 “달튼 측의 요구 사항은 없었고 경영권을 노리는 것은 아니라고 파악하고 있다”며 “주주 환원 요구를 위한 것으로 보고 있다”고 밝혔다."
2022-04-15,"[기업 브리핑] 한국콜마, 화장품 용기 1위 연우 인수","한국콜마는 14일 “2864억원을 투자해 국내 화장품 용기 시장 점유율 1위 기업 연우 지분 55%를 인수한다”고 밝혔다. 1994년 설립된 화장품 포장재 전문 기업 연우는 국내 최초로 펌프식 화장품 용기 뚜껑을 국산화했고, 외부 공기 유입을 완전히 차단해 내용물 산화를 막는 ‘에어리스 펌프’도 국내에서 처음으로 상용화한 업체다. 한국콜마는 연우 인수를 계기로 용기 제조 부문을 내재화하게 돼 수익성을 향상시킬 수 있게 됐고, 연우는 해외 고객사 확보에 속도를 낼 전망이다."
2022-02-08,[경제계 인사] 콜마비앤에이치 공동대표에 김병묵 외,"콜마비앤에이치 공동대표에 김병묵콜마비앤에이치는 지난 4일 임시 이사회를 열고 김병묵 사장을 공동대표로 선임했다고 7일 밝혔다. 삼성엔지니어링CFO(최고재무책임자) 출신인 김 신임 대표는 2017년부터 한국콜마홀딩스 대표이사를 지냈다.한국포인트거래소CBO에 강승하한국포인트거래소는 강승하 롯데멤버스 전 대표이사를 최고사업책임자(CBO)로 영입했다고 7일 밝혔다. 강CBO는 1992년 롯데그룹에 입사해 제휴영업부문장, 멤버스사업부장 등으로 일했다. 한국포인트거래소는 블록체인 기반의 금융 결제 및 포인트 거래 플랫폼 서비스 회사다."
