date,title,content
2024-12-16,"검찰, ‘채권 돌려막기’ 증권사 8곳 압수수색","서울 양천구 서울남부지방검찰청./뉴스19개 증권사의 채권형 랩어카운트(랩)·신탁 돌려막기 의혹을 수사 중인 검찰이 이들과 거래한 증권사에 대한 강제 수사에 나섰다.서울남부지검 금융수사과는 16일 오전부터 ‘채권 돌려막기’ 의혹을 받는 9개 증권사와 거래한 증권사 8곳을 압수수색하고 있다고 밝혔다.하나증권,KB증권, 교보증권, 미래에셋증권, 유안타증권, 유진투자증권, 한국투자증권,NH투자증권,SK증권 등 9개 증권사는 지난 2022년 하반기 레고랜드 사태로 자금시장이 경색되자 랩·신탁 환매 과정에서 시장 혼란을 일으킨 혐의를 받는다.지난해 5월 금융감독원(금감원)은 9개 증권사를 대상으로 채권형 랩·신탁 업무 실태에 관한 집중 점검에 착수했고, 증권사들이 특정 고객의 수익률을 보장하고자 다른 고객 계좌로 손실을 돌려막거나 회사 고유자금으로 손실 일부를 보전해 준 사실을 파악했다.랩·신탁은 펀드와 달리 증권사가 고객과 일대일 계약을 통해 자산을 운용하는 금융상품이다. 랩·신탁은 그간 법인 고객이 단기 자금을 운용할 때 자주 찾던 상품이었다. 하지만 지난 2022년 레고랜드 채무 불이행 사태로 지방정부(강원도)마저 약속한 지급 보증을 이행하지 않을 수 있다는 인식이 번지자 채권 시장이 급격하게 얼어붙으며 문제가 생겼다.다수의 법인 고객이 증권사에 랩·신탁 환매를 요청했으나, 장기 채권 등 편입 자산은 시장에서 팔리지 않았다. 이에 증권 업체는 5000억원 규모의 손실을 고객 간 전가하는 등 각종 편법을 저질렀다.앞서 금감원 제재심의위원회는 9개 증권사들에 대한 랩·신탁 제재 결과를 통보했다.KB증권, 하나증권, 미래에셋증권, 유진투자증권, 한국투자증권, 교보증권, 유안타증권은 원안대로 중징계에 해당하는 3~6개월 영업정지 조치를 받았다.고객 보호를 위한 사후 수습 노력에 대한 소명이 일부 참작된NH투자증권과SK증권은 각각 영업정지 3개월에서 1개월로, 영업정지 1개월에서 기관경고로 제재 수위가 감경됐다."
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2023-11-24,[경제계 인사] 한국투자증권 대표에 김성환 외,"한국투자증권 대표에 김성환한국금융지주는 23일 이사회를 열고 한국투자증권 신임 대표에 김성환 부사장(개인 고객 그룹장)을 선임했다고 밝혔다. 지난 5년간 한투증권을 이끈 정일문 사장은 부회장으로 승진했다.bhc대표에 송호섭외식 프랜차이즈 기업bhc는 송호섭(53) 전 스타벅스코리아 대표를 신임CEO·대표이사로 선임했다고 23일 밝혔다. 송 신임 대표는bhc치킨과 자회사인 아웃백, 창고43, 슈퍼두퍼 등을 총괄 관리한다.▲OCI▷전무 황세연 곽기훈▷상무 이종필 심재엽 김기섭▷상무보 이준화 이재석 김종길 서종희 송병욱 이병수▲OCIM▷사장 김동문▷전무 최성길"
2024-12-28,신세계·알리바바 제휴에 ‘싸늘’…이마트 주가 10% 급락,"외국인 투자자들 429억 순매도증권가 “中 자본에 소비자 반감…뚜렷한 시너지 효과 예측 어려워""이마트 주가가 27일 6만8100원에 마감했다. 이날 코스피는 전날 대비 1.02% 하락했는데, 이마트 주가는 전날 종가(7만5500원) 대비 9.8% 떨어졌다. 이날 외국인 투자자들은 이마트 주식 429억원어치를 순매도(매도가 매수보다 많은 것)했다. 전날 장 마감 후 신세계그룹이 전격적으로 중국 알리바바 인터내셔널과 이커머스 합작 법인을 만드는 등 전략적 동맹을 맺는다는 발표를 했는데, 시장이 부정적인 반응을 보였다는 분석이 나온다. 일부 증권사도 우려 섞인 보고서를 내놓았다.상승세 꺾인 이마트 주가그래픽=김하경이마트 주가는 지난 19일부터 4거래일 연속 상승했다. 신세계그룹 정용진 회장이 국내 인사 중 처음으로 미국 도널드 트럼프 대통령 당선인과 식사하고 대화를 나눴다는 소식 등이 호재로 작용했다. 하지만 26일 장 마감 후 신세계그룹이 “알리바바와 전략적 파트너십을 구축하기로 했다”고 발표하면서 7만원대까지 올랐던 주가가 6만원대로 주저앉았다. 신세계그룹이 실적 부진이 계속되고 있는 G마켓을 떼어내 알리바바와 만드는 합작 법인 밑에 넣기로 했는데, ‘몸통’인 이마트 주가가 떨어지는 상황이 벌어진 것이다. 이마트 주식 토론방에서는 “‘멸공’을 외쳤던 이마트가 중국과 손을 잡았다” “트럼프 만나고 와서 뜬금없이 중국과 협력하겠다는 건 어떻게 봐야 하느냐” 등의 반응도 쏟아졌다.증권가에서도 중국 기업과의 협업에 대해 부정적인 분석이 나왔다. 한화투자증권 이진협 연구원은 “중국 자본에 대한 국내 소비자들의 반감이 형성될 수 있어 이마트에 부담으로 작용할 가능성도 있다”며 “특히 중국으로의 개인 정보 유출 가능성에 대해서 민감할 수 있기 때문에 향후 소비자들에게 안전성에 대한 충분한 설득 과정을 거칠 필요가 있다”고 분석했다. 개인정보보호위원회는 지난 7월 알리익스프레스가 보호 조치 없이 해외 판매 업체 18만여 곳에 한국 고객의 정보를 제공했다며 알리익스프레스 모회사 알리바바닷컴에 과징금 19억7800만원 부과를 의결하기도 했다. 신세계그룹 측은 “G마켓은 현재와 마찬가지로 독립적으로 플랫폼을 운영해 개인 정보가 유출될 수 없다”고 말했다.시너지로 작용할까신세계그룹은 알리바바와의 합작 법인에 G마켓을 현물로 출자한다. 알리바바는 알리익스프레스 코리아 지분과 현금 3000억원을 출자하는 것으로 알려졌다. 시장에서는 두 회사의 합작사가 수년 내에 기업공개(IPO)에 나설 가능성도 거론된다. 신세계그룹 관계자는 “IPO계획은 구체적으로 결정된 게 없다”고 밝혔다.리테일 분석 서비스 와이즈앱·리테일·굿즈에 따르면 11월 기준 국내 종합 몰 앱 이용자 순위는 쿠팡, 알리익스프레스, 11번가, 테무, G마켓 순이었다. 쿠팡의 사실상 독주가 계속되고 있는 상황에서 G마켓과 알리익스프레스는 협업을 통한 시너지를 기대하고 있다. 한국 시장에서 세를 확대하려는 알리바바는 G마켓의 검증된 판매자들을 활용할 수 있다는 점을 기대할 수 있다. G마켓은 알리바바의 글로벌 네트워크를 통해 투자 유치를 하고 판매자들의 판로를 확장할 수 있을 것으로 보고 있다. G마켓 정형권 대표는 알리바바와의 협력이 공표된 직후 사내 공지를 통해 “시장 변화에 더 적극적으로 대처하고 선도 기업으로서 주도권을 확보하고자 이번 합작 법인 설립을 결정했다”고 설명했다.두 회사의 협력이 실제 시너지로 작용할지에 대해선 엇갈린 분석이 나왔다. 한국투자증권 김명주 연구원은 “뚜렷한 전략 방향성이 없던 G마켓이 전략 파트너를 확보한 것은 긍정적이지만 합작 법인 설립을 통한 뚜렷한 시너지를 예측하기 어렵다”며 “시너지 전략의 구체화가 필요하다”고 지적했다. 메리츠증권 오정하 연구원은 “G마켓은 국내 소비자의 신뢰를 확보하고 있고, 알리는 자본력을 갖췄다는 점에서 양 사 시너지가 기대된다”는 분석을 내놨다.이날 이마트 주가가 하락한 것과 달리CJ대한통운은 ‘신세계그룹-알리바바 협력 수혜주’로 꼽히며 주가가 5.54% 상승했다.CJ대한통운은 지난 9월부터 G마켓의 도착일 보장 배송 서비스를 전담하고 있다. 여기에 더해CJ대한통운은 알리익스프레스의 한국 택배 물량 약 80%를 처리하고 있다."
2024-12-22,"강용석, 4년간 변호사 못한다… ‘무고 종용’ 집행유예 확정","블로거 ‘도도맘’으로 알려진 김미나(왼쪽)씨와 강용석 변호사. /연합뉴스블로거 ‘도도맘’으로 알려진 김미나씨에게 허위 고소를 종용해 무고 교사(敎唆) 혐의로 기소된 강용석 변호사에게 징역형의 집행유예가 확정됐다.22일 법조계에 따르면 대법원 2부는 지난 6일 강씨의 상고에 대해 상고기각 결정하고, 징역 6개월에 집행유예 2년을 선고한 원심판결을 확정했다.강씨는 과거 김씨가 증권사 임원 A씨를 상대로 강제추행 혐의 등으로 고소하도록 부추겼다는 혐의로 2021년 6월 불구속기소 됐다. 김씨는 2015년 A씨와 술을 마시다 말다툼 끝에 폭행을 당해 전치 2주 진단서를 발급받았는데, 이후 강씨가 김씨에게 ‘강간치상 혐의까지 더해 피해를 주장하자’고 종용했다는 것이다.2020년 2월 온라인 연예매체 ‘디스패치’가 강씨와 김씨 사이 오간 대화 메시지를 공개하며 이 같은 의혹이 불거졌다. 그러나 김씨는 이후 법정에서 강씨가 합의금을 목적으로 허위 고소를 종용했고, A씨에게 성폭행이나 강제추행을 당한 적이 없다고 증언했다.1심은 “피고인은 변호사로서 높은 수준의 도덕성과 윤리의식이 요구됨에도 합의금을 받아내기 위해 김씨에게 무고를 교사해 죄질이 좋지 않다”며 징역 6개월에 집행유예 2년을 선고했다. 항소심도 원심판결을 유지했다. 항소심 재판장은 선고 내용을 읽은 뒤 강씨에게 “피고인은 지식·경험·견문이 저희들보다 많을 것으로 보인다. 딱히 드릴 말씀이 없습니다만 계속 오점을 남기시면 좋지 않을 것 같다. 잘 생각해 보시길 바란다”라고 말하기도 했다.강씨는 앞으로 4년간 변호사 활동이 금지된다. 변호사법은 변호사가 금고형 이상의 형을 선고받을 경우, 집행유예 기간과 그 기간이 종료된 때부터 2년간 변호사 활동을 할 수 없도록 규정하고 있다.한편 강씨는 조국 전 조국혁신당 대표와 관련해 금융회사와의 정경유착 의혹을 제기한 혐의로 별도 기소돼 2심에서 벌금형을 받은 사건에서도 상고기각 결정을 받았다.대법원 3부는 지난 20일 정보통신망법상 명예훼손 혐의로 기소된 강씨에게 벌금 500만원을 선고한 원심판결을 확정했다.강씨는 2019년 자신의 유튜브 채널에서 조 전 대표 부부의 자산관리인인 한국투자증권 프라이빗뱅커(PB) 김경록씨가 한투증권 사주 일가의 친인척이라며 정경유착 의혹을 제기했다. 이에 한투증권 측은 “김씨는 오너가와 무관한 사이”라며 강씨를 고소했다."
2023-04-21,"한국투자증권, 신용융자 일시 중단…늘어난 ‘빚투’ 여파","서울 영등포구 한국투자증권. /뉴스1한국투자증권이 21일부터 주식, 펀드, 주가연계증권(ELS), 채권 등 예탁증권담보 신규 대출을 중단한다. 최근 ‘빚투(빚내서 투자)’ 규모가 급격하게 늘면서 증권사 자체 신용공여 한도를 소진한 여파다.한투증권은 이날 오전 9시부터 별도 공지시까지 신용융자 신규 매수, 예탁증권담보 신규 대출을 일시 중단한다고 전날 공지했다.한투 관계자는 “당사 신용공여 한도가 소진됨에 따라 관련 업무가 일시 중단되니 많은 양해 부탁드린다”며 “향후 서비스 재개시 다시 안내할 것”이라고 했다.다만 보유 중인 융자·대출 잔고에 한해 요건 충족시 만기 연장이 가능하다.자본시장과 금융투자업에 관한 법률에 따르면 종합금융투자사업자가 신용공여를 할 때 신용공여의 총 합계액이 자기자본의 100분의 100을 초과해선 안 된다.개인 투자자들이 빚투 규모는 올 들어 점점 커지고 있다. 금융투자협회에 따르면, 연초 16원대에 그쳤던 전체 신용융자 잔고는 전날 기준 20조1369억원으로 올해 들어 처음 20조원을 돌파했다."
2024-12-09,전세 기피에...지난달 서울 빌라 월세 보증금 1억원 돌파,"올해 서울 빌라 월세 거래량, 전세 역전지난 9월 서울 시내 빌라 밀집지역 전경. /연합뉴스전세 사기 여파와 대출금리 상승에 올해 서울 빌라 월세 거래량이 전세 거래량을 넘어선 것으로 집계됐다.9일 부동산 정보 플랫폼 다방에 따르면, 올해 1~11월 서울 연립·다세대 주택의 월세 거래는 총 6만6194건으로 작년 동기(6만125건)보다 10.1% 늘었다. 반면, 전세 거래는 5만7604건으로 지난해 같은 기간(6만6408건)보다 13.3% 줄었다. 올해 서울 빌라 월세 거래량은 전세 거래량보다 8590건(14.9%) 더 많았다. 지난해 같은 기간 전세 거래량이 월세 거래량보다 6283건(10.5%) 더 많았던 것과 대조적이다.서울 빌라 전세 거래량은 지난 9월을 기점으로 꺾이기 시작했다. 올해 1~8월 전세 거래는 매달 5000~6000건 안팎 이뤄졌으나, 9월에는 4154건으로 줄었고, 지난달에는 계절적 비수기까지 겹치면서 3049건으로 쪼그라들었다. 김규정 한국투자증권 자산승계연구소장은 “지난 9월부터 유주택자들에 대한 전세대출이 중단되고, 대출금리가 오르기 시작한 영향이 있었을 것”이라고 분석했다.빌라 보증금 증가폭 역시 월세가 전세보다 훨씬 컸다. 서울 연립·다세대의 전세 보증금은 올해 1~11월 평균 2억3017만원으로 전년 동기(2억2172만원)보다 3.8%(845만원) 올랐다. 같은 기간 월세 보증금은 평균 8920만원으로 지난해(7229만원)보다 23.4%(1691만원) 증가했다. 지난달 서울 월세 보증금은 평균 1억530만원으로 조사돼 전달(9650만원)보다 9.1%(880만원), 1월(7585만원)보다 38.8%(2945만원) 상승했다.매달 내는 월세는 보증금을 1000만원 기준으로 올해 평균 84만원으로 조사됐다. 지난해(82만원)보다 월평균 2만원, 올해 1월(80만원)보다는 4만원 올랐다."
2024-01-07,"홍콩 ELS 손실 ‘초읽기’… 당국, 은행·증권사 12곳 위법 여부 검사 착수","홍콩H지수 연계ELS(주가연계증권)에서 내년 상반기 대규모 손실 가능성이 불거진 가운데 작년 12월 서울 여의도 금융감독원 앞에서 홍콩지수ELS피해자들이 집회를 열고 있다./연합뉴스올해 조(兆) 단위 손실이 예상되는 홍콩H지수 연계 주가연계증권(ELS)과 관련해, 금감원이 내일(8일)부터ELS불완전판매 여부를 들여다보기 위해 은행·증권사들에 대한 현장검사에 착수한다.금융감독원은 8일부터 홍콩H지수 연계ELS주요 판매사 12곳(KB국민·신한·하나·NH농협·SC제일은행, 한국투자·미래에셋·삼성·KB·NH·키움·신한투자증권)에 대해 순차 현장검사를 실시한다고 7일 밝혔다.업권별 최대 판매사인KB국민은행, 한국투자증권을 시작으로 이달 중 나머지 10개 판매사에 대해서도 검사를 실시한다. 특히 국민은행, 한국투자증권에 대해서는 분쟁민원 사실 관계를 파악하기 위한 민원 조사도 동시에 실시할 예정이다.금감원은 현장검사를 통해 H지수ELS판매와 관련한 금융사의 불완전판매 등 위법사항을 확인하는 대로 엄중히 책임을 물을 방침이다.특히 은행권은 2019년DLF등 사모펀드 사태 이후 투자자 보호를 전제로ELS같은 고난도 금융상품의 신탁판매 허용을 요청했던 점을 고려해 고객 이익을 고려하지 않은 영업 행태로 인한 위법 사항이 확인될 경우 엄중히 조치한다는 계획이다.박충현 금감원 부원장보는 “검사를 통해 불완전판매 등 위법이나 위규 상황에 대해 세밀하게 살펴볼 예정”이라고 말했다.앞서 금감원의 현장 조사 결과KB국민은행은 지수 변동성이 30% 이상이면ELS상품 판매 목표금액의 50%만 판매한다는 내부 규정이 있는데, 규정을 80%로 무리하게 바꾸면서 영업우선정책을 사용한 것으로 확인됐다.또 은행 핵심성과지표(KPI) 총점 1000점 중 고위험ELS나 주가 연계 신탁(ELT)과 직접·간접적으로 연계되는 점수 비중이 30~40%로 높아 직원들에게ELS판매 확대를 유도한 정황도 파악됐다.국민은행은 고객 수익률을KPI에 반영하면서,ELS가 손실 구간에 있더라도 고객이 환매를 신청하지 않으면 조기상환한 사례와 마찬가지로 쿠폰 수익률을 그대로 인정했다. 이러한 구조 때문에 은행 직원이ELS를 많이 판매할 유인이 생기고, 고객이 중도해지를 요청했을 때도 해주지 않은 사례가 생겼다고 금감원은 보고 있다.신탁계약서, 투자자정보 확인서 등 일부 계약 관련 서류는 금융소비자보호법에 의해 10년간 보관해야 하지만, 일부 금융사가 보관하지 않은 사례도 발견됐다.박 부원장보는 “가능하면 신속하게 불완전판매나 판매 행위에서의 불법 사항을 정리해서 배상기준을 확정할 예정”이라며 “검사, 분쟁조정, 제도개선 검토에 이르는 절차를 빠르게 진행하겠다”고 강조했다.금감원에 따르면 작년 11월 기준 금융권의 홍콩 H지수ELS총 판매잔액은 19조3000억원이다. 이중 은행이 15조9000억원, 증권사가 3조4000억원 어치를 팔았다.이 중 65세 이상 고령 투자자에게 판매한 금액은 5조4000억원(30.5%)에 달한다. 과거 파생결합증권 투자 경험이 없는 투자자 비중은 계좌 수 기준 8.6%다.전체 판매 잔액에서 올해 만기가 도래하는 규모는 79.6%인 15조4000억원이고, 1분기 3조9000억원(20.4%), 2분기 6조3000억원(32.3%) 등으로 올해 상반기 만기가 집중됐다."
2023-08-25,증권사 갈아타면 최대 200만원 보상해준다,"개인 주식 거래 증가에 ‘타사 고객 유치 경쟁’ 불붙어요즘 증권업계에선 개인 투자자들을 대상으로 한 ‘주식 이사’ 경쟁이 치열하다. 주요 증권사마다 “다른 증권사에 보유 중인 주식을 우리 쪽으로 옮기면(타사 대체입고) 현금을 드리겠다”며 대대적인 이벤트에 나서고 있다. 통신사 변경 혜택처럼 이용 중인 증권사를 바꾸면 혜택을 주겠단 것이다. 지원금은 옮긴 주식의 규모와 이후 거래 빈도에 따라 달라지는데 적게는 5000원, 많게는 200만원에 이른다. 타증권사의 ‘집토끼’를 빼앗아오기 위한 ‘당근’인 셈이다.증권사마다 이런 경쟁에 뛰어든 것은 최근 개인 투자자들의 주식 거래가 급증하고 있기 때문이다. 올 1월 63조9000억원이었던 개인들의 코스피 거래 대금은 지난달 178조3000억원으로 3배 가까이 뛰었다. 같은 기간 증시의 대기성 자금인 투자자 예탁금도 49조2000억원에서 55조9000억원으로 증가했다.한 증권사 관계자는 “통상 개인들은 익숙해진 주거래 증권사의 모바일 앱만 사용하는 경향이 강하기 때문에 이런 현금 리워드 이벤트로 ‘갈아타기’를 유도하고 있다”며 “과거에도 종종 이런 이벤트가 있었지만, 이번엔 혜택이 훨씬 크고 경쟁도 치열하다”고 했다.그래픽=김현국그래픽=김현국주식 옮기기만 해도 몇 만원 ‘쏠쏠’이전 금액이 커지고 이전 후 거래까지 하면 혜택이 커진다고 증권사들은 투자자들에게 ‘미끼’를 던지고 있다. 카카오페이증권은 ‘서학개미’를 겨냥해 다음 달 8일까지, 다른 증권사에 갖고 있는 미국 주식을 카카오증권으로 옮기면 1000만원당 2만원을 준다. 이후 주식 거래(매수+매도)까지 하면 누적 거래 금액에 따라 지원금이 최대 5배(한도 100만원)로 불어난다. 대신증권은 9월 8일까지 1000만원 이상 주식을 옮기면 1만원을 지급한다.NH투자증권은 이달 말까지 타사 국내·해외 주식을 이관할 경우 순입고액 구간별로 3000만원(현금 보상 5만원), 1억원(10만원), 3억원(15만원), 10억(50만원), 30억(100만원) 등으로 현금을 지급한다. 이후 주식 거래까지 하면 최대 10만원을 더 받을 수 있다. 삼성증권도 자사 비대면 계좌로 1000만원 이상의 타사 국내 주식을 옮기면 최대 100만원을 지원한다. 특히 코스닥150 종목의 입고 금액은 2배로 인정받을 수 있어 유리하다.거액의 주식을 옮기고, 이벤트 기간 중 주거래 증권사로 활발하게 이용할 경우엔 혜택이 훨씬 커진다. 미래에셋증권은 9월 말까지 해외 주식 10억원 이상을 이관한 뒤 1억원 이상을 거래하면 현금 200만원을 지급한다. 단 연말까지 잔고를 유지해야 한다. 누적 거래 대금이 많아야 달성 가능한 조건이라, 장기 투자자보다는 평소 주식 거래 빈도가 높은 성향의 개인들에게 유리하다.한국투자증권은 9월 27일까지 국내·해외 주식을 자사로 옮기면 1억원당 3만원, 최대 60만원의 신세계모바일상품권을 증정한다.ETF(상장지수펀드) 입고 금액은 1.5배로 계산된다.세부 요건 등 꼼꼼히 따져야주식을 거래하던 증권사에서 다른 증권사로 옮기려면 기존에 이용 중인 증권사에 주식 출고(이관) 신청을 해야 한다. 대부분 모바일 앱이나 인터넷으로 할 수 있지만, 일부 증권사는 영업점에서만 처리가 가능하다. 증권사의 입·출고 업무 처리 시간도 확인할 필요가 있다. 대부분 평일 낮 시간대에만 가능하다.아울러 주식을 옮기게 되면 기존 증권사에 내야 하는 수수료가 발생한다. 일반적으로 한 종목당 2000원의 수수료(우대고객은 면제)가 붙기 때문에 경우에 따라선 기존 증권사에 물어야 되는 수수료가 현금 리워드보다 많아질 수 있어 유불리를 잘 따져야 한다.이벤트 조건도 꼼꼼히 따져봐야 한다. 대부분 주식 입고 후 한 달 정도 잔고를 유지할 것을 전제로 하고 있고, 사전에 이벤트 참여를 신청해야 하는 곳도 있어 세부 조건을 확인할 필요가 있다. 국내·해외 주식 모두가 대상일 때NH투자증권은 국내·해외 주식을 합산해 순입고액을 계산하지만 한국투자증권은 개별로 각각 현금을 지급하는 등 증권사마다 다른 방식의 혜택 계산법을 제시하고 있는 것도 확인할 필요가 있다."
2024-12-05,주저앉은 ‘밸류업’...금융주 등 줄줄이 약세,"계엄령 파장에 힘 못 써5일 서울 중구 하나은행 본점 딜링룸에서 증시 종가가 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 22.15포인트(0.90%) 하락한 2441.85를, 코스닥 지수는 6.21포인트(0.92%) 하락한 670.94로 장을 마쳤다. /뉴스1비상계엄 선포·해제 사태로 4~5일 국내 주식시장의 밸류업(기업 가치 제고) 대표 종목인 은행주, 항공주, 수출주 등이 큰 폭으로 하락했다. 윤석열 정부가 올 초부터 추진하던 밸류업 정책의 동력이 떨어질 수 있다는 전망에 더해서, 정치적 불확실성도 커지고 있기 때문이다. 여기에 트럼프 정책 리스크, 경기 침체 우려까지 겹치고 있다.개별 종목뿐 아니라 지난 9월 발표한 밸류업 지수, 그리고 이 지수를 바탕으로 지난달 상장한 밸류업 관련 상장지수펀드(ETF)들도 줄줄이 하락세다.전문가들은 “밸류업 추진 동력 자체가 이번 정치적 혼란으로 사라지는 것 아니냐”고 깊은 우려를 나타내고 있다.그래픽=김하경◇밸류업 정책 수혜 금융주 폭락한국거래소에 따르면 5일KB금융은 10.06%, 신한지주는 5.50%, 우리금융지주는 3.77%, 하나금융지주는 3.25% 하락하며 장을 마쳤다. 계엄 사태 직후부터 따지면KB금융은 15.22%, 신한지주가 11.7% 하락했다. 올해 국내 증시가 어려운 가운데도 주주환원 여력이 높다는 이유로 밸류업 정책을 동력으로 업종 중에서 거의 유일하게 상승세를 보였던 금융주가 줄줄이 하락한 것이다.김도하 한화투자증권 애널리스트는 “금융주의 연이은 주가 급락은 비상계엄 이후 정치적 불확실성이 확대된 것과 밸류업 정책 이행에 대한 불안감에 기인한 것으로 해석한다”며 “전향적인 자본정책의 이행에 차질이 생길 수 있다는 우려가 주가 하락의 원인”이라고 했다.밸류업 대장주였던 현대차, 기아도 이날 각각 2.15%, 4.18% 하락했다. 트럼프 당선으로 관세 우려가 커진 가운데 비상계엄 사태까지 겹쳤다.달러당 1410원대 고환율로 항공주도 좋지 않다. 이날 한진칼 주가는 6.63%, 아시아나는 2.01%, 대한항공은 0.81% 하락했다. 안도현 하나증권 연구원은 “당분간 1400원대 고환율이 지속될 가능성이 크다”며 “고환율은 아웃바운드(한국인의 해외여행) 여행 수요를 위축시킨다”고 했다. 안 연구원은 “달러 가치 절상은 항공사 비용 증가를 야기한다”며 “항공사 영업비용의 3분의 1을 차지하는 유류비가 달러화에 연동되는 가운데 항공기 리스료·정비비 등 전반적인 비용 상승으로 이어질 수 있다”고 덧붙였다.그래픽=김하경◇밸류업ETF도 마이너스...골드만삭스 “불확실성, 이어질 듯”밸류업 대표 종목들이 타격을 받다 보니, 지난 9월 30일 992.13으로 시작한 밸류업 지수도 5일 971.51로 마감해 이 기간 2.08% 하락했다.지난달 4일 일제히 상장한 밸류업 상장지수펀드(ETF)도 수익이 나지 않는다. 한국거래소에 따르면 국내 증시에 상장한 12개 밸류업ETF는 5일 일제히 하락했다.트러스톤자산운용의 ‘TRUSTON코리아밸류업액티브’와 타임폴리오자산운용의 ‘TIMEFOLIO코리아밸류업액티브’의 경우는 이날 하루에만 각각 1.90%, 1.05% 하락했다. 12개 밸류업ETF는 이날 기준으로 수익률 모두 마이너스(-)를 기록 중이다.특히 올해 초 밸류업에 대한 기대감으로 국내 증시로 진입했던 외국인들이 밸류업 정책에 대한 실망감으로 썰물처럼 빠져 나간 것이 영향을 줬다.5일 유안타증권에 따르면, 외국인 투자자들은 작년 11월부터 올해 7월까지 31조8000억원어치의 국내 주식을 순매수(매수가 매도보다 많은 것)했고, 올해 8월부터 10월까지 14조3000억원을 순매도했다. 최근 3개월 동안 이전 9개월간 순매수 규모의 약 45%를 순매도한 것이다. 이날도 외국인 투자자들은 약 3400억원 순매도했다. 반도체 경기에 대한 우려에 더해 비상계엄 사태에 이은 탄핵 정국 등 정치적 불확실성이 커지는 데 영향을 받은 것으로 보인다.김대준 한국투자증권 연구원은 “정치, 경제적 불확실성이 중장기적으로 흐르면 국가신용등급에 불리한 영향을 미치기에 코스피가 약세 압력에 노출될 수 있다”며 “한국주식을 보는 해외 투자자의 시각도 변할 가능성이 있다”고 말했다.골드만삭스는 “한국의 잠재적인 실적 하방 리스크와 정책 불확실성을 고려할 때 당분간 변동성 높은 거래 환경이 지속될 것으로 예상한다”며 “잠재적 탄핵 표결까지 높은 수준의 변동성이 계속될 가능성이 있으며, 국내 정책 불확실성 등이 시장에 영향을 미칠 가능성이 높다”고 분석했다.그래픽=김하경"
