date,title,content
2024-09-30,[부동산 100자 정보] 한미글로벌 ‘CM·PM 우수기업’ 8위 외,"한미글로벌 ‘CM·PM우수기업’ 8위한미글로벌이 “글로벌 건설 전문지ENR이 선정한 세계 건설 사업·프로젝트 관리(CM·PM) 우수 기업 순위에서 8위에 올랐다”고 29일 밝혔다. 미국을 제외한 글로벌CM·PM기업의 매출을 바탕으로 집계한 순위다. 한미글로벌은 2억4480만달러 매출로 작년(10위)보다 두 계단 상승했다. 한미글로벌은 2019년에 처음 10위권에 진입했고, 2021년부터는 꾸준히 ‘톱 10′에 이름을 올리고 있다.HDC현대산업개발은 서울 노원구에서 진행하는 광운대 역세권 개발 사업 브랜드를 ‘서울원’으로 정하고, 11월 아파트 분양에 나선다고 29일 밝혔다. ‘삶을 담은 거대한 원’이라는 뜻을 담아 브랜드 이름을 지었다. 약 15만㎡ 규모 사업지에 전용면적 59∼244㎡ 아파트(서울원 아이파크) 1856가구를 포함한 주거 공간과 호텔, 쇼핑몰, 오피스 등을 조성할 계획이다."
2024-05-07,"결혼하면 1억 대출, 셋째 낳으면 특진... 한미글로벌, 신입사원 뽑는다","직원이 결혼하면 1억원을 주택 마련 자금으로 빌려주고 셋째 자녀를 낳으면 특진을 시켜주는 등 파격적인 복지정책으로 유명한 건설사업관리(PM) 전문기업 한미글로벌이 공개채용에 나선다.한미글로벌은 해외 시장 공략과 데이터센터 등 전략 사업 확대를 위해 오는 21일까지 신입사원 공개채용을 실시한다고 7일 밝혔다.채용 부문은 건축, 기계, 전기 분야다. 학사 이상 졸업자와 오는 8월 졸업 예정자가 대상이다. 관련 전공자와 기사 자격증 소지자, 어학 능력 우수자는 우대한다. 지원 희망자는 21일 자정까지 한미글로벌 채용 홈페이지에서 온라인으로 접수하면 된다.1996년 국내 최초PM전문기업으로 설립된 한미글로벌은 지금까지 전세계 60개국에 진출해 2900개 이상의 프로젝트를 수행했다. 미국, 영국, 중국, 일본, 사우디아라비아, 베트남, 인도, 헝가리, 폴란드, 캐나다, 카자흐스탄, 쿠웨이트 등 12개 국가에 현지 법인과 자회사를 두고 있다. 신입사원에게는 6개월간 해외 현장 연수 기회도 제공된다.한미글로벌은 구성원들의 결혼과 출산을 장려하는 지원 제도로도 유명하다. 결혼시 주택 마련을 위한 자금 1억원을 저리로 대출해주고 난임치료는 무제한으로 지원한다. 출산시 첫째는 100만원, 넷째 이상은 1000만원을 지원금으로 주고 셋째를 출산하면 특진 혜택도 제공한다. 이 같은 지원 제도 덕분에 한미글로벌은 건설업계 최초로 지난해 여성가족부가 주관하는 ‘가족친화 최고기업’에 선정되기도 했다."
2024-04-30,"[부동산 100자 정보] 한미글로벌, 서울대 AI 연구 시설 마무리 외","한미글로벌, 서울대AI연구 시설 마무리 외한미글로벌이 서울대 공과대학 내 인공지능(AI) 연구 시설인 해동첨단공학관 프로젝트를 마무리했다고 29일 밝혔다. 연면적 1만㎡(3024평), 7층 규모로 구성되는 해동첨단공학관은 각종 미래 기술 연구와 스타트업 업무를 위한 공간으로 활용된다. 한미글로벌은 이번 프로젝트의 기획 단계부터 건설 사업 관리(PM)로 참여했다.롯데건설 ‘양정 롯데캐슬 프론티엘’ 분양롯데건설이 부산시 진구 양정동 양정3구역 재개발 사업을 통해 건설하는 ‘양정 롯데캐슬 프론티엘’을 다음 달 분양한다고 29일 밝혔다. 지하 3층~지상 28층 10동, 전용면적 39~110㎡ 903가구로 구성되며 59~110㎡ 489가구를 일반 분양한다. 연제구 연산동과 양정동의 생활 인프라 시설들이 가깝다."
2023-06-08,“셋째 낳으면 특진” 한미글로벌의 파격 출산장려책,"건설사업관리(PM) 전문기업 한미글로벌이 임직원 출산 장려를 위해 셋째를 출산하면 특진시키고 넷째부터는 회사에서 육아 도우미를 지원하는 등의 복지제도를 도입한다고 8일 밝혔다.한미글로벌은 먼저 승진 연한이나 실적 등에 관계없이 셋째를 출산하면 차상위 직급으로 승진시키기로 했다. 넷째부터는 출산 직후 1년간 육아 도우미를 지원하고, 출산한 구성원에게 자녀 수와 상관 없이 90일의 법정 출산휴가 외에 별도로 30일의 특별 출산휴가를 유급으로 주기로 했다. 또 육아휴직 3개월간 급여를 보전한다.두 자녀 이상 출산한 구성원에 대해서도 최장 2년의 육아휴직 기간을 근속연수로 인정해 휴직 중에도 진급 심사를 받을 수 있또록 했다.결혼을 앞둔 구성원이 주택 구입을 원하는 경우 최대 1억원까지 사내 대출도 제공하기로 했다. 5000만원까지는 무이자, 나머지 5000만원은 금리 2% 조건이다.박정욱 한미글로벌 인사팀장은 “이번에 도입한 제도 외에도 회사에서 건설한 공동주택을 직원들에게 분양하는 직장주택조합과 어린이집 운영 등 추가 대책을 검토중”이라며 “향후 10년 내 사내 출산율 2명을 목표로 다양한 제도를 보완해 출산 장려와 가족친화 경영의 모범이 되겠다”고 말했다."
2023-06-08,“셋째 낳았어? 승진시켜”… 파격 복지 내놓은 ‘이 회사’ 어디,"한미글로벌 /뉴시스건설사업관리(PM) 기업 한미글로벌이 셋째를 출산한 구성원을 즉시 특진시키는 제도를 도입했다.8일 업계에 따르면, 한미글로벌은 다자녀 출산을 장려하기 위해 이 같은 내용의 복지제도를 마련했다. 셋째를 출산한 구성원은 승진 연한이나 고과 등 조건을 따지지 않고 차상위 직급으로 승진시키도록 했으며, 넷째부터는 출산 직후 1년간 육아 도우미를 지원한다.두 자녀 이상을 출산한 구성원은 최장 2년의 육아휴직 기간도 근속연수로 인정해 휴직 중에도 진급 심사를 받을 수 있게 했다. 또한 자녀수와 상관없이 출산한 구성원에게는 법정 출산휴가와 별도로 30일의 특별 출산휴가를 유급으로 부여한다. 신입사원 채용 시 자녀가 있는 지원자에게는 가점을 주기로 했다.한미글로벌은 아울러 결혼을 앞둔 구성원에 대해선 주택구입 지원 대출을 통해 최대 1억원의 사내 대출을 받을 수 있도록 했다. 5000만원까지는 무이자이며 나머지 5000만원은 2% 금리다.최정우 포스코그룹 회장이 국내 최초로 네쌍둥이를 자연분만한 김환 사원 부부의 집을 찾았다. /김씨 아내 박두레씨 인스타그램국내 기업들의 파격적인 출산·양육 지원 제도는 종종 화제가 되고 있다. 최정우 포스코그룹 회장은 지난 4월 네쌍둥이를 자연분만한 뒤 육아휴직 중인 직원의 집을 찾아가 응원한 바 있다. 포스코는 네쌍둥이가 첫돌을 맞이할 때까지 자녀 돌봄 서비스를 제공하고 9인승 승합차도 선물했다.포스코의 경우 출산 장려금으로 첫째 200만원, 둘째부터는 500만원을 지급하는 것으로 알려졌다. 자녀가 만 8세 이하면 재택근무제 2년, 육아휴직 2년, 근로시간 단축 2년을 골라 쓸 수 있다. 두 자녀의 경우 최장 8년까지 재택근무 사용이 가능하다.SK온도 지난 3월 네쌍둥이를 낳은 직원에게 육아도우미를 지원했다. 지동섭SK온CEO가 친필 카드와 선물을 보내 출산을 축하하기도 했다. 이 직원은 초산으로 네쌍둥이를 낳는 과정에서 유연근무제와 의료비 지원의 혜택을 본 것으로 전해졌다."
2023-05-31,‘네옴시티’ 근로자 숙소… 한미글로벌 추가 수주,"건설사업관리(PM) 전문기업 한미글로벌은 사우디가 추진 중인 미래형 신도시 ‘네옴시티’ 건설에 투입되는 근로자용 숙소 1만가구 건설 관리 계약을 따냈다고 30일 밝혔다. 계약 금액은 31억원, 사업 기간은 2024년 5월까지 1년이다. 네옴시티는 사우디의 북서부 홍해 인근에 서울의 44배 면적 미래 도시를 짓는 프로젝트로, 약 1조달러(약 1320조원)가 투입될 예정이다.한미글로벌은 지난해 11월 네옴시티 내 근로자 주거단지 5만가구에 대한 관리 용역계약을 시작으로 올해 3월 2만가구, 이번에 1만가구를 더해 총 8만가구의 현장을 관리하게 됐다. 총 수주 금액은 180억원이다. 네옴시티 건설 근로자 숙소단지는 사우디 북서부 타부크 지역에 들어설 예정이다. 한미글로벌은 현재까지 네옴시티 프로젝트와 관련해 문서관리 시스템 개발, 일반 사업관리 등 8개 프로젝트를 수주했다."
2022-07-05,"한미글로벌, 사우디 사업 수주","건설 사업 관리 전문 업체인 한미글로벌이 사우디아라비아 정부가 건설하는 대규모 신도시의 운영 계획부터 설계, 발주, 시공, 품질, 안전 등을 총체적으로 관리하는 사업 관리(PM) 일감을 수주했다.한미글로벌은 사우디 ‘디리야 게이트 개발청’(DGDA)으로부터 주거 복합 단지 조성 프로젝트에 대한 낙찰 통지서를 받았다고 4일 밝혔다.DGDA는 무함마드 빈 살만 사우디 왕세자가 이사회 의장으로 있는 공기업으로, 수도 리야드에서 서쪽으로 20㎞ 떨어진 디리야에서 총사업비 200억달러(약 26조원) 규모 신도시 개발을 추진 중이다. 디리야는 사우디아라비아 왕국의 발상지로 2010년 유네스코 세계문화유산에 등재됐다. 한미글로벌은 디리야 내 ‘사우스 앤드 가든’ 지역 주택·상업·오피스 단지 조성 과정에서 2027년까지 사업 관리를 맡게 된다. 계약 금액은 440억원으로 한미글로벌 작년 매출의 16%에 해당한다.한미글로벌은 2007년 사우디 진출 이후 30여 개 프로젝트를 수행한 경험을 바탕으로 최근 다양한 용역 사업을 수주하고 있다. 지난달 사우디 국영 기업이 리야드에서 추진 중인 3만 가구 규모 주거복합단지 프로젝트의 프로젝트 메니지먼트 용역을 수주했고 작년에는 사업 규모가 5000억달러(약 640조원)에 이르는 미래형 신도시 ‘네옴 시티’의 일부 사업 용역도 따냈다."
2022-04-26,[플라자] 한미글로벌 인구문제연구소 ‘대한민국 저출산·고령화 대응을 위한 국가 전략 세미나’ 개최,"▲한미글로벌 인구문제연구소는 26일 서울 강남구 포스코센터에서 ‘대한민국 저출산·고령화 대응을 위한 국가 전략 세미나’를 개최한다. 대한민국 저출산·고령화 대응을 위한 국가 전략과 인구절벽 해결을 위한 관산학연 협력방안, 인구문제 해결을 위한 기업 대응방안 등을 다룬다. 서울대 국가미래전략원, 포스코그룹,SK그룹, 한미글로벌이 후원하며 서울대 국가미래전략원 명예원장인 반기문 전 유엔사무총장, 최정우 포스코그룹 회장, 김종훈 한미글로벌 회장, 권태신 한국경제연구원 원장 등이 참석한다."
2024-12-28,“애 잘 키우는 기업이 살아남고… 다양한 가족도 인정해야죠”,"[아무튼, 주말]저출생 최전선의 사령관이인실 미래인구硏 원장사망자 수가 출생자 수를 넘어서는 데드크로스가 2020년에 현실이 됐다. 아기 울음소리는 뜸해졌다. 지난 24일 정부가 공개한 저출생 통계 지표에 따르면 2001년 1.3명이던 합계 출산율이 2023년 0.72명까지 하락했다. 대한민국 국적 출생아는 같은 기간에 55만9934명에서 23만28명으로 반 토막이 났다. 정부 고위 관계자가 “국가 소멸 위기”라고 우려할 정도다.2022년 국내 최초 인구 전문 민간 연구 기관인 ‘한반도미래인구연구원’(이하 한미연)이 발족했다. 김종훈 한미글로벌 회장과 뜻을 함께하는 기업인들이 출연해 설립했고, 27기업이 파트너십을 맺었다. 이 연구원을 이끄는 사람은 통계청장을 지낸 여성 경제학자 이인실(68) 원장. 저출생 문제의 최전선에서 싸우는 민간 사령관이다. 지난 13일 한미연 사무실에서 만난 이 원장은 “경제학자로서 소신을 버렸다”고 말했다.이인실 한반도미래인구연구원장은 “인구 경영이 기업의 존폐를 결정할 것”이라고 말했다./주민욱 영상미디어 기자애 잘 키우는 기업이 산다-그게 무슨 뜻인가요?“저출생 문제를 붙잡고 보니 경제학이라는 학문이 담을 수 없는 복잡다단한 사회적 현상을 반영하고 있었습니다. 사회현상을 분석하고 토론을 거쳐 이론을 수립하는 학자가 아니라 당장 직원 구하기도 어려운 ‘기업’과 애를 직접 낳아 키워야 하는 ‘개인’의 마음을 잡기 위한 저출생 대책을 고민하고 있어요. 책상머리에 있다가 현장에 뛰어든 거예요.”-기업들이 연구원까지 만들어 저출생 문제를 고민해야 하나요?“저출생 피해를 직접적으로 보는 게 기업이니까요. 당장 인력 조달이 어렵고, 장기적으로 인건비가 오르면 상품 가격도 상승해 해외 경쟁력이 약해집니다. 인구 경영이 기업의 존폐를 결정하는 시대예요.”한미연은 지난 8월, 기업의 사회적 책임과 인구 위기 대응 수준을 보여주는 지표인 ‘EPG경영 평가’ 결과를 발표했다. 종전ESG에서 기업의 사회적 기여도를 의미하는 S(Social)를 인구 위기 대응 지표인 P(Population)로 대체한 것이다. 300기업을 대상으로 육아휴직 및 유연 근무제 도입 여부뿐 아니라, 직원들이 실제로 얼마나 활용하고, 복직이 제대로 이뤄졌는지 등에 따라 P 항목의 점수를 매겼다.한반도미래연구원이 저출생 문제 해결을 위해 펼친 캠페인 포스터. /한반도미래인구연구원-EPG가 중요한 이유는 뭔가요?“ESG에서 S는 지구의 지속 가능성을 위한 활동 지표 등을 반영한 거예요. 그런데 한국이 지속되려면 인구 문제가 훨씬 더 심각하잖아요. 애 잘 키워주는 기업의 지속성이 더 높다는 뜻입니다.”-저출생 문제가 왜 이렇게 심각한가요?“한국만의 문제는 아니지만 우리나라가 너무 빠르게 악화된다는 건 큰 문제입니다. 서구 사회에서 300~400년에 걸쳐 이룬 산업화를 60년 안에 해치운 것처럼, 저출생 문제도 압축적으로 온 거죠. 프랑스가 팍스(PACS·시민 연대 계약)나 가족 수당 금고 등으로 새로운 가족 형태에 천천히 적응해 왔다면 우리는 그 기간이 너무 짧아요.”-실제로 젊은 층은 결혼을 손해로 인식하는 것 같은데.“과거 남성이 밖에서 벌이를, 여성은 가정을 책임졌다면 지금은 남녀가 그 두 가지를 같이하는 세상이 됐습니다. 가족이 파괴되면서 같이 애를 키워줄 조부모나 친척도 없으니 경제학적으로 따졌을 때 출산이나 양육은 이익보다 비용이 더 크다고 생각하는 거예요.”이 원장은 현재 저출생 문제는 ‘2030 여성들의 반란’이라고 했다. 대체 누구에게 항의하고자 애를 낳지 않는다는 것일까? 그는 “여성 1세대의 복수를 지금 세대가 해주나 싶을 정도”라며 설명을 이어갔다.통계청이 발표한 '2024년 10월 인구동향'을 보면 지난 10월 출생아는 2만 1398명으로 전년 동월 대비 2520명 증가했다. 10월 기준으로 2010년 이후 최대 증가율이다. 사진은 지난 26일 인천 미추홀구 아인병원에서 간호사들이 신생아들을 돌보는 모습. /뉴스1“엄마처럼 살지 마라”이 원장은 한국경제연구원 금융재정연구센터 소장에서 대통령 직속 규제개혁위원회 위원, 국회예산정책처 경제분석실 실장, 서강대 경제대학원 교수를 거쳐 이명박 정부 때 우리나라 최초 여성 통계청장을 지냈다. 국내 여성 1세대로서 어딜 가나 ‘최초’ ‘유일’ 타이틀을 지녔던 인물. 그런데 복수라니?-잘나가는 워킹맘이셨잖아요?“실상은 달라요. 노벨 경제학상 받은 교수들 밑에서 유학까지 하고 왔더니, 연구소들이 ‘여자는 안 뽑는다’며 손을 저었어요. ‘애 키우느라 시간 안 뺏길게요’라고 거의 빌어가며 직업을 구했습니다. 우리 세대가 ‘나처럼 살지 말라’며 키운 딸들이 지금 애를 안 낳는 건 어쩌면 당연하다 싶기도 해요.”의아했다. 이 원장은 후임 황수경 통계청장이 문재인 정부 때 청와대의 통계 자료 요구를 거부하다가 경질되자 “통계가 마음에 안 든다고 통계청장을 경질하는 것은 충격적”이라고 소신을 밝혔다. 이호승 당시 경제수석이 “경제학자들이 위기를 조장한다”고 하자 “경제학자들은 양치기 소년이 아니다”라고 반박할 만큼 강단이 있었다. 그런 그도 육아에 쩔쩔매던 시절이 있었다니.이 원장은 “여성이라 좀 세게 말해야 의견이 전달되는 측면이 있었다”며 “너무 힘들어서 다 관두고 애나 키울까 하는 생각을 안 해본 게 아니다”라고 말했다. 그러면서 “유교 문화권 국가들이 공통적으로 초저출산(합계 출산율 1.3명 이하) 문제를 겪고 있다는 게 중요한 대목”이라고 했다. 대만, 싱가포르, 홍콩과 한국처럼 도시화율이 높고, 좋은 일자리를 찾는 경쟁이 심한 가운데 내 집 마련, 노부모 봉양 등 유교적 부담이 현존하는 국가들에서 청년들이 애를 낳지 않는 현상이 심해진다는 것이다.-여성 인권이 나아졌다고 하잖아요?“우리나라 전체 여성의 경제 참여율은OECD중하위권입니다. 2030대 여성의 사회 활동이 늘어났을 뿐이지요. 그마저도 여성들의 사회 ‘진출’이 늘었을 뿐 환경이 바뀐 것은 아닙니다. 가사 책임을 여성에게 지우는 유교적 문화에다 기업 문화도 여전히 배려가 부족하죠. 이코노미스트가 내놓는 유리 천장 지수는 올해도 12년 연속 한국이 최하위였고, 우리만큼 여성과 남성의 임금 격차(31%)가 큰 나라도 없습니다.”-여성에 대한 차별이 저출생의 이유인가요?“출산율이 뚝 떨어진 시기가 2015년이에요. 이유는 여럿이겠지만 당시 부동산 가격이 확 오른 것도 큽니다. 남성은 직장이나 주택 마련 같은 경제적 이유로 비혼을 선택하는 경우가 많아요. 경제적, 사회문화적 요인이 남녀 모두에게 복합적으로 작용해 저출생 문제로 나타났지요.”실제로 ‘집값’은 저출생의 가장 큰 요인으로 지목된다. 2014년까지 1%대였던 서울 아파트 가격 상승률은 2015년 5%대로 올라서더니 문재인 정부 출범 이후인 2018년 13.56%까지 폭등했다. 2020년과 2021년에도 13%, 16.4% 뛰었다. 국토연구원은 첫아이 출산을 결정하는 요인 중 ‘주택 매매·전세가(30.4%)’가 가장 큰 영향을 미친다는 보고서를 냈다. 한국은행은 집값을 2015년 수준으로 떨어뜨리면 출산율이 반등할 거라고 분석했다.-집값을 잡으면 되나요?“노동시장의 이중 구조와 과열된 사교육 경쟁도 바꿔야 합니다. 우리나라는 대기업 등을 포함하는 ‘좋은 일자리’가 14%밖에 되지 않아요.OECD평균(40%)의 절반에도 못 미치죠. 2년마다 계약하는 비정규직 비율도 높아지고 있습니다. 좋은 직업을 갖기 위한 공부 기간이 길어지고, 육아휴직으로 인한 경력 단절이 장기적 수입에 영향을 미치니 애를 낳지 않는 겁니다.”우리나라 비정규직 비율은 2024년 기준 38.2%. 10년 전보다 6%p 올랐고, 인원으로 보면 233만5800명이 늘어났다. 그만큼 고용 불안정성이 높아졌다는 뜻이다.이인실 한반도미래인구연구원장은 ""1990년대생들이 가임기인 5년 안에 지원을 집중해야 출생률 반등 효과가 나타날 것""이라고 했다. /주민욱 영상미디어 기자골든타임 5년 남았다정부는 지난 6월 ‘인구 국가 비상사태’를 선언하고 육아휴직 급여를 월 최대 250만원까지 인상하고 근로시간 단축 대상을 만 12세로 확대하는 등 지원 방안을 쏟아냈다. 인구전략기획부도 신설한다는 계획이다.-정부가 적극 나서고 있습니다.“좀 더 손에 잡히는 정책을 내놔야 해요. 난자 냉동 등에 대한 지원을 결혼을 하지 않은 20대까지 확대하고, 지금처럼 찔끔찔끔 돈 주는 대신 애 낳으면 한 달에 100만원씩 18세까지 직접 지원하겠다 같은 파격 지원이 필요해요.”-정부 예산은 한계가 있을 텐데요.“저출생 해결의 골든타임은 5년밖에 안 남았습니다. 현재 가임기인 1990년대생까지만 해도 연간 60만명이 태어났지만 2002년에는 연간 40만명대, 2017년부터는 그마저도 무너졌어요. 1990년대생들이 가임기인 5년 안에 지원을 집중해야 출생률 반등 효과가 나타날 거예요.”-다양한 가족 형태를 인정해야 한다는 지적도 있습니다.“2004년 건강가정기본법을 만들 당시, 국회에서 ‘건강’ 자를 꼭 넣겠다고 우기더라고요. 그들 마음속엔 ‘건강한 가정’과 아닌 가정이 존재하는 겁니다. 매일 싸우는 엄마 아빠보다 애 잘 키우면 좋은 가족, 그게 동거하는 연인이나 한 부모 가족이라도 애만 잘 키우면 상관없다는 ‘동반 가족’ 개념을 저희는 제안합니다.”-입양이나 이민을 활성화하면요?“우리는 아직도 애를 수출하는 나라입니다. 입양이 아동 학대 등 부작용을 일으킬까 걱정하지만 사회 재생산 시스템이 무너진 상황에서 해볼 수 있는 건 다 해봐야죠. 비혼 출산도 폭넓게 인정해야 합니다.”이 원장은 그러나 이민에 대해서는 “우리는 이민을 저렴한 노동력 대체 수단으로 보는 측면이 강하고, 해외에서도 이민을 통한 인구 증가 효과가 크지 않았다. 다문화 수용성이 높지 않은 국가인 만큼 현재 인력 운용에 더 집중해야 한다”며 신중한 태도를 보였다.29일 서울 중구 한국프레스센터에서 열린 2024 인구경영 우수기업 시상식에서 수상기업들과 기념촬영을 하고 있는 정운찬 한반도미래인구연구원 이사장과 이인실 한반도미래인구연구원장. /뉴스1-경제학자로서, 저출생 문제에서 가장 집중해야 하는 숫자는 뭔가요?“현재 30%를 넘은 1인 가구 비율입니다(2022년 34.1%였던 1인 가구는 2052년 41.3%까지 높아질 것으로 전망된다). 출생률이 떨어지는 것도 문제지만 혼자 갇혀 사는 사람이 많아진 거예요. 남혐·여혐 갈등이 심해지고, ‘출산이 맞느냐 출생이 맞느냐’ 같은 소모적 논쟁으로 서로 갈등합니다. ‘나만 소중하다’는 교육이 공동체를 약화하고, 결혼과 출산을 희생이라 여기게 하죠. 꼭 부부가 아니더라도 서로 참견하며 더불어 사는 나라가 오래갑니다.”이 원장은 또 이렇게 말했다. “젊을 땐 여성이라 피해를 보았다는 생각만 해왔는데, 여성이라 혜택 받은 부분도 분명히 있더라고요. 시부모, 친정 식구들, 다 같이 키워 장성한 애가 둘입니다.” 그의 사무실 벽에 붙어 있는 구호가 그제야 눈에 들어왔다. ‘기업이 인구 회복의 길에 앞장선다.’"
2024-12-09,비상계엄 여파로 정치 테마주 기승... 이재명 안철수 관련주는 급등세,"윤석열 대통령의 비상계엄사태에 이은 정국불안으로 한국 주식시장이 급락하고 , 달러 환율은 연일 오르고 있다. 9일 오후 서울 중구 무교동 하나은행 딜링룸 전광판에 코스피 지수와 환율이 나오는 가운데 딜러들이 바쁘게 움직이고 있다.이날 코스피는 전일 대비 67.58포인트(2.78%) 떨어진 2360.58로 마감했다./전기병 기자비상계엄 여파로 정치적 혼란이 이어지면서 주식시장에서 이재명 더불어민주당 대표와 한동훈 국민의힘 대표, 안철수 국민의힘 의원 등 주요 정치인과 관련된 ‘정치 테마주’가 급등락했다.9일 이재명 대표가 과거 근무했고 대선 출마 선언도 했던 자동차 부품 제조 업체 오리엔트정공은 29.84% 급등했다. 회사 대표가 이 대표의 캠프 후원회 공동회장을 맡았던 소프트웨어 개발 업체 수산아이앤티도 30% 급등하며 상한가를 기록했다. 이 대표의 고향인 안동에 있다는 이유로 ‘이재명 테마주’로 분류되는 동신건설도 이날 29.85% 폭등했다. 미디어 업체 중에서는 야권 성향인MBC의 자회사iMBC가 정치 테마주로 분류되며 주가가 29.98% 급등했다.안철수 의원이 창업한 정보보안 기업 안랩 주가는 25.57% 오른 8만2000원으로 마감했다. 윤석열 대통령 탄핵 소추안이 국민의힘 의원들의 투표 불참으로 불성립된 가운데, 안 의원이 투표에 참여하며 존재감이 커졌기 때문이다. 안랩 출신 송태종 전 대표가 일했던 경력으로 ‘안철수 테마주’로 분류되는 써니전자도 29.73% 올랐다.반면, 한동훈 국민의힘 대표의 테마주로 분류되는 오파스넷은 1.48%, 대상홀딩스는 7.59%, 태양금속은 9.94% 각각 하락했다. 오파스넷의 경우 신동훈 사외이사가 한 대표와 사법연수원 동문, 대상홀딩스는 양동운 사외이사가 한 대표와 서울대 법대 동문으로 알려져 있다. 태양금속은 한우삼 대표가 한 대표와 같은 청주 한씨라는 점에서 한동훈 테마주로 분류된다. 한 대표의 현대고 동창인 배우 이정재가 주주로 있는 아티스트유나이티드도 이날 선행 매매 의혹 조사 등의 악재가 더해져 24.58% 하락했다.김건희 여사 테마주 중에서는 코바나컨텐츠의 최대 후원사였던 건축설계 업체 희림이 5.38% 하락했고, 전시회를 후원했던 한미글로벌(-3.06%)과 노루페인트(-4.74%)도 약세를 보였다. 도이치모터스는 2.95% 떨어졌다.정치 테마주는 실적이 아닌 소문에 쉽게 휘둘려 변동성이 극심한 만큼 투자에 유의해야 한다는 조언이 나온다. 남길남 자본시장연구원 선임연구위원은 “기업 가치와 본질적으로 관련이 없는 정치 테마주는 시간이 지날수록 주가가 하락하는 경향이 공통적으로 관찰되었다”고 말했다. 김용구 상상인증권 연구원은 “한동안 정치 테마주가 기승을 부릴 공산이 크나 관련주의 말로는 언제나 비참했다는 점에 유의할 필요가 있다”고 경고했다."
