date,title,content
2024-12-24,[기업 브리핑] 한미반도체 11개 단체에 1억3000만원 기부 외,"한미반도체 11개 단체에 1억3000만원 기부한미반도체가 연말연시를 맞아 국내외 11개 단체에 1억3000만원을 기부했다고 23일 밝혔다. 세이브더칠드런, 전국천사무료급식소, 월드비전과 같은 기관을 통해 저소득층, 피해 학대 아동, 자립 준비 청년 등 도움이 필요한 계층을 돕겠다는 계획이다. 올해는 처음으로 6·25 참전 용사들을 찾아 사진을 찍어주는 ‘프로젝트 솔저’에도 기부금을 나눴다.현대건설 층간소음 1등급 바닥구조 첫 상용화현대건설은 자체 개발한 층간 소음 1등급 바닥 구조 ‘H 사일런트 홈 시스템 Ⅱ’를 내년 상반기 준공 예정인 서울 강남구 ‘디에이치 대치 에델루이’에 처음 적용한다고 23일 밝혔다. 층간 소음 1등급 바닥 구조를 아파트에 실제 적용하는 것은 국내 건설사 중 현대건설이 처음이다."
2024-04-12,"한미반도체, 마이크론에 226억원 HBM 장비 공급","반도체 장비 업체 한미반도체는 미국 마이크론으로부터 226억원 규모의 장비 공급 계약을 수주했다고 11일 밝혔다. 한미반도체가 이번에 공급하는 품목은 고대역폭 메모리(HBM) 공정에 필요한 ‘듀얼TC본더’라는 장치로, 반도체 칩을 웨이퍼(기판)에 부착하고 쌓는 역할을 한다. 이 장비들은 대만에 있는 마이크론 공장에 납품될 예정이다. 앞서 한미반도체는 지난해부터 최근까지SK하이닉스로부터 듀얼TC본더 장비를 2000억원어치 수주했다.한미반도체는 웨이퍼 세척·건조·선별 장비 세계 점유율 1위 회사다. 지금까지 320여 가지 장비를 직접 개발했고, 최근에는 인공지능(AI) 반도체 핵심 부품인HBM제작 장비를 개발해 대형 반도체 업체들에 공급하고 있다."
2023-12-05,‘한국 반도체 장비 업계 선구자’ 곽노권 한미반도체 회장 별세,"한국 반도체 장비 산업 발전을 이끈 한미반도체 곽노권(85) 회장이 4일 별세했다. 곽 회장은 1967년부터 모토로라코리아에서 근무한 경험을 바탕으로 1980년 한미금형(한미반도체의 전신)을 설립해 반도체 장비 업계에 뛰어들었다.곽 회장이 1998년 개발을 주도한 비전플레이스먼트(웨이퍼 세척·건조·선별 장비)는 2004년부터 현재까지 한미반도체가 세계 시장 점유율 1위를 지키고 있다. 그는 42년 동안 회사를 이끌며 여러 반도체 장비 국산화를 주도했고, 한미반도체는 장비 320여 가지를 자체 개발했다. 최근 한미반도체는 인공지능(AI) 반도체 핵심 부품인HBM(고대역폭메모리) 제작 장비 개발에 성공했고, 시가총액 5조원이 넘는 기업으로 급성장했다.곽 회장은 2013년 금탑산업훈장을 받았고, 1991년엔 한국반도체산업협회 부회장을 맡았다. 장례는 한미반도체 회사장으로 치러진다. 유족은 자녀 곽동신(한미반도체 대표), 혜신·명신·영미·영아씨 등이 있다. 빈소는 삼성서울병원 장례식장, 발인은 6일."
2023-12-04,한미반도체 창업주 곽노권 회장 별세... 반도체 장비 국산화 주도,"한미반도체 곽노권 회장. /조선DB국내 반도체 장비업체 한미반도체의 창업주 곽노권 회장이 4일 향년 85세로 별세했다. 곽 회장은 1967년 모토로라코리아에 입사한 이후, 1980년 한미금형(현 한미반도체)을 설립해 반도체 장비 국산화에 뛰어들었다. 그가 1998년 개발을 주도한 비전플레이스먼트 장비는 현재까지 세계 시장 점유율 1위로, 이후 한미반도체는 국내 대표 반도체 장비 중견기업으로 성장했다. 곽 회장은 지난 2013년 금탑산업훈장을 수훈했고, 1991년 한국반도체산업협회 부회장을 맡기도 했다. 빈소는 삼성서울병원 장례식장 17호실. 유족 아들 곽동신(한미반도체 대표이사 부회장)씨, 딸 곽혜신·명신·영미·영아씨가 있다. 발인은 오는 12월 6일."
2024-06-28,‘반도체 포럼’ 에 간 한미 산업장관… “공급망·R&D 협력 성과” 강조,"안덕근(오른쪽) 산업통상자원부 장관과 지나 러몬도 미국 상무부 장관이 27일(현지 시각) 미국 워싱턴DC에 위치한 아담스호텔에서 열린 한미 공급망 산업대화에서 악수하고 있다./산업부한국과 미국의 산업부장관 간 제2차 한미 공급망·산업대화(SCCD)가 개최됐다. 양국 장관은 반도체·첨단제조·공급망 회복력·이중용도 수출통제 등에 대한 협력 성과를 점검하고 협력 논의를 이어가기로 했다.안덕근 산업통상자원부 장관은 27일(현지시각) 미국 워싱턴DC에서 지나 러몬도 미국 상무부 장관과 ‘제2차 한미 공급망·산업대화’(SCCD)를 열고 첨단산업·공급망 회복력과 수출 통제 등에 대한  협력 성과를 점검했다.SCCD는 지난 2022년 5월 조 바이든 미국 대통령의 방한을 계기로 설치·합의한 첨단산업  및 공급망 협력 채널이다. 반도체, 첨단제조, 핵심광물을 포함한 첨단산업 및 공급망  회복력 등을 분과로 두고 있다.안 장관과 러몬도 장관은 회의 직전 한미 반도체협회가 공동 주최한 민관  반도체 협력 포럼에 함께 참석했다. 두 장관은이 자리에서 미국 상무부가 최근 삼성전자의 텍사스주 첨단 반도체 시설 및SKC계열사인 앱솔릭스와 체결한 비구속적 예비각서에 대해 평가했다.  앱솔릭스는 미국 조지아주에 위치한 고급 패키징 및 기판기술 기반시설이다.이어 양국 장관은 공급망과 인력개발 및 연구개발(R&D) 협력 성과를 강조했다. 이후 양국 장관은SCCD헬스케어 분과에서 한미 기업 간 원격의료 화상 쇼케이스, 한미 바이오 라운드테이블 등을 통해 양국 간 헬스케어 분야의 혁신과 공급망 협력이 강화되고 있다고 평가하기도 했다.양국 장관은 한미 핵심광물 공급망 협력을 심화하기 위해SCCD핵심광물 소분과를 통한 논의를 계속할 것을 지시하기도 했다."
2024-12-17,[경제계 인사] 티와이홀딩스 대표이사 오동헌 외,"티와이홀딩스 대표이사 오동헌태영그룹 지주회사 티와이홀딩스는 오동헌 부사장이 사장으로 승진해 신임 대표이사에 내정됐다고 16일 밝혔다.한미반도체 회장 곽동신한미반도체는 곽동신(50) 부회장이 회장으로 승진했다고 16일 밝혔다. 곽 회장은 한미반도체 곽노권 창업주의 아들로, 1998년 회사에 입사했다."
2023-03-08,"김성한 “한미, 반도체법 등  한국 기업 불공평 대우 최소화”","“尹방미 때 대북억제 실행력 강화”“美, 전략자산 전개·연합훈련으로 한미 방위공약 신뢰 제고 기대”미국을 방문 중인 김성한 국가안보실장은 “인플레이션 감축법(IRA)과 반도체법 같은 미 산업정책 이행 과정에서 주요 동맹인 한국의 기업이 불공평한 대우를 받거나 예기치 못한 불확실성에 직면할 가능성을 최소화하기로 했다”고 밝혔다.윤석열 대통령의 국빈 방문을 조율하기 위해 미국을 방문한 김성한 국가안보실장이 7일(현지 시각) 워싱턴DC에 있는 한국문화원에서 특파원과 간담회를 하고 있다. /연합뉴스김 실장은 7일(현지 시각) 워싱턴DC의 한국문화원에서 가진 워싱턴특파원 간담회에서 “우리 기업의 활동을 지원하고 한미간 경제적 교류를 더 활성화하기 위해 긴밀히 소통해서 필요한 조치를 모색하기로 했다”며 이 같이 밝혔다. 이어 “경제안보가 최대 화두로 떠오는 시기에 위기 극복을 위한 공급망 구축과 원자력·우주·청정에너지·사이버 등 첨단 분야에서 새 성장동력을 모색하고 민간기술 보호와 국제 공조에서 필요한 분야의 협력을 강화할 것”이라고 했다.우리 정부 고위당국자는 이와 관련 “미국이 동맹이나 우방국에 (반도체지원법이) 어떤 영향을 미칠지에 대해 상당히 신경 쓰고 있는 눈치였다”며 반도체법이 한국 기업 등에 미칠 영향을 먼저 분석하고 우려에 대해 답하겠다는 입장을 밝혔다고 했다. 또IRA와 관련 “4월 정상회담 전에 상당한 진전이 이뤄져야 한다”며 “이번 달 미국이 관련 시행령을 발표할 때 돌파구가 열리는 방안으로 상황이 진전되길 기대한다”고 했다.한편 김 실장은 한국 정부의 강제징용 피해보상 해법과 관련 “미 측은 한·일 관계 개선을 위한 우리 정부의 결단을 높게 평가하고, 지속 가능한 양국 관계 발전으로 이어지도록 계속해서 윤 대통령과 기시다 후미오 일본 총리를 지지하겠다고 했다”고 말했다. 한국 정부 발표가 미국 국빈 방문 결정과 관계가 있는 것 아니냐는 질문에 “과도한 해석”이라며 “강제징용 해법과 관련한 중요한 결정이 내려지기 훨씬 전부터 국빈 방미가 논의돼 왔고, 사실상 의견접근이 상당 부분 이뤄진 상태였다”고 말했다. 한·미 양국은 이번 정상회담에서 동맹의 비전이나 양국 관계를 한 단계 끌어올리고, 이를 구체화하는 내용을 담은 공동성명을 발표할 방침으로 알려졌다.고위당국자는 윤 대통령의 미 의회 상·하원 합동 연설에 대해 “아직 결정되지 않았지만, 미국도 열린 자세로 임하고 있다”고 말했다. 백악관도 이날 보도자료를 내고 “김 실장과 설리번 보좌관은 인도·태평양 지역에서 변화하는 위협에 대응하기 위해 안보 협력의 끈을 강화해 긴밀히 협력하는 방안을 논의했다”며 “설리번 보좌관은 한국 방위에 대한 미국의 공약, 특히 대북확장억제를 위해 모든 방어 자산을 동원하겠다는 미국의 공약은 철통같다고 재확인했다”고 밝혔다.또 “동맹 및 협력국의 지속적 번영을 위해 양국의 기술적 우위를 보호하고 진전시키는 것과 경제적 강압에 대응하고, 공급망 문제 및 사이버 네트워크 등의 취약성에 대처하는 데 있어 지속해서 공조한다는 방침을 확인했다”고 설명했다. 네드 프라이스 국무부 대변인도 이날 브리핑에서 윤 대통령 국빈 방문에 대해 “바이든 정부의 두 번째 국빈 방문으로 우리에게 동맹국인 한국이 그 명예의 자리를 갖는 것이 중요하다”고 말했다.정부 고위당국자는 미국 주도의 안보협의체 쿼드 실무그룹 참여와 관련 “공감한다. 적극적으로 참여를 가속해야 하지 않나 생각한다”고 했다. 지난달 13일(현지 시각) 웬디 셔먼 미 국무부장관은 한미일 외교차관 회담 이후 기자회견에서 ‘쿼드 플러스’에 한국이 참여할 필요성을 설명한 상원 외교위원회의 인도태평양 전략 보고서와 관련해 “새로운 포맷에 열려 있다”고 했었다."
2024-06-28,"韓美 “반도체, 한미동맹의 핵심… AI때문에 더 중요해져”","美워싱턴서 ‘한미 반도체 포럼’ 개최27일 미국 워싱턴DC헤이 아담스 호텔에서 열린 '한미 반도체 포럼'에서 참석자들이 기념 촬영을 하고 있다. 왼쪽부터 김정회 한국반도체협회 상근부회장, 안덕근 산업통상자원부 장관, 지나 러몬도 미국 상무장관, 존 뉴퍼 미국반도체산업협회장. /연합뉴스한국과 미국의 반도체 산업 분야 협력을 강화하기 위한 ‘한미 공급망·산업 대화(SCCD) 반도체 포럼’이 27일 미국 워싱턴DC에서 개최됐다. 양국 반도체협회 주최로 처음 열린 민관 포럼으로 안덕근 산업부 장관, 지나 러몬도 상무장관이 참석한 가운데 기술 개발·인력 양성·공급망 안정 현황 등을 논의하고 신흥 시장에서의 비즈니스 협력, 기술 개발, 인력 양성, 투자 활성화 등 협력을 추진하기로 했다.안 장관은 이날 오후 열린 포럼에서 “가전과 휴대전화 뿐만 아니라 방위 산업에도 반도체가 필요하다”며 “한미 안보동맹이 공급망과 산업, 과학기술을 아우르는 동맹으로 진화하는 과정에서 반도체 협력이 양자 동맹의 핵심 기둥(Pillar)을 구성할 것으로 믿는다”고 했다. 올해 하반기 캘리포니아주 세너제이에 들어설 ‘한미 인공지능(AI) 반도체 혁신센터’를 언급하며 “양국 간 기술 협력을 지원하고 석·박사, 청년 인력 교류 확대를 통한 인력 부족 문제에서 공조할 것”이라고 했다.러몬도 장관은 한미가 지난해 4월 윤석열 대통령의 국빈 방미(訪美)를 계기로 전략 산업에서의 협력 확대를 합의한 것을 언급하며 “반도체는 1년 전에 전략적으로 중요했고 이제AI때문에 그만큼 더 중요해졌다”고 했다. 또 삼성전자·SK하이닉스가 미국에 반도체 공장을 짓고 투자하는 것에 사의를 표하며 “AI떄문에 (반도체가) 더 중요해졌다” “미국에서 생산하는게 필요하다”고 했다. 상무부와 인디애나주가AI기술 구현을 위한 차세대 메모리반도체로 주목 받고 있는SK하이닉스의 고대역폭메모리(HBM) 생산을 위해 힘쓰고 있다는 점도 강조했다. 한미 반도체산업협회는 이날 두 장관이 지켜보는 가운데 반도체 공급망 협력을 위한 양해각서(MOU)에 서명했다.安장관 “한·미·일, 경제동맹 수준 협력 심화”안덕근 산업통상자원부 장관이 27일 오전 미국 리츠칼튼 호텔에서 열린 워싱턴특파원 간담회에서 모두 발언을 하고 있다. /뉴스1한편 안 장관은 이날 오전 워싱턴특파원 간담회에서 전날 사상 처음 개최된 한·미·일 산업장관 회의에 대해 “산업 기술 정책에 대해 심도 있는 협력관계를 구축하는 매우 의미있는 첫 걸음”이라며 “그야말로 한·미·일 경제동맹이라 할 정도로 높은 수준으로 (협력이) 심화됐다”고 했다. 정부 고위 당국자는 3국 공동성명에 ‘세계 평화·안보를 위협하고 인권을 침해하려는 자들의 기술 발전을 거부한다’는 중국 견제 메시지가 들어간 것에 대해 “경제 안보에 대해 고려하는 범위·방식이 국가마다 다르다”며 “저희는 상당히 원론적으로 보고 있다”고 했다. “세계적으로 이중 용도 품목에 대한 인식이 제고되고 있고, 미국은 레거시 반도체에 대해 여러가지 제한을 하려는 움직임이 있지만 아직까지 구체적 통제 조치들을 얘기하고 있는 것은 없다”고도 했다. 이와 관련 한·중 산업장관회의도 하반기를 목표로 일정을 조율하고 있는 것으로 알려졌다.정부 고위 당국자는 동해 가스전 개발에 대해선 “이명박 정부 때 여러 오류도 있었지만 자원 개발을 너무 극단적으로 방치하는 수준으로 가서는 안 된다”며 “우리가 더 적극적으로 나서고 정상화해야 할 필요가 있다”고 했다. 이 사업의 타당성과 관련해 “현재 4~5곳의 글로벌 메이저 자원개발업체들이 석유공사의 사업 설명회 이후 더 구체적인 자료 분석을 통해 투자 참여 의향을 보인다”며 “자료의 객관성에 대해 이들 업체도 문제 제기를 하지 않는 것으로 안다”고 했다."
2024-04-18,"삼성 이재용, 포브스 ‘韓 50대 부자’서 처음 1위 오른 이유는","반도체 회사 3곳 대표 신규 진입포브스가 매년 발표하는 대한민국 50대 부자 순위에서 2024년 이재용 삼성전자 회장이 자산 115억달러(약 15조9000억원)로 처음으로 1위에 올랐다. 작년 1위 김병주MBK파트너스 회장을 제쳤다.포브스는 삼성전자가 엔비디아와 메모리칩을 개발하고 있다는 소식에 주가가 올랐고, 이 회장의 자산 가치도 상승했다고 분석했다. 50위 부자에 새로 포함된 인물은 4명이었는데, 이 중 3명은 반도체 관련 기업 인물이었다. 포브스는 지난 2일 주식시장 장 마감을 기준으로, 기업 사업 보고서 등 자료를 기반으로 자산 가치를 평가했다. 자체 조사에서 주식 재산을 주요 자산 평가로 삼고 부동산, 미술품 등은 정확히 파악되지 않는 경우도 있다.이재용 삼성전자 회장이 작년 10월 19일 경기도 삼성전자 기흥캠퍼스를 찾아 차세대 반도체 R&D 단지 건설 현장을 점검하고 있다./삼성전자최근 몇 년간 국내 부자 순위 1위는 자수성가형 부자들이 차지해왔다. 2021년 서정진 셀트리온 명예회장, 2022년 김범수 카카오 의장, 작년 김병주 회장이 1위를 기록했다.김병주 회장은 올해 자산 97억달러(약 13조4100억원)로 평가돼 2위를 기록했다. 3위는 서정진 셀트리온 명예회장(75억달러)이었다. 이어 4위 조정호 메리츠금융지주 회장(62억달러), 5위 정몽구 현대차그룹 명예회장(46억달러) 순이었다.아시아 최대 규모 사모펀드MBK의 김병주 회장./김지호 기자6~10위는 김범수 카카오 의장, 홍라희 전 리움미술관장, 곽동신 한미반도체 부회장, 권혁빈 스마일게이트 최고비전제시책임자(CVO), 정의선 현대차그룹 회장이 기록했다.올해 새로 50위 안에 진입한 인물은 4명이었다. 곽동신 한미반도체 부회장(8위·39억달러), 박순재 알테오젠 대표(23위·14억3000만달러), 이채윤 리노공업 사장(35위·10억달러), 정지완 솔브레인 회장(48위·8억달러)이었다. 바이오기업 알테오젠을 제외하고 3곳은 모두AI반도체 관련 기업이었다.반도체 장비기업 한미반도체 곽동신 부회장은 창업주 고(故) 곽노권 회장의 아들이다. 반도체 장비 국산화에 성공한 한미반도체는 ‘비전플레이스먼트’ 장비에서 세계 시장 점유율을 차지하며 국내 대표 반도체 중견기업으로 성장했다.이채윤 사장은 리노공업 창업주다. 반도체 테스트에 쓰이는 프로브 핀(탐침)과 소켓을 국내 최초로 개발해 테스프 핀인 ‘리노핀’을 국내외 1020여개 회사에 납품하고 있다.AI가 탑재된 스마트폰과 노트북 출시가 이어지면서 올해 업황이 더 좋을 것으로 전망된다.정지완 솔브레인 회장도 창업주다. 무역회사인 ‘테크노무역’을 설립해 이후 반도체·디스플레인 소재 기업 솔브레인으로 키워냈다. 삼성전자,SK하이닉스 등에 여러 반도체 소재를 공급하고 있다.포브스는 작년 한국의 증시는 아시아에서 최악의 성적을 거뒀음에도 인공지능(AI)과 반도체 투자 열풍 영향으로 한국 50대 부자의 총자산이 2023년 1060억달러에서 올해 1150억달러(약 159조400억원)로 증가했다고 분석했다."
2024-02-28,안중근 유묵 13억 낙찰… 독립운동가 후손 기업이 구입,안중근 의사의 유묵 '인심조석변산색고금동'안중근 의사의 미공개 유묵이 27일 경매에서 13억원에 낙찰됐다. 서울옥션은 이날 경매에서 안중근 의사의 유묵 ‘인심조석변산색고금동(人心朝夕變山色古今同)’이 시작가 6억원에 출품돼 13억원에 낙찰됐다고 밝혔다. ‘사람의 마음은 아침저녁으로 변하지만 산색은 예나 지금이나 같다’는 의미의 이 유묵에는 안 의사의 수인(手印)과 함께 1910년 3월 뤼순(旅順) 감옥에서 썼다는 문구가 적혀 있다.낙찰자는 독립운동가 곽한소 선생의 후손인 고(故) 곽노권 회장이 창립한 한미반도체다. 서울옥션은 “한미반도체는 독립유공자 후손으로서 자부심과 애국 정신을 강조했던 곽노권 회장의 뜻을 기리기 위해 일본 소장자가 갖고 있던 이 유묵을 구입했다”고 전했다.안 의사의 유묵은 작년 12월 서울옥션 경매에서 ‘용호지웅세기작인묘지태(龍虎之雄勢豈作蚓猫之態)’가 19억5000만원에 낙찰되는 등 최근 경매에서 고가에 거래되고 있다.
