date,title,content
2024-01-31,"한샘, 32년만에 브랜드 로고 개편…""역사·철학 계승 현대적 재해석""","한샘 신규BI(BrandIdentity)종합 홈 인테리어 전문기업 한샘이 32년 만에 브랜드 로고를 바꿨다.한샘에 따르면 새 로고는 디지털 환경에 맞춰 좀 더 선명한 색감, 현대적인 느낌의 간결한 디자인을 적용했다. 이번 로고 변경은1992년 이후 32년 만이다.한샘의 오랜 역사와 철학을 계승한다는 취지로 기존 로고의 핵심 요소는 유지했다. 한샘은 지난 1992년부터 한샘의 영문 사명인 ‘HANSSEM’을 9개의 크리에이티브 블록과 빨강, 노랑, 파랑의 삼원색으로 표현한 로고를 사용했다. 가로와 세로, 대각선으로 길게 뻗어있는 크리에이티브 블록은 한샘의 역동적인 확장성을 상징한다. 모든 색의 시작을 의미하는 삼원색은 다양성을 의미한다.한샘 측은 “홈 인테리어 1위 기업으로 쌓아온 전문성과 전통성은 이어가되 현 시대에 맞는 유연한 브랜드로 거듭나겠다는 의미를 담았다”고 했다.한샘의 기존 로고(왼쪽)과 새 로고/한샘최근 한샘처럼 기존 로고의 주요 특징은 유지하면서 조금씩 바꾸는 기업이 늘었다. 핵심적인 색상이나 모양은 유지하면서도 로고를 더욱 간결하게 만드는 것이다. 브랜드의 정체성과 전통을 유지하면서도 세련되고 깔끔한 이미지로의 전환을 추구하는 것으로 해석된다.다른 기업들도 비슷한 변화를 시도하고 있다. 당근마켓은 지난해 서비스명을 ‘당근’으로 변경하며 로고를 리뉴얼했다. 주황색과 당근 모양은 유지하되, 당근 위의 왕관 모양 잎파리를 하트 모양으로 바꿔 새로운 철학을 담았다. E편한세상도 2020년 로고에서 구름 모양 안의 글자를 제거하고 주황색 구름 모양만으로 브랜드를 표현하는 방식으로 간결함을 추구했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-02-01,[기업 브리핑] 한샘 32년 만에 브랜드 로고 변경 외,"한샘 32년 만에 브랜드 로고 변경홈 인테리어 전문 기업 한샘이 1992년 이후 32년 만에 브랜드 로고<사진>를 변경했다고 31일 밝혔다.배상면주가 제품 19종 출고가 인하배상면주가는 산사춘, 느린마을소주21 등 주력 제품 19종의 출고 가격을 최대 5.3% 인하했다고 31일 밝혔다. 느린마을소주21은 5.3% 인하돼 7040원에서 6666원이 됐고, 산사춘(300mL)은 4.7% 내려 2805원에서 2673원이 됐다."
2023-07-12,한샘 대표 바뀐다…40대 김유진 본부장 내정,"한샘을 인수한IMM프라이빗에쿼티(IMMPE)가 김유진IMM오퍼레이션즈본부장을 신임 대표로 내정했다./연합뉴스가구업계 1위 한샘 대표가 교체된다.12일 업계에 따르면 한샘을 인수한IMM프라이빗에쿼티(IMMPE)는 김유진(42)IMM오퍼레이션즈본부장을 신임 대표로 내정했다. 기존 김진태 대표가 지난해 1월 취임한지 약 1년 반만이다. 김 본부장은 오는 13일 열리는 이사회에서 의결을 거쳐 대표로 선임된다.김 본부장은 한국과학기술원(KAIST) 전산학과를 졸업하고 서울대 경영대학원에서 석사학위를 받았다. 이후 보스턴컨설팅그룹(BCG)을 거쳐 2009년 국내 사모펀드인IMMPE에 합류해 할리스에프앤비, 레진코믹스 등의 인수를 주도했다. 현재 화장품 브랜드 미샤를 운영하는 에이블씨엔씨의 대표도 겸직하고 있다.1년 반만에 대표가 교체된 것을 두고 김 대표에게 최근 이어진 영업손실에 대한 책임을 물은 것이 아니냐는 해석이 나온다. 한샘은 부동산 경기 침체의 영향으로 지난해 217억원의 영업손실을 냈다. 한샘이 연간 적자를 낸 것은 2002년 유가증권시장 상장 이후 처음이었다."
2023-07-13,[경제계 인사] 한샘 신임 대표에 김유진,"한샘을 인수한IMM프라이빗에쿼티는 12일 김유진(42)IMM오퍼레이션즈 본부장을 한샘 신임 대표로 내정했다고 밝혔다. 한국과학기술원(KAIST) 전산학과를 졸업한 김 신임 대표는 보스턴컨설팅그룹(BCG)을 거쳐 2009년부터IMMPE에서 일해왔다. 커피 브랜드 할리스커피 대표를 지냈고, 현재는 화장품 브랜드 미샤를 운영하는 에이블씨엔씨 대표를 맡고 있다."
2023-02-09,"한샘, 상장 이후 첫 적자전환… 부동산 거래 수요 둔화 여파","가구업계 1위 한샘이 지난해 영업손실 217억원으로 적자전환했다고 9일 밝혔다. 한샘이 연간 적자를 낸 것은 2002년 코스피 상장 이후 처음이다. 매출도 2조1억원으로 2021년 대비 10.4% 감소했다.서울 마포구 상암동 한샘 본사. /김연정 객원기자특히 지난해 4분기 매출이 4970억원으로 전년 동기 대비 13.4% 감소했고, 영업손실이 203억원 발생했다. 2021년 4분기에도 영업손실이 62억원 발생했는데 적자 폭이 더욱 커진 것이다. 한샘은 부동산 경기 침체로 가구 구매 수요가 감소하면서 실적이 악화했다고 설명했다.한샘은 이에 대해 “지난해 금리 인상 등 대외 환경이 악화된 결과”라고 했다. 한국부동산원 통계에 따르면 지난해 전국 아파트 매매 거래량이 전년 대비 55% 감소했는데, 이처럼 부동산 거래량이 급감하면서 가구에 대한 수요도 둔화됐다는 것이다. 세계적 인플레이션으로 원자재 가격이 상승한 것도 영향을 미쳤다.한샘은 “최근에는 금리 인상 폭이 완화되며 부동산 시장이 해빙되는 분위기”라며 “이에 맞춰 올해도 투자를 이어갈 것”이라고 했다. 한샘은 올해 1분기 중으로 인테리어·리모델링 전문 콘텐츠를 담은 정보탐색 채널인 한샘몰·한샘닷컴 통합 플랫폼을 출범할 계획이다."
2023-03-02,"한샘, 공개매수 여파로 주가 20% 급등","서울 마포구 상암동 한샘 본사. /조선DB국내 증시에서 공개 매수가 꼬리를 물고 있다. 2일 가구업체 한샘의 주가는 전 거래일보다 19.3% 급등한 5만3700원에 마감했다. 장중 한때 21.5% 상승한 5만4500원까지 오르기도 했다. 한샘 최대주주인 사모펀드 운용사IMM프라이빗에쿼티(IMMPE)가 이날부터 오는 21일까지 한샘 주식 7.7%를 주당 5만5000원에 공개매수하겠다고 밝혔기 때문이다. 총 매수 금액은 1000억원에 달한다. 통상 공개매수가가 주가보다 높으면 주가가 상승한다.앞서 하이브는 지난 1일까지SM엔터테인먼트 주식을 주당 12만원에 공개매수했고,MBK파트너스 등 사모펀드 컨소시엄으로 이뤄진 덴티스트리인베스트먼트도 지난 1~2월 오스템임플란트 주식을 공개매수했다.SM과 오스템임플란트의 주가는 공개매수 기간 동안 각각 29.5%, 8.5% 상승했다.IMMPE가 밝힌 공개매수 목적은 경영권 안정으로, 목표 물량을 모두 채우면 보유 지분은 현재 28.2%에서 36.0%로 늘어난다. 최근 주가가 적정 가치보다 낮은 수준으로 평가받고 있어 매수에 나선 것으로 보인다."
2023-02-01,"검찰, ‘신축 아파트 가구 담합’ 한샘 등 가구업체 10여 곳 압수수색","신축 아파트용 가구 입찰 담합 사건을 수사 중인 검찰이 1일 가구업체 한샘 등을 압수수색하며 강제 수사에 나섰다.서울 서초구 서울중앙지검./연합뉴서울중앙지검 공정거래조사부(부장 이정섭)는 이날 오전부터 한샘과 현대리바트, 에넥스, 넥시스 등 가구업체 10여곳에 수사관을 보내 담합 관련 자료들을 확보 중이다.이들 업체는 신축 아파트에 빌트인 형태로 들어가는 ‘특판 가구’ 납품 과정에서 가격 등을 담합해 공정거래법 등을 위반한 혐의 등을 받는다. 검찰은 압수물 분석을 마치면 관계자 소환에 나설 전망이다.통상 입찰 담합 사건의 경우 공정거래위원회가 조사해 고발하면 검찰이 수사에 나서는데, 이 사건은 검찰이 먼저 인지해 수사를 진행 중인 것으로 알려졌다. 공정위도 이 사건에 대해 조사 중이며 아직 고발은 하지 않았다."
2022-06-28,“주가 10만원선 오를때까지 최저임금만”…월급 191만원 받는 한샘 대표,"김진태 한샘 대표/뉴스1김진태 한샘 대표가 회사 주가가 10만원선을 회복할 때까지 최저임금만 받기로 했다.28일 한샘에 따르면 김진태 한샘 대표는 공지를 통해 “회사의 월 매출이 작년 동기보다 10% 이상 증가하거나 주가가 10만5000원에 도달할 때까지 최저임금만 받을 것”이라는 입장을 밝혔다.실제로 김 대표는 지난달부터 최저임금을 적용한 월급 191만원(세전)을 받은 것으로 나타났다.김 대표의 이런 결정은 한샘의 실적 개선과 주가 상승에 대한 강력한 의지를 드러내기 위한 조치라고 사측은 설명했다.지난해 한샘은 원자재 비용 상승과 아파트 거래 감소 등의 여파로 전년보다 26.9% 줄어든 681억원의 영업이익을 기록했다. 올해 1분기 영업이익도 지난해 동기보다 60.2% 감소했다.27일 한샘 주가는 전날보다 3.83% 오른 6만5100원에 마감했다. 한샘 주가는 2015년 34만7000원대까지 치솟았다가 이후 내리막길을 걸었다. 코로나 확산 초기인 2020년 3월 4만6000원까지 떨어졌던 주가는 지난해 7월 14만9000원까지 회복했으나, 약 1년 만에 절반 이상 하락했다."
2022-04-16,주인 바뀐 한샘 “리빙 테크기업으로 성장”,"김진태 한샘 대표가 15일 열린 '애널리스트 데이'에서 한샘의 경영 전략을 발표하고 있다. /한샘한샘이 15일 ‘온·오프라인을 결합한 리빙 테크 기업으로 도약하겠다’는 새 경영 전략을 발표했다. 올 초 한샘의 최대 주주가 사모펀드 운용사인IMM프라이빗에쿼티로 바뀐 이후 내놓은 첫 경영 청사진이다.김진태 한샘 대표는 이날 주요 증권사를 대상으로 열린 ‘애널리스트 데이’ 행사에서 “전통적인 제조·유통업이 아닌 온·오프라인이 결합된 리빙 테크 기업으로 성장할 것”이라며 “2026년까지 홈 리모델링 부문 2조원을 포함해 전체 매출 4조원을 달성하겠다”고 말했다. 작년 한샘 매출은 2조2312억원이었다.한샘은 이를 위해 온라인 플랫폼 역량을 강화한다. 3D 설계 프로그램 ‘홈플래너’에 쌓인 6만여 건의 리모델링 시공 데이터를 기반으로 고객이 리모델링 관련 정보를 쉽게 찾고 스스로 설계도 해볼 수 있게 할 예정이다. 여기에 900여 곳의 오프라인 대리점과 60여 개 대형 쇼룸, 5000여 명의 전문 설계 상담 인력, 8000여 명의 시공 협력 기사 같은 기존 오프라인 역량을 더해 경쟁력을 높인다는 전략이다.현재 열흘에서 보름 정도가 걸리는 집 전체 리모델링 공사의 시공 기간도 2024년까지 5일로 단축할 계획이다. 한샘은 “효율적인 공정과 품질 관리로 ‘리모델링 5일 시공’을 실현해 나가겠다”고 했다."
2022-11-21,업계 1위 한샘 사옥까지 판다… 부동산 침체로 가구·TV도 휘청,"부동산 침체, 후방산업에 직격탄20일 서울 마포구 아현동 가구거리. 이곳 상인들은 “부동산 경기가 침체돼 이사하는 사람은 없는데, 원자재와 환율 영향으로 가구 값은 올해 초보다 20% 올랐다”며 “하루에 손님 두세 팀 받는 게 고작”이라고 했다. /김지호 기자15일 오후 서울 마포구 아현동 가구단지 거리엔 인적이 뜸했다. 서울에서 가장 오래된 가구거리인 이곳엔 60여 점포가 입점해 있다. 하지만 이날 문을 연 곳은 40여 곳뿐이었고 그나마 손님이 있는 매장은 1~2곳에 불과했다. ‘임대’라고 써붙인 빈 가게도 4~5곳이나 됐다. 한 가구점 앞에는 ‘50% 할인 판매’ ‘무인 판매, 이 계좌번호로 입금하고 가져가세요’라는 메모가 붙은 서랍장·책상 같은 가구들이 나와 있었지만 찾는 사람이 없는지 모두 먼지가 앉은 상태였다.침대 매장을 운영하는 심모(64)씨는 “아파트를 사고팔고 해야 사람들이 이사하면서 가구도 새로 장만하는데 부동산 시장이 얼어붙으니 손님이 뚝 끊겼다”고 말했다. 실제로 이곳과 가까운 마포구와 종로구의 경우 작년 10월 각각 84건, 43건이었던 아파트 매매 거래가 지난달엔 각각 16건, 4건으로 급감했다. 말 그대로 거래 실종 상태다. 30년 넘게 이 거리에서 가게를 했다는 송모(55)씨는 “이사 가는 사람들은 없는데 원자재와 환율 영향으로 가구값은 올 초보다 20% 올랐다”며 “이래저래 악재가 겹쳤다”고 말했다.고금리·경기침체로 주택 거래량이 급감하고 부동산 경기가 침체되면서 후방산업인 가구·인테리어 업계에 극심한 한파가 닥쳤다. 직격탄을 맞은 것은 소상공인뿐만 아니라 국내 대기업들도 마찬가지다. 코로나 특수가 사라진TV업계도 4년 만에 돌아온 월드컵 특수 기대는커녕 적자 축소에 안간힘을 써야 할 처지다.부동산 경기 침체에 보릿고개 닥친 가구·TV업계상암동 한샘 사옥.뉴스1국내 인테리어·가구업계 1위 한샘은 올해 3분기 영업손실 136억원을 내며 적자로 전환했다. 3분기 매출도 지난해 같은 기간보다 10.9% 줄었다. 주력인 리모델링과 가구 부문 매출이 전년 동기 대비 각각 25.1%, 16.3% 감소했다. 이런 와중에 김진태 대표이사가 서울 상암동과 방배동 사옥 매각을 추진하겠다는 입장까지 밝혔다. 신사업 추진을 위한 재원 마련이 명분이지만, 한샘 직원들 사이에서는 “상암 본사를 매입한 지 얼마 안 됐는데 벌써 사옥을 판다니 회사가 괜찮은 게 맞느냐”며 불안감이 커지고 있다. 같은 업종의 신세계까사도 홈퍼니싱 시장 위축으로 3분기 영업손실 58억원을 냈고, 현대리바트는 3분기 영업이익 5억1000만원으로 가까스로 적자는 면했지만 영업이익이 전년 동기 대비 87.3% 급감했다.TV업계도 된서리를 맞고 있다. 올해는 4년 만의 월드컵이 열리는 해다. 하지만 대회 개막(11월 20일)을 앞둔TV업계는 월드컵을 앞두고 마케팅을 강화하면서도 자칫 손해만 더 커질지 모른다는 걱정을 하고 있다. 실적 개선에 대한 기대감보단 마케팅 비용 증가로 도리어 적자 폭이 더 커질 수 있다는 것이다. 코로나 이후 소비자들이TV를 향한 지갑을 꽉 닫으면서, 세계 2위TV제조사인LG전자는 이미 2개 분기(2~3분기) 연속으로TV사업에서만 총 743억원의 적자를 봤다. 16년째 세계 1위인 삼성전자도 4분기엔TV사업에서 적자를 낼 수 있다는 전망이 증권가에서 나오고 있다.부동산 경기 침체 계속… 대책 마련 고심가구·TV업계는 부동산 빙하기로 인한 악영향을 최소화하는 방안을 고심하고 있다. 한샘은 이사하지 않아도 발생할 수 있는 수요를 겨냥해 부분 시공 강화에 나섰고, 다양한 인테리어 형태를 공유하고 제품 판매로 연결하는 플랫폼을 내년에 출시할 예정이다. 현대리바트는 경기 영향을 덜 받는 고소득층을 겨냥한 프리미엄 초고가 가구 시장 집중 공략에 나섰다. 삼성전자·LG전자는OLED(유기발광다이오드)TV등 프리미엄 제품을 중심으로 수익 개선에 집중할 계획이다.문제는 주택 거래량 감소가 당분간 해소될 기미가 보이지 않는다는 점이다. 국토교통부에 따르면 올해 1~9월 전국 주택 매매량은 41만7794건으로, 지난해 같은 기간(81만8948건)과 비교해 반 토막이 났다. 특히 수도권 주택 매매량은 16만7057건으로 지난해 같은 기간보다 58.2% 감소해 감소폭이 더 컸다. 이은희 인하대 소비자학과 교수는 “엔데믹 국면에서 주거 공간에 대한 관심이 줄어든 데다 부동산 거래량까지 급감하며 인테리어나 가전 소비 심리까지 얼어붙었다”며 “부동산 경기 침체가 이어지면 관련 후방산업만 타격을 받는 게 아니라 내수경기 침체가 깊어지는 악순환이 심화될 수밖에 없다”고 말했다."
