date,title,content
2024-11-04,[경제계 인사] 한솔제지 대표 한경록·한솔로지스틱스 고정한 외,"한솔제지 대표 한경록·한솔로지스틱스 고정한한솔그룹은 한솔제지 신임 대표이사에 한경록(45) 한솔제지 인쇄·감열지 사업본부장을, 한솔로지스틱스 신임 대표이사에 고정한(55) 한솔PNS지류유통부문 대표이사를 각각 선임했다고 3일 밝혔다.▲OCI홀딩스▷부사장 이수미 ▷상무보 황창민 ▲OCI▷사장 김원현 ▷전무 황세연 ▷상무 이은재 ▷상무보 채호석 채종옥 이진로 유성무 이인하 ▲DCRE▷부사장 정창현▲KG스틸▷부사장 김성일▲KG모빌리티▷전무 권교원 권용일▲KG에코솔루션▷상무 홍천표▲KG캐피탈▷대표이사 이석진"
2023-09-13,제지업계 “종이빨대 해롭지 않다” 검사 공개,"해외서 ‘방수 코팅 유해’ 논란국내업체들 “안전 테스트 통과”친환경으로 평가받는 종이 빨대를 둘러싼 유해성 논란에 제지 회사들이 반발하고 나섰다. 해외 한 연구소가 종이 빨대가 인체에 해롭다고 발표하자 국내 제지 업체가 일제히 “우리 회사의 종이 빨대는 무해하다”는 입장문을 내놓은 것이다.종이 빨대 유해론의 진원지는 벨기에의 한 연구소다. 지난달 벨기에 한 연구진은 종이 빨대의 방수 코팅에 인체에 해로운 ‘과불화화합물(PFAS)’이 사용되고 있다고 발표했다. 연구진이 벨기에에서 유통되는 친환경 빨대 브랜드 제품 39개를 대상으로PFAS함유 여부를 검사했더니, 69%인 27개에서PFAS가 검출됐다는 것이다. ‘영원한 화학물질’로 불리는PFAS는 자연적으로는 잘 분해되지 않는 데다 인체나 환경에 유해해 세계 각국에서 규제를 추진 중이다.독일DPA등 외신은 이 연구 결과를 집중 조명했고, 국내에도 이런 소식이 알려지면서 소비자 불안이 커졌다. 그러자 한솔제지가 자사가 만드는 종이 빨대의 유해성 여부를 검사한 시험인증기관(KOTITI시험연구원)의 성적서를 공개했다. 한솔제지는 “종이 빨대 제품 내 코팅에는PFAS가 아닌 인체에 해가 없는 수성 아크릴계 코팅제를 사용하고 있다”며 “유해 물질은 없다”고 했다. 세계 빨대 시장 점유율 1위인 서일도 제지업체 무림과 함께 “우리 회사가 만든 종이 빨대에선 유해 물질이 검출되지 않았다”는 입장문을 냈다. 서일은 무림의 종이 소재를 사용 중인데 이 소재는 미국 식품의약국(FDA)과 독일 연방위험평가연구소(BfR)의 식품 안전성 테스트를 모두 통과했다는 것이다.종이 빨대 사용은 계속 증가할 전망이다. 오는 11월 24일부터 전국 커피 전문점 등에서 음료를 마실 때 플라스틱 빨대 사용이 전면 금지된다. 이를 어기면 300만원의 과태료를 물게 된다. 지난해 11월부터 자원재활용법이 개정되면서 일회용품 사용 제한 품목이 플라스틱 빨대 등으로 확대됐는데 1년간 계도 기간을 뒀다."
2024-05-23,시민들이 찾은 ‘종이팩 재활용’ 솔루션,"숲과나눔초록열매 종이팩 컬렉티브그래픽=나소연“열심히 씻고 말려서 버렸는데 재활용이 안 된다고?”2019년 광주. 김지현씨는 이제껏 ‘종이류’로 분리배출한 종이팩이 재활용이 되지 않았다는 사실을 알게 됐다. 종이팩은 코팅된 종이라서 재활용 공정이 다르다는 것이었다. 종이팩을 재활용하려면 따로 모아 행정복지센터에 가져다주는 수밖에 없었다. 좀 억울했지만 곧바로 재밌는 생각이 떠올랐다. “우리 동네에서 나오는 종이팩들을 싹 다 모아 재활용 해볼까?”지현씨는 친구 이세형씨와 계획을 세웠다. 종이팩을 많이 사용하는 ‘카페’를 중심으로 수거하기로 했다. 첫째, 카페에서 종이팩을 잘 헹궈서 말려 놓는다. 둘째, 마을 주민 누군가 정기적으로 방문해 수거한다. 셋째, 수거한 종이팩은 정해진 거점 공간에 모아뒀다가 일정량이 모이면 행정복지센터에 가져가 화장지로 교환한다. 넷째, 교환한 화장지는 마을에 필요한 기관에 전달한다.시민 아이디어를 지원하는 공모사업이 때마침 두 친구의 눈에 띄었다. 재단법인 숲과나눔이 진행하는 ‘풀씨’ 사업이었다. 둘은 ‘카페라떼클럽’이라는 팀명으로 응모해 최종 선정됐다. 카페라떼클럽의 아이디어는 풀씨의 지원으로 현실이 됐다. 그해 가을 광주 양림동, 도산동, 송정동에 있는 카페와 베이커리 21곳에서 5주 동안 4000팩을 모았다. 종이팩을 행정복지센터에서 화장지 120롤로 교환해 지역아동센터에 기부했다.시민의 작은 아이디어 전국으로 퍼지다카페라떼클럽은 이 모델이 다른 마을에서도 작동할지 궁금했다. 2020년 이 모델을 실험할 마을을 모았다. 환경 관련 아이디어를 구체화해 사업화 단계로 나아가도록 돕는 숲과나눔의 ‘풀꽃’ 사업에 올라탔다. 6개 마을, 50개 가게가 참여했다. 10주 동안 약 340kg의 종이팩을 수거해 화장지 660롤로 교환했다. 화장지는 각 마을에서 필요한 시설에 전달했다.“이게 되네?” 김지현씨는 다른 사람들에게도 이런 방법이 있다고 알려주고 싶어서 소셜미디어로 홍보했다. 모델은 전국으로 확산됐다. ‘종이팩은 종이가 아니다’라는 카페라떼클럽의 슬로건도 꽤나 유명해졌다. 전국 곳곳에서 카페라떼클럽 모델을 지역 상황에 맞게 각색한 활동이 이어졌다. 마을 장터나 축제에서 종이팩을 수거하는 모습을 흔히 볼 수 있게 됐고, 제로웨이스트샵에 종이팩을 모으는 거점 공간이 생기기도 했다.카페라떼클럽의 활동이 활발했던 광주 광산구에서는 지자체가 적극적으로 나섰다. 주민센터에 종이팩을 가져가면 포인트를 주는 제도를 시도하고, 마을 곳곳에 종이팩 무인회수기를 설치했다. 그 결과 2020년 6t이던 종이팩 수거량은 2023년 45t으로 늘었다.숲과나눔, 흩어졌던 시민들을 조직하다종이팩 재활용을 향한 시민들의 열정은 2023년 ‘초록열매 종이팩 컬렉티브’ 프로젝트로 연결됐다. 숲과나눔이 사회복지공동모금회와 함께 진행하는 사업으로, 자원순환 문제를 해결할 수 있는 새로운 모델을 발굴하고 정책까지 개발하는 프로젝트다.숲과나눔은 국내 종이팩 자원순환 시스템을 개발하기 위해 중추조직으로 나섰다. 2022년 국내 종이팩 재활용률은 13.7%에 불과하다(한국순환자원유통지원센터 자료). 연간 종이팩 배출량은 약 7만 5000톤인데 이 중 약 1만 톤만 재활용되는 것이다. 스웨덴(80%), 대만(70%), 미국(60%), 캐나다(56%) 등과 비교해도 재활용률은 현저히 낮다.이지현 숲과나눔 사무처장은 “숲과나눔은 시민들의 아이디어를 단계적으로 지원하는 ‘풀씨’ ‘풀꽃’ ‘풀숲’ 사업을 진행 중인데 카페라떼클럽의 활동은 특히 성과가 좋았던 모델이었다”며 “흩어져 있던 시민들의 활동을 체계화하면 ‘근본적인 변화’까지 가능하겠다는 생각이 들어 중추조직으로 나서게 됐다”고 말했다.종이팩 컬렉티브 프로젝트는 크게 ▲회수모델 개발 ▲정책 포럼 ▲인식개선 캠페인 등으로 나눠 추진된다. 종이팩 수거량을 늘리기 위한 회수모델 모델 실험은 학교, 아파트, 카페, 마을에서 각각 진행된다. 실험에 참여한 단체들은 수거량을 늘리기 위해 분리배출을 위한 ‘거점 시설’을 설치했다.학교를 대상으로 실험 중인 ‘유어스텝’은 광주 초등학교 6곳에 초등학생 키를 훌쩍 넘는 종이팩 모양의 ‘종이팩 정거장’을 설치했다. 수거함은 단번에 눈길을 끌었고 학생들은 자연스럽게 종이팩 수거에 참여하고 있다. ‘도담마을사회적협동조합’은 서울 도봉구 아파트 20개 단지에 종이팩 전용 수거함을 설치하고 100개 단지에서 실태조사를 진행했다. 조은샘 도담마을 이사는 “종이팩 전용 수거함을 설치해 두는 것만으로도 주민들에게 종이팩은 따로 배출해야 한다는 것을 인식시키는 효과가 있었다”며 “시설만으로도 인식의 변화가 생각보다 빨리 이뤄질 수 있다는 가능성을 발견했다”고 말했다.멸균팩, 건축자재가 되다정책 포럼에는 종이팩 순환 사이클에 포함된 다양한 이해관계자들이 참여한다. 특히 종이팩 재활용을 떨어뜨리는 주범인 ‘멸균팩’에 대한 논의가 활발하다. 종이팩은 일반팩과 멸균팩 두 종류로 나뉜다. 멸균팩은 알루미늄 코팅이 더해진 팩으로 산소와 빛, 습기를 완전히 차단해 상온에서도 최소 6개월간 내용물이 변질되지 않는다는 장점이 있다. 멸균팩이 플라스틱의 대안으로 주목받으면서 2014년 전체 종이팩 사용량의 25.3%를 차지하던 멸균팩 비중이 2022년 45%까지 늘었다. 2025년에는 멸균팩 사용량이 일반팩을 넘어설 것으로 예상된다.포럼에서는 시도 단계에 있는 멸균팩 재활용 성과들이 공유됐다. 한솔제지는 최근 멸균팩을 이용한 백판지(박스 포장 원재료) 생산에 성공했다. 정식품은 이 백판지를 베지밀 포장 박스에 적용하기로 했다. 자연라이프는 아이쿱생협에서 생수를 담아 팔았던 멸균팩을 수거해 건축용 판넬을 개발했다. 전복경 자연라이프 대표는 “멸균팩을 이용한 건축자재는 해외에서는 이미 상용화됐다”고 말했다.포럼에서는 재활용 종이팩 경제성을 높이기 위한 지원금이 높아져야 한다는 의견도 제기됐다. 종이팩 재활용이 안 되는 결정적인 이유가 ‘돈이 안 되기 때문’이라는 설명이다. 200ml일반팩 한 개 가격은 2.8원. 3600개 수거해야 겨우 1만원을 넘게 번다. 배출량이 많지도 않다. 1000세대 아파트 단지에서 한 달에 배출되는 종이팩은 평균 60kg이다. 다 수거해 팔아야 1만6800원을 받을 수 있다.한 번에 많은 양이 회수되는 게 아니라서 ‘규모의 경제’를 실현하기도 어렵다. 일반 종이를 모아 1톤 트럭을 채우는 건 하루만에 할 수 있는 일이지만 종이팩은 몇 달이 걸린다. 소량의 종이팩을 옮기기 위해 트럭을 운행하는 것도 기업 입장에서는 부담되는 일이다.배연정 서울대 그린에코공학연구소 환경기술센터장은 “규모의 경제가 어려운 종이팩 특성상 회수, 선별, 재활용 모든 단계에서 지원금이 필요하다”면서 “폐기물로 처리하기에는 연간 배출되는 종이팩 7만 5000톤이 적은 양이 아니라서 매립, 소각 과정에서 환경에 부담이 된다”고 말했다.시민이 제안하는 4가지 정책종이팩을 회수선별하는 업체들이 자체적으로 솔루션을 만든 사례들도 포럼을 통해 공유됐다. 대흥리사이클링은 서울과 부산에서 ‘밀크웨이 프로젝트’를 진행하고 있다. 우유 급식을 많이 하는 어린이집에서 종이팩을 대량으로 수거한 다음, 광학선별을 거쳐 종이팩과 멸균팩을 분류한다. 이 종이팩들을 제지사에 제공해 재생 용지를 만든다. 최근엔 한솔제지와 국내 최초로 일반팩을 활용해 화장지가 아닌 고급 인쇄용지를 생산하는 데 성공했다.에이치알엠(HRM)은 종이팩을 포함해 다양한 생활폐기물을 받는 ‘에코야얼스’ 애플리케이션(APP)을 개발했다. 사용자가 앱에서 회수를 신청하면HRM과 협약을 맺은 택배사가 방문해 수거해 간다. 수거 택배비용은HRM이 부담한다. 사용자에게는 1kg당 100원의 탄소중립포인트가 적립된다. 강경모HRM팀장은 “일반 소비자들이 배출하는 종이팩이 최대한 재활용 업체로 전달될 수 있도록HRM이 중간 역할을 하는 것”이라며 “에코야얼스 앱을 통해 환경단체, 제로웨이스트샵, 가정집 등 다양한 곳에서 종이팩을 보내주고 있다”고 말했다.현재 환경부는 종이팩을 종이류와 함께 배출하라는 지침을 내세우고 있다. 이 지침 때문에 우리나라 종이팩 전체 배출량의 60%가 종이류와 함께 배출되고 있다. 하지만 종이팩의 경우 플라스틱 코팅을 녹이는 재활용 공정을 거쳐야 하기 때문에 종이와 함께 재활용되지 못하고 그대로 매립되거나 소각된다. 장재연 숲과나눔 이사장은 “시민들의 노력 덕분에 올해 초 환경부가 종이팩 별도 배출 지침을 준비하는 등 성과가 나오기 시작했다”면서 “이 지침이 아파트, 주택가 등에 종이팩 전용 수거함을 설치하는 근거가 될 것”이라고 말했다.종이팩 컬렉티브 목표는 2026년까지 종이팩 자원순환을 가로막는 제도를 개정하고 효과적인 재활용 시스템을 정착시키는 것이다. 오는 6월에는 지금까지 나온 의견과 성과를 종합해 시스템 확립에 필요한 정책안을 정부에 전달할 예정이다.정책안에는 ▲종이팩을 별도 수거 품목으로 지정하는 지침 개정 추진 ▲지자체 종이팩 수거 의무 강화 ▲종이팩 재활용 인정 품목 확대 ▲재생휴지 등 공공기관 녹색제품 구매 촉진 등에 대한 내용이 담긴다.장재연 이사장은 “정부와 산업계가 오랜 시간 외면한 종이팩 재활용 문제를 시민들이 해결하고 있다”면서 “정책이 만들어지고 실행되려면 또 예상치 못한 문제에 부딪히게 되겠지만 이 문제가 해결될 때까지 함께 노력하겠다”고 말했다."
2023-12-16,태림페이퍼 6500억원에 제지社 전주페이퍼 인수,"계열사 전주원파워도 함께글로벌세아 그룹 계열사인 태림페이퍼가 종합 제지업체인 전주페이퍼를 인수한다.태림페이퍼는 15일 전주페이퍼 및 계열 에너지업체 전주원파워 지분 100%를 6500억원에 인수하는 계약을 전주페이퍼의 대주주인 모건스탠리PE와 맺었다고 밝혔다.전주페이퍼는 지난 1965년 세한제지로 설립된 국내 최대 신문 용지 제조사다. 창립한 해 삼성그룹이 인수한 뒤, 1968년 전주제지, 1992년 한솔제지로 이름을 바꿨다. 2008년 사모펀드인 모건스탠리PE가 인수하면서 지금의 이름인 전주페이퍼가 됐다.2008년 신문용지 매출이 80%를 웃돌았던 전주페이퍼는 모건스탠리PE인수 이후 열병합발전소 등으로 사업 다변화에 나섰고, 2019년 발전사업을 전주원파워로 분할했다. 전주페이퍼의 지난해 매출은 6656억원, 영업이익은 116억원이었다.이번에 전주페이퍼를 인수하는 태림페이퍼는 1986년 창립 후 골판지 종이를 전문으로 생산하는 기업으로, 골판지 박스 전문 생산업체인 태림포장을 자회사로 두고 있다. 태림페이퍼는 지난 2020년 의류OEM(주문자상표부착) 세아상역에 인수되면서 글로벌세아그룹에 편입된 상태다.글로벌세아 관계자는 “이번 전주페이퍼 인수를 통해 골판지 생산능력을 확대하고, 신문용지·출판용지 등 다양한 지종의 원지 생산 포트폴리오를 확보하게 됐다”고 말했다."
2023-10-31,[경제계 인사] 한솔홀딩스 대표에 이명길,한솔그룹 지주사인 한솔홀딩스는 이명길 한솔제지 경영지원본부장을 신임 대표이사로 내정했다고 30일 밝혔다.
2024-09-27,"헤지펀드 소버린, SK와 경영권 분쟁서 1조 챙겨","국내 ‘적대적 M&A’어떤 게 있었나/일러스트=김의균국내 재계에서 ‘적대적 M&A(인수·합병)’ 역사는 약 30년 정도다. 1960년대 박정희 정부 시절 기업공개를 유도하는 과정에서 대주주의 경영권을 보장하는 법 조항을 뒀기 때문에 이전에는 적대적 M&A가 사실상 불가능했다. 이후 1993년 대주주의 경영권 보장 조항이 폐지되면서 적대적 M&A 사례가 가능해졌다. 1994년 한솔제지의 동해투금 인수, 동부그룹의 한농 인수 등을 시작으로 적대적 M&A도 본격화했다.1997년 대농그룹이 경영하던 유통 기업 미도파 사태는 적대적 M&A로 모두 패자가 된 사례로 꼽힌다. 외국인이 매집한 주식을 넘겨받은 신동방그룹 중심의 적대적 M&A에 당시 재계는 전경련 중심으로 대농의 방어를 도왔다. 대농은 약 1200억원을 투자해 경영권을 방어했지만, 외환 위기 이후 대농그룹, 신동방그룹 모두 파산했다.2003년에는 헤지펀드 소버린이 1768억원을 투입해SK㈜ 주식 14%를 매입하고 당시 최태원 회장 교체를 주장하며 경영권 다툼이 이어졌다. 당시SK의 직접 보유 지분은 소버린보다 적은 13%에 그쳐 국내 대기업의 취약한 경영권 방어 구조가 드러났다. 경영권 분쟁으로 주가도 폭등했다.SK는 하나은행 등 백기사를 통해 우호 지분을 늘리고 1조원이 넘는 비용을 투입해 경영권을 방어했다. 결과적으로 최 회장 측이 경영권은 지켰지만 소버린은 약 1조원 차익을 챙겨 떠났다.2000년대 중반 승계 국면에서 범(汎)현대가(家)의 적대적 M&A도 이어졌다. 2003년 현정은 당시 현대엘리베이터 회장은 시숙부인 정상영KCC명예회장과 사실상 현대그룹 지주회사인 현대엘리베이터 지분 경쟁을 벌였다.KCC가 지분 8% 공개 매수는 성공했지만 경영권 인수에는 실패했다.작년에는SM엔터테인먼트 인수를 두고 카카오와 하이브 사이 적대적 M&A 경쟁이 이어졌다. 카카오는 사우디 국부펀드 등으로부터 투자금 1조2000억원을 유치했고, 하이브도 조 단위 차입을 검토했던 것으로 알려졌다. 작년 12월 사모펀드MBK파트너스가 타이어기업 한국앤컴퍼니 형제간 경영권 다툼에 참여했다.MBK는 당시 장남 조현식 고문과 손잡고 지분 공개 매수에 약 6250억원을 투입했지만 실패했다."
2023-10-04,[부음] 김두현 前 한국체육대 교수 별세 외,"▲김두현前 한국체육대 교수 별세,김효민·김효경부친상=3일9시18분 서울아산병원, 발인 5일5시, (02)3010-2000▲김자현별세,박태준CJ씨푸드 대표·조성겸충남대 명예교수 장인상,박현철前 서울시 복지정책실 주무관 외조부상=3일1시21분 서울대병원, 발인 5일5시30분, (02)2072-2010▲박재석前 조선뉴스프레스 경영지원부 부국장 별세,권은주남편상=3일1시17분 일산백병원, 발인 5일9시15분, (031)910-7444▲조기완별세,유영옥남편상,조인호서울 얼바인치과 원장·조미희·조미용·조윤호기연산업 대표 부친상,박영준前 빙그레 대표·김영권前 한솔제지 상무 장인상,이정선·김현실시부상=2일13시 삼성서울병원, 발인 5일7시30분, (02)3410-6919▲한재현한호 회장 별세,손순득남편상,한수환동의대 총장·한수경한호 대표·한경련·한경미부친상,서채량·신주현시부상=3일8시42분 부산 동의의료원, 발인 5일5시30분, (051)866-3757"
2022-09-26,정수기·제지·이불 기업도 스타트업과 손잡는다,"단시간에 디지털화·기술 확보, 기존 사업 키우는데 주력스타트업은 경험·네트워크 얻어 투자 원활해져 상생모델로 인기한솔그룹은 지난 22일 서울 코엑스에서 액셀러레이터(창업기획자)인 블루포인트파트너스와 함께 올해 새로 발굴해 지원한 스타트업들을 소개하는 행사를 열었다. 회사의 주력 사업과 밀접한 기술을 가진 스타트업에 자금을 지원하고, 기술협업을 통해 기존 사업을 확장하기 위한 취지다. 한솔제지는 100% 재활용이 가능한 종이 팩을 식료품·세제·샴푸 포장에 활용할 수 있는 기술을 가진 스타트업 리필리와 협업에 나섰고, 택배용 박스를 제조하는 한솔비에스는 종이로 아동용 친환경 장난감을 만드는 스타트업 델로와 새로운 사업을 모색 중이다. 블루포인트파트너스 관계자는 “기업은 유망 스타트업의 신기술을 단시간에 확보하고, 스타트업은 기업의 고객·공급망을 활용해 적극적으로 사업을 확장할 수 있다”고 했다.기업들이 사내 벤처캐피털(VC) 설립과 오픈 이노베이션(개방형 혁신)을 통해 스타트업 투자에 적극 나서고 있다. 삼성·현대차·SK등 대기업 그룹은 물론, 중견그룹과 기업들도 이에 질세라 스타트업 발굴과 지원에 뛰어들고 있다. 중견기업의 스타트업 투자는 디지털화, 신기술 확보를 통해 기존 사업을 키우는 데 주력하는 특징을 보인다.◇침구·정수기 기업도 스타트업에 ‘러브콜’침구용품 전문 기업 이브자리는 지난 7월 침구·홈데코 분야 유망 스타트업 6곳을 협업 대상으로 선발했다. 스타트업들은 신소재를 활용한 침구, 영유아·반려동물 수면 셜루션과 같은 분야에서 다양한 아이디어를 선보였다. 이브자리는 내년까지 이들과 아이디어를 구체화해 실제 사업으로 연결한다는 계획이다.정수기 렌털 전문기업 청호나이스는 디지털 헬스케어 스타트업인 모노랩스와 이달 중순 합작법인 ‘하이플래닛’을 설립했다. 모노랩스의 인공지능(AI) 기반 건강기능식품 정기 구독 서비스와 청호나이스의 전국 단위 오프라인 영업망을 결합해 온·오프라인 양방향으로 헬스케어 사업을 확장하려는 것이다. 부동산 시행사DS네트웍스는 스마트 물류, 스마트시티 관련 스타트업에 투자해 기술 경쟁력 확보에 나선 경우다. 생활용품 기업 유한킴벌리는ESG경영 차원에서 친환경 스타트업 공모전을 열었다.◇중견기업·스타트업 ‘윈·윈’중견기업과 스타트업 사이 협업은 ‘상호 생존’에 방점이 찍혀 있다는 평가다. 디지털 전환이 시급한 중견기업은 스타트업과 협력을 통해 기존 사업을 고도화하고, 스타트업은 중견기업의 오프라인 판매망과 고객을 바로 활용할 기회를 가질 수 있다.최근 글로벌 금리 인상, 경기 부진 등 대외 악재로 벤처투자 시장이 얼어붙으면서 중견기업의 스타트업에 대한 자금줄 역할이 더욱 돋보이기도 한다. 한VC관계자는 “중견기업은 대기업 못지않은 지원으로 스타트업 자금난 해소에 일정 역할을 하고 있다”고 말했다.정부도 중견기업과 스타트업의 협업을 적극적으로 지원하고 있다. 산업통상자원부와 한국중견기업연합회(중견련)는 지난 23일 ‘중견기업·스타트업DX상생 라운지’를 열고 중견기업과 스타트업 간 매칭을 주선했다. 중견련 관계자는 “중견·중소기업은 특히 제조업 비중이 높기 때문에 디지털 전환이 핵심 과제”라며 “앞으로도 스타트업과 ‘윈윈’ 관계 형성을 위해 다양한 상생 플랫폼을 마련할 계획”이라고 했다.중견·중소기업의 스타트업 투자가 대폭 늘어난 것에 대해 가업 승계에 필요한 상속세 마련을 위한 투자라는 시각도 있다. 한 재계 관계자는 “자금 여력이 부족한 중견·중소기업들이 상속세를 내기 위한 현금 확보를 위해 적극적으로 스타트업 투자에 나서는 경우도 많다”고 말했다."
2022-05-19,식탁 물가 이어… 마음의 양식까지 오른다,뉴시스18일 오전 경기 파주 출판 단지 안에 폐지와 종이가 잔뜩 쌓여있다. 국제 펄프 가격 인상으로 종이 값이 오르자 출판계와 미술계 등도 비상이 걸렸다. 국내 1·2위 제지 기업인 한솔제지와 무림페이퍼는 이달 초 종이 가격을 15% 인상했다.
2022-04-22,"웨하스 사줄때도 망설인다, 과자값 또 올라","해태제과 평균 13% 인상해태제과는 다음 달 1일부터 허니버터칩·웨하스 같은 과자 가격을 평균 12.9% 인상한다고 21일 밝혔다. 최근 러시아의 우크라이나 침공으로 인해 전 세계 밀가루와 유지류 같은 원재료 가격이 계속 오르면서 국내 과자 가격이 줄줄이 오르고 있다. 러시아와 우크라이나는 전 세계 밀 수출량의 약 30%를 차지한다. 해바라기씨와 카놀라유 원료의 주생산국인 우크라이나의 물류가 막히면서 대체 품목인 콩기름과 팜유 가격도 오르는 추세다.해테제과에 따르면 허니버터칩과 자가비, 롤리폴리 같은 상품은 오는 5월 1일부터 기존 1500원에서 1700원으로 13.3% 가격이 오른다. 웨하스와 구운감자는 900원에서 1000원으로 11.1%가 오르고, 칼로리바란스는 1700원에서 17.6%가 상승해 2000원이 된다. 후렌치파이의 가격은 3800원에서 4200원이 되면서 10.5% 뛰어올랐다.앞서 농심은 지난달 새우깡과 양파링 같은 과자 22개의 가격을 평균 6% 올렸다. 양파링, 꿀꽈배기, 포스틱 같은 과자는 6.3%, 새우깡은 7.2%가 올랐다. 롯데제과도 이달부터 빼빼로와 빈츠 등 일부 초콜릿과 아이스크림 가격을 13~20%가량 올렸다. 빼빼로는 1500원에서 1700원, 빈츠는 2400원에서 2800원이 됐다.화장지와 미용 티슈, 인쇄용 종이 가격도 뛰고 있다. 유한킴벌리는 지난 15일 화장실용 화장지, 미용 티슈, 종이 타월 같은 제품 가격을 8%가량 올렸다. 국내 1·2위 제지 업체인 한솔제지와 무림페이퍼도 다음 달 1일부터 인쇄용 종이 가격을 15%가량 인상하겠다고 밝혔다. 이들 업체들은 작년에도 두 차례 종이 가격을 7~10%가량 올린 바 있다."
