date,title,content
2024-08-21,인천 영종서  민간 사전청약 또 다시 취소...올해 들어 6번째,"‘영종 A41블록 한신더휴’ 건설 사업, 사전 청약 2년만에 취소'영종 A41BL한신더휴' 조감도./한신공영 제공민간 사전 청약을 진행한 아파트 건설 사업이 또 다시 취소됐다. 사전청약 단지 건설이 취소된 것은 올 들어서 6번째다.21일LH(한국토지주택공사)와 한신공영 등에 따르면, 인천 영종하늘도시에 공급 예정이던 ‘영종 A41블록 한신더휴’ 건설 사업이 사전 청약 시행 2년 만에 취소됐다.이 사업은 인천 중구 중산동 일대에 지하 2층∼지상 20층짜리 7개동, 전용면적 84㎡ 440가구를 건설하는 것으로, 2022년 8월 375가구에 대해 사전 청약을 진행했다. 지난해 4월 본청약을 진행하고 2025년 6월 입주할 계획이었지만, 본청약을 진행하지 못하고 무산됐다.LH가 한신공영에 연체 중인 토지 매입 잔금 납부를 요구했으나 납부가 이뤄지지 않자 계약을 해지하기로 한 것이다. 건설업계에서는 한신공영이 수익성을 맞추기 어렵다고 판단해 사업 포기를 결정한 것이란 분석이 나오고 있다.앞서 인천 가정2지구 B2블록, 경남 밀양 부북지구 제일풍경채S-1블록, 경기 파주 운정3지구 주상복합용지 3·4블록, 화성 동탄2 주상복합용지C-28블록 등도 사업이 취소된 바 있다. 취소된 단지 6곳의 물량은 2100여가구에 이른다."
2024-04-12,‘반세권’ 오산세교 한신더휴 다음 달 분양,"오산세교 한신더휴의 완공 후 예상 모습./한신공영한신공영이 경기도 오산시 세교2지구 A16블록에 건설하는 ‘오산세교 한신더휴’를 다음 달 분양한다. 지하 2층~지상 25층 10개 동 전용면적 74~99㎡ 844가구 규모다. 분양가 상한제가 적용돼 주변 시세 대비 저렴한 분양가로 책정될 예정이다. 후분양 단지로 입주는 2025년 3월로 예정돼 있다.단지가 들어서는 세교2지구는 오산시 궐동·금암동·초평동·탑동·가수동 일대에 계획인구 4만4000여명, 약 1만8000가구 규모로 조성되는 공공택지다. 반도체 클러스터 배후도시로도 주목되는 곳이다.세교신도시는 총 3개 지구로 구성된다. 세교1지구는 개발이 완료됐으며, 세교2지구는 현재 개발이 진행중이다. 향후 세교3지구까지 개발이 완료되면 총 6만6000가구에 달하는 초대형 신도시가 된다. 이는 3기 신도시 중 가장 규모가 큰 남양주 왕숙지구와 맞먹는 규모다.오산세교 한신더휴는 차로 약 10분 거리에 경부선·1호선이 지나는 오산역이 있어 교통이 편리하다. 오산역은 2026년 수원발KTX가 지날 예정이고GTX(수도권광역급행철도)-C노선과 분당선 연장도 계획돼 있다.오산세교 한신더휴’는 경기 남부권 반도체 클러스터의 중심에 있다. 북측으로 삼성전자 화성사업장과 수원 영통 삼성디지털시티가 있으며 남쪽에는 삼성전자 평택캠퍼스, 동쪽에는 세계 최대 규모로 조성되는 용인 반도체 클러스터가 들어설 예정이다."
2024-07-29,"양승태 전 대법원장, 대법 기업 사건 변론한다","양승태 전 대법원장이 올해 1월 26일 서울 서초구 서울중앙지방법원에서 열린 '사법 행정권 남용' 혐의 1심에서 무죄를 선고받은 뒤 법원을 나서고 있다. /공동사진기자단이른바 ‘사법 행정권 남용’ 혐의로 기소돼 1심에서 무죄를 받은 양승태(76·사법연수원 2기) 전 대법원장이 대법원에 계류 중인 형사 사건의 변론을 맡은 것으로 29일 알려졌다. 양 전 대법원장이 변호사로 정식 사건을 수임한 사실이 알려진 것은 이번이 처음이다.본지 취재를 종합하면, 양 전 대법원장은 지난 5월 대법원 3부(주심 엄상필 대법관)가 심리 중인 대형 건설사 한신공영 사건의 변호인으로 선임계를 제출했다. 한신공영은 2019년 부산의 한 공동주택 공사 현장에서 청소 작업을 하던 하청업체 소속 근로자 2명이 추락사한 사건으로 기소됐다.한신공영은 공사 현장의 위험을 예방하지 않은 산업안전보건법 위반 혐의로 기소돼 1∙2심에서 벌금 700만원을 받았다. 이에 불복해 상고한 사건의 변론을 양 전 대법원장이 맡은 것이다. 양 전 대법원장은 현재 소속 중인 법무법인 클라스한결의 다른 변호사들 및 대형 로펌인 세종과 공동으로 변론을 진행할 예정이다.2011~2017년 대법원장을 지낸 양 전 대법원장은 퇴임 7년 만인 지난 5월 대한변호사협회로부터 등록 승인을 받고 클라스한결의 고문 변호사로 합류했다. 퇴임한 대법원장이 법원에서 심리 중인 사건의 변호인으로 활동하는 것은 최근에는 없었던 일이다. 양 전 대법원장의 전임자인 이용훈 전 대법원장과 후임자 김명수 전 대법원장은 변호사 개업을 하지 않았다.양 전 대법원장은 사법 행정권 남용 혐의로 2019년 2월 기소돼 지난 1월 1심에서 모두 무죄를 선고받았다. 항소심 첫 재판은 오는 9월 11일 열릴 예정이다."
2024-07-30,前 대법원장이 대법 사건 변호,"양승태 ‘전관예우’ 논란양승태(76·사법연수원 2기) 전 대법원장이 대법원에 계류 중인 형사 사건을 수임한 것으로 29일 알려졌다. 법조계에서는 “‘전관(前官) 예우’ 논란이 일 텐데 신중해야 했다”는 지적이 나온다.본지 취재를 종합하면, 양 전 대법원장은 지난 5월 대법원 3부(주심 엄상필 대법관)가 심리 중인 한신공영 사건의 변호인으로 선임계를 냈다. 한신공영은 2019년 부산의 한 건설 현장에서 하청업체 근로자 2명이 사망하면서 산업안전보건법 위반죄로 기소됐다. 1∙2심에서 벌금 700만원을 받았는데, 상고하면서 양 전 대법원장을 선임한 것이다.양 전 대법원장은 ‘사법 행정권 남용’ 사건으로 기소돼 지난 1월 1심에서 무죄를 받았고, 지난 5월 대한변협에서 변호사 등록 승인을 받아 법무법인 클라스한결 고문 변호사가 됐다.전직 대법원장이 대법원 사건 변호인으로 나선 일은 최근 법조계에선 이례적이다. 양 전 대법원장은 2011~2017년 대법원장으로 재직했는데, 전임인 이용훈 전 대법원장과 후임 김명수 전 대법원장 모두 퇴임 후 변호사 개업을 하지 않았다. 양 전 대법원장 사정을 잘 아는 법조인은 “‘사법 행정권 남용’ 재판 도중 생활비라도 보태려고 변호사로 활동하려다가 1심 선고 때까지 미룬 것”이라며 “경제적으로 여유롭지 못한 상황”이라고 했다.법원 안팎에선 부적절하다는 비판이 나왔다. 한 고법판사는 “사법부를 이끌던 대법원장이 퇴임 후 대법원 사건을 맡는 건 품위에 맞지 않는다”고 말했다. 고법판사 출신 변호사는 “대법원장 경력을 보고 사건을 맡길 텐데, 전관 예우 오해를 피하고 사법 신뢰를 높이려면 수임을 자제해야 했다”고 했다. 양 전 대법원장도 과거 인터뷰에서 “전관 예우가 법조 병폐로 지적되는 것은 슬픈 현실”이라고 한 바 있다."
2024-03-06,주문 폭주 vs 주문 0건… 건설사 회사채 ‘극과 극’,"자금난 건설사들 최근 잇단 발행… 대형사 흥행, 중견사는 외면그래픽=조선디자인랩 권혜인·Midjourney시공능력평가 30위의 중견 건설사HLD&I 한라는 지난달 21일 기관투자자들을 대상으로 회사채 700억원 발행을 위한 수요 예측을 진행했다. 회사채는 기업들이 자금 조달을 위해 일정 이자를 붙여 발행하는 채권으로, ‘수요 예측’은 은행·증권사·연기금 등을 대상으로 회사채 발행 전 매입 의사가 있는지 미리 알아보는 것이다. 당시 최대 연 8.5%의 고금리를 제시했지만, 단 한 건의 주문도 없었다. 결국 이 기업의 700억원 회사채는 발행 주간사인KB증권 등이 떠안게 됐다.부동산 경기 침체와 부동산 프로젝트 파이낸싱(PF) 부실 사태 여파로 자금난에 빠진 건설사들이 최근 잇따라 회사채 발행에 나서고 있다. 대형 건설사는 발행 목표보다 더 많은 수요가 몰리는 반면, 중견 건설사는 10%에 가까운 고금리를 제시해도 시장에서 외면받고 있다. 결국 자금난에 몰린 중견사들은 저축은행 등 제2금융권이나 사채시장에서 값비싼 이자를 물고 자금을 조달하고, 이 이자 비용을 감당하기 위해 사옥을 담보 잡히거나, 사업까지 매각하며 현금 확보에 나서고 있다.그래픽=김하경건설 회사채 시장 ‘극과 극’시공능력평가 28위의 중견사 한신공영은 지난달 28일 500억원 규모 회사채를 발행했다. 이번에 내놓은 회사채 금리는 연 9.5%에 이른다. 한신공영이 이처럼 고금리를 부담하게 된 것은 지난해 발행한 회사채가 당초 목표치에 한참 모자랐기 때문이다. 건설업계 관계자는 “결국 특정 개인이나 기관 투자자를 대상으로 고금리를 보장하면서 회사채를 발행할 수밖에 없었다”고 말했다.SGC이테크건설도 지난달 연 8.5%에 800억원을 조달했고, 이수건설은 지난 1월 150억원 규모의 회사채를 최대 연 8% 금리에 발행했다.반면, 그룹사가 탄탄한 대형 건설사는 비교적 저금리로 회사채 발행에 성공하고 있다. 현대건설은 지난 1월 회사채 수요 예측에서 목표액 1600억원의 4배가 넘는 6850억원의 매수 주문을 받았다. 이에 현대건설은 예정보다 많은 3000억원의 회사채를 발행했다. 금리는 만기에 따라 연 4.1~4.4%로 중견사의 절반 수준이다. 같은 달 회사채 수요 예측에 나선SK에코플랜트는 당초 1300억원을 목표했으나 7000억원이 몰려 채권 발행 규모를 예정보다 두 배(2650억원)로 늘렸다. 롯데건설의 회사채 2000억원 발행을 위한 수요 예측에도 총 3440억원이 몰렸다.사옥 담보·사업 매각 ‘현금 확보 총력’회사채 시장에서 외면받은 중견사들은 자산을 담보로 잡히거나, 사업을 매각해 현금 확보에 나서고 있다.KCC건설의 경우 지난 1월 625억원어치 회사채를 발행하기 위해 서울 잠원동 본사 사옥을 담보로 잡혀야 했다. 조달 금리를 조금이나마 낮추기 위해 사옥을 담보로 내놓은 것이다. 그 덕분에 다른 중견사들보다 낮은 4.2~7.3%에 회사채를 발행할 수 있었다. 신세계건설은 지난달 자사 레저사업을 1800억원에 조선호텔앤드리조트에 매각하기로 의결했다. 신세계건설은 대구 지역 주택사업 분양률이 20%를 밑돌아 현금 흐름이 원활하지 않은 상황이다.건설사들이 최근 회사채 발행에 총력을 기울이는 것은 정상적인 자금 조달 경로인 ‘PF시장’과 분양 시장이 얼어붙었기 때문이다. 보통 건설사들은 금융회사로부터PF대출로 자금을 조달한 후, 분양을 해서 받은 자금으로 이를 상환한다. 하지만PF대출이 막히고, 분양마저 저조하면서 자금 조달에 어려움을 겪는 것이다.결국 기한 내에 공사를 완공해야 하는 건설사들은 회사채 발행을 통해 사업비를 충당하고,PF대출을 상환할 수밖에 없다. 한 중견 건설사 관계자는 “주로 중견사들의 사업장이 몰려 있는 지방은 미분양이 심각해 자금 조달을 못하고, 사업이 지연되는 악순환에 갇히게 된다”며 “금융 당국이 강도 높은 부동산PF구조조정 추진 방침까지 밝히면서 시장에선 돈줄이 더 마르고 있는 실정”이라고 했다."
2023-07-13,양평고속도 대안이 최종안 아냐… 국토부 논의과정 투명하게 공개를,"Q&A로 살펴본 ‘종점 변경’서울~양평 고속도로 종점 변경(양서면→강상면) 논란의 핵심은 예비타당성조사(예타)까지 마친 사업의 종점을 변경하는 과정에 문제가 있었냐는 것이다. 야당은 윤석열 대통령 부인 김건희 여사 일가에 혜택을 주려 했다고 주장하고, 정부·여당은 “괴담식 정치”라 반박하며 양측 입장이 엇갈린다. 전모를 파악하기 위해선 이 사업의 출발 과정부터 살펴볼 필요가 있다.그래픽=김하경Q1. 양평 고속도로는 왜 시작됐나경기 양평군 두물머리 인근 6번 국도의 교통 정체를 해소하기 위해 2008년 2월 한신공영이 하남·양평을 잇는 민자 도로 사업을 경기도에 처음 제안하면서 시작됐다. 당시 유료 도로를 통해 수익성을 꾀했던 한신공영 노선의 종점은 양서면에 가까웠다. 2009년 12월 경기도는 한신공영의 재무상태를 문제 삼아 사업을 반려했다.Q2. 예비타당성조사 통과 노선은 왜 양서면을 종점으로 했나2009년 민자 사업 무산 뒤 서울~양평 고속도로는 2017년 1월 국토교통부의 ‘제1차 고속도로 건설 계획 중점추진사업’에 포함되며 국책 사업이 됐다. 이때 종점은 양서면이었다. 2009년 경기도가 반려했던 민자 노선을 선행 연구 삼아 그대로 반영시킨 것이었다. 이 때문에 서울~양평 고속도로가 2019년 3월 예타 대상 사업에 선정되고, 2021년 4월 예타를 통과할 때까지 모두 종점은 양서면이었다.Q3. 강상면 종점은 윤석열 정부에서 처음 나왔나예타는 고속도로 건설 계획에 반영된 계획(양서면 종점)을 기준으로 기획재정부가 국가 재정 측면에서 사업 추진 여부를 결정하는 과정이다. 서울~양평 고속도로의 경우 예타는 1억원 남짓 예산으로 경제성을 중심으로 개략적인 검토가 진행됐다. 예타 통과 이후 국토부는 24억원을 들여 정밀하게 타당성 조사를 실시하고 있었다. 이 과정에서만 2000년 이후 24건의 고속도로 사업 노선 중 14건의 시·종점이 변경됐다.강상면 종점안은 현 정부에서 처음 나온 게 아니다. 2018년 2월 양평군도 ‘2030 양평군 기본계획’에서 강상면 종점안을 거론했고, 같은 해 대우건설이 민자 사업을 추진하며 강상면 종점안을 제시하기도 했다.국토부는 예타 통과 이후 문재인 정부 시절인 2022년 1월 타당성 조사 용역을 추진하며 ‘최적의 대안 노선 검토’를 지시했다. 2022년 3월 윤 정부 인수위 출범 직전 선정된 민간 용역 업체가 검토 끝에 2022년 5월 원희룡 국토부 장관 취임 직후 ‘경제성, 환경성, 주민 수용성 등이 더 낫다’며 강상면 종점 대안을 제시했다. 2022년 7월 양평군도 강상면 종점안과 유사한 노선을 3개의 후보 노선 중 하나로 국토부에 건의했다.그래픽=김하경Q4. 특혜가 있었나민주당은 작년 3월 윤 대통령이 당선되고 작년 5월 원희룡 장관 취임, 작년 6월 국민의힘 소속 양평군수 취임 이후 작년 7월 양평군이 국토부에 강상면 종점 대안을 처음 제시했다는 점을 들어 윤 정부의 외압 의혹을 제기한다. 작년 5월 국토부에 대안 노선을 제시한 민간 용역 업체의 조사 착수 시점이 작년 3월 윤 대통령 인수위 출범 이후라는 점도 문제 삼는다.국토부는 “2022년 3월 타당성 조사 착수 이후 2023년 2월까지 양평군 등 관계 기관 협의를 거쳐 최적 노선을 도출했다”고 반박한다. 민간 용역 업체도 “기술적 측면에서만 대안 노선의 타당성을 검토했다”는 입장이다. 민주당은 2021년 5월 당정 협의를 통해 강하IC설치를 요구했는데, 원안은 강하면을 지나지 않기 때문에 주민 편의를 위해 강하IC를 설치하기 위해서는 노선 변경이 불가피하다는 게 국토부 입장이다.Q5. 강상면 종점이 최종 결정됐나지금은 다양한 대안 검토를 통해 최적의 노선을 찾아가는 타당성 평가 단계로 노선이 확정 변경된 상황이 아니다. 지난 5~6일 송파구·하남시·양평군·파주시 등을 상대로 강상면을 종점으로 하는 설명회 및 의견 수렴 절차가 예정됐지만 민주당 의혹 제기로 중단됐다.사업이 정상적으로 추진된다면, 앞으로 주민 의견 수렴, 환경부 협의 등을 포함한 전략환경영향평가를 마치고 종합평가를 통해 국토부가 최종 노선을 선정하게 된다. 민주당 등 야권은 이 과정에서도 특혜 의혹을 지속적으로 제기할 것으로 보인다. 이 때문에 이 과정에서 원 장관과 국토부 관계자 등이 회의록 등을 투명하게 공개해야 한다는 주장도 많다. 또 지역 주민과 전문가 등 공개적이고 다양한 의견 수렴 절차도 필요하다는 지적이다."
2024-11-10,강남역·광화문·도림천 지하 ‘대심도 빗물 터널’ 12월 착공,"서울시는 강남역, 광화문, 도림천 일대에 ‘대심도 빗물 배수 터널’을 구축하는 사업을 오는 12월 착공한다고 10일 밝혔다.서울시가 2022년 9월 대심도 빗물 터널 설치를 본격 추진한다고 밝힌지 약 2년3개월만에 첫 삽을 뜨게 되는 것이다.대심도 빗물 터널은 극한 호우 때 저지대 침수를 막기 위해 지하 40~50m 깊이에 빗물을 일시 저장하고, 추후 하천 등으로 흘려보내는 배수관이다.서울시는 2022년 8월 강남역 침수 사태 이후 강남역과 광화문, 도림천 일대에 빗물 터널을 우선 건립하기로 했다. 그러나 공사비 상승 등으로 업체들이 참여하지 않아 2차례 입찰이 유찰됐다. 총 사업비를 1조2052억원에서 1조3689억원으로 증액한 후에 터널별로 1곳씩 입찰 업체가 나왔다. 강남역은 한신공영 컨소시엄, 도림천은 대우건설 컨소시엄, 광화문은 디엘이앤씨 컨소시엄이 사업자다.서울시는 지난달 30~31일 이 3곳에 대한 건설공사 설계 적격 심의를 진행했다. 이 심의에서 각 사업의 기본설계와 우선 시공분 실시 설계에 대해 ‘적격’ 판정이 났다.실시 설계가 완료된 우선 시공분은 오는 12월부터 공사를 시작한다. 강남역 반포IC램프 교통섬 녹지공간과 광화문 적선 버스 공영주차장에서 가시설·굴착 공사를 우선 시행한다. 도림천도 2호선 신대방역 인근에서 가시설·굴착 공사를 시작할 계획이다.김창환 서울시 기술심사담당관은 “이상기후로 인한 도심 침수를 예방하기 위해 앞으로 진행되는 설계·공사 과정을 철저하게 검증·관리할 것”이라고 했다."
2023-07-31,“20층인데 무서워 살겠나” 철근 누락 LH아파트 커뮤니티 들썩,"지난 4월 29일 지하 주차장 지붕 구조물이 무너지는 사고가 발생했던 인천시 서구 검단의 한 아파트. /뉴스1국토교통부는 31일 한국토지주택공사(LH) 발주 아파트 가운데, ‘철근 누락’ 아파트 단지 15곳의 명단을 공개했다. 명단이 공개되자, 온라인상에서는 15개 단지에 입주했거나, 입주할 예정인 이들의 불안을 호소하는 글이 잇따랐다.이날 국토부가 공개한 ‘전단보강근’ 누락 단지는 수도권 8곳과 지방 7곳 등 총 15곳으로, 시공사 명단에는DL건설을 비롯해 대보건설, 동문건설, 삼환기업, 이수건설, 한신공영 등 인지도가 높은 중견 건설사들이 다수 포함됐다. 적발된 15단지 중 파주운정 A34, 남양주별내 A2, 아산 탕정 2-A14, 음성금석 A2, 공주월송 A4 5곳은 이미 입주까지 끝났다.명단이 구체적으로 공개되자, 해당 아파트에 입주했거나 입주할 예정인 이들이 모인 커뮤니티는 들썩였다. 80만명의 회원이 활동하고 있는 ‘국민 공공 민간 임대아파트 들어가기’(국공민) 카페에는 철근 누락 아파트 명단이 공식적으로 돌기 시작한 이날 오후 4시 이후부터 ‘철근 누락 아파트 당첨됐다’ ‘LH아파트 들어가기 겁난다’ 등을 제목으로 한 글이 잇따라 올라왔다.입주민, 혹은 입주 예정자들은 글과 댓글을 통해 각자의 불안을 호소했다. 한 입주민은 “20층인데 생각날 때마다 무섭다. 흔들흔들거릴 것 같다”고 했다. 철근 누락 아파트 중 한 곳에서 1년을 거주했다는 입주민은 “내년 중 이사 갈까 생각만 했는데 무조건 가게 됐다. 무서워서 살겠냐”고 했다. “지난 5년 안에 입주한 단지까지 아예 전수조사해야 하는 것 아니냐”는 네티즌도 있었다.원희룡 국토교통부 장관과 이한준 한국토지주택공사(LH) 사장이 30일 오후 서울 강남구 한국토지주택공사(LH) 서울지역본부에서 열린 공공주택 긴급안전점검 회의에서 경기 시흥시 은계지구 내 아파트 단지에 공급되는 상수도관 이물질 발생 현상, 남양주 공공분양 아파트 보강철근 누락등의 사태에 대해 사과하고 있다. /뉴스1LH가 문제가 발견된 아파트 단지들에 대해 지하 주차장 내에 기둥을 추가로 시공하거나 기존 기둥에 하중 지지 시설을 보완하는 방식으로 보강 공사를 진행한다는 방침을 밝혔지만, 걱정은 이어졌다. 한 네티즌은 “그래도 철근 들어간 거랑은 다르지 않냐. 보여주기식 행정 대처 정말 화난다”고 했고, 다른 네티즌은 “보수 공사 해도 마음이 편치 않다. 당연히 들어가야 할 철근이 빠졌는데 어떻게 마음을 놓냐”고 했다. “솔직히 마음 같아서는 다 부수고 다시 지었으면 좋겠다”는 이도 있었다.책임자에 대해 강한 처벌을 요구하는 의견도 있었다. “책임자 제대로 처벌하고 조사 확대해야 한다” “대형 인명사고라도 나야 정신 차릴 거다” 등이다. 특히 전단보강근이 설치돼야 하는 기둥 154개가 모두 누락된 것으로 조사된 양주회천 A15에 대해서는 “이 정도면 아파트가 서 있는 게 신기한 상황인 것 같은데, 관련자들 싹 다 처벌해야 한다”는 반응이 나왔다.한편 이번 부실은 설계, 감리, 시공 전 과정에서 발견됐다. 일부는 설계 과정부터 지하주차장 기둥 주변 보강 철근이 누락됐고, 일부는 설계 도면대로 시공되지 않았다. 이와 관련해 원희룡 국토부 장관은 “과거 관행적으로 있었던 안전불감증과 그로 인한 부실시공 일체는 비용이 얼마가 들더라도 국민 안전을 최우선으로 철저한 조치를 하겠다”고 했다."
2023-07-31,"“양주회천, 기둥 154개 다 누락”...철근 빼먹은 LH 아파트 15곳 공개","남양주·양산 등 수도권 8곳·지방 7곳“음성금석은 123개 중 101개 빼먹어”지하주차장 붕괴 사고와 관련해 정부가LH발주 아파트 91개 단지를 조사한 결과 15개 단지에서 철근이 빠진 것으로 나타났다. 사진은 지난 4월 지하주차장 붕괴 사고가 발생한 인천 검단 신도시 아파트. /뉴스1지난 4월 인천 검단 아파트 지하주차장 붕괴 사고의 핵심 원인으로 지목된 ‘철근 누락’ 행태가 한국토지주택공사(LH)에서 발주한 전국 아파트 공사 현장 전반에 만연한 것으로 드러났다. 실태조사 결과 6곳 중 1곳 꼴로 철근이 빠져있었고, 일부는 국민적 인지도가 높은 대형 건설사가 시공하는 현장이었다. 설계에서부터 시공, 감리에 이르는 모든 공정이 제 역할을 못하는 ‘총체적 부실’도 검단과 닮은꼴이었다. 충격적인 결과에 윤석열 대통령도 전국 아파트 지하주차장 전수 조사 등 강력한 조치를 주문했다. 향후 추가적인 실태 조사와 입주민 피해 보상 과정에서 상당한 사회적 파장이 예상된다.국토교통부는 31일 정부서울청사에서 간담회를 열고 전날 발표했던 ‘전단보강근’ 누락 단지 15곳의 명단과 설계·시공·감리에 참여한 기업들의 정보를 공개했다. 전날 구체적인 단지 이름이나 하자의 심각성에 대한 언급 없이 ‘15곳’이라는 숫자만 발표하면서LH아파트 입주민과 입주 예정자들이 불안감을 호소하자 하루 만에 정보를 공개하는 것으로 입장을 바꾼 것이란 지적이 나온다.이날 국토부가 공개한 철근 누락 단지는 경기 남양주별내, 오산세교 등 수도권 8곳과 광주선운2, 양산사송 등 지방 7곳이었다. 이들 단지의 시공사 명단에는 시공능력 13위DL건설을 비롯해 대보건설, 동문건설, 삼환기업, 이수건설, 한신공영 등 인지도가 높은 중견 건설사들이 다수 포함됐다.윤석열 대통령은 이날 수석비서관회의에서 “아파트 지하주차장 부실 공사에 대해 전수조사하고, 즉시 안전 조치에 만전을 기하라”고 지시했다. 이에 국토부는 전국에서 시공중이거나 입주 완료된 무량판 방식 민간 아파트 200여곳을 점검하기로 했다.국토부는 지난 4월 29일 인천 검단 아파트 지하주차장 붕괴사고 직후인 5월 3일부터 전국LH아파트 중 검단 아파트처럼 지하주차장에 ‘무량판’ 공법이 적용된 91개 단지에 대해 비파괴검사를 포함한 긴급 안전점검을 실시했다. 그 결과 전체의 16.5%인 15곳에서 전단보강근 누락이 발견됐다. 10곳은 설계 단계부터 전단보강근이 제대로 반영되지 않았고, 5곳은 시공 과정에서 설계도면대로 전단보강근이 설치되지 않은 것으로 파악됐다. 양주회천 A15는 전단보강근이 설치돼야 하는 기둥 154개 모두 누락된 것으로 조사됐으며, 음성금석 A2도 123개 기둥 중 101개에서 전단보강근이 누락됐다.LH는 문제가 발견된 아파트 단지들에 대해 지하주차장 내에 기둥을 추가로 시공하거나 기존 기둥에 하중 지지 시설을 보완하는 방식으로 보강 공사를 진행한다는 방침이다. 하지만 보강 공사 만으로 안전을 100% 담보할 수 있다는 확신이 없는데다, 최근 아파트 붕괴, 누수 사고가 잇따르면서 부실 시공에 대한 국민적 반감이 극에 달하고 있다는 점에서 원만한 합의에 이르기 어려울 것이란 전망이 많다. 일부 입주민들이 검단 아파트처럼 지하주차장을 포함한 단지 전체를 재시공해달라고 요구할 가능성도 있다. 부실 시공의 책임 소재를 두고LH와 시공사, 설계사, 감리사 간 책임 소재를 가려야 한다는 점도 난관이다.원희룡 국토부 장관은 “이번에 문제가 된LH아파트는 지하주차장 상부에 건물이 없어 주거 부분에 안전이 우려되는 상황은 아니다”면서 “과거 관행적으로 있던 안전불감증, 그로 인한 부실시공 일체를 비용이 얼마가 들더라도 철저히 조치를 취해나갈 것”이라고 말했다."
2023-06-27,현대건설 사우디 수주에… 국내 건설株 쑥쑥,"국토교통부는 24일(현지시각) 현대건설이 아람코와 아미랄 석유화학 플랜트 패키지 1·4번 프로젝트 계약 서명식을 진행했다고 25일 밝혔다. 사진은 사우디 아미랄 프로젝트 계약 서명식에 참석한 원희룡 국토교통부 장관이 참석자들과 기념 촬영하는 모습./국토교통부 제공현대건설이 역대 최대 규모의 사우디아라비아 공사 수주를 따낸 여파로 26일 국내 건설 관련주가 일제히 상승했다. 현대건설 주가는 이날 전 거래일 대비 6.3% 오른 4만800원에 마감했다. 장중에는 16% 오른 4만4400원까지 기록했는데, 이는 고점 기준으로 올 들어 가장 높은 가격이었다. 이날 한신공영(5%),HD현대건설기계(3.4%),DL건설(3.3%) 다른 건설 관련주들도 대체적으로 상승했다.현대건설의 사우디 수주 소식이 호재였다. 전날 이 회사는 사우디 국영 석유기업 아람코와 50억달러(약 6조5000억원) 규모의 아미랄 석유화학 플랜트 수주 계약을 체결했다고 밝혔다. 이는 해외 수주 사상 7번째 규모였고, 사우디에서 수주한 사업으로는 최대였다.전문가들은 내년까지 국내 기업들의 중동 지역 수주 성과가 이어질 수 있다고 전망한다. 작년 유가 급등으로 막대한 ‘오일 머니’를 벌어들인 중동 국가들이 각종 건설 프로젝트를 추진하고 있기 때문이다. 강경태 한국투자증권 연구원은 “현재 국내 주택 분양 시장은 불황을 겪고 있지만, 해외 수주로 이를 만회하는 상황”이라며 “구체적인 수주 실적을 내는 기업 위주로 올 연말까지 주가 흐름은 우상향할 가능성이 크다”고 말했다."
