date,title,content
2023-02-01,[경제계 인사] 한화손해보험 새 대표 나채범 외,"한화손해보험 새 대표 나채범(왼쪽부터) 나채범 한화손해보험, 한두희 한화투자증권, 권희백 한화자산운용, 강성수 한화저축은행 신임 대표 내정자. /한화그룹 제공한화그룹이 31일 한화손해보험 신임 대표에 나채범 한화생명 부사장을 내정하는 등 4개 금융 계열사 대표이사 인사를 단행했다. 한화손해보험 강성수 대표는 한화저축은행 대표로 이동한다. 한화투자증권 권희백 대표가 한화자산운용으로, 한화자산운용 한두희 대표가 한화투자증권으로 이동해 양사 대표가 맞교체된다.태영건설 총괄 사장 우철식태영건설은 우철식(65) 부사장을 개발본부·NE사업본부 총괄 사장으로 승진시켰다고 31일 밝혔다.▲패스파인더▷전무 김미란▷상무 정이경▲암롭코리아▷부사장 김기연"
2023-07-28,"한화손보, 여성전문보험 특약으로 ‘보험판 특허’ 획득","한화손해보험이 '한화 시그니처 여성 전문보험'의 특약 4종에 대해 배타적 사용권을 획득했다. /한화손보 제공한화손해보험이 이번달 초 선보인 여성 전문 보험의 일부 특약에 대해 3~6개월 독점적으로 판매할 수 있게 됐다.한화손보는 지난 3일 출시한 ‘한화 시그니처 여성 건강보험’의 특약 4종에 대한 배타적 사용권을 획득했다고 28일 밝혔다. 배타적 사용권은 일종의 ‘보험판 특허제도’로 창의적인 보험상품을 개발한 회사에 일정 기간 독점 판매할 권리를 주는 제도다.‘한화 시그니처 여성 건강보험’은 한화손보가 지난달 설립한 여성 전문 보험 연구소의 첫번째 작품이다. 여성의 생애주기를 고려한 특약과 출산 지원·난임 케어 등을 보장한다. 이번에 배타적 사용권을 획득한 특약은 ‘출산 후 5년 내 중대질환 보장강화’,‘난임치료 후 산후관리지원금’,‘난소과다자극 진단비’,‘특정 여성생식기 탈출치료비’등 4종이다.한화손보는 “임신, 출산과 주요 질환을 연계한 보장 영역을 개척했다는 점 등에서 유용성과 독창성을 인정받은 것으로 보인다”며 “앞으로도 여성 소비자뿐만 아니라 우리 사회의 건강을 지켜나가겠다”고 했다."
2023-07-04,"한화손보, 난임·출산 지원 ‘여성 건강보험’ 출시","한화손해보험이 여성 전용 보험 '한화 시그니처 여성 건강보험'을 3일 출시했다. /한화손해보험 제공한화손해보험이 여성 전문 보험 연구소를 세워 개발한 여성 전문보험을 선보였다.한화손보는 3일 여성의 생애주기를 고려한 특약과 출산 지원·난임 케어 등을 보장하는 ‘한화 시그니처 여성 건강보험’을 출시했다고 밝혔다. 한화손보는 지난달 여성에게 차별화된 보험 상품과 서비스를 제공한다며 ‘LIFEPLUS펨테크연구소’를 설립했는데, 이 연구소가 첫 번째로 내놓은 상품이다.한화손보에 따르면, 이 상품은 업계 최초로 ‘여성 특화 통합 진단비’를 신설해 유방·난소·자궁·갑상선 등 여성의 고위험군 암과 갑상선 질환을 하나의 특약으로 통합하여 폭넓게 보장한다. ‘출산 지원 패키지’는 출산 후 1년간 보장보험료를 한화손보가 부담하고, 육아 등으로 휴직 시 1년간 보험료 납입이 유예된다. ‘난임 케어 패키지’는 난임 진단 시 최초 1회 100만원, 난임 치료 후 출산 시 최대 400만원의 축하금이 지급된다.상품 가입 연령은 만 15∼70세다. 납입 완료 시점에 완납 유지 보너스(총 납입 보험료의 최대 10%)를 지급하는 기본형과 해약 환급금이 적은 대신 보험료가 저렴한 무해지형으로 판매한다. 가입 이후 무사고면 계약 전환 제도를 통해 1년마다 보험료를 할인받고, 5년 후엔 최대 약 30%를 할인받을 수 있다."
2024-12-09,"한화 금융 3사, 샌프란에 AI거점 만들었다","지난 3일 미국 캘리포니아주 샌프란시스코에서  '한화AI센터' 개소식이 열렸다.  왼쪽부터 김래윤 한화AI센터장, 여승주 한화생명 대표, 나채범 한화손해보험 대표이사, 김종호 한화자산운용 대표이사/한화생명한화생명, 한화손해보험 및 한화자산운용 등 3개 한화 금융 계열사가 샌프란시스코에 인공지능(AI) 센터를 신설했다. 이는 국내 금융사가AI선진기업들이 몰려 있는 샌프란시스코에AI거점을 마련한 첫 사례다.한화 금융 3사는 지난 3일 한화 샌프란시스코 빌딩에서 ‘한화AI센터(HAC)’ 개소식을 가졌다. 이날 행사에는 여승주 한화생명 대표(부회장), 나채범 한화손해보험 대표, 김종호 한화자산운용 대표 등 3사 수장들이 참석했다.HAC는 오픈AI,앤스로픽 등AI기업은 물론, 구글·애플 등의 본사와도 인접한 샌프란시스코에 자리를 잡고 이들 기업과의 교류를 강화한다는 계획이다. 이를 통해AI기반의 금융 상품을 개발하고, 현지 우수 스타트업에 대한 투자 기회 및 신사업 발굴에도 나설 예정이다. 김래윤HAC센터장은 “15명으로 출발하는HAC는 현지 인력 채용 등을 통해 40여 명 규모로 확대할 계획”이라고 했다.여승주 부회장은 “HAC는 한화 금융사의AI연구 및 투자, 협력을 위한 전초기지가 될 것”이라며 “AI가 가장 많이 쓰일 수 있는 곳이 금융업”이라고 했다. 한화생명은HAC와 별도로 자체 연구조직인AI연구소를 두고 있고, 네이버에서 번역AI인 파파고를 개발한 김준석AI실장을 영입하기도 했다. 한화생명은 보험 상품 상담이나 약관에 대한 문답을 할 수 있는AI챗봇을 이달 말 도입할 계획이다. 여 부회장은 “자체 생성형AI를 기반으로AI챗봇을 내놓는 것은 한화가 국내 금융사 중 처음”이라고 했다."
2024-12-17,한화 40억원·한진 20억원 연말 성금,"한화그룹이 연말을 맞아 이웃 돕기 성금 40억원을 사회복지공동모금회에 기탁했다. 성금 기탁에는 한화토탈에너지스, ㈜한화, 한화에어로스페이스, 한화오션, 한화생명, 한화손해보험 등 주요 계열사가 참여했다.한진그룹도 사회복지공동모금회에 성금 20억원을 기탁했다. 2001년부터 약 550억원에 달하는 이웃 사랑 성금을 전달해 왔다. 성금은 장애인, 저소득 계층과 사회복지시설 지원에 사용된다."
2024-12-05,"일하는 여성 1000만 시대… 보험사, 女心 잡기 경쟁","여성 특화 상품 잇따라 출시여성 임금근로자가 올해 처음 1000만명을 돌파한 가운데, 보험사들이 여성 특화 상품을 속속 출시하면서 여심(女心) 잡기에 나서고 있다. 여성의 경제활동이 당연해지고 경제력과 구매력이 상승하면서 여성이 보험의 새로운 주 소비층으로 떠오르고 있다는 것이다.과거에도 여성에게 주로 발생하는 주요 질병 위험을 보장하는 보험은 있었다. 하지만 최근 여성 보험 트렌드는 건강보험뿐만 아니라 운전자보험이나 종신보험 등 다양한 특화 상품이 출시되고 있는 것이다. 특히, 최근 여성의 초혼 연령과 평균 출산 연령이 올라가면서 불임이나 난임 등에 대한 보장의 필요성이 높아지는 것도 여성 특화 보험이 쏟아지는 이유이기도 하다. 보험업계는 지금은 아직 여성 특화 보험 시장 성장의 초기 단계라고 보고, 앞으로 여성의 보험 가입 수요가 늘어날 것으로 본다.그래픽=양인성◇여심 잡기 나선 보험사들4일 보험업계에 따르면, ‘여성을 가장 잘 아는 보험사’를 표방하고 있는 한화손해보험은 지난달 ‘한화 시그니처 여성건강보험 3.0′을 출시했다. 이 상품은 지난해 7월 처음으로 출시한 시그니처 여성건강보험의 세 번째 시리즈 상품이다. 임신·출산 관련 보장 영역을 강화하고 ‘정신건강 관련 특약 4종’을 탑재한 것이 특징이다. 한화손보는 금융권 최초로 여성 전문 연구소 ‘펨테크연구소’를 설립해 업계에서 화제가 되기도 했다.한화손보에 뒤질세라 다른 보험사들도 잇따라 여성 특화 보험을 쏟아내고 있다.현대해상은 지난 8월 여성 생애 주기를 고려해 맞춤형 보장을 제공하는 ‘굿앤굿여성건강보험’을 출시했다. 이 상품은 임신·출산기에는 유방·생식기·갑상선·비뇨 질환을, 폐경기에는 골 질환과 수면·정신 질환을, 노화기에는 근육·관절·뇌 질환을 집중적으로 보장하는 상품이다.신한라이프도 지난 6월 여성 특화 보험 ‘신한건강보장보험 원(ONE)더우먼’을 출시했다. 이 상품은 여성에게 자주 발생할 수 있는 질환뿐 아니라 갱년기 질병까지 보장한다. 난소 기능 검사 할인, 난자 동결 시술 우대 등 여성 특화 헬스케어 서비스도 제공한다.◇일하는 여성 1000만 시대이런 배경엔 여성의 사회 참여가 늘어나면서 덩달아 늘어난 여성들의 보험 수요가 있다는 분석이 나온다. 특히 올해는 급여나 일당 등을 받고 일하는 여성 임금 근로자가 처음으로 1000만명을 넘어섰다. 전체 임금 근로자 가운데 여성 비중도 역대 최고치다.4일 통계청에 따르면, 지난 1~8월 월평균 여성 임금 근로자는 1015만2000명으로 집계됐다. 1963년 관련 통계 작성 이후 처음으로 1000만명을 넘어섰다. 올해 전체 임금 근로자(2202만7000명) 중 여성 비율도 46.1%로, 1년 전(45.7%)보다 0.4%포인트 늘어나며 역대 최대치를 기록했다.◇보험연구원 “여성 보험, 밝은 전망”업계에서는 여성을 타깃으로 한 보험 상품이 더 많아질 것으로 본다. 보험연구원 보고서에 따르면, 최근 판매되고 있는 여성 특화 건강보험은 유방암 진단비나 산후 우울증 치료비 특약, 난소 나이 측정 검사 서비스와 같은 여성 특화 서비스를 제공하는 것이 특징이다. 또, 종신보험이나 운전자보험 등에서도 여성을 타깃으로 한 상품을 제공하고 있다.보험연구원은 “여성의 경제활동 참가 증대에 따른 상품 구매력 확대와 남성보다 강한 위험 회피 성향 등 때문에 여성의 보험 가입 수요가 지속해서 증가하고 있다”며 “최근 출시된 여성 특화 보험의 판매량이 꾸준히 증가하고 있다는 점에서 여성 특화 보험 시장은 밝은 성장 전망이 예상된다”고 했다.최근 금융 당국은 임신과 출산에 대한 보험 상품이 출시될 수 있게끔 길을 터주기도 했다. 지금까지는 임신과 출산이 보험 대상에 포함되는지 해석이 모호했다. 하지만, 금융 당국은 지난 8월 저출생 대책의 하나로 임신·출산을 보험 상품 보장 대상으로 허용하기로 했다. 1호 상품은 한화손보가 지난달 출시한 ‘시그니처 여성 건강보험3.0무배당’ 상품이다. 업계에서는 앞으로 임신·출산 관련 보험 개발이 활발해질 것으로 본다."
2024-12-10,"한화 금융3사, 실리콘밸리에 AI거점 세웠다","美빅테크·스타트업 교류 강화한화생명, 한화손해보험 및 한화자산운용 등 한화 금융 계열 3사가 미국 샌프란시스코에 인공지능(AI) 센터를 신설했다. 국내 금융사가 실리콘밸리 중심에AI거점을 마련한 것은 처음이다.한화 금융 3사는 미 샌프란시스코 중심가에 있는 한화 샌프란시스코 빌딩에 ‘한화AI센터(HAC)’를 열었다고 9일 밝혔다. 개소식에는 여승주 한화생명 대표(부회장), 나채범 한화손해보험 대표, 김종호 한화자산운용 대표 등 3사 대표가 모두 참석했다. 여 부회장은 “AI가 가장 많이 쓰일 수 있는 곳이 금융업”이라며 “HAC는 한화 금융사의AI연구와 투자, 협력을 위한 전초기지가 될 것”이라고 했다.HAC는 실리콘밸리에 있는 오픈AI,앤스로픽 등AI선두기업과 애플·메타·구글 등 빅테크와의 교류를 강화하고, 이를 통해 다양한AI기반 금융 상품을 개발할 예정이다. 또 현지에서 우수AI스타트업에 대한 투자 기회 및 신사업 발굴에도 힘쓴다는 계획이다. 김래윤HAC센터장은 “3사에서 파견된 인력을 포함한 15명으로 시작해서, 향후 현지 인력 채용 등을 통해 40여 명으로 규모를 키울 것”이라고 했다."
2022-12-22,"검찰, ‘LH 보험계약 담합’ 삼성·한화·메리츠 보험 기소","서울 서초구 서울중앙지검 전경. /뉴스1한국토지주택공사(LH) 임대주택 관련 보험계약 입찰 담합 사건을 수사한 서울중앙지검 공정거래조사부(부장 이정섭)가 삼성화재해상보험, 한화손해보험, 메리츠화재해상보험 등 손해보험사 3개 법인 및 소속 직원 5명, 보험대리점 공기업인스컨설팅과 이곳 대표 등을 불구속 기소했다고 22일 밝혔다.검찰에 따르면 2017년 12월LH의 ‘2018 임대주택 등 재산종합보험 입찰’ 과정에서 재재보험(再再保險)을 수재하는 조건으로 삼성화재해상보험은 들러리로 입찰하고, 한화손해보험은 입찰에 불참하기로 합의해 A손해보험사가 낙찰받도록 했다.재재보험이란 한 보험사가 계약한 보험의 일부를 다른 보험사가 인수하고, 이를 또 다른 보험사가 인수하는 것을 가리킨다.2018년 2월LH의 ‘전세임대주택 화재보험 입찰’ 과정에서LH몰래 보험료를 분배받는 조건으로 삼성화재해상보험, 한화손해보험, 메리츠화재해상보험 등이 입찰에 불참하기로 합의해 A손해보험사가 낙찰받도록 만들기도 한 것으로 검찰은 판단했다.이러한 입찰담합 과정에서 공기업인스컨설팅은 A손해보험사 보험대리점으로 활동하며 삼성화재해상보험 등 보험사와 담합을 공모한 혐의를 받았다.이 사건 담합으로 전국의LH임대주택에 대한 보험료가 4.3배 상승해 130억원 이상의 보험료가 추가로 지급되는 등 국민을 위해 쓰여야 할LH기금이 낭비됐다고 검찰은 밝혔다.검찰 관계자는 “LH는 정부가 약 89%의 지분을 가진 공기업으로 국민 주거생활 향상을 위해 기금이 운용돼야 한다”며 “그러나 담합 사건으로 기금이 낭비돼 국민들이 피해를 본 것으로, 이러한 담합 사건에 대해 무관용 원칙을 관철하겠다”고 밝혔다."
2022-04-24,포항 대지진 손해 만회하려...임대주택 화재보험료 담합한 손보사들,"8개업체에 17억원대 과징금...KB손보와 공기업인스컨설팅은 검찰 고발포항대지진에서 입은 손해를 만회하기 위해 저소득층 임대주택 보험 입찰을 담합한 8개 손해보험사가 덜미를 잡혔다. 한국토지주택공사(LH)가 부담하는 임대주택 관련 보험을 담합해 보험료를 대폭 올려받은 것이다. 공기업인LH의 손실은 결국 국민들의 손실로 이어진다는 점에서 다른 유형의 담합보다 심각성이 크다는 지적이 나온다.KB손해보험 등 손보사의 입찰 담합 가담 내용 및 대가.공정거래위원회는 24일 “LH의 임대주택 재산종합보험 및 화재보험 입찰 과정에서 담합을 한KB손해보험과 삼성화재,MG손해보험, 한화손해보험, 흥국화재보험,DB손해보험, 메리츠화재보험, 공기업인스컨설팅 등 8개사에 대해 17억6400만원의 과징금을 부과하기로 했다”고 밝혔다. 이 가운데 담합을 주도한KB손해보험 등은 검찰에 고발하기로 했다.공정위에 따르면,KB손해보험은 2017년LH가 발주한 임대주택 등 재산종합보험 및 전세임대주택 화재보험 입찰 담합을 주도했다. 2017년 11월 15일 발생한 포항지진으로 100억원 가량의 손해가 발생했는데 이를 만회하기 위해 이듬해인 2018년 입찰에서 삼성화재보험을 들러리로 섭외하고, 한화손해보험 및 흥국화재보험은 입찰에 불참하게 한 것이다.이에 대한 대가로 삼성화재보험과 한화손해보험에게 지분 일부를 코리안리(재보험사)를 경유해 재재보험으로 인수하도록 했다. 재보험은 원보험의 위험을 분담하기 위한 ‘보험의 보험’이다. 재재보험은 재보험의 위험을 한번 더 분담한 ‘재보험의 보험’인데KB손해보험 공동수급체(원보험)→코리안리(재보험)→삼성화재보험 등으로 지분을 배정한 셈이다. 공정위 관계자는 “KB손보와 삼성화재가 재재보험을 통해 지분을 나눠갖기 한 것은 증거를 입수했지만 이 과정에서 코리안리가 개입했는 지 여부는 밝혀내지 못했다”고 했다.MG손해보험과DB손해보험은 삼성화재가 들러리로 입찰에 참가한다는 소식을 듣고KB공동수급체에 참여하는 방법으로 입찰담합에 가담했다.뉴시스/장혜림 공정거래위원회 입찰담합조사과장이 지난 22일 정부세종청사에서 한국토지주택공사가 발주한 2018년 임대주택 등 재산종합보험과 전세임대주택 화재보혐 입찰에서 들러리 참가·입찰불참 등의 방법으로 담합한KB손해보험, 삼성화재해상보험 등 8개 손해보험사에 대해 시정명령과 과징금 17억6400만 원을 부과하고 담합을 주도한KB손해보험 및 공기업인스컨설팅(주)를 검찰에 고발한다고 밝히고 있다.결국 담합을 하지 않고 정상적인 경쟁을 통해 입찰이 이뤄졌을 경우의 보험료에 비해 보험료가 크게 올랐다.KB공동수급체가 낙찰받은 금액은 2017년에 비해 약 4.3배였고, 설계가 대비 투찰률은 2017년 49.9%에서 2018년 93.0%로 급격히 상승했다.LH가 2016년부터 재산종합보험입찰을 통합해 실시한 이래 낙찰금액 및 설계가 대비 투찰률이 가장 높았다.이들 보험료는LH가 부담하지만, 보험료 상승에 따라 임차인(임대주택 거주자)이 내는 임대료가 올라갔을 가능성도 있다. 공정위 관계자는 “포항지진으로 인해 보험료가 어느정도 올라갈 수 있다는 점을 고려해도 보험사들이 너무 쉽게 담합을 통해서 부당한 이득을 챙겼다”며 “이때문에 그만큼 국민한테 돌아갈 수 있는 몫이 보험사에게 돌아갔다는 점에서 문제가 큰 담합이다”고 설명했다."
2024-12-06,"민희진, 어도어 퇴사 후 첫 공개석상서 “소신 있게 사는 것 어려워”","민희진 전 어도어 대표가 '장르가 된 여자들' 토크콘서트에서 발언하고 있다. /뉴스1민희진 전 어도어 대표가 퇴사 후 처음으로 공개 석상에 등장해 “소신 있게 사는 게 쉽지 않다”고 했다.민 전 대표는 6일 서울 서초구 드림플러스 강남에서 열린 한화손해보험X폴인 토크콘서트 ‘장르가 된 여자들’에서 “없는 말로도 지어서 공격받는데 ‘이거 거짓말이에요’라고 맨날 이야기할 수 없다”며 이같이 말했다.민 전 대표는 “결과물과 행동, 진짜의 모습으로 증명하는 수밖에 없다”라고 했다. 민 전 대표는 “거짓말로 모면하는 사람도 많아서 저는 말은 믿지 않는다”며 “(말이) 순간의 기분인지, 본심인지 모른다. 열매(결과물)는 그것을 다 반영한다”고 했다. 이어 “말하지 않고, 힘들고 했던 것을 참고 만들어낸 열매는 다른 그림으로 드러나서 사람들이 다 안다”라며 “말만 잘하고 보여지는 게 꽝이면 말이 물거품이 된다, 결국 결과로 보여줘야 한다”라고 했다.민 전 대표는 하이브와의 갈등에 대해서는 “싸움이 이렇게 길어질 줄 몰랐고 이런 싸움이 될지도 몰랐다”며 “제가 손해를 생각하지 않는 스타일이고, 이런 점은 꼭 고쳐야 한다는 스타일이라 일반적으로 선택하지 않는 선택을 했고 그래서 많이 고단해졌다”고 했다.아울러 “나는 아무리 생각해도 잘못이 없는데 사람들은 진실을 이야기해도 진실을 믿지 않는다”며 “소송이 끝났으면 좋겠고 모든 것이 빨리 마무리되면 좋겠는데 시간은 내 마음대로 흐르지 않는다”고 했다. 그러면서 “죽도록 괴롭지만, 이 싸움을 왜 시작했는지 그 본질을 떠올리는 수밖에 없다”고 했다.앞서 민 전 대표는 지난달 20일 어도어 사내이사직 사임을 발표했다. 민 전 대표는 이날 법률대리인을 통해 “하이브와 체결한 주주 간 계약을 해지하고 하이브에 주주 간 계약 위반 사항에 대한 법적 책임을 물으려 한다”며 “하이브는 지금까지도 잘못을 인정하지 않고 변할 기미도 전혀 없기에 더 이상의 노력은 시간 낭비라는 판단으로 결단하게 됐다”고 했다.이후 민 전 대표는 자신의 인스타그램에 토끼 캐릭터가 ‘퇴사’라고 적힌 종이를 들고 있는 이미지 한장과 함께 가수 데니스 윌리엄스(DenieceWilliams)의 ‘프리(Free)’라는 곡을 올리며 사임 심경을 간접적으로 드러냈다."
