date,title,content
2024-12-17,"한화에어로, 해외방산 총괄에 ‘외국인 CEO’","‘美국방부 출신’ 쿨터 내년 취임3인체제로 전환해 해외사업 박차한화그룹의 방위산업 계열사 한화에어로스페이스가 글로벌 방산 기업인 ‘레오나르도DRS’의 마이클 쿨터(50·사진) 전 사장을 해외사업 총괄 담당 대표이사 사장으로 임명할 예정이라고 16일 밝혔다. 한화그룹이 외국인CEO를 임명한 것은 역대 두 번째로, 지난 2012년 한화케미칼 바이오 부문 폴 콜먼CEO가 취임한 이후 12년 만이다. 지난 11월 현대차가 내년 1월 1일부터 호세 무뇨스COO(최고운영책임자) 겸 미주대권역장을 대표이사로 임명한 데 이어 트럼프 2기 정부 출범을 앞둔 국내 대기업들의 적극적인 대응의 일환이란 분석이 나오고 있다.그가 내년 3월 주주총회를 거쳐 정식 취임하면, 한화에어로스페이스 대표이사는 김승연 한화그룹 회장의 장남 김동관 부회장과 손재일 사장에 이어, 쿨터 내정자까지 3인 체제가 된다. 그동안에는 김 부회장 중심으로 해외 공략을 해왔는데, 쿨터 내정자가 가세해 한화에어로스페이스뿐 아니라 그 계열사인 한화오션과 한화시스템의 해외 사업까지 맡을 예정이다.쿨터 내정자는 미 국무부 정치군사담당 부차관보, 국방부 차관보 대행, 국방부 국제안보 담당 수석 부차관보 등으로 일했고 글로벌 방산기업 제너럴다이내믹스를 거쳐 레오나르도DRS에서 일했다. 스톡홀름 국제평화연구소(SIPRI)에 따르면 작년 방산 매출 기준 제너럴다이내믹스는 세계 5위, 레오나르도DRS는 13위였다. 한화그룹은 24위다."
2024-12-17,한화 40억원·한진 20억원 연말 성금,"한화그룹이 연말을 맞아 이웃 돕기 성금 40억원을 사회복지공동모금회에 기탁했다. 성금 기탁에는 한화토탈에너지스, ㈜한화, 한화에어로스페이스, 한화오션, 한화생명, 한화손해보험 등 주요 계열사가 참여했다.한진그룹도 사회복지공동모금회에 성금 20억원을 기탁했다. 2001년부터 약 550억원에 달하는 이웃 사랑 성금을 전달해 왔다. 성금은 장애인, 저소득 계층과 사회복지시설 지원에 사용된다."
2024-11-27,"한화에어로, 4700억 규모 ‘KF-21′ 핵심 구성품 공급","KAI와 계약… 최초 양산분 탑재/KAI한화에어로스페이스가 차세대 전투기 ‘KF-21(보라매)’에 독자 기술로 개발한 보조 엔진(보조 동력 장치·APU)을 공급한다.한화에어로스페이스는 26일 이를 포함해 추진·착륙·구동·연료 계통의 핵심 구성품 총 17종을 공급하는 계약을KF-21 제조사인 한국항공우주산업(KAI)과 맺었다고 밝혔다. 계약 규모는 총 4731억원으로, 2028년까지KF-21 최초 양산분에 탑재할 예정이다.현재KF-21 개발에는 약 600여 국내 업체가 참여해 국산화율 65%를 목표로 하고 있다. 앞서 지난 6월 한화시스템은 ‘전투기의 눈’이자 현대 전투기의 핵심 장비인 ‘AESA(능동형 위상배열) 레이더’를 개발해KF-21에 탑재하기로 했다.최근엔KF-21의 두뇌 역할을 하는 ‘임무 컴퓨터’,조종사의 눈과 귀 역할을 하는 ‘다기능 시현기’와 ‘음성 신호 제어 관리 시스템’,미국이 기술이전을 거부한 핵심 장비 중 하나인 ‘적외선 탐색·추적 장비’까지 항공 전자 장비 4종 개발을 완료했다.한화에어로스페이스의 경우KF-21에 F414 엔진도 공급한다. 미국 항공 엔진 제조사GE에어로스페이스의 면허를 활용해 창원 사업장에서 생산하고 있지만, 엔진에 들어가는 일부 부품은 국산화한 상태다."
2024-11-26,"한화, ‘KF-21’에 보조엔진 공급한다… 4731억원 규모 계약","KF-21 시제기. /KAI한화에어로스페이스가 차세대 한국형 전투기 ‘KF-21(보라매)’에 독자 기술로 개발한 보조엔진(보조동력장치·APU)을 공급한다.KF-21 최초 양산분에 탑재될 예정이다. 이를 포함해 추진·착륙·구동·연료 계통 핵심 구성품 총 17종을 공급하기로 했다.KF-21 국산화율이 높아질 것으로 기대된다.한화에어로스페이스는 한국항공우주산업(KAI)과 총 4731억원 규모 ‘KF-21 최초양산 부품 17종 공급 계약’을 체결했다고 26일 밝혔다. 오는 2028년까지KF-21 최초 양산분에 보조동력장치를 포함해 17종의 핵심 구성품을 공급한다.이와 함께 한화시스템도 주요 장비의 공급을 추진하고 있다.KF-21의 두뇌 역할을 하는 ‘임무 컴퓨터’,조종사의 눈과 귀 역할을 하는 ‘다기능 시현기’와 ‘음성신호 제어 관리 시스템’,미국이 기술이전을 거부한 핵심 장비 중 하나인 ‘적외선 탐색·추적 장비’까지 항공전자장비 4종 개발을 완료했다. 향후KAI에 공급한다는 목표다.앞서 한화는 지난 6월 방위사업청과 5562억원 규모의KF-21 엔진 공급 계약도 체결했다. 오는 2027년까지KF-21 최초 양산 1차분에 탑재되는 F414 엔진 40여대와 예비 모듈을 납품할 예정이다. F414 엔진은 글로벌 항공엔진기업GE에어로스페이스가 개발한 엔진으로, 한화에어로스페이스는 라이선스(면허 생산) 형태로 창원 1사업장에서 생산하고 있다.한화에어로스페이스 관계자는 “KF-21 핵심 구성품을 차질 없이 공급해 자주국방에 기여하고, 보조동력장치 기반 기술 역량을 바탕으로 첨단항공엔진 개발도 적극적으로 추진하겠다”고 말했다."
2024-11-15,"‘회장직함 4개’ 김승연, 이번엔 한화에어로 회장에","트럼프 ‘해양방산 러브콜’에 화답김승연 한화그룹 회장이 그룹 방산 사업의 주축인 한화에어로스페이스 경영진으로 합류한다. 도널드 트럼프 미국 대통령 당선인이 콕 집어 협력을 요청한 해양 방산을 포함해 수요가 늘 것으로 예상되는 방산사업을 그룹 총수가 직접 참여해 무게를 더한다는 것이다. 트럼프 측 인사와 가까운 것으로 알려진 김 회장의 인적 네트워크도 최대한 활용한다는 계획이다.한화 방산 3사의 중간지주사인 한화에어로스페이스는 지난 13일 공시한 분기보고서에서 김 회장을 자사 회장으로 위촉했다고 밝혔다. 이로써 김 회장은 ㈜한화, 한화시스템, 한화비전, 한화솔루션에 이어 한화에어로스페이스까지 총 5사 회장직을 겸한다. 올해 3월 김 회장이 약 5년 만에 현장 경영에 복귀할 때 처음으로 찾은 곳도 한화에어로스페이스 대전 R&D(연구·개발) 캠퍼스였다. 한화에어로스페이스 대표이사는 김 회장의 장남 김동관 부회장과 손재일 사장이 그대로 맡는다.김 회장의 한화에어로스페이스 경영 참여는 최근 트럼프가 한국 해양방산에 도움을 요청한 것과 밀접하다는 분석이다. 트럼프는 당선 직후 윤석열 대통령과 통화에서 “세계적인 한국의 군함 건조 능력을 잘 알고 있고, 긴밀한 협력이 필요하다”고 했다.한화그룹은 미국 방산시장 공략에 김 회장의 네트워크 발휘를 기대하고 있다. 김 회장은 국내 재계에서 트럼프 측과 가까운 인사로 꼽힌다. 트럼프의 오랜 지인이자, 외교·안보 분야의 자문을 맡았던 에드윈 퓰너 미 헤리티지재단 창립자와 오래 교류했다. 이 인연으로 김 회장은 2017년 트럼프 대통령 취임식에 초대받았지만, 당시 건강 문제로 참석하지 못했다.한화그룹 관계자는 “김 회장은 대외 경제환경의 변화 속에서 글로벌 네트워크를 활용한 사업 확대를 추진하고, 한화오션 등 한화에어로스페이스 관계사들의 글로벌 사업 확대를 지원하는 역할을 수행할 예정”이라고 했다."
2024-10-31,‘K방산’ 고공행진… 한화에어로 3분기 영업익 457% 껑충,"K9 자주포. /한화에어로스페이스K9자주포·천무 등 대규모 해외 수주를 기반으로 한화에어로스페이스 실적이 껑충 뛰었다. 한화에어로스페이스는 연결 기준 올해 3분기 영업이익이 4772억원으로 지난해 같은 기간보다 457% 증가한 것으로 잠정 집계됐다고 31일 밝혔다. 분기 기준으로 역대 최대다.회사에 따르면 3분기 매출은 1년 전보다 62% 늘어난 2조6312억원, 영업이익은 457% 증가한 4772억원을 기록했다. 회사 측은 “지난 9월 한화인더스트리얼솔루션즈 인적분할 영향으로 직전 분기 대비 매출은 소폭 감소했지만, 방산 부문의 견고한 수익성으로 영업이익은 역대 분기 최대를 경신했다”고 했다.사업별로 보면 방산 부문은 매출 1조6560억원, 영업이익 4399억원을 달성했다. 각각 1년 전보다 각각 117%, 715% 늘었다. 지난 2분기부터 본격화된 폴란드 K9과 천무의 수출이 3분기에도 이어졌고, 국내 사업도 본격적으로 양산이 시작돼 실적을 이끌었다.항공 사업은 지난해 같은 기간에 비해 매출은 22% 늘어난 4779억원을 기록했으나,RSP(리스크·수익 공유 프로그램) 형태로 개발에 참여한GTF엔진 손실 탓으로, 영업손실 60억원을 기록해 적자 전환했다.자회사인 한화시스템은 매출 6392억원, 영업이익 570억원을 기록했다. 한화에어로스페이스가 지분을 투자한 쎄트렉아이는 3분기 매출 437억원, 영업이익 8억원을 달성해 흑자전환에 성공했다.한화에어로스페이스는 “4분기에도 폴란드 등 해외 수출과 국내 물량 확대가 실적에 반영될 예정”이라며 “방산 부문에 전사 역량을 집중하고 내수는 물론 글로벌 경쟁력을 강화해 수출 주도형 기업으로 성장해 나가겠다”고 했다."
2024-10-26,"방한 폴란드 대통령, 한화 방산사업장 찾아 자주포·잠수함 둘러봐","25일 한화에어로스페이스 사업장을 찾은 안제이 두다(맨 왼쪽) 폴란드 대통령이 김동관(가운데) 한화그룹 부회장, 석종건 방위사업청장과 무기 기동 시연을 보고 있다. /한화에어로스페이스안제이 두다 폴란드 대통령은 25일 오후 경남 창원의 한화에어로스페이스 사업장을 찾았다. 폴란드는 지난 2014년 K9 자주포 차체 수입을 시작으로 최근 다연장로켓 천무에 이르기까지 한화와 10년간 방산 분야에서 긴밀하게 협력해오고 있다. 지난 8월 폴란드의 국군의 날 기념행사에서 두다 대통령을 K9 자주포가 호위하는 등 행사 퍼레이드가 ‘K방산 전시장’을 방불케 했다는 말이 나올 정도였다.두다 대통령은 이날 K9, 다연장로켓 천무, 다목적 무인 차량, 중거리 지대공미사일인 천궁 발사대, 차륜형 병력 수송 장갑차 타이곤 등 한화의 무기 체계 10여 종의 기동(機動) 시연을 참관했다. 또 최신 전투형 장갑차인 레드백과 폴란드에 수출을 추진 중인 3000t급 잠수함 ‘장보고-III배치(Batch) 2′, 항공 엔진, 소형 영상 레이더(SAR) 위성도 소개받았다. 두다 대통령은 K9 등 주요 생산 라인을 둘러보며 한화의 육·해·공 통합 방산 역량을 꼼꼼히 확인한 것으로 전해졌다. 두다 대통령은 참관을 마치고 “한화 장비들의 저력과 우수성에 깊은 인상을 받았다”며 “향후 폴란드와 한국의 방위 협력 발전에 큰 역할을 할 것으로 기대한다”고 말했다고 한화 측은 밝혔다.두다 대통령을 안내한 김동관 한화그룹 부회장은 “한국과 폴란드는 자유와 민주주의를 수호하는 전략적 동반자로 국제 평화를 견인하기 위해 함께 노력해왔다”며 “기술 이전 및 현지화로 폴란드의 국방력 강화는 물론 공동으로 제3국 수출을 추진해 경제 활성화에도 기여할 것”이라고 했다. 이를 통해 북대서양조약기구(NATO)의 신뢰받는 파트너로 성장하겠다는 뜻도 밝혔다.이날 두다 대통령 방문에는 야체크 시에비에라 폴란드 국가안보실장이 동행했고, 한국에선 석종건 방위사업청장과 박완수 경남도지사, 손재일 한화에어로스페이스 대표 등 100여 명이 참석했다. 한화는 2014년 K9 차체 120여 대를 폴란드에 수출했고, 2022년에는 K9과 천무 등 총 8조2000억원의 수출 계약을 체결했다. 지난해엔 5조6000억원 규모의 2차 계약을 맺는 등 최근 3년 새에만 대(對)폴란드 계약 물량이 14조원에 달한다.전날인 24일에는 미 해군 태평양함대 사령관인 스티븐 쾰러 제독(대장)이 경남 거제의 한화오션 사업장을 찾아, 한화가 정비 중인 미 해군의 ‘월리 쉬라’함을 점검하고 미 함정의 유지 보수 관련 추가 협력을 논의했다."
2024-10-25,"폴란드 대통령, 한화 방산 사업장 방문...”깊은 인상받아”","안제이 두다(앞줄 왼쪽 첫번째) 폴란드 대통령이 25일 경남 창원의 한화에어로스페이스 사업장에서 K9 자주포, 다연장로켓 천무 등 실물장비의 기동시연을 보며 박수를 치고 있다. 앞줄 왼쪽부터 두다 대통령, 김동관 한화그룹 부회장, 석종건 방위사업청장. /한화에어로스페이스안제이 두다 폴란드 대통령은 25일 오후 경남 창원의 한화에어로스페이스 사업장을 찾았다. 폴란드는 지난 2014년 K9 자주포 차체 수입을 시작으로 최근 다연장로켓 천무에 이르기까지 한화와 10년간 방산 분야에서 긴밀하게 협력해오고 있다. 지난 8월 폴란드의 국군의 날 기념 행사에서 두다 대통령을 K9 자주포가 호위하는 등 행사 퍼레이드가 ‘K방산 전시장’을 방불케 했다는 말이 나올 정도였다.두다 대통령은 이날 K9, 다연장로켓 천무, 다목적 무인 차량, 중거리 지대공미사일인 천궁 발사대, 차륜형 병력 수송 장갑차 타이곤 등 한화의 무기 체계 10여 종의 기동(機動) 시연을 참관했다. 또 최신 전투형 장갑차인 레드백과 폴란드에 수출을 추진 중인 3000t급 잠수함 ‘장보고-III배치(Batch) 2′, 항공 엔진, 소형 영상 레이더(SAR) 위성도 소개받았다. 두다 대통령은 K9 등 주요 생산 라인을 둘러보며 한화의 육·해·공 통합 방산 역량을 꼼꼼히 확인한 것으로 전해졌다. 두다 대통령은 참관 이후 “한화 장비들의 저력과 우수성에 깊은 인상을 받았다”며 “향후 폴란드와 한국의 방위협력 발전에 큰 역할을 할 것으로 기대한다”고 말했다고 한화 측은 밝혔다.두다 대통령을 안내한 김동관 한화그룹 부회장은 “한국과 폴란드는 자유와 민주주의를 수호하는 전략적 동반자로 국제평화를 견인하기 위해 함께 노력해왔다”며 “기술이전 및 현지화로 폴란드의 국방력 강화는 물론 공동으로 제3국 수출을 추진해 경제 활성화에도 기여할 것”이라고 했다. 이를 통해 북대서양조약기구(NATO)의 신뢰받는 파트너로 성장하겠다는 뜻도 밝혔다.이날 두다 대통령 방문에는 야체크 시에비에라 폴란드 국가안보실장이 동행했고, 한국에선 석종건 방위사업청장과 박완수 경남도지사, 손재일 한화에어로스페이스 대표 등 100여 명이 참석했다.한화는 2014년 K9 차체 120여 대를 폴란드에 수출했고, 2022년에는 K9과 천무 등 총 8조2000억원의 수출 계약을 체결했다. 지난해엔 5조6000억원 규모의 2차 계약을 맺는 등 최근 3년 새에만 대(對)폴란드 계약 물량이 14조원에 달한다."
2022-12-02,"누리호 기술 이전, 한화에어로스페이스로 확정","‘한국형 스페이스X’로 도약 목표지난 6월 누리호 발사 장면/과기정통부한화에어로스페이스가 한국형 발사체 ‘누리호’의 기술 이전을 받을 기업으로 최종 선정됐다.한국항공우주연구원은 2일 “누리호의 주요 기술을 이전받아 제작·조립 등을 총괄 수행할 체계종합기업으로 한화에어로스페이스를 확정하고 계약을 체결했다”고 밝혔다. 계약 규모는 2860억원이다.앞서 지난 10월 우선협상대상자로 선정된 한화에어로스페이스는 항우연과 발사체 제작 총괄관리, 조립 공장 구축과 이송, 발사체 및 구성품 시험, 발사운용, 품질보증, 기술이전 등 세부 사항을 협의해왔고, 이번에 최종 합의에 이른 것이다.이에 따라 한화에어로스페이스는 향후 한국형 발사체 제작을 주관하고, 구성품 제작 참여기업에 대한 총괄관리를 수행하게 된다. 이와 함께 4차례(2023·2025·2026·2027년) 예정된 누리호 발사에 참여해 발사 운용 등 관련 기술을 이전받게 된다. 이번 계약은 미 항공우주국(NASA)으로부터 기술을 이전받아 민간 우주 산업을 주도하게 된 스페이스X처럼 우리나라도 ‘한국형 스페이스X’를 만든다는 취지로 추진됐다.한화에어로스페이스는 “항우연의 축적된 역량과 국내 300여개 업체의 기술, 한화의 우주 사업에 대한 열정으로 누리호 추가 발사에 성공해 대한민국의 우주산업을 한 단계 도약시키겠다”고 밝혔다."
2022-10-07,누리호 발사 한화에어로스페이스가 맡는다…  ‘한국판 스페이스X’ 도약 기회,"누리호/사진=공동취재단한국형 발사체 누리호의 기술 이전을 받을 기업으로 한화에어로스페이스가 선정됐다. 한화에어로스페이스는 한국항공우주연구원과 함께 앞으로 4차례 누리호 발사를 주도하며 ‘한국판 스페이스X’로 도약할 기회를 얻게 됐다.과학기술정보통신부는 7일 우주개발진흥실무위원회를 열고 “누리호의 주요 기술을 이전받아 제작‧조립 등을 총괄 수행할 체계종합기업 우선협상대상자에 한화에어로스페이스를 선정했다”고 밝혔다. 입찰에는 한화에어로스페이스와 한국항공우주산업(KAI)이 참여했고, 기술 능력과 입찰 가격 평가를 통해 한화에어로스페이스가 최종 선정된 것이다.이번 사업은 미 우주 기업 스페이스X가 미 항공우주국(NASA)으로부터 기술을 이전받아 민간 우주 산업을 주도한 것처럼, 우리도 ‘한국형 스페이스X’를 만들겠다는 취지다. 한화에어로스페이스는 항우연과 함께 누리호 제작을 주관하고 부품 제작 참여 기업에 대한 총괄 관리를 수행한다. 한화에어로스페이스는 누리호의 75t과 7t 엔진을 개발한 바 있다.한화에어로스페이스는 앞으로 항우연과 세부 협상을 거쳐 다음 달 계약과 함께 체계종합기업으로 최종 확정된다. 이후 내년 상반기로 예정된 누리호 3차 발사부터 사전 준비와 발사 운영에 참여하고, 2025~2027년 매년 한 차례씩 총 4번의 발사에 주관 기관으로 참여하게 된다. 또 한화에어로스페이스는 누리호보다 성능을 높인 차세대 발사체의 최초 설계부터 공동 참여한다. 과기정통부는 차세대 발사체를 이용해 현재 개발 중인 달착륙선을 2031년 발사할 예정이다.과기정통부는 이날 한국형 발사체 반복 발사와 차세대 발사체 개발 계획, 한국형 위성 항법 시스템(KPS) 개발 사업, 우주 산업 클러스터 추진 계획을 심의·확정했다."
