date,title,content
2023-02-28,농식품장관 “먹거리 가격인상 자제해달라”…식품업계 “적극협조”,"정황근 농림축산식품부 장관이 28일 서울 서초구 한국식품산업협회에서 열린 '물가안정 간담회'에서 발언하고 있다./농림축산식품부 제공정황근 농림축산식품부 장관은 28일 “올해 상반기에는 식품업계가 가격 인상을 자제하는 등 최대한 물가안정을 위해 협조해주길 바란다”고 요청했다. 정 장관은 이날 서울 서초구 한국식품산업협회에서 ‘물가안정 간담회’를 열고 식품업체 대표들과 만났다.정 장관은 이 자리에서 “최근의 식품물가를 엄중한 상황이라고 인식하고 있다”며 “서민이 직접 몸으로 느끼는 식품물가의 조기 안정화를 위해 정부와 식품업계가 더욱 노력하는 모습을 보여줄 필요가 있다”고 말했다. 이어 “지속적인 소통을 통해 할당관세 적용품목 추가 발굴 등 업계의 비용부담 완화를 위한 정부의 역할도 계속해 나가겠다”고 약속했다.러시아·우크라이나 사태 등의 영향으로 원재료 값이 치솟고 물류비와 인건비도 증가하면서 생산 비용이 높아지자 지난해부터 식품업체들은 잇따라 제품 가격을 인상했다. 농식품부는 국제 곡물가격이 지난해 5∼6월 이후 하락세를 보이고 있고, 원·달러 환율도 안정화되면서 최근 소비자물가 지수 상승세가 둔화되고 있는데 가공식품 물가는 지난해 12월부터 10%대의 높은 상승세를 유지하고 있다며 우려를 나타냈다.이날 정 장관의 요청에 따라 간담회에 참석한 식품업체들은 민생부담 완화를 위해 가공식품 물가안정에 적극적으로 협조하겠다고 화답했다. 간담회에는CJ제일제당, 오뚜기, 농심, 롯데제과, 동원F&B,SPC,오리온, 삼양식품, 해태제과, 풀무원, 동서식품, 매일유업 등 12개 식품업체 대표들이 참석했다.농식품부는 지난해부터 식품업계 간담회를 수 차례 열며 부당한 가격 인상을 자제하고 불가피한 경우에도 인상 폭을 최소화해달라고 협조를 요청해왔다.한편 전날에는 정부의 요청에 따라 하이트진로, 오비맥주, 풀무원샘물 등 식품·주류업체가 가격을 동결하거나 인상 계획을 철회하겠다고 입장을 밝힌 바 있다."
2024-06-21,"삼양식품, 일본 시장 겨냥한 불닭 포테이토칩 내놨다","삼양식품은 불닭 포테이토칩 3종을 새롭게 출시한다고 21일 밝혔다. 그런데 한국에선 안 판다. 처음부터 수출을 겨냥해 일본에서 먼저 출시하는 전략을 세웠기 때문이다.삼양식품이 포테이토칩을 출시하는 건 이번이 처음이다. 삼양식품은 포테이토칩을 만들 수 있는 설비가 없다. 대신 삼양식품에는 100여국에서 누적 판매량 57억 개(2023년 말 기준)를 넘어선 불닭 브랜드가 있다. 불닭이라는 브랜드와 글로벌 시장을 매혹시킨 시즈닝을 바탕으로 포테이토칩 출시를 결정한 것이다. 생산은 해태제과와 일본 가루비가 합작 투자한 해태가루비에 맡겼다. 삼양식품은 불닭 시즈닝을 제공하고 포테이토칩 생산에 전문성을 가진 해태가루비가 신제품 생산을 담당하는 방식이다.삼양식품은 불닭볶음면이 일본 현지 젊은 층 사이에서 높은 인기를 얻고 있는 점에 착안해 불닭 포테이토칩 출시를 결정했다. 삼양식품 관계자는 “개발 단계에서부터 일본 주요 유통채널 바이어들로부터 큰 관심을 받았다”고 말했다. 3종으로 출시되는데 희망 소비자 가격은 198엔이다. 삼양재팬은 돈키호테, 라이프, 세이유, 이온 등 대형 슈퍼마켓을 비롯해 일본 대표 드럭스토어인 웰시아 등 주요 유통채널 약 2000개 점에 입점하며 일본 스낵 시장을 적극 공략하겠다는 전략이다.삼양식품은 불닭 포테이토칩이 일본에서 강력한 인기를 얻길 기대하고 있다. 앞서 일본 한정판으로 출시했던 야끼소바 불닭볶음면은 일본과 해외 관광객들에게 큰 인기를 끌면서 국내로 역수입되기도 했다./삼양식품일본에 출시되는 불닭 포테이토칩."
2024-02-28,‘아이스크림 담합’ 빙그레 ·롯데푸드 ·해태 임원들 1심 유죄,"조홍선 공정거래위원회 카르텔조사국장이 2022년 2월 17일 오전 정부세종청사에서  8개 빙과류 제조사 &유통사의 부당한 공동행위에 대한  공정위 제제 사항을 발표하고 있다. /뉴스1아이스크림 가격을 담합한 혐의로 기소된 식품기업 임원들에게 법원이 징역형의 집행유예를 선고했다.서울중앙지법 형사18단독 이준구 판사는 28일 공정거래법 위반 혐의 등으로 기소된 빙그레·롯데푸드 임원에게 징역 1년에 집행유예 2년, 롯데제과·해태제과 임원에게 각 징역 6개월에 집행유예 1년을 선고했다. 빙그레 법인에는 벌금 2억원을 선고했다.이들 4개사 임원들은 2017년 6월∼2019년 5월 현대자동차의 아이스크림 납품 입찰에서 순번, 낙찰자 등을 사전에 합의한 혐의로 기소됐다.빙그레와 롯데푸드는 2016년 2월∼2019년 10월 제품 유형별로 판매가격을 인상하거나, 편의점 ‘2+1행사’ 품목을 제한하고 행사 마진율을 합의한 것으로 조사됐다.앞서 공정거래위원회는 2021년 2월 이 사건을 조사한 후 4개 사에 약 1천115억원의 과징금을 부과하고, 빙그레와 롯데푸드 법인을 검찰에 고발했다.재판부는 “이 사건 범행은 국내 4대 아이스크림 제조사가 가격 인상, 상대방 거래처 영업금지, 마진율 인하, 판촉 행사 제한 등을 결의한 뒤 반복한 것으로 공동행위가 장기간에 걸쳐 벌어져 위반 정도가 가볍지 않다”고 했다.재판부는 “다만 일부 결의는 제대로 이행되지 않아 공동행위가 소비자 가격에 크게 영향을 미치지 않은 점을 고려했다”고 밝혔다.재판부는 공소사실 중 빙그레의 편의점에 대한 콘·샌드류 아이스크림 가격 담합 가담 혐의에 대해서는 증거가 불충분하다며 무죄를 선고했다."
2024-12-10,지구촌 곳곳서 “손이 가요”… K과자 수출 1조원 돌파,"적극 현지화로 각국서 인기그래픽=김하경필리핀 승무원 출신의 유명 유튜버 젠 바랑간은 지난 4월 한국 여행을 하며 우리나라 제과 업체가 만든 젤리 등을 먹는 영상을 틱톡에 올렸다. 그는 “지금껏 느껴보지 못한 쫄깃한 맛”이라고 했다. 이 영상은 170만회 넘게 조회됐다.‘K과자’의 수출이 처음으로 연간 7억달러(약 1조원)를 넘어섰다. 농림수산식품부에 따르면 올해 1~11월 과자류 수출액은 전년 동기 대비 16.5% 늘어난 7억570만달러(약 1조15억원)를 기록했다. K과자의 인기가 전 세계적으로 확산되고 있다. 최근 10년 사이 한국을 다녀간 관광객을 중심으로 유명 유튜버, 틱토커 등이 한국 과자를 소개하는 영상을 올린 것이 연일 화제를 모은 게 주요 원인으로 평가된다. 여기에 더해 국내 제과 업계가 해외 각국의 식습관, 문화 등에 맞춘 ‘현지 맞춤형 과자’를 적극적으로 내놓으면서 연간 수출액 1조원의 벽을 넘게 됐다.입소문 타고 현지 수퍼마켓까지 안착한국 과자가 전 세계적인 인기를 끌게 된 데에는 ‘입소문’ 효과가 컸다. 처음에는 한국에 여행을 다녀간 외국인 관광객을 중심으로 한국의 다양한 과자가 인기를 끌었다. 이후엔 유튜브나 틱톡 같은 소셜미디어를 타고 더욱 큰 화제를 모으기 시작했다. 소셜미디어에서 한국 과자를 소개하고 맛보는 영상이 수백만 회 조회수를 기록하기 시작한 것이다. 지난해 오리온 ‘꼬북칩’은 ‘터틀칩스(TurtleChips)’라는 이름을 달고 “중독성 강한 맛으로 한 개만 먹기란 불가능하다”고 소개하는 영상이 화제가 됐다. 최근 롯데웰푸드는 빼빼로를 유튜브 등에 소개하는 외국인 ‘글로벌 리포터’를 모집했는데, 58국에서 700여 명이나 지원했다.그래픽=김하경현지 유통 채널에 ‘K과자’가 입점하면서 접근성도 좋아졌다. ‘꼬북칩’은 미국에서 파이브빌로우·미니소 등 2000여 개의 유통 채널에 입점한 데 이어, 지난 9월 영국·스웨덴·아이슬랜드 코스트코 매장에도 들어갔다. 초코파이는 미국 월마트 전역에서 판매 중이다. 롯데웰푸드도 올해 빼빼로를 캐나다, 멕시코에 이어 미국 코스트코까지 입점하며 현지 소비자와의 접점을 늘리고 있다.인도에선 ‘채식 초코파이’,몽골에선 ‘제로 슈거’국내 업체들이 현지 종교나 식문화를 거스르지 않는 수출 전용 과자를 맞춤형으로 계속 생산한 것도 수출액 확장의 또 다른 요인으로 꼽힌다.롯데웰푸드는 인도에서 ‘채식 초코파이’로 인기를 끌고 있다. 힌두교 국가인 인도는 채식주의자가 전체 인구의 30~40%가량을 차지할 것으로 추정되는데, 이에 맞춰 롯데는 초코파이 속 마시멜로에 사용되는 동물성 젤라틴을 식물성 원료로 대체했다. 롯데 초코파이는 인도 초코파이 시장 70%를 차지하고, 연 750억원 이상 매출을 올리고 있다.해태제과는 초코파이류인 ‘오예스’에서 무슬림에게 금기시되는 주정(알코올) 성분을 없애 사우디아라비아에 수출하고 있다.육식 문화가 주로 발달한 몽골에서는 당 함유량을 낮춘 ‘제로’ 과자가 인기다. 몽골은 올해 총 30만달러의 ‘제로’ 과자가 수출될 것으로 기대되는 최대 ‘제로’ 수출국이다. 육류 위주의 식습관으로 심혈관 질환자가 많은 몽골에서 건강에 신경 쓴 ‘제로’ 과자가 수요에 맞았다는 분석이다.‘국내엔 없는 맛’으로 인기몰이국내엔 없는 맛을 개발해 인기를 끄는 경우도 적지 않다. 오리온은 중국에서 현지 식(食)문화를 반영한 감자칩을 내놓았다. 중국판 ‘오감자’인 ‘야투도우’ 토마토맛이 대표적이다. 중국 사람들이 토마토를 활용해 스튜를 만들거나 얇게 썰어 구워 먹는 것을 선호한다는 점에 착안해 개발했다. 최근 중국에서 유행하는 건강 소비를 겨냥해 ‘예감(슈위엔)’에 식이섬유를 첨가한 오이맛을 출시하기도 했다.베트남에선 ‘빠른 도시화로 늘어난 맞벌이 부부에게 ‘카스타드’와 비슷하게 생긴 ‘쎄봉’이 아침 대용식으로 인기를 끌고 있다. 향신료가 발달한 인도에선 ‘꼬북칩’을 멕시칸 라임, 사워크림&어니언, 탱기토마토, 마살라, 스파이시 데빌맛 등 국내엔 없는 다양한 맛으로 선보이고 있다.러시아에선 과일 잼이 들어간 초코파이를 디저트로 즐긴다. 러시아에선 케이크를 차와 함께 즐겨 먹는 문화가 있는데, 잼을 넣은 초코파이가 이 자리를 대신하고 있다."
2024-06-10,"“고맙다, 더위야”... 빙과株 무더기 신고가 행진","10일 전국 대부분 지역의 낮 기온이 30도 이상 오르는 등 무더위가 시작된 가운데, 빙과 관련주(株)가 급등세를 보이고 있다.한국거래소에 따르면, 이날 오후 2시 30분 현재 유가증권 시장에서 가격제한폭(30%)까지 오른 종목을 포함 상위 탑5 종목은 모두 빙과 관련주다. 이날 장중에 크라운제과(1만1140원)와 해태제과식품(7820원)이 모두 상한가를 찍으면서 1년 내 최고가에 거래되는 중이다. 같은 시간 해태제과식품 모회사인 크라운해태홀딩스(7940원) 역시 26%대 상승세다.지난 6일 서울 종로구 광화문광장 분수대를 찾은 어린이들이 더위를 식히고 있다./뉴스1메로나와 바나나우유 등을 생산하는 빙그레는 이날 장중 11만5500원까지 오르면서 1년 내 최고가를 찍었다. 올해 외국인과 기관이 모두 매수하면서 주가가 111%(10일 장중 최고점 기준) 오르는 등 연일 상승세다. 이날 거래량이 160만주를 돌파하면서 주가는 2014년 2월 이후 10여년 만에 10만원 대에 올라섰다. 증권가에서는 빙그레가 1분기에 이어 2분기에도 국내외에서 호실적을 이어갈 것이라고 전망한다.죠스바, 월드콘, 구구콘, 돼지콘, 설레임 등을 파는 롯데웰푸드 역시 이날 12% 상승한 17만원대에 거래됐다. 장중 18만5500원까지 오르면서 52주 최고가를 찍었다.한편, 이날 음식료주도 동반 상승세를 보였다. K푸드 열풍이 전세계로 확산되는 트렌드를 반영한 것으로 보인다. 농심이 이날 오후 2시 현재 15% 가까이 올라 53만원대에 거래되고 있고, 오리온 역시 7%대 상승세를 보이고 있다. 대상, 롯데칠성 등도 상승률 상위 종목에 랭크됐다."
2023-11-10,양 줄이고 값은 올려… 식품기업 이익 폭증,"농심 200%·빙그레 160% 늘어서울 시내 한 대형마트를 찾은 고객이 밀가루를 살펴보고 있다. 기사와 직접적인 관계 없는 사진./뉴스1지난달 국제 밀가루 가격은 작년 10월보다 34.1% 떨어졌는데, 같은 기간 밀가루를 원료로 하는 파스타면(17.3%), 빵(5.5%), 시리얼(2.9%) 등의 가격은 거꾸로 올랐다. 식품 기업들이 한번 올린 제품 가격을 원자재 가격이 떨어져도 유지하기 때문이다. 재료비 상승을 이유로 꾸준히 제품 값을 올리는 식품업계의 ‘그리드플레이션(greed+inflation·기업 탐욕에 따른 물가 상승)’이 먹거리 물가를 올려 서민들의 가계 부담을 키운다는 지적이다.그래픽=김성규◇식품업계는 호(好)실적 이어가올해 주요 식품 기업의 상반기 실적은 줄줄이 ‘어닝 서프라이즈’였다.9일 기업들의 올해 상반기 실적 보고서에 따르면, 농심의 올 상반기 영업이익은 지난해 상반기보다 204.5% 증가했다.반기 기준 사상 최대다. 올 3분기 영업이익도 전년 동기 대비 80.2% 성장할 것으로 예상된다.식품업계에선 “해외시장 개척으로 수출이 늘어난 덕분”이라고 하지만, 원자재 가격이 떨어진 덕도 컸다.농심 제품의 주요 원재료인 수입 소맥과 팜유 가격은 지난해 상반기 톤당 365달러와 1554달러에서 올 상반기 252달러와 914달러로 각각 31%와 41.2% 떨어졌다.다른 식품업체 실적도 대체로 좋은 편이다. 빙그레의 상반기 영업이익은 전년 동기 대비 160.3% 늘었고, 해태제과(75.5%), 풀무원(33.2%), 동원F&B(29.7%)도 20% 넘는 영업이익 증가율을 기록했다.이런 호실적 배경으로는 지난해부터 이어진 식품업계 가격 인상이 꼽힌다. 빙그레는 “우유 원유 가격이 인상됐다”며 가공유와 아이스크림 가격을 올렸고, 롯데웰푸드도 올해 초부터 빙과류와 과자류 등의 가격을 순차적으로 올렸다. 동원 F&B는 지난 5월 컵커피 가격을 2900원에서 3200원으로 10.3% 올리고, 하반기엔 캔참치·조미김 용량을 10%씩 줄이는 식으로 사실상 제품 값을 올렸다.가정은 물론 식당에서도 많이 쓰는 소스류 등의 가격도 큰 폭으로 올렸다. 오뚜기는 드레싱 가격을 작년 상반기 5939원에서 올 상반기 7186원으로 21% 인상했고, 같은 기간 잼 가격도 3760원에서 4561원으로 21.3% 올렸다. 이런 가격 인상 때문에 식품업계의 3분기 실적도 탄탄할 전망이다. 3분기 실적을 이미 발표한 동원F&B는 영업이익이 지난해 같은 기간보다 39.7% 오르는 ‘어닝 서프라이즈’를 기록했다.◇소비자 단체 “원재료 값 떨어지면 가격 낮춰야”한국소비자단체협의회 등 소비자 단체들은 “고물가 시기가 길어지는 상황에서 소비자가 제품 가격 인상 부담을 나누어 지는 만큼 업계에서도 원재료 가격이 하락하면 제품 가격 인하를 약속하는 상생 문화가 자리 잡으면 좋겠다”는 입장이다.주요 식품 원료의 국제 가격을 보면 옥수수는 지난해 11월 부셸(약 27.2㎏)당6.69달러에서 올해 11월4.75달러로, 밀가루 가격도8.19달러에서5.69달러로 낮아졌다. 팜유와 대두유 가격도 내렸다. 김광석 한국경제산업연구소 경제연구실장은 “원자재 가격 하락에도 값을 올리는 것은 이윤을 극대화하려는 기업들의 경영 전략이겠지만, 고물가에 아픔을 겪는국민은 공감하기 어려울 것”이라며 “최근 사회문제를 적극 해결하자는ESG(환경·사회·지배구조) 경영 확산 흐름에도 맞지 않는다”고 말했다."
2023-03-24,남아도는 쌀 해결사로 ‘가루쌀’ 뜬다,"제분비용 최대 90% 절감, 밀가루 대체 가능22일 충남 당진 사조동아원 제분 공장에서 신품종 가루쌀을 제분한 결과물. 가루쌀은 쌀을 물에 불리지 않는 건식 제분이 가능해 가공 비용이 대폭 절감된다. /농림축산식품부 제공“밀가루 기계에서 쌀가루가 빻아져 나오는 게 신기합니다.”22일 충남 당진에 위치한 제분공장 사조동아원에 들어서자 제분 기계가 큰 소음을 내며 돌아가고 있었다. 평소였다면 밀이 들어 있어야 할 제분 기계에 쌀이 그득했다. 시간당 1.5t의 쌀이 갈리고 있었다.정부가 쌀 과잉 생산 문제를 해결하고, 밀을 대체하기 위해 개발한 ‘가루쌀’이었다. 쌀가루 전용으로 개발한 신품종 쌀이다.최용석 사조동아원 생산본부장은 “가루쌀은 기존 밀 제분 생산 라인에서 제분할 수 있는 점이 획기적”이라고 말했다. 가루쌀을 분쇄해 부서진 입자를 크기별로 분류하고, 체로 치는 과정이 이어졌다. 밀가루를 만드는 과정과 같았다.가루쌀, 쌀 가공 비용 최대 90% 절감국민 1인당 쌀 소비량은 작년 57㎏로 10년 전인 2012년(70㎏)보다 10㎏ 넘게 줄었다. 1인당 연간 쌀 소비량은 1985년(128㎏)부터 38년간 매년 줄고 있다.반면, 작년 쌀 생산은 376만4000t으로 10년 전(400만6000t)보다 6%(24만2000t) 감소하는 데 그쳤다. 소비 감소보다 생산 감소 속도가 한참 더뎌 과잉 생산으로 이어지는 것이다.정부는 밥 대신 빵이나 면으로 끼니를 때우는 사람이 늘자 가공에 적합한 쌀 품종을 개발하고, 재배를 장려하고 있다. 가루쌀을 재배하면 1헥타르당 100만원, 밀이나 목초 등 조사료까지 함께 심으면 최대 250만원을 지원하는 ‘전략작물직불제’도 지난 1월부터 본격 시행 중이다.22일 충남 당진 사조동아원 제분 공장에서 신품종인 '가루쌀'을 기존 밀 제분 라인을 활용해 제분하고 있다. /농림축산식품부 제공정부는 내년부터 가루쌀 상용화가 본격화될 것으로 기대한다. 2027년까지 가루쌀 생산량을 20만t으로 늘려 연간 밀가루 수요 10%를 대체한다는 계획이다.제분·가공 업계는 ‘건식 제분’을 통한 비용 절감에 주목한다. 기존 밥쌀은 치밀한 전분 구조 때문에 물에 불려서 가공해야 했다. 쌀뜨물 등 폐기 비용을 포함해 가공 비용이 만만치 않게 들었다.반면, 가루쌀은 물에 불리는 작업 없이 곧바로 건식 제분이 가능하다. 별도 제분 생산 라인을 만들 필요가 없는 것이다. 커피 프랜차이즈 스타벅스에 100% 가루쌀로 만든 카스텔라(우리미 카스텔라)를 납품하는 전대경 미듬영농조합 대표는 “기존 쌀은 제분 및 가공 비용이 1㎏당 1200원이었는데, 가루쌀로 바꾸고 비용이 800원 선으로 30%가량 절감됐다”고 했다.안유영 농식품부 가루쌀산업육성반 과장은 “소형 쌀 제분기가 아닌 사조동아원처럼 대형 밀 제분기를 활용하면 가공 비용이 1㎏당 80~150원 선까지 떨어질 수 있다”고 했다. 습식 쌀을 쓸 때보다 최대 90% 정도 가공 비용을 절감할 수 있는 셈이다.성심당 빵, 오예스에도 가루쌀 쓰여22일 농식품부는 올해 ‘가루쌀 제품 개발 지원 사업’ 선정 식품업체 15곳과 제품 19개를 발표했다. 이날부터 3일간 충남 당진 사조동아원 공장에서 제분한 가루쌀 30여t과 제분하지 않은 원곡 등 총 45t이 15개 식품업체로 뿌려질 예정이다.농식품부에 따르면, 이번 사업 공모에는 77개 업체가 참여해 7.2대1의 경쟁률을 기록했다. 정부가 1개 제품당 최대 2억원까지, 원료 구매부터 연구·생산·판매·소비자 평가까지 전 과정을 지원한다. 농심·삼양식품·SPC삼립·풀무원·해태제과 등 굵직한 식품 대기업이 참여한다. 성심당, ‘군산 이성당’ 빵집으로 유명한 대두식품 등도 가루쌀빵 개발에 나선다.삼양식품은 작년에 출시한 ‘짜장라면’에 가루쌀을 첨가해 ‘글루텐프리(gluten-free)’ 제품을 출시할 계획이다. 밀가루와 달리 쌀가루는 글루텐이 없어 소화가 잘된다. 해태제과는 초코과자 ‘오예스’에 가루쌀을 첨가해 프리미엄 상품을 출시하기로 했다.기업 입장에서는 쌀이 주는 건강한 이미지도 이점이다. 김태철 스타벅스코리아 푸드팀 파트장은 “스타벅스에 아이를 데려온 엄마·아빠들이 아이들 간식으로 주로 구매하는 제품이 라이스칩(쌀과자)”이라며 “소비자들이 밀가루보다 쌀을 건강식으로 여긴다”고 했다.농식품부는 제품 개발 사업 외에 가루쌀 연구개발 사업도 추진한다. 신세계푸드 등이 ‘저당 쌀가루 이용 기술’을 개발하고,CJ제일제당 등이 ‘쌀가루 노화 지연 소재’를 개발할 계획이다. 전한영 농식품부 식량정책관은 “이번 지원 사업이 가루쌀 산업 활성화의 마중물이 되기를 기대한다”고 했다."
2023-09-07,"정부, 식품·외식업체 22개사와 간담회...물가 안정 협조 요청","지난달 27일 오전 서울시내 한 대형마트에서 시민들이 장을 보고 있다. /뉴시스농림축산식품부는 8일 오후 2시 서울 서초구 한국식품산업협회에서 한훈 차관 주재로 식품업체 12사와 외식 프랜차이즈업체 10사 등 22사 대표들과 간담회를 개최한다고 7일 밝혔다. 농식품부는 식품·외식업체 대표들에게 물가 안정에 협조해 달라고 요청할 것으로 알려졌다. 앞서 농식품부는 지난 6~7월 제분업계와 사료, 식품, 우유업계 등을 연쇄적으로 만나 가격 인상을 자제해 달라고 요청해왔다.이번 간담회에는CJ제일제당, 오뚜기, 농심,SPC,오리온, 해태제과, 스타벅스, 투썸플레이스, 롯데리아, 맘스터치, 교촌F&B,BHC등이 참석한다.지난달 가공식품과 외식 물가는 각각 6.3%, 5.3% 올랐다. 지난 7월에 각각 6.8%, 5.9%씩 상승했던 것에 비해 오름세가 완화됐지만, 전체 소비자물가 상승률(3.4%)보다는 높았다."
2022-10-19,"검찰, ‘아이스크림 가격 담합’ 제과업체 4곳 임원들 기소","서울중앙지검 청사 검찰 로고/뉴스1아이스크림 가격 담합을 벌인 사건 관련 빙과 업체 4곳의 임원들이 재판에 넘겨졌다. 이 사건은 공정거래위의 검찰 고발로 수사가 진행된 사건이다.서울중앙지검 공정거래조사부(부장 이정섭)는 19일 “아이스크림 제조 업체 간 담합 사건 관련 빙그레 법인과 빙그레 최모 시판사업 담당 상무, 롯데푸드 김모 빙과부문장, 롯데제과 남모 빙과제빵 영업본부장, 해태제과 박모 영업 담당 이사를 재판에 넘겼다”고 밝혔다.빙그레와 롯데푸드는 2016년 2월부터 2019년 10월까지 아이스크림 판매·납품 가격, 소매점 거래처 분할, 모 자동차 아이스크림 납품 발주 입찰 순번 등을 합의·실행하는 등 부당 행위를 한 혐의를 받고 있다. 가격과 낙찰자를 미리 결정하는 등의 방식으로 이 같은 행위를 했다고 검찰은 밝혔다. 또 빙그레·롯데푸드·롯데제과·해태제과는 2017년 6월부터 2019년 5월 모 자동차 업체의 아이스크림 납품 입찰에서 순번, 낙찰자 등을 합의·실행하여 입찰을 방해한 혐의를 받고 있다.검찰 관계자는 “이 사건은 역대 식품 담합 중 최대 규모의 사건이며 아이스크림의 가격을 장기간 담합했다”며 “이들의 담합 행위로 아이스크림 물가 상승으로 이어져 국민의 가계 부담을 가중했다”고 했다. 담합에 참여한 업체들의 시장 점유율은 당시 85%가량 됐다고 한다."
2024-06-10,벌써 폭염주의보? 이른 무더위에 빙과주 폭등,"10일 영남권에 올해 첫 폭염주의보가 발령되는 등 전국적으로 이른 무더위가 찾아오면서 빙과 제품을 파는 기업들의 주가가 큰 폭으로 상승했다. 이날 내려진 폭염주의보는 지난해 6월 17일 대구, 경북에 내려진 폭염주의보보다 일주일쯤 빠르다.지난 6일 오후 서울에 위치한 마트를 찾은 시민이 진열된 아이스크림을 바라보고 있다. /뉴스1한국거래소에 따르면, 이날 빙그레는 유가증권시장에서 전 거래일 대비 24.42% 상승한 11만2100원에 거래를 마쳤다. 장중엔 11만5500원까지 오르며 52주 신고가를 쓰기도 했다. 롯데웰푸드 역시 12.17% 상승한 17만7900원에 거래를 마감했다. 롯데웰푸드는 장중 18만5500원까지 오르며 52주 신고가를 기록했다.크라운제과와 해태제과식품도 각각 29.99%, 29.90% 폭등하며 상한가를 기록했다.여름 성수기가 시작되는 올해 2분기 이후에도 빙과주들이 성장할 것이라는 예측이 나오는 가운데, 증권사들은 빙과 업체의 목표 주가를 상향하고 있다.SK증권은 빙그레 목표 주가를 기존 10만원에서 10만5000원으로 올렸고, 하이투자증권은 10만원에서 12만원으로 상향했다. 이경신 하이투자증권 연구원은 빙그레에 대해 “올해 2~3분기는 모든 빙과 회사의 영업 실적 기여도가 확대되는 시기”라고 했다."
