date,title,content
2024-09-25,"현대글로비스, 中 비야디와 물류·완성차 운송 분야 협업","현대글로비스가 중국 1위 전기차 기업BYD(비야디)와 물류·완성차 운송 분야에서 손을 잡는다. 중국 전기차 수출이 늘며 전세계적으로 자동차 운반선 부족이 장기화되는 가운데, 시장 상황에 유연하게 대응하기 위한 차원의 협업이다.지난 23일 중국BYD본사에서 김태우 현대글로비스 해운사업부장(왼쪽)과 왕준바오BYD해운사업 총괄이 업무협약을 맺은 뒤, 기념 촬영을 하고 있다. /현대글로비스현대글로비스는 25일BYD와 ‘물류 및 완성차 해상운송 사업에 대한 전략적 협업’을 목적으로 업무협약(MOU)을 체결했다고 밝혔다. 물류 부문에서는 현대글로비스의 글로벌 인프라를 활용, ‘컨테이너 포워딩(운송 대행) 사업’ 협업에 대해 논의한다. 또,BYD가 소유하고 있는 자동차 운반선을 공동으로 활용하는 방안도 검토한다.BYD는 올해 첫 자동차 운반선을 내놨고, 외신과 인터뷰에서 내년까지 선박 7척을 추가 제작하겠단 계획을 밝혔었다.현대글로비스로선BYD의 완성차를 실어 나르며, 현대차·기아 외 매출 비중도 늘릴 수 있을 거란 전망이다. 현대글로비스는 지난 6월 열린 ‘2024CEO인베스터 데이’에서 향후 5년 간 완성차 해상 운송 부문에서 현대차·기아 외 매출 비중을 50%로 확대하겠다고 발표했었다. 이를 위해 현재 90척 안팎인 선대를 2030년 128척 규모로 늘릴 예정이다."
2024-10-25,[기업 브리핑] 현대글로비스 車운반선에 화재진압장비 도입,현대글로비스는 자동차 운반선 내 특수 화재 진압 장비 ‘EV드릴 랜스’를 도입한다고 24일 밝혔다. 전기차 화재 시 차체 하부를 통해 배터리팩까지 구멍을 뚫고 물을 분사해 화재를 진압하는 장비다. 배터리팩 내부로 물을 분사하면 30분 내 화재를 진압할 수 있다.
2024-09-26,"車 운반선 부족에… 中 BYD, 글로비스와 손잡아","컨테이너 중개 물류 협력도 검토세계 1위 전기차 회사인BYD(비야디)와 자동차 운반선 보유 세계 3위인 현대글로비스가 업무 협약(MOU)을 맺었다. 두 회사의 첫 협업으로, 최근 중국과 한국이 전기차를 앞세워 자동차 수출에서 경쟁하면서 자동차 전용 운반선 품귀 현상이 심화되자 돌파구를 마련하기로 한 것이다.이번 업무 협약으로 두 회사의 자동차 운반선을 더 유연하게 활용할 수 있을 전망이다. 25일 현대글로비스에 따르면, 양사의 자동차 운반선을 함께 활용하는 방안이 검토될 예정이다.BYD는 2022년 자동차 운반선 8척을 만들겠다고 발표했고 2척이 올해 운항에 들어갔지만, 최근 수출 물량이 빠른 속도로 늘고 있다.BYD판매에서 수출의 비율이 작년엔 8%였지만, 올 1~7월에는 14%까지 올랐다. 이런 상황에서, 운반선을 구하기 힘들어진BYD가 자사의 완성차를 현대글로비스의 배로 실어 나를 가능성이 거론된다. 현대글로비스도BYD의 운반선을 이용할 수 있다.BYD의 운반선은 수출 기지에 차를 내려놓고 돌아올 때 한산한 경우가 있는 것으로 알려졌다.또, 컨테이너 포워딩(중개 물류) 분야에서 협력 가능성도 있다.BYD는 최근 중국산 자동차에 대한 무역 장벽이 높아지자, 해외 공장을 지으며 현지 생산을 늘리고 있다. 지난 7월 태국에 전기차 공장을 완공했고, 튀르키예, 파키스탄 등에서도 공장을 짓고 있다. 현지에서 공장을 짓고, 전기차 부품을 조달하는 과정에서 컨테이너를 사용하게 되는데, 현대글로비스는 이미 이 분야에서 성과를 내고 있다. 현대글로비스는 작년 40피트(약 12.2m) 크기 컨테이너 32만개 이상 규모의 자동차 부품과 배터리 등을 해외에 공급했다."
2024-07-25,"현대글로비스 2분기 영업이익  4393억원, 전년 대비 6.5% 올랐다","현대글로비스는 2분기(4~6월) 매출액이 7조644억원, 영업이익이 4393억원을 기록했다고 25일 밝혔다. 전년 같은 기간 대비 각각 8.1%, 6.5% 늘어난 수치다.경기도 평택항에서 현대글로비스의 선박이 기아차 수출을 위해 대기하고 있는 모습. /신현종 기자물류, 해운, 유통 등 주요 사업 분야에서 기대했던 실적을 달성한 결과다. 물류 분야에선 매출 2조4344억원, 영업이익 2027억원을 기록했다. 매출이 전년 대비 7.8% 늘었다. 해운 분야 매출은 1조2878억원, 영업이익은 785억원이었다. 전년 대비 각각 22.3%, 6.2% 증가했다. 운임료가 높은 완성차 물량이 늘어난 영향이다. 유통 분야는 매출액 3조3422억원, 영업이익 1581억원을 기록했다. 특히 영업이익이 전년 대비 33.1% 급증했다.현대글로비스의 상반기 전체 매출은 13조7000억원, 영업이익은 8000억원이다. 앞서 올해 실적 전망치로 제시했던 매출(26조~27조원)과 영업이익(1조6000억원~1조7000억원)의 절반 수준이다. 지금 추세대로면 연간 실적이 전망치에 근접할 것이란 관측이 나오는 이유다.현대글로비스 관계자는 “지난 2분기 글로벌 경기 부진, 환율 등 변수가 있었지만, 수익성 확보를 위한 노력을 통해 전 사업 부문 물량을 확대할 수 있었다”고 했다."
2024-02-08,현대글로비스 車운반선 4척 확보,"해진공서 발주한 배 빌려 써1대당 소형차 1만800대 선적/현대글로비스 제공현대글로비스가 한국해양진흥공사를 통해 초대형 자동차 운반선(PCTC) 4척을 확보했다고 7일 밝혔다. 한국해양진흥공사가 발주해 2027년 인도받는 차량 운반선을 현대글로비스가 빌려 쓰는 방식이다.양사는 이날 이 같은 내용을 골자로 한 업무협약(MOU)을 체결했다. 선박 1대는 소형차 1만800대를 실을 수 있는 규모로 만들어진다. 현대글로비스는 이번에 확보한 선박 4척을 포함해 2027년까지 28척의LNG(액화천연가스) 추진 엔진PCTC를 보유한다는 계획이다. 이는 글로벌 자동차 운반 선박 업계에서 최대 규모다.현대글로비스가PCTC를 늘리는 건 세계적으로PCTC부족 현상이 심화하기 때문이다. 코로나를 거치면서 자동차 수출 감소를 예상한 선사들이PCTC발주를 줄였고, 동시에 탄소 배출량이 많은 노후 선박은 폐선 되면서 나타난 현상이다. 업계에선 이번 계약을 통해 현대글로비스가 물류 리스크를 줄였다는 평가가 나온다. 양사는 국내 완성차 업계가 자동차 운반선을 확보하지 못해 수출에 어려움을 겪을 경우 4척 선박의 공간을 우선 배정하는 데도 합의했다."
2024-01-23,현대글로비스 ‘배터리 재활용’ 기술 확보,"전처리 전문기업 ‘이알’ 지분매입전기차 희귀 원료 확보에 새 활로현대글로비스는 폐차한 전기차에서 나오는 ‘사용 후 배터리’ 재활용 기술을 확보하기 위해 배터리 재활용 전문 기업인 ㈜이알 지분을 사들였다고 22일 밝혔다. 이알은 경남 김해에 있는 2008년 설립된 벤처기업이다. 투자 금액과 세부 계약 조건은 공개하지 않기로 했다. 현대글로비스는 “이알은 사용 후 배터리 재활용 중 ‘전처리’ 분야 기술력이 있는데, 지분 투자로 이 회사 기술과 관련 설비를 사용할 수 있는 권리를 갖게 됐다”고 설명했다.전처리는 사용 후 배터리를 해체한 후 잘게 갈아서 리튬·니켈·코발트 등 배터리 핵심 소재 희귀 금속이 포함된 가루인 ‘블랙 파우더’를 만드는 과정을 가리킨다. 블랙 파우더에서 필요한 금속을 추출해 배터리 등을 다시 만드는 단계를 ‘후처리’라고 부른다.전기차나AAM(미래 항공 모빌리티), 로봇 등 미래 전기 동력 모빌리티 경쟁이 본격화하면서, 핵심 부품인 배터리에 들어가는 희귀 금속의 중요성은 갈수록 커지고 있다. 주요 기업들은 이런 금속을 확보하고자 세계 곳곳의 광산 기업 등과 협약을 맺고, 사용 후 배터리 및 관련 기술 확보에 나서고 있다.시장조사 업체SNE리서치에 따르면, 폐차되는 전기차는 2025년 56만대에서 2030년 411만대로 늘어날 전망이다. 전기차 전환이 가속화할수록 배터리 재활용 시장도 그만큼 커지는 셈이다.국내에선 현대차그룹의 현대글로비스가 한국뿐만 아니라 유럽, 북미, 동남아시아 등 세계 곳곳에서 폐차된 전기차를 확보해 사용한 배터리를 회수·재활용하는 사업에 뛰어들었다. 이 밖에 국내에선LG에너지솔루션, 삼성SDI,포스코, 코오롱, 두산 등이, 해외에서는 테슬라, 폴크스바겐,BMW등 주요 기업들이 이 분야에 진출해 사용 후 배터리 및 기술력 확보 경쟁을 벌이고 있다."
2024-12-11,[경제계 인사] 현대자동차 외,▲현대자동차▷부사장 구자용 이항수 박상현 김창환 이승조 한동희▲기아▷부사장 김상대 이태훈 박준범▲현대모비스▷부사장 손찬모▲현대제철▷부사장 이보룡▷전무 고흥석 정유동▷상무 김광식 김동은 김용찬 안상우 오성호 이명호 이유철 이창우 장영훈 최주희 한학수 현주식▲현대건설▷부사장 유명근▲현대글로비스▷부사장 김태우▲현대로템▷부사장 이정엽
2023-10-27,"현대글로비스, 한국ESG기준원 ‘A+’ 평가 획득","현대글로비스 로고현대글로비스는 한국ESG기준원(KCGS)에서 발표한 ‘2023 상장기업ESG(환경·사회·지배구조) 평가’에서 최고 등급인 A+를 획득했다고 27일 밝혔다.한국ESG기준원은 국내 기업의ESG평가를 하는 대표 기관으로 올해는 790여곳의 기업을 대상으로 평가가 이뤄졌다. 현대글로비스는 지난해보다 한 단계 오른 A+를 획득했다. A+ 등급은 평가 대상 기업 상위 2.5%에 부여된다. 현대글로비스 관계자는 “환경(E)과 사회(S) 부문에서 A+를 받은 것이 전체 등급 상승을 이끌었다”고 했다.현대글로비스는 온실가스 감축, 오염물질 배출 최소화, 환경 인식 강화라는 방침을 수립하고 사업장별로 세부 추진계획을 마련해 시행하고 있다. 또 내부 환경 성과 평가를 모니터링하고 외부 심사 프로세스도 도입해 환경경영시스템을 관리한다. 액화천연가스(LNG) 이중연료 추진 엔진이 탑재된 자동차 운반선·전기 트럭 도입 등 각 사업 부문에 친환경 물류 체계 구축도 추진하고 있다."
2023-09-11,"현대글로비스, 17일까지 하반기 신입사원 채용 접수","현대글로비스 2023 하반기 신입사원 채용현대글로비스가 이달 17일까지 하반기 신입사원 접수를 진행한다고 11일 밝혔다. 채용 부문은 물류, 해운, 유통, 신사업,KD(부품 수출 후 현지서 조립·생산 및 판매),IT,경영지원 등 전 사업영역이다.모집 대상은 내년 1월 입사 가능한 학사 이상 학위 취득자 및 취득예정자다. 남성의 경우 병역필 또는 면제자로서 해외여행에 결격사유가 없어야 한다.현대글로비스는 지난 9일 취업 희망자 대상을 서울 성수 본사로 초청해 인사 담당자, 현직 선배 사원이 들려주는 채용 설명회를 열었다. 선착순으로 선정된 300명이 참석해 취업 정보, 조직 문화 등을 공유하는 시간을 가졌다. 현대글로비스 관계자는 “글로벌 물류기업 현대글로비스와 함께 꿈을 키우고 성장할 열정, 패기 넘치는 창조적인 인재들의 지원을 기대한다”고 했다"
2023-09-13,"현대글로비스, 미국 최대 대형 화물 전시회 참가","현대글로비스 자동차운반선(PCTC) '글로비스 센추리'호/현대글로비스현대글로비스가 이달 26일부터 미국 텍사스주에서 열리는 북미 최대 벌크 화물 산업 전시회인 ‘브레이크벌크 아메리카(BreakBulkAmericas∙BBA) 2023′에 참가한다고 13일 밝혔다. 글로벌 시장에서 해운사업 경쟁력을 알리기 위한 것이다.브레이크벌크란 산업 및 발전설비, 전동차, 철강 제품, 건설 및 광산 장비 등 무게가 많이 나가는 대형 화물을 가리킨다. 이 전시회에서 글로비스는 물류 운송을 맡길 새 고객 찾기에 나설 계획이다. 한국 유일의 대표 자동차운반선사로 전 세계 100여 곳에 달하는 해외 거점 네트워크를 보유하고 있다는 점을 차별화 요소로 알릴 방침이다. 실제 글로비스는 글로벌 에너지 인프라 기업의 운송 의뢰를 받아 자동차선에 화력·풍력 발전설비를 실어 미국 볼티모어, 독일 브레머하펜 등지로 무사히 운송한 경험도 갖고 있다.현대글로비스 관계자는 “현재 글로벌 자동차운반선 시장은 완성차 수출 물량이 늘어나며 공급부족을 겪고 있는 상황”이라며 “그럼에도 이번 전시회를 통해 회사의 해운 경쟁력을 알리고 장기적인 해운·물류사업 확대 기회로 삼을 계획”이라고 말했다."
