date,title,content
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-11-01,‘형제경영’ 다지는 현대백화점,"동생 정교선 홈쇼핑 회장 승진형 정지선 그룹회장 경영 보좌백화점 등 주요사 대표는 유임정교선(50) 현대백화점그룹 부회장이 31일 현대백화점그룹 정기 임원 인사에서 현대홈쇼핑 회장으로 승진했다. 현대백화점그룹 부회장직은 유지하며 형인 정지선(52) 현대백화점그룹 회장을 보좌한다. 전날 신세계그룹이 이마트와 신세계백화점을 계열 분리한다고 발표한 것과 달리, 현대백화점그룹은 정지선 회장과 정교선 부회장의 ‘형제 경영’을 강화하고 있다는 분석이 나온다.정교선 현대백화점그룹 부회장 겸 현대홈쇼핑 대표이사 회장수년 전만 해도 시장에서는 정지선 회장과 정교선 부회장 형제가 각각 백화점과 식품을 중심으로 분리 경영에 나서지 않겠냐는 전망이 많았다. 하지만 지난해 11월 현대백화점그룹이 단일 지주회사로 현대지에프홀딩스를 출범하며 계열 분리 가능성을 불식시켰다. 현대지에프홀딩스는 유통·패션·식품 등 27개 자회사를 편입했다. 정지선 회장과 정교선 부회장은 각각 지주회사 지분 39.7%와 29.1%를 보유한 채 공동 경영을 이어가고 있다.유통 업계에서는 정지선 회장이 동생을 예우해 현대홈쇼핑 회장으로 승진시키며 형제 경영이 더욱 탄력을 받게 됐다는 평가가 나온다. 정교선 부회장은 2009년부터 현대홈쇼핑 대표를 맡고 있다. 현대백화점그룹은 “정교선 부회장은 정지선 회장을 보좌하며 단일 지주회사 체제의 지배구조를 기반으로 그룹 경영 전반을 함께 이끌어 나갈 예정”이라고 밝혔다.현대백화점그룹은 이날 인사에서 현대백화점, 현대홈쇼핑, 현대그린푸드, 현대리바트, 한섬 등 주력 계열사의 대표를 유임시켰다. 회사 관계자는 “이번 정기 임원 인사의 핵심 키워드는 안정 기조 속 미래 성장을 위한 변화 추구”라고 했다. 이와 함께 현대면세점 대표이사에 박장서 영업본부장을 내정했다. 건자재 기업인 현대L&C 신임 대표에는 이진원 현대그린푸드 푸드서비스사업본부장이, 매트리스 전문 기업 지누스 대표에는 정백재 현대L&C 대표가 내정됐다. 복지 설루션 기업인 현대이지웰 대표는 박종선 상품운영본부장이 맡는다.▲현대백화점▷부사장 김창섭▷전무 나원중 이원철 이승원▷상무 이원근 이기호 지준우 이희석 박세원 김우형 박영배 ▲현대홈쇼핑▷상무 임호연 ▲현대그린푸드▷전무 장재락▷상무 이준재 강대림 박신영 ▲현대리바트▷상무 안은길 ▲한섬▷전무 윤인수▷상무 서정현 여유정 ▲현대L&C▷상무 홍진석 ▲현대에버다임▷상무 김일석 ▲현대바이오랜드▷부사장 이희준▷상무 박종택 ▲현대퓨처넷▷부사장 김성일 ▲지누스▷상무 박영빈 ▲현대지에프홀딩스▷전무 김준영▷상무 김택년"
2023-08-14,"현대바이오사이언스, 美 국립보건원과 항바이러스제 공동 개발한다","후보물질 ‘제프티’로 동물 실험임상 시험 2상까지 함께 진행현대바이오사이언스 사옥.현대바이오사이언스가 미국 국립보건원(NIH)과 공동으로 여러 바이러스 질환을 치료할 수 있는 범용 항(抗)바이러스제를 개발하기로 했다.13일 바이오 업계에 따르면 현대바이오사이언스의 자회사 현대바이오사이언스USA는 지난 11일NIH산하 국립알레르기·감염병연구소(NIAID)와 항바이러스제 개발을 위한 비임상평가계약(NCEA)을 체결했다. 현대바이오사이언스 측은 바이러스 억제에 효과가 있는 후보 물질 ‘제프티’(CP-COV03)를 제공하고,NIAID가 이 물질로 호흡기세포융합바이러스(RSV) 등 항바이러스에 대한 동물 실험을 진행한다는 내용이다. 동물 실험 결과를 바탕으로 임상 시험 2상까지 공동으로 진행할 예정이다.이번 계약은 미 정부가 코로나 팬데믹 이후 도입한 ‘팬데믹을 대비한 항바이러스 프로그램(AntiviralProgramforPandemics·APP)’의 일환으로 진행됐다. 코로나 같은 또 다른 팬데믹에 대비하기 위해 도입한 사업으로 2021년 32억달러(약 3조6000억원) 예산이 투입됐다. 현대바이오는 “APP에서 범용 항바이러스 치료제 개발 계약을 체결한 것은 이번이 첫 사례”라고 밝혔다.제프티의 주요 성분은 항바이러스제인 니클로사마이드다. 니클로사마이드는 그동안 각종 실험에서 호흡기 감염증을 일으키는 주요 바이러스를 제거하는 효과가 증명됐지만 체내 흡수율이 낮고 몸속에서 약효를 낼 수 있는 약물 농도가 유지되는 시간이 짧아 주로 구충제로만 사용하고 있다. 현대바이오 측은 “제프티는 니크로사마이드의 단점을 개선해 바이러스 감염증 치료에 효과가 있다는 걸 확인했다”고 밝혔다.앞서 현대 바이오는 질병관리청에 제프티의 국내 긴급사용승인을 위한 임상시험 결과를 제출했다. 업체에 따르면 300명을 대상으로 한 임상 시험에서 제프티 투약 이후 발열·기침 등 12가지 코로나 증상이 위약군에 비해 나흘 먼저 개선됐다. 위약군의 경우 투약 16시간 안에 채액 내 바이러스 수치 감소율이 4%인 반면 제프티 투약 때는 바이러스 수치가 56% 낮아졌다."
2024-09-06,네슬레 손잡은 현대百 헬스케어 사업 키운다,"2030년까지 매출 4000억 목표현대백화점그룹이 연 매출 20조원으로 글로벌 헬스케어 사업을 선도하는 네슬레헬스사이언스와 협력해 헬스케어 사업 확장에 나선다. 네슬레헬스사이언스는 네슬레의 계열사로, 비타민 브랜드 솔가 등 25개 브랜드를 보유하고 있다. 양 사는 작년 8월 전략적 업무 협약을 맺은 데 이어, 5일 현대백화점그룹의 지주사인 현대지에프홀딩스 장호진 사장과 네슬레헬스사이언스 애나 몰 최고경영자가 서울 대치동 현대백화점그룹 사옥에서 만나 헬스케어 사업 확대 방안을 논의했다.현대백화점그룹은 네슬레헬스사이언스의 건강기능식품 브랜드를 국내에 독점 유통해 헬스케어 사업을 키운다는 계획이다. 헬스케어 사업 매출(작년 기준 약 1500억원)을 2030년까지 4000억원 이상으로 끌어올린다는 목표도 밝혔다. 네슬레헬스사이언스는 백화점, 홈쇼핑, 면세점 등을 보유한 현대백화점그룹을 통해 한국 시장을 공략하겠다는 전략이다. 현대백화점그룹 관계자는 “그룹의 헬스케어 기업인 현대바이오랜드가 보유한 원료와 네슬레헬스사이언스의 제품 생산능력이 결합해 부가가치가 높은 신제품 출시도 추진할 것”이라고 했다.우선 11월 현대백화점 목동점에 네슬레헬스사이언스의 건강식품 브랜드를 모아서 판매하는 전문 매장이 문을 연다. 현대백화점그룹은 3년 내에 그룹의 헬스케어 역량을 결집시킨 종합 헬스케어 플랫폼을 오프라인으로 출범시킨다는 계획이다. 장호진 사장은 “이번 협력 강화가 헬스케어 사업을 확장하고 도약하는 데 큰 발판이 될 것”이라고 했다."
2024-04-19,대산공장서 바이오디젤 생산… HD현대오일뱅크 年 13만t,"HD현대오일뱅크 바이오 디젤 공장 전경./HD현대오일뱅크HD현대오일뱅크는 18일 충남 서산시 대산 공장 내에 연산 13만t 규모 바이오 디젤 전용 공장을 준공하고, 동·식물성 기름 등을 원료로 바이오 디젤 생산을 시작한다고 밝혔다.HD현대오일뱅크는 안정적 원료 공급망 확보를 위해 롯데웰푸드와 협력해 폐자원 순환 경제에도 동참한다. 롯데웰푸드에서 폐식용유 등 원료를 공급받아 이를 기반으로 바이오 디젤 제품을 생산한 뒤 롯데그룹 계열사 운송용 트럭 등에 다시 공급하는 방식이다."
2023-10-05,"현대바이오, 美 ‘항바이러스 프로그램’ 참여","자사 신약 ‘제프티’ 전임상 착수현대바이오사이언스가 미 국립보건원(NIH)과 호흡기 바이러스 질환 범용 항바이러스제의 공동개발 전임상에 본격 착수한다./현대바이오사이언스 제공현대바이오사이언스가 미국 국립보건원(NIH)과 호흡기 바이러스 질환 범용 항바이러스제의 공동 개발 전임상에 본격 착수한다.현대바이오사이언스는NIH산하 국립알레르기·감염병연구소(NIAID)가 자사의 범용 항바이러스제 ‘제프티’ 개발을 위한 전임상서비스요청서(SRF)를 승인하고 전임상 연구기관과 연구책임자를 지정했다고 4일 밝혔다. 이번 임상은 미 정부가 운영하고 있는 ‘팬데믹 대비 항바이러스 프로그램(APP)’ 일환으로NIH가 전임상부터 임상 2상까지의 모든 비용을 지원한다.APP는 7개 계열 45개 바이러스에 대한 치료제 개발을 목표로 조 바이든 미국 대통령이 ‘제2 코로나 유행’을 막기 위해 지난해 10월 서명한 국가안보명령에 따라 만들어졌다.현대바이오사이언스는 오는 12일까지 자체 개발한 코로나 치료제 ‘제프티’를 지정된 임상연구기관으로 보낼 예정이다. 제프티의 주성분인 니클로사마이드는 1959년 독일 바이엘사가 출시한 약물로, 본래 경구용 구충제로 활용돼 왔지만 현대바이오사이언스가 약물 흡수율을 높여 항바이러스 개량 신약으로 개발하는 데 성공했다.NIH는 전임상을 통해 인플루엔자, 메르스, 호흡기세포융합 바이러스 등 10가지 바이러스에 대한 제프티의 효능과 안전성을 살펴볼 계획이다. 니클로사마이드는 오랜 기간 사용되며 약물의 안전성이 입증된 만큼 전임상에서 효능이 확인될 경우 곧장 임상 2상이 진행될 수 있을 전망이다."
2023-09-13,"현대차, 한화 등 나선 국내 최대 규모 수소전시회 개막","13일 경기 고양시 일산서구 킨텍스에서 열린 수소산업전시회 H2MEET에서 현대차그룹 부스를 찾은 사람들이 수소연료전지 시스템에서 전력 출력을 높이는 역할을 하는 '파워 유닛 모듈' 을 살펴보고 있다./뉴스1국내 최대 규모의 수소 산업 전시회인 ‘H2MEET’가 13일 경기도 고양시 킨텍스에서 개막했다. 올해 4회째로 15일까지 열리는 이번 행사에는 현대차·포스코·한화·효성·코오롱그룹 등 국내 주요 기업과 독일의RWE리뉴어블, 미국의 에어프로덕츠, 프랑스의 아파브 등 18국에서 온 에너지 및 수소 관련 분야 303개 기업·기관이 참여했다.현대차그룹은 이번 전시회에서 현대차 등 계열사 4곳이 공동으로 ‘수소 경제 밸류체인’을 만들기 위해 협업하는 사례를 공개했다. 현대차가 만든 수소전기트럭 청소차로 각종 음식물 쓰레기를 수거하면 현대건설은 자체 기술로 이 음식물 쓰레기로부터 수소 생산 원료가 되는 바이오가스를 추출한다. 현대로템은 바이오가스를 활용해 순도 높은 수소를 생산하고, 현대차는 수소를 충전소로 옮겨 수소차 등에 활용하는 식이다.한화그룹도 한화에너지, 한화솔루션 등 7개 계열사가 참석했다. 한화에어로스페이스와 한화오션은 소형 항공기와 잠수함 등의 동력원으로 쓸 수 있는 수소연료전지를 선보였다. 코오롱인더스트리는 수소연료전지의 핵심 소재인 고분자전해질막(PEM)과 막전극접합체(MEA) 등을 전시했고, 효성그룹은 수소와 천연가스를 모두 연료로 쓸 수 있는 수소엔진 발전기를 소개했다. 수소 냉각기 기술을 전시한 삼정이엔씨 등 중견기업의 수소 기술에도 관람객이 관심을 보였다.13일 경기 고양시 일산서구 킨텍스에서 열린 수소산업전시회 H2MEET2023 개막식에서 강남훈 조직위원장, 강경성 산업부 2차관, 이용우, 이원욱 더불어민주당 의원 등이 기념 촬영을 하고 있다./뉴스1전시회 조직위원장인 강남훈 한국모빌리티산업협회장은 “세계적으로 수소산업은 기후 위기 대응과 탄소 중립 실현의 핵심이자 에너지 안보의 현실적인 대안으로 중요성이 커지고 있다”면서 “기업들이 이번 전시회에서 다양한 기술 교류를 통해 새로운 사업 기회를 많이 발견했으면 한다”고 말했다."
2024-10-07,반도체 쓸어담던 외국인 변심... 바이오 담는다,"코스닥 시총 1위 오른 알테오젠올해만 주가 290% 넘게 올라올 상반기 반도체주(株)를 사 모으던 외국인 투자자들이 하반기에는 바이오주(株)를 매수하는 것으로 나타났다.7일 한국거래소에 따르면, 9월 초부터 6일까지 국내 증시에서 외국인이 가장 많이 매수한 종목은 코스닥 신약 개발 업체인 ‘알테오젠’인 것으로 조사됐다. 이 기간 외국인은 알테오젠을 3900억원어치 순매수(매수에서 매도를 뺀 것)했다. 작년 말 9만원대에서 거래되던 알테오젠은 올해만 주가가 290% 넘게 오르며 코스닥 시가총액 1위 자리를 꿰찼다. 이날 종가는 35만9500원.미국 제약사 머크(MSD)가 개발 중인 면역 항암제 ‘키트루다’의 피하주사(SC) 제형에 알테오젠의 기술이 적용됐다는 점이 호재로 작용했다. 알테오젠이 상당한 로열티를 받을 것이란 기대감이 크다.기존 항암제는 정맥주사(IV) 방식이어서 환자들이 병원에서 최소 1시간 이상 주사를 맞아야 하는 등 불편이 컸다. 하지만 피부 아래층에 주사를 놓는SC제형은 투약 시간이 짧아 편의성이 높고, 주사제 주입 관련 부작용을 최소화할 수 있다는 게 장점이다.그래픽=조선디자인랩 김영재외국인 순매수 2위는 삼성바이오로직스(2650억원)였다. 미국이 중국 바이오 기업을 견제하기 위해 발의한 생물(바이오) 보안법이 통과되면 최대 수혜주가 될 것이란 기대감에 자금이 몰리고 있다. 김준영 메리츠증권 연구원은 “생물 보안법의 실질적 수혜는 중장기 관점에서 봐야 한다”고 말했다.이 밖에LG전자, 아모레퍼시픽,HD현대일렉트릭, 한화에어로스페이스, 신한지주,LG에너지솔루션, 삼성SDI,삼성생명 등에 1000억원 넘는 외국인 순매수 자금이 몰렸다.한편, 대장주인 삼성전자는 외국인이 20일 연속 순매도하면서 올해 기준 외국인 순매수에서 순매도로 돌아섰다. 지난달 3일 시작된 외국인의 삼성전자 순매도 금액은 7일까지 10조원(우선주 포함)에 달했다. 이날 종가는 6만1000원이었지만, 오전 한때 5만9500원까지 하락하면서 52주 최저가를 기록했다."
2024-11-06,LG·포스코·현대차… 양자컴에 기업도 사활,"[한국도 양자컴퓨터 시대] [下]지난달 29일 서울LG전자 서초R&D캠퍼스에서 임직원들이 양자 컴퓨터 응용 연구를 시연하는 모습. /김지호 기자국내 주요 기업들은 양자 컴퓨터를 주력 사업에 접목하기 위해 연구·개발에 속도를 내고 있다. 양자 컴퓨터가 아직 기술 성숙 단계에 접어들지 않았음에도 적극적으로 나서는 것이다.지난달 29일 서울 서초구에 위치한LG전자 서초R&D캠퍼스에서는 양자 컴퓨터를 활용해 수소 원자의 물성을 파악하는 가상 실험을 하고 있었다. 두 원자가 반응할 때 언제 가장 안정적인지 확인하기 위한 것이다.LG전자는 제품 설계나 신물질, 배터리, 디스플레이 개발 등 다양한 분야에서 양자 컴퓨터 활용 방안을 연구하고 있다. 김성혁LG전자 상무는 “제품 개발 과정에서 풀지 못했던 여러 난제를 양자 컴퓨터로 해결한다는 도전적 목표를 세웠다”고 했다.포스코홀딩스는 양자 컴퓨터를 활용해 친환경 제철에 사용되는 수소의 생산 공정 최적화와 이차 전지 소재 개발에 집중할 계획이다. 현대자동차는 자체 양자 컴퓨터 알고리즘을 개발하고 있다. 배터리 효율을 높이는 데 활용할 것으로 알려졌다.기업들이 양자 컴퓨터 도입에 적극 나서는 이유는 획기적 성능 때문이다. 수퍼 컴퓨터를 뛰어넘는 연산 속도와 에너지 효율로 기존에 넘지 못한 한계를 뛰어넘을 것으로 기대하는 것이다. 양자 컴퓨터는 제약·바이오, 소재, 금융, 물류 등 다양한 분야에 활용이 가능하고, 실제로 글로벌 기업들도 양자 컴퓨터를 속속 도입하고 있다. 에너지 기업 엑손모빌은 양자 컴퓨터를 활용해LNG선의 최적 경로를 찾고 있고, 보잉은 마그네슘 등 항공기의 무게를 줄일 수 있는 소재를 개발 중이다.HSBC는 금융 상품 포트폴리오를 만들거나 사기 예방 등에 양자 컴퓨터를 활용한다는 계획이다. 테크 업계 관계자는 “앞으로는 양자 컴퓨터 활용 여부가 기업의 경쟁력을 좌우할 것”이라며 “지금이라도 빠르게 양자 컴퓨터 역량을 확보하는 것이 중요하다”고 말했다."
2024-09-25,"첫 밸류업 지수… 현대차 턱걸이, KB금융 탈락","대표 상장사 100곳 선정서울 서초구 양재동 현대자동차그룹 본사 앞으로 시민들이 지나고 있다. /뉴스1정부가 연초부터 추진하고 있는 밸류 업(기업 가치 개선)에 모범적인 기업 100곳을 선정한 ‘코리아 밸류 업 지수(이하 밸류 업 지수)’가 24일 베일을 벗었다. 이 지수는 30일부터 도입된다. 밸류 업 지수에는 시가총액뿐만 아니라 수익성, 주주환원 등 다양한 조건을 만족한 100종목이 포함됐다.일러스트=김현국시가총액 10위 기업 중LG에너지솔루션, 삼성바이오로직스,KB금융, 포스코홀딩스 등 4곳이 탈락한 가운데, 현대차·신한지주 등은 기준엔 미달했지만 기업 가치 개선 계획을 자진 공시해서 턱걸이로 지수에 포함되기도 했다.그래픽=김현국◇희비 엇갈린 기업들한국거래소는 24일 밸류 업 지수의 선정 기준과 구성 종목을 발표했다. 기존에 증시에서 밸류 업 수혜주는 금융·자동차 업종에 집중됐었는데, 이날 나온 밸류 업 지수에는 예상을 깨고 정보기술(IT), 산업재 기업도 다수 포함됐다. 거래소 관계자는 “연기금, 자산운용사 등의 다양한 의견을 수렴하고 시가총액, 수익성, 주주 환원, 주가 순자산 비율(PBR), 주가 수익 비율(ROE) 등을 따졌다”며 “특정 산업군에 편중되거나 소외되지 않고, 고르게 편입되도록 했다”고 말했다.이 과정에서 기준엔 미달돼도 미리 기업 가치 개선 계획을 발표한 기업들은 특례 적용을 받아 지수에 들어갔다. 시가총액 5위인 현대차와 신한지주·우리금융지주·미래에셋증권 등 일부 금융사가 이 혜택을 받았다.하지만 시가총액 3위와 4위인LG에너지솔루션과 삼성바이오로직스는 주주 환원을 실시하지 않고 있는 것이 탈락 요인이 됐다. 금융 대장주인KB금융은 주주 환원 측면에서 호평을 받았지만,PBR이 낮아 탈락했다.SK텔레콤,KT등 통신사는 전부 들어가지 않았다.이에 선정 잣대가 모든 기업에 공정하게 적용됐는지를 두고 논란이 일었다. 이남우 한국기업거버넌스포럼 회장은 “삼성전자가 지수에 포함될 만큼 밸류 업에 진심이 있는지 의문”이라며 “밸류 업 주목 기업이었던KB금융과 하나금융지주가 아직 밸류 업 공시를 하지 않았다고 포함되지 않은 것도 이해 가지 않는다”고 했다. 이부연 한국거래소 경영지원본부 상무는 “2026년부터 삼성전자,SK하이닉스와 같은 기업도 밸류 업 공시를 하지 않으면 지수에서 빠진다”고 말했다. 거래소는 매년 한 번 지수 구성 종목을 재평가할 예정이다.◇증권가 “과한 기대는 금물”이번 밸류 업 지수 선정에서 탈락한 기업들이 밸류 업에 더 공을 들이고, 선정된 기업들은 빠지지 않기 위해 노력하면서 코리아 디스카운트(한국 주식 저평가)가 완화되고 주가도 오를 수 있을지가 시장의 관심사다.거래소에 따르면, 밸류 업 지수를 과거로 소급해서 최근 5년 수익률을 따져봤더니 43.5%였다. 이는 같은 기간 200개 우량 기업의 주가로 만든 코스피200 지수의 상승률 33.7%보다 높다.하지만 전문가들은 밸류 업 지수가 주가 상승 효과로 이어질지에 대해선 대체로 신중했다. 이경민 대신증권 연구원은 “연초부터 밸류 업 프로그램에 대한 기대감이 많이 반영돼왔다”며 “기업 가치 제고에 긍정적 변화는 맞지만, 단기간 드라마틱한 변화를 야기하는 그림은 아니다”라고 말했다.국내 증시의 ‘큰손’인 연기금이 밸류 업 지수의 지원에 나설지도 주요 변수다. 이경수 하나증권 연구원은 “연기금이 향후 어느 정도 밸류 업 종목을 매수하거나 밸류 업 지수를 벤치마크로 삼는지 등이 밸류 업 지수 효과가 나타날지 관건이 될 것”이라고 했다.이날 밸류 업 지수는 장 마감 후 발표했다. 그럼에도 이날 밸류 업 지수에 포함된 100종목 중 81종목이 올랐다. 지수에 포함된 기업들이 대부분이 상승세를 타는 종목이었다는 뜻이다. 특히 코스닥 종목인 소재 전문 기업인 에코프로에이치엔(9.15%), 연예기획사JYP엔터테인먼트(7.53%)의 상승률이 높았다.황세운 자본시장연구원 선임연구위원은 “밸류 업 지수는 기업이 밸류 업 정책을 얼마나 열심히 했는지를 뒤따라가면서 측정하는 후행 지표”라며 “앞으로 지수 편입 기업들이 꾸준하고 안정적으로 실적을 보여주는지 잘 살펴야 할 것”이라고 말했다. 거래소는 이날 오는 11월에는 밸류 업 지수를 활용한 지수선물과 상장지수펀드(ETF)도 상장될 예정이라고 밝혔다.그래픽=김현국"
