date,title,content
2024-12-17,"백화점 3사, 2025년 설 명절 선물세트 예약 판매 시작","백화점 3사가 20일부터 내년 설 명절 선물세트 예약 접수를 시작한다. 특히 올해는 고물가 영향으로 설 선물을 미리 구매하려는 수요가 많을 것으로 예상돼 업계는 사전 예약 물량과 기간을 늘렸다. 예약 기간에는 백화점에 따라 최대 60%까지 추가 할인 혜택을 받을 수 있기 때문이다.백화점 3사는 20일부터 다음달 초까지 설 명절 선물 세트 사전 예약을 받는다고 17일 밝혔다.롯데백화점 모델이 2025년 설 명절 선물세트를 소개하고 있다./롯데백화점롯데백화점은 다음달 5일까지 전 점포에서 축산, 수산, 청과 등 약 230개 예약 판매 품목을 최대 60% 할인 판매한다. 롯데백화점은 “작년 설 사전 예약 품목과 비교해 신규 품목을 대폭 늘리고, 사전 예약 시에만 구매할 수 있는 한정 품목도 다양화했다”고 밝혔다.롯데백화점은 1~2인 가구 증가와 명절 여행 인구 확대 등 변화하는 라이프스타일을 감안해 한우 세트의 기본 중량을 2kg에서 1.6kg으로 낮췄다. 또 굴비, 선어 등 수산 선물 세트는 기존 10만~20만원대의 실속 선물 위주에서 최고 60만원대까지 가격 범위를 넓히고 상품을 다양화했다. 그로서리 상품군에서는 이태리산 ‘생 화이트 트러플(50g)’을 120만원에 판매한다. 사전 예약 판매로만 구매 가능하다. 와인은 김환기 작가가 협업한 ‘아트 스페셜 에디션’,세계적인 와인 평론가 ‘제임스 서클링’의 ‘미래 빈야드 피노누아’ 세트 등을 롯데백화점 단독으로 판매한다.신세계백화점 모델이 2025년 설 명절 선물세트를 소개하고 있다./신세계백화점신세계백화점은 다음달 9일까지 260여 가지 선물 세트를 한우 5~10%, 굴비 20%, 청과 10%, 와인 50%, 건강식품 60%의 할인율로 판매한다. 과일 선물 세트는 신세계백화점 지정 산지인 ‘셀렉트팜’에서 직거래해 상대적으로 가격을 낮췄다. 축산 선물 세트도 신세계 축산 바이어와 지정 중매인이 직접 경매에 참여해 유통단계를 축소하는 방식으로 가격을 낮췄다.현대백화점 모델들이 2025년 설 명절 선물세트를 소개하고 있다. /현대백화점현대백화점은 압구정본점 등 전국 15개 점포에서 다음달 9일까지 예약 판매를 진행한다. 예약 판매 기간 한우·굴비·청과·건강식품·주류 등 인기 선물세트 약 200여 종을 최대 30% 할인 판매한다.3사 온라인몰에서도 예약 판매가 진행된다. 현대백화점은 압구정본점 등 점포에서 먼저 예약 접수를 시작하고, 이후 30일부터 더현대닷컴, 다음달 6일부터 현대H몰 등 온라인몰에서도 순차적으로 예약 판매를 받는다. 롯데백화점은 사전 예약 판매 기간 동안 롯데백화점몰에서 한우, 베이커리, 그로서리 등 명절 인기 상품 1만 8000여 품목을 최대 65% 할인 판매한다. 신세계몰에서도 다음달 15일까지 인기 선물세트를 최대 40% 할인 판매한다.이색적인 선물도 등장했다.SSG닷컴은 신세계백화점 강남점 스위트파크의 인기 브랜드인 ‘마망갸또’,‘비스퀴테리 엠오’와 함께 기획한 디저트 세트를 판매한다."
2024-11-01,‘형제경영’ 다지는 현대백화점,"동생 정교선 홈쇼핑 회장 승진형 정지선 그룹회장 경영 보좌백화점 등 주요사 대표는 유임정교선(50) 현대백화점그룹 부회장이 31일 현대백화점그룹 정기 임원 인사에서 현대홈쇼핑 회장으로 승진했다. 현대백화점그룹 부회장직은 유지하며 형인 정지선(52) 현대백화점그룹 회장을 보좌한다. 전날 신세계그룹이 이마트와 신세계백화점을 계열 분리한다고 발표한 것과 달리, 현대백화점그룹은 정지선 회장과 정교선 부회장의 ‘형제 경영’을 강화하고 있다는 분석이 나온다.정교선 현대백화점그룹 부회장 겸 현대홈쇼핑 대표이사 회장수년 전만 해도 시장에서는 정지선 회장과 정교선 부회장 형제가 각각 백화점과 식품을 중심으로 분리 경영에 나서지 않겠냐는 전망이 많았다. 하지만 지난해 11월 현대백화점그룹이 단일 지주회사로 현대지에프홀딩스를 출범하며 계열 분리 가능성을 불식시켰다. 현대지에프홀딩스는 유통·패션·식품 등 27개 자회사를 편입했다. 정지선 회장과 정교선 부회장은 각각 지주회사 지분 39.7%와 29.1%를 보유한 채 공동 경영을 이어가고 있다.유통 업계에서는 정지선 회장이 동생을 예우해 현대홈쇼핑 회장으로 승진시키며 형제 경영이 더욱 탄력을 받게 됐다는 평가가 나온다. 정교선 부회장은 2009년부터 현대홈쇼핑 대표를 맡고 있다. 현대백화점그룹은 “정교선 부회장은 정지선 회장을 보좌하며 단일 지주회사 체제의 지배구조를 기반으로 그룹 경영 전반을 함께 이끌어 나갈 예정”이라고 밝혔다.현대백화점그룹은 이날 인사에서 현대백화점, 현대홈쇼핑, 현대그린푸드, 현대리바트, 한섬 등 주력 계열사의 대표를 유임시켰다. 회사 관계자는 “이번 정기 임원 인사의 핵심 키워드는 안정 기조 속 미래 성장을 위한 변화 추구”라고 했다. 이와 함께 현대면세점 대표이사에 박장서 영업본부장을 내정했다. 건자재 기업인 현대L&C 신임 대표에는 이진원 현대그린푸드 푸드서비스사업본부장이, 매트리스 전문 기업 지누스 대표에는 정백재 현대L&C 대표가 내정됐다. 복지 설루션 기업인 현대이지웰 대표는 박종선 상품운영본부장이 맡는다.▲현대백화점▷부사장 김창섭▷전무 나원중 이원철 이승원▷상무 이원근 이기호 지준우 이희석 박세원 김우형 박영배 ▲현대홈쇼핑▷상무 임호연 ▲현대그린푸드▷전무 장재락▷상무 이준재 강대림 박신영 ▲현대리바트▷상무 안은길 ▲한섬▷전무 윤인수▷상무 서정현 여유정 ▲현대L&C▷상무 홍진석 ▲현대에버다임▷상무 김일석 ▲현대바이오랜드▷부사장 이희준▷상무 박종택 ▲현대퓨처넷▷부사장 김성일 ▲지누스▷상무 박영빈 ▲현대지에프홀딩스▷전무 김준영▷상무 김택년"
2024-08-08,현대백화점 2분기 영업이익 428억원…면세점·지누스 적자,"현대백화점 본사 사옥 전경. /현대백화점 제공현대백화점은 올해 2분기 연결기준 매출이 1조238억원으로 전년 동기 대비 5.5% 늘어난 반면, 영업이익은 428억원으로 23%가 줄어든 다소 아쉬운 성적표를 받았다. 백화점의 매출과 영업이익이 크게 늘었지만 자회사인 면세점, 지누스의 실적이 부진한 탓이다.현대백화점의 사업 부문은 백화점, 면세점, 지누스로 이뤄져 있다. 백화점만 별도로 보면 2분기 영업이익은 지난해 동기보다 15.8% 증가한 710억원이다. 매출은 6119억원으로 2분기 기준으로 역대 최대를 기록했다. 영패션과 스포츠 상품군을 중심으로 매출이 늘어난 것이 반영됐다. 전날 7일 실적을 발표한 롯데쇼핑과 신세계의 백화점 사업 영업이익이 전년 동기보다 각각 9.0%, 11.2% 감소한 것과 대비된다.면세점의 경우 여행객 수가 늘어 매출은 올랐지만, 영업이익은 적자를 기록했다. 면세점 2분기 매출은 2405억원으로 23.8% 늘고, 영업이익은 39억원의 적자를 기록했다. 현대백화점 측은 마케팅 비용의 증가로 수익성이 떨어졌다고 설명했다.지누스는 매출이 263억원으로 6.0% 줄고, 영업손실은 142억원으로 적자 전환했다. 부피가 큰 매트리스 제품의 재고 소진을 위해 판촉비를 늘렸고, 주요 고객사의 발주가 일시적으로 감소해 2분기 매출과 영업이익이 부진했다.현대백화점 관계자는 “지난 5월부터 고객사 발주가 정상화됐고 포장 압축률을 높인 신제품 출고가 확대됨에 따라 물류비, 창고비 등 운송 효율이 올라가 3분기에는 실적 반등이 예상된다”고 했다."
2024-07-04,현대백화점 부산점 ‘커넥트 현대’로 재단장…지역 특색 녹인 복합몰,"현대백화점 부산점이 '커넥트 현대'라는 도심형 복합몰로 탈바꿈한다고 4일 밝혔다./현대백화점 제공현대백화점은 부산점을 오는 7일까지 영업하고 두 달간 재단장해 9월 6일 다시 문을 연다고 4일 밝혔다. 전통적 백화점 이미지를 벗고 점포를 바꾸고 있는 롯데백화점 센텀시티점과 부산에서 유통 경쟁이 벌어질 전망이다.커넥트 현대는 ‘사람, 장소, 문화를 연결하는 플레이그라운드’라는 콘셉트의 지역 맞춤형·도심형 복합쇼핑몰로 개장할 예정이다. 부산 특색을 살린 로컬 콘텐츠와 체험형 공간, 정상가격 상품과 이월 상품을 동시에 판매하는 복합 매장을 선보인다.현대백화점 관계자는 “커넥트 현대를 통해 전달하고자 하는 메시지는 일상과 즐거움, 글로벌과 로컬, 프리미엄과 실용을 연결함으로써 얻을 수 있는 색다른 경험의 가치”라며 “부산 동구·중구·영도구·서구 등 상대적으로 대형 유통시설이나 즐길 거리가 부족한 구도심에 커넥트 현대가 새로운 생동감을 불어넣을 것”이라고 말했다.지하 1층에는MZ세대 고객을 위한 패션몰 ‘뉴 웨이브’(NewWave)를 설치한다. 이곳에는 마뗑킴과 마리떼프랑소와저버, 커버낫, 스탠드오일 등 디자이너 브랜드 20여개가 신규 입점한다.지하 2층에는 맛의 도시 부산을 대표하는 먹거리 공간 ‘마켓 125′가 각각 들어선다. 마켓 125는 커넥트 현대의 도로명주소 ‘부산 동구 범일로 125′에서 이름을 따왔다. 활기 넘치는 부산의 시장을 콘셉트로 중앙에 70석 규모 공용 좌석을 두고 주변을 다양한 먹거리가 둘러싸도록 배치한다.부산 지역 유명 디저트 맛집인 ‘버터레코드’의 백화점 1호 매장을 비롯해 부산 3대 떡볶이 중 하나인 ‘다리집’,2024년 미쉐린 가이드에 등재된 해운대 딤섬 전문점 ‘딤타오’,아사이 열매를 활용한 디저트 브랜드 ‘오크베리’가 입점한다.부산 로컬 패션 브랜드를 소개하는 편집숍 ‘RTBP’(ReturnToBUSANPort)도 별도로 조성된다.커넥트 현대 1층에는 벨기에 초콜릿 브랜드 고디바가 운영하는 빵 특화 브랜드 ‘고디바 베이커리’의 한국 첫 매장도 연다.현대백화점은 내년 오픈 예정인 충북 청주의 신규 점포를 포함해 커넥트 현대 모델 추가 확장도 검토하고 있다. 시설 노후화로 현대화 사업이 진행되고 있는 청주 흥덕구 고속버스터미널 내 일부 부지를 확보해 신규 출점을 준비하는 것이다.현대백화점 관계자는 “커넥트 현대를 2030 고객부터 가족 단위 고객까지 찾는 도심형 복합쇼핑몰로 만들어 상권에 새로운 활력을 불어넣을 것”이라며 “체험형 소비 강세와 고물가가 장기화하는 환경에서 커넥트 현대는 합리적인 선택지가 될 것”이라고 말했다."
2024-01-09,"따릉이, 현대백화점 포인트로도 탄다...“대중교통 최초”","현대백화점 H포인트로 서울 공공자전거 ‘따릉이’를 탈 수 있게 된다. 서울시 관계자는 “민간 포인트를 활용해 대중교통을 이용하는 것은 이번이 최초”라고 말했다.따릉이 앱과 현대백화점 멤버십 H포인트가 연계된다/서울시 제공9일 서울시에 따르면 오는 10일부터 현대백화점 포인트로 따릉이 이용권을 구매할 수 있다.H포인트는 현대백화점그룹 통합 멤버십 포인트다. 따릉이 앱 내 ‘포인트 전환’ 메뉴를 통해 1000원 이상, 100원 단위로 월 최대 2만 H포인트를 따릉이 포인트로 전환할 수 있다. 남는 포인트로 자전거를 이용할 수 있게 된 것이다.따릉이 포인트로 전환한 H포인트는 모든 권종의 따릉이 이용권을 구매하는 데 쓸 수 있다. 반납지연으로 발생한 초과요금 결제에도 사용할 수 있다.지난해 7월 서울시와 현대백화점은 이같은 내용의 협약을 체결했다. 해당 협약은 친환경, 탄소 저감 실천 등 기업 이미지를 제고하고 H포인트 활용처를 확대하기 위해 현대백화점이 먼저 제안했다. 현대백화점은 지난달 따릉이 100대를 기부하기도 했다.따릉이는 지난해 말 기준 누적 회원수 423만명, 연간 대여건수 4490만 건을 기록했다. 2022년 누적 회원수 372만명, 연간 대여 건수 4094만 건에 비해 각각 13%, 10% 증가했다.윤종장 서울시 도시교통실장은 “따릉이 활성화를 위한 다양한 서비스가 이뤄지면서 자전거에 대한 접근성과 이용 편의성이 향상될 것으로 기대한다”며 “앞으로도 수익구조 다변화, 폭넓은 서비스 확대를 통해 친환경 공공 교통복지인 따릉이를 더욱 편리하게 이용하실 수 있도록 다각도의 노력을 이어나가겠다”고 밝혔다."
2023-11-29,"광주 현대백화점 건립, 길 텄다...기여금 비율 확정","광주시 북구에 있는 옛 전남방직과 일신방직 공장 부지이다. 이곳에 복합쇼핑몰('더현대 광주')이 들어설 예정이다. /김영근 기자현대백화점이 옛 전남방직‧일신방직 공장부지에 복합쇼핑몰을 건립하는 데 최대의 걸림돌이었던 공공기여금 비율이 29일 확정되었다. 이에 따라 현대백화점이 추진하는 복합쇼핑몰 건설이 순차적으로 진행될 것으로 예상된다.광주시는 이날 “전방‧일신방직 공장부지에 대한 도시계획을 변경하기 위한 협의에서 앞으로 예상되는 개발이익중 일부인 54.4%를 공공기여비율로 결정했다”고 밝혔다. 이에 따라 공공기여금액은 토지가치 상승분 1조 835억원의 54.45%인 5899억원으로 책정되었다. 구체적으로는 전략시설(복합쇼핑몰, 업무시설, 호텔) 1102억원(기여금 비율 40~45%), 사업성 확보시설(상업시설, 주거복합시설) 4664억원(60%), 기반시설(학교, 공공용지, 도로) 133억원(40%)이다. 기여금은 현물과 현금으로 정산된다.시는 “시도시계획변경 사전협상 운영지침에 따라 협상조정협의회에서 토지가치 상승분의 40~60% 범위에서 사업계획의 공익적 측면을 정성적으로 판단 후 기여금 비율을 결정했다”고 말했다. 시는 내달까지 도시계획 변경에 대한 사전협상을 마무리할 예정이다.현대백화점그룹은 광주시 북구 임동 일대 옛 전남방직‧일신방직 공장부지(역 31만㎡)에 대지면적 약 3만㎡, 연면적 30만㎡ 규모의 복합쇼핑물(’더 현대 광주’)를 건립할 계획이다. 이 부지에는 300실 규모의 49층 높이 특급 호텔, 아파트 4186세대 등도 들어선다. 앞으로 완공까지는 3~4년 가량 걸릴 것으로 시는 보고 있다."
2023-11-03,"변화 나선 현대백화점, 주요 3사 대표 모두 교체","백화점 대표이사 사장 정지영홈쇼핑 대표이사 부사장 한광영현대지에프홀딩스 대표 장호진현대백화점그룹이 2일 정기 임원 인사에서 주요 3개 계열사 대표를 교체했다. 현대백화점 대표에 정지영(60) 영업본부장 겸 영업전략실장을 사장으로 승진 발령했다. 현대홈쇼핑 대표에는 한광영(57) 영업본부장을 부사장으로 승진·임명했다. 건축자재 계열사인 현대L&C 대표는 전무로 승진한 정백재(54) 경영전략본부장이 맡는다. 장호진(61) 현대백화점 사장은 지난 9월 출범한 지주회사인 현대지에프(GF)홀딩스 대표이사 사장으로 옮긴다.이번 인사는 현대백화점그룹의 지주회사 체제 전환을 앞두고 이뤄졌다. 현대백화점그룹은 오는 8일 현대지에프홀딩스 아래에 27개 계열사를 두는 단일 지주회사 체제로 공식 출범한다. 현대지에프홀딩스는 정지선 회장과 동생인 정교선 부회장, 장호진 현대백화점 사장을 사내이사로 선임하고, 정 회장과 장 사장 2인 대표이사 체제로 운영될 예정이다. 그룹 관계자는 “책임 경영 차원에서 정 회장이 지주사뿐만 아니라 백화점 대표이사직도 유지할 가능성이 높다”고 말했다.지주사 출범을 맞아 백화점과 홈쇼핑을 비롯한 주요 계열사 대표이사를 교체한 것은 미래 성장을 위한 변화를 추구한 것이라는 분석이다. 현대백화점그룹 관계자는 “이번 백화점과 홈쇼핑 대표로 영업 전문가를 배치한 것은 어려운 대내외 경영 환경을 돌파하기 위해 전문성과 업무 추진력을 갖춘 인사를 선택한 것”이라고 말했다.정지영 현대백화점 신임 대표는 1991년 현대백화점에 입사해 영업전략담당·영업전략실장·영업본부장 등을 역임했다. 한광영 현대홈쇼핑 신임 대표는 1991년 입사해 현대홈쇼핑에서Hmall사업부장 등을 지냈다. 정백재 현대L&C 새 대표는 1996년 입사해 현대L&C 경영전략본부장을 지냈다.▲현대백화점▷전무 김봉진 김수경▷상무 박근호 장경수 김은성 조재현 이동영 권순재 ▲현대홈쇼핑▷상무 김진성 ▲현대그린푸드▷전무 김해곤▷상무 박인규 김성윤 ▲한섬▷상무 임한오 ▲현대L&C▷상무 성재용"
2024-09-02,"내년 폐점 신도림 현대백화점, 6500억 들여 이렇게 바뀐다","“글로벌 혁신기업 선호하는 캠퍼스형 오피스로”서울 구로구 신도림역 인근 ‘현대백화점 디큐브시티’가 내년 6월 30일 문을 닫는다. 구로구는 이 자리에 대규모 업무시설과 상업,휴식 공간이 어우러진 ‘캠퍼스형 오피스’가 들어설 예정이라고 2일 밝혔다.신도림역 디큐브시티 용도변경 후 조감도. /구로구이 건물의 소유주 이지스 자산운용은 이곳을 상층부엔 오피스, 저층부엔 스타필드를 두고 있는 코엑스처럼 리모델링할 계획이다. 사업비 6500억원을 들여 내부를 재구조화한다.수도권광역급행철도(GTX) B노선을 주축으로 서울, 인천, 경기도를 잇는 신도림역의 지리적 이점을 활용해 일반적인 업무공간이 아닌 글로벌 혁신기업이 필요로 하는 캠퍼스형 오피스를 조성한다는 구상이다.구로구 관계자는 “캠퍼스형 오피스는 업무시설 외에도 문화, 쇼핑, 먹거리를 즐길 수 있는 상업시설과 휴식 공간이 함께 있는 차별화된 업무환경으로, 애플, 엔비디아, 아마존, 메타 등 글로벌 혁신기업들이 선호하는 것으로 알려져 있다”고 설명했다.저층부에는 현재처럼 식당 등 판매시설이 유지된다. 1층에는 열린 실내정원 등을 만들어 시민들이 자유롭게 쓸 수 있는 휴게 공간을 만들 계획이다.구로구 관계자는 “최근 이지스 측과 면담을 갖고 용도변경 관련 건축심의 건에 대해 구로구의 미래를 어떻게 변화시킬지에 대한 전망과 주민 삶에 미치는 영향 등을 고려해야 한다는 데 의견을 같이했다”고 말했다.앞서 6월 14일에도 구는 이지스 측을 만나 백화점 영업 종료에 대한 주민들의 우려를 전달하고 지역 상권 활성화를 위한 역할을 당부했다고 한다."
2024-09-20,[모닝] 추석 폭염에 사람들 몰려 백화점 매출 10% 늘었다,"추석 연휴 기간 이어진 폭염으로 주요 대형 백화점들은 특수를 누렸다. 백화점 3사의 추석 연휴(14~18일) 매출은 지난해 추석 연휴(9월 28일~10월 2일)보다 10% 이상 증가한 것으로 나타났다.롯데백화점의 경우, 올해 추석 연휴 매출이 작년 대비 10% 늘었다. 명절 선물 수요가 높은 영·유아 상품군의 매출이 20% 늘며 추석 특수를 이끌었다. 롯데백화점 관계자는 “추석 연휴에도 역대급 더위가 지속되면서 가족 단위 고객들의 방문이 늘었다”며 “식음료 매출도 크게 증가했다”고 했다. 현대백화점도 작년 추석과 비교해 매출이 10.8% 증가했다. 현대백화점 관계자는 “더현대 서울, 판교점 등 볼거리와 즐길거리가 많은 대형 점포의 매출이 큰 폭으로 늘었다”고 했다.신세계백화점의 추석 매출도 작년보다 12.5% 늘었다. 신세계백화점의 매출 증가는 명품과 가전이 이끌었다. 신세계백화점 관계자는 “아이폰16 예약과 주요 점포의LG전자 매장 리뉴얼로 가전 매출이 특히 많이 늘었다”고 했다. 처음으로 추석 당일 문을 연 아웃렛에도 나들이객이 몰렸다."
2024-07-11,"국내 최초 영국 왕실 특별전, 13일부터 현대백화점에서 열려","英 엘리자베스 여왕 드레스, 다이애나 왕세자비 웨딩 베일 등 공개영국 왕족들이 착용했던 옷이나 소장품을 전시하는 국내 최초의 영국 왕실 특별전이 국내에서 개최된다. 이랜드뮤지엄과 현대백화점은 영국 왕실 특별전 ‘퀸즈 컬렉션(Queen’sCollection)’을 오는 13일부터 다음달 20일까지 현대백화점 무역센터점 10층 문화홀에서 개최한다고 11일 밝혔다.이랜드뮤지엄과 현대백화점이 오는 13일부터 개최하는 영국 왕실 특별전 '퀸즈 컬렉션' 포스터. /이랜드이번 전시에선 이랜드뮤지엄이 보유하고 있는 영국 왕실 관련 소장품 80여점을 국내 처음으로 공개한다. 이 소장품들은 박성수 이랜드 회장이 경매 등을 통해 수집한 것으로 알려졌다. 2022년 별세한 여왕 엘리자베스 2세와 그 여동생인 마거릿 공주, 고 다이애나 왕세자비 등 현대사 관련 인물 외에도, ‘유럽의 할머니’로 불리는 빅토리아 여왕, 엘리자베스 1세 등 역사 속 인물들의 다양한 소장품을 만나볼 수 있다.2022년 별세한 엘리자베스 2세 영국 여왕이 1948년 무도회 당시 입었던 드레스. /이랜드고 다이애나 영국 왕세자비가 1992년 방한 당시 입었던 드레스. /이랜드대표적인 전시 작품은 엘리자베스 2세가 신혼 시절이었던 1948년 무도회에서 입은 드레스, 다이애나 왕세자비가 현 영국 국왕 찰스 1세와의 결혼식에서 착용했던 웨딩 베일, 다이애나 왕세자비가 1992년 방한 당시 입었던 드레스 등이다. 1936년 당시 영국 국왕 에드워드 8세가 “사랑하는 여인의 도움 없이는 왕의 책무를 다할 수 없다”며 왕위에서 퇴임하는 연설을 녹음한 앨범도 전시된다. 가장 오래된 소장품은 1564년 당시 영국 여왕 엘리자베스 1세가 남자 하인 8명에게 붉은 코트를 만들어 나눠줄 것을 지시한 결재 문서다.1564년 당시 엘리자베스 1세 영국 여왕이 작성한 결재 문서. /이랜드전시는 사전 예약 없이 무료로 관람할 수 있다. 이랜드 측은 이번 전시에서 계열사 이월드의 귀금속 브랜드 ‘더그레이스런던’의 보석들을 함께 선보인다. 75캐럿의 다이아몬드 목걸이, 100캐럿 다이아몬드 티아라 등이 함께 전시된다."
