date,title,content
2024-10-30,현대오토에버 3분기 영업이익 16% 증가...3분기 기준 최대 실적,"현대오토에버가 올 3분기(7~9월) 매출과 영업이익이 각각 21.3%, 16% 늘며 3분기 기준 최대 실적을 기록했다.현대오토에버 로고/ 현대오토에버현대오토에버는 올 3분기 매출이 작년 동기 대비 21.3% 늘어난 9046억원, 영업이익은 작년 동기 대비 16% 늘어난 525억원을 기록했다고 30일 밝혔다. 올 1~3분기 누적 기준으로도 작년 동기 대비 매출과 영업이익이 각각 17.9%, 18.1% 늘며 최고치를 기록했다.이 같은 실적은 시스템통합(SI)과 차량 소프트웨어 부문 실적 급증 등에 따른 것이다. 올 1~3분기 기준, 시스템통합 사업 매출은 전년 동기 대비 26.6% 증가한 8988억원을 기록했다. 차량 소프트웨어 부문 매출은 25.6% 증가한 5823억원으로 집계됐다.ITO(IT아웃소싱) 사업 매출(1조 729억원)은 전년 같은 기간보다 8.1% 증가했다.현대오토에버 관계자는 “시스템통합 부문에선 차세대ERP(전사적자원관리) 구축, 차량 소프트웨어 부문에서는 국내외 내비게이션 옵션 선택 증가 등이 성장을 견인했다”고 했다."
2024-03-21,"검찰, 서정식 前현대오토에버 대표 구속영장 청구... 배임수재 혐의","KT자회사가 현대자동차 관계사의 지분을 고가로 매입했다는 의혹을 수사하는 검찰이 21일 서정식 전 현대오토에버 대표에 대한 구속영장을 청구했다.서울중앙지검 /뉴스1서울중앙지검 공정거래조사부(부장 용성진)는 이날 서 전 대표에 대해 배임수재 등 혐의로 구속영장을 청구했다고 밝혔다. 앞서 검찰은 작년 12월 서 전 대표를 불러 조사한 바 있다.검찰에 따르면, 서 전 대표는 2018년 11월부터 2023년 6월까지 현대자동차ICT본부장, 현대오토에버 대표로 재직하면서 협력업체 대표 등 3명으로부터 거래 관계 유지, 납품 편의 등의 부정한 청탁을 받고 법인카드를 제공받는 등 총 8억여 원 상당의 경제적 이익을 수수한 혐의를 받고 있다.서 전 대표에게 적용된 배임수재 혐의는 검찰의 ‘KT클라우드 배임 의혹’ 수사 과정에서 포착된 것으로 알려졌다.KT클라우드는 2022년 9월 정의선 현대차 그룹 회장의 동서 박모씨가 설립한 ‘스파크앤어소시에이츠’ 지분을 정상가보다 비싸게 매입했다는 의혹(배임)을 받고 있다. 당시KT클라우드는 스파크앤어소시에이츠 지분 100%를 206억8000만원에 매입해 자회사로 편입한 뒤 회사 이름을 ‘오픈클라우드랩’으로 바꿨다. 이를 두고 현대차가 구현모 전KT대표의 쌍둥이 형이 설립한 기업 ‘에어플러그’ 지분을 매입한 것에 대한 보은성 투자라는 의혹이 제기돼 있다.서 전 대표가 근무했던 현대오토에버는 스파크앤어소시에이츠 거래 물량의 대부분을 납품했던 것으로 전해졌다. 이와 관련 검찰은 작년 11월KT,KT클라우드 직원 등을 압수 수색하는 등 수사를 이어오고 있다."
2023-12-11,"검찰, ‘지분 고가 매입 의혹’ 현대오토에버 본사 등 압수수색","KT자회사가 현대자동차 관계사의 지분을 고가로 매입했다는 의혹을 수사 중인 검찰이 11일 현대오토에버 본사 등을 압수 수색 중이다.서울 서초구 서울중앙지방검찰청 모습. /뉴스1서울중앙지검 공정거래조사부(부장 용성진)는KT클라우드가 스파크앤어소시에이츠(현 오픈클라우드랩)를 부당하게 고가에 인수하는 등 의혹과 관련해 이날 현대오토에버의 본사, 클라우드 운영센터, 삼성동 사옥 등 3곳에 검사와 수사관을 보내 관련 자료를 확보하고 있다. 검찰은 특정경제범죄가중처벌 등에 관한 법률(배임) 등 혐의를 압수 영장에 적시한 것으로 전해졌다.KT클라우드는 지난해 9월 정의선 현대차 그룹 회장의 동서 박모씨가 설립한 스파크앤어소시에이츠 지분을 정상가보다 비싸게 매입했다는 의혹(배임)을 받고 있다. 당시KT클라우드는 스파크앤어소시에이츠 지분 100%를 206억8000만원에 매입해 자회사로 편입한 뒤 회사 이름을 오픈클라우드랩으로 바꿨다. 이는 현대차가 구현모 전KT대표의 쌍둥이 형이 설립한 기업 ‘에어플러그’ 지분을 매입한 것에 대한 보은성 투자라는 의혹이 제기돼 있다.이 의혹을 수사 중인 검찰은 지난달 17일KT와KT클라우드 등 직원 2명의 주거지를 압수 수색한데 이어 사흘 뒤 현대오토에버 대표이사와 스파크앤어소시에이츠 관계자 주거지 등도 압수 수색했다. 스파크앤어소시에이츠의 거래 물량은 대부분 현대오토에버에서 받는 것으로 전해졌다. 검찰의 압수 수색 대상에 포함됐던 서정식 현대오토에버 대표는 지난달 일신상의 이유를 들어 사임했다."
2023-11-20,"검찰, ‘지분 고가 매입 의혹’ 현대오토에버 대표 등 압색","KT자회사가 현대자동차 관계사의 지분을 고가로 매입했다는 의혹을 수사 중인 검찰이 20일 현대차그룹 직원 등을 압수 수색하고 있다.2023.6.27/뉴스1서울중앙지검 공정거래조사부(부장 용성진)는 이날 오전 현대오토에버 대표이사, 스파크앤어소시에이츠(현 오픈클라우드랩) 관계자 주거지 등 4곳에 검사와 수사관을 보내 압수수색을 진행 중이라고 밝혔다.검찰은 지난 17일에도KT,KT클라우드 등 직원 2명의 주거지를 압수 수색한 바 있다.KT클라우드는 지난해 9월 정의선 현대차 그룹 회장의 동서 박모씨가 설립한 스파크앤어소시에이츠 지분을 정상가보다 비싸게 매입했다는 의혹(배임)을 받고 있다. 당시KT클라우드는 스파크앤어소시에이츠 지분 100%를 206억8000만원에 매입해 자회사로 편입한 뒤 회사 이름을 오픈클라우드랩으로 바꿨다.이는 현대차가 구현모 전KT대표의 쌍둥이 형이 설립한 기업 ‘에어플러그’ 지분을 매입해준 데 대한 보은 투자라는 의혹이 제기돼 있다.검찰은 당시KT대표이사와 트랜스포메이션 부문장으로 재직하던 구현모씨와 윤경림씨 등을 피의자로 입건한 뒤 조사를 계속하고 있다. 검찰은 압수물 분석을 마치는 대로 관련자를 소환 조사할 계획이다."
2023-12-20,"검찰, 'KT 배임 의혹' 현대오토에버 서정식 前 대표 소환","KT자회사가 현대자동차 관계사의 지분을 고가로 매입했다는 의혹을 수사하는 검찰이 서정식 전 현대오토에버 대표를 20일 소환해 조사 중이다. 검찰은 앞서 19일에도 서 전 대표를 소환해 조사한 것으로 전해졌다.서울중앙지검./뉴스1본지 취재를 종합하면, 서울중앙지검 공정거래조사부(부장 용성진)는 이날 서 전 대표를 특경가법상 배임 등 혐의 피의자 신분으로 소환해 조사 중이다. 검찰은 서 전 대표에게KT클라우드가 차량용 클라우드 업체인 스파크앤어소시에이츠(現 오픈클라우드랩)를 시세보다 비싸게 인수한 과정 및 스파크앤어소시에이츠 측으로부터 뒷돈을 수수했는지 여부 등을 캐물은 것으로 알려졌다.KT클라우드는 지난해 9월 정의선 현대차 그룹 회장의 동서 박모씨가 설립한 스파크앤어소시에이츠 지분을 정상가보다 비싸게 매입했다는 의혹(배임)을 받고 있다. 당시KT클라우드는 스파크앤어소시에이츠 지분 100%를 206억8000만원에 매입해 자회사로 편입한 뒤 회사 이름을 오픈클라우드랩으로 바꿨다. 이에 대해 현대차가 구현모 전KT대표의 쌍둥이 형이 설립한 기업 ‘에어플러그’ 지분을 매입한 것에 대한 보은성 투자라는 의혹이 제기돼 왔다.이 의혹을 수사 중인 검찰은 지난달 17일KT와KT클라우드 등 직원 2명의 주거지를 압수 수색한데 이어 사흘 뒤 현대오토에버 대표이사와 스파크앤어소시에이츠 관계자 주거지 등도 압수 수색했다. 스파크앤어소시에이츠의 거래 물량은 대부분 현대오토에버에서 받는 것으로 전해졌다. 검찰의 수사 선상에 오른 서 전 대표는 지난달 일신상의 이유를 들어 사임했다."
2023-12-20,"현대車, 252명 임원 승진 ‘역대 최대’... 승진자 40%는 40대","현대차 본사/뉴스1현대차그룹이 20일 역대 최대 규모인 252명의 승진자가 포함된 ‘2023년 하반기 정기 임원 인사’를 단행했다. 올해 글로벌 차량 판매 3위와 역대 최대 실적을 기록한데다 전기차 등 미래 모빌리티 전환기 민첩한 대응을 위해 새로운 리더를 대거 발탁한 것이다. 전체 승진의 40%를 40대로 채우고 30%는 R&D,신사업, 제조 등 기술 관련 분야에서 뽑아 ‘세대 교체, 기술 중용’ 기조도 이어갔다.현대차 97명, 기아 38명, 현대모비스 20명 등 252명의 승진이 이뤄졌고, 신규 선임은 197명이다. 신규 임원의 40대 임원 비중은 38%로 늘었다. 정의선 현대차그룹 회장이 취임한 2020년엔 21% 수준이었다.사장 승진자는 5명이다. 현대차는 공석인 현대오토에버 사장에 김윤구(58) 현대차그룹 감사실장(부사장)을 승진 임명했다. 현대차그룹 내에서 인사실장, 감사실장 등 경영 지원 중요 분야를 책임지며 조직 체계 업무 프로세스 진단 전문가로 알려진 그는 현대오토에버, 현대오트론, 현대앰엔소프트가 합병해 만들어진 현대오토에버의 통합 시너지를 내실화하는 역할을 맡게 된다.안전·품질 분야 전문가인 브라이언 라토프(59) 부사장은 글로벌 최고 안전 및 품질책임자(GCSQO)로 승진 임명됐다.GM에서 27년간 근무한 후 2019년 현대차에 합류한 그는 대규모 리콜 사태를 겪은GM의 내부 안전 체계를 재편한 인물로 현대차의 품질 관리 정책을 총괄해 브랜드 신뢰도를 관리하는 중책을 맡게 됐다.5년 연속 무분규를 이끌어 낸 현대차 울산공장 이동석(59) 부사장도 사장으로 승진했다. 올해 국내 최대 생산 실적인 186만대를 생산하며 생산과 노무관리 두 영역에서 성과를 창출한 것을 인정받았다. 현대차증권 사장엔 배형근(58) 현대모비스CFO(부사장)가 승진해 내정됐고, 현대카드·현대커머셜 경영관리부문 대표 전병구(58) 부사장도 사장으로 승진했다.미래 최고경영자(CEO) 역할을 수행하게될 부사장·전무군에선 60대가 대거 퇴직하며 40~50대 48명이 승진했다. 세대 교체에 무게를 둔 인사 기조를 이어갔다는 평가다.HR본부장(부사장)에는 영국BAT그룹 최고인사책임자였던 김혜인(49)씨를 영입해 임명했다. 현대차 관계자는 “현대차의 인사제도와 조직문화에 글로벌 스탠다드를 이식할 것으로 기대한다”고 했다."
2023-12-21,"현대차, 역대 최대 252명 임원승진… 성과 보상·세대교체","라토프·이동석·김윤구 사장 승진전체 임원 38%가 40대로 채워져현대차그룹이 20일 사장 승진 5명을 포함해 252명을 승진시키는 연말 임원 인사를 했다. 지난해(224명)를 뛰어넘는 역대 최대 임원 승진 인사다. 올해 최대 실적에 대한 보상을 확실히 하면서 미래차 전환을 위해 40대 임원을 대거 발탁했다. 정의선 현대차그룹 회장 취임이 이뤄진 2020년 21%였던 신규 40대 임원 비율은 이번 인사에서 38%로 확대했다.현대차그룹은 이날 현대차 97명, 기아 38명, 현대모비스 20명 등 역대 최대 규모의 임원 승진 인사를 발표했다. 직급별로는 지난달 먼저 발표된 이규석 현대모비스 사장, 서강현 현대제철 사장을 포함해 사장 7명, 부사장 13명, 전무 35명, 상무 197명이 승진했다. 현대차 관계자는 “성과 보상, 세대교체에 방점이 찍힌 인사”라고 했다.세타2 엔진 리콜과 관련해 미국 당국과 과징금 합의를 이끈 브라이언 라토프(59) 부사장이 글로벌 최고 안전 및 품질책임자(GCSQO·사장)로 승진했다. 10년 가까이 현대차그룹을 괴롭힌 엔진 리콜 문제를 털어낸 실적을 인정받은 것으로 앞으로 그룹 품질 관리 정책을 총괄한다. 현대차와 기아로 나뉜 품질 관리 조직도 라토프 사장 아래로 일원화한다.5년 연속 무분규 임단협 타결을 이끌어 낸 이동석(59) 국내생산담당도 사장으로 승진했다. 현대차에서 대표적인 노무 전문가인 그는 올해 최대 국내 생산량(186만대)을 달성해 생산 부문에서도 성과를 냈다. 공석이던 자동차 소프트웨어 개발 업체 현대오토에버 사장에는 김윤구(58) 현대차그룹 감사실장을 승진 임명했다. 인사와 감사 등 경영 지원 분야 전문가인 그는 현대오트론, 현대앰엔소프트와 합병한 현대오토에버의 통합 시너지를 내실화하는 역할을 맡았다. 이 회사는 포티투닷과 함께 미래차 분야 핵심 계열사로 꼽힌다. 현대차증권 사장엔 배형근(58) 현대모비스CFO(부사장)가 승진 내정됐고, 현대카드·현대커머셜 경영관리 부문 대표 전병구(58) 부사장도 사장으로 승진했다. 미래CEO(최고경영자) 역할을 할 부사장·전무 직급에선 60대 임원들이 대거 퇴직하면서 40~50대 48명이 자리를 채웠다."
2024-01-09,"검찰, ‘KT 배임 의혹’ 윤동식 KT클라우드 대표 소환 조사","검찰 로고. /뉴스1KT그룹이 현대차 관계사의 지분을 고가로 사들였다는 의혹을 수사하는 검찰이 9일 윤동식KT클라우드 대표를 피의자 신분으로 소환 조사했다.서울중앙지검 공정거래조사부(부장 용성진)는 이날 특정경제범죄 가중처벌법상 배임 등 혐의로 윤 대표를 불러 조사했다.윤 대표는 클라우드(대용량 저장 장치) 사업을 하는KT의 자회사KT클라우드가 정의선 현대차그룹 회장의 동서 박모씨가 설립한 스파크앤어소시에이츠(스파크) 지분을 실제 가치보다 비싸게 인수한 데 관여한 혐의를 받고 있다.KT클라우드는 지난 2022년 9월 스파크 지분 100%를 206억8000만원에 매입해 자회사로 편입한 뒤 회사 이름을 오픈클라우드랩으로 바꿨다.검찰은KT클라우드가 스파크 지분을 매입하는 과정에 구현모KT전 대표와 윤경림KT전 사장이 연관되어 있다고 보고 수사를 진행하고 있다.현대차는 지난 2021년 경영난에 빠진 구현모 전KT대표 쌍둥이 형의 회사 에어플러그 지분99%를 281억원에 인수한 적이 있다. 당시 현대차 임원이던 윤경림 전KT사장이 역할을 했고, 이에 대한 ‘보은 성격’으로 이듬해KT클라우드가 스파크 지분을 인수하며 웃돈을 얹어준 것으로 검찰은 의심하고 있다.KT클라우드 측은 스파크가 현재 실적 호조를 보이는 점 등을 근거로 고가 매입이 아니라고 주장하고 있다.검찰은 지난해 8월KT본사와KT클라우드 사무실, 윤 전 사장 주거지 등을 압수수색하며 수사를 본격화 했다. 검찰은 당시 “윤 전 사장이 백 전 전략투자실장, 윤동식KT클라우드 대표 등에게 ‘스파크를 사라’고 지시했다”고 영장에 적시했다.검찰은 지난해 11월에는 현대차그룹의 소프트웨어 개발 계열사인 현대오토에버 본사를 압수수색하고 서정식 전 현대오토에버 대표를 소환 조사했다. 스파크의 거래 물량은 대부분 현대오토에버에서 받는 만큼KT클라우드가 스파크를 매입하는 과정에도 현대오토에버가 관여했을 것으로 보고 있다."
2024-06-14,"현대모비스 장중 14%까지 올라… 현대차 관련주 급등, 무슨 일이","서울 강남구 역삼동 현대모비스 본사. /조선일보DB현대모비스 주가가 장중 한때 14.45%까지 오르는 등 현대차 그룹주들의 주가가 급등하고 있다. 증권가를 중심으로 현대자동차그룹 명예회장의 사망설이 돌았기 때문으로 분석된다. 현대차그룹은 이같은 루머에 대해 “사실 무근이며, 증권가에서 만들어 낸 이야기”라고 밝혔다.14일 오후 1시 20분 현재 현대모비스의 주가는 전일 대비 6.55% 오른 23만6000원, 현대오토에버 주가는 2.69% 오른 15만6800원, 현대글로비스는 1.28% 오른 18만1900원이다. 현대모비스와 현대글로비스의 주가는 장중 한때 각각 14.45% 11.92%까지 치솟기도 했다.현대차 그룹주들의 주가가 갑작스레 급등한 배경에는 증권가에서 정몽구 명예회장의 사망설이 떠돌았기 때문이다. 현대차그룹의 순환출자 구조는 현대모비스→현대차→기아→현대모비스로 이어져 현대모비스가 최상단에 위치해 있다. 자동차 부품 업체인 현대모비스가 현대차 그룹의 사실상의 지주회사로 승계 구조의 핵심인 것이다. 1분기말 기준 현대모비스는 현대차그룹의 핵심 계열사인 현대차 지분을 약 22% 보유하고 있다. 정몽구 명예회장은 현대모비스 지분 7%를 확보한 상태다.정의선 현대자동차그룹 회장은 현대모비스 지분을 0.32%만 보유 중이다. 현대차(2.65%)·기아(1.76%) 지분율도 크지 않다. 물류 계열사인 현대글로비스 지분만 20% 보유했다. 현대차그룹은 과거 경영권 승계를 위해 현대모비스의 일부 사업을 현대글로비스에 합병한 바 있다. 이번에도 지배구조 개편 기대 심리에 현대모비스와 현대글로비스 주가가 오른 것으로 분석된다. 현재 지배구조 개편 작업은 미국계 헤지펀드 엘리엇매니지먼트 등의 반대에 부딪히면서 잠정적으로 중단된 상태다."
2022-05-04,"어린이날, 자율주행車는 못사줘도… 그 주식은 사주마","꼬마 주주 만들어 주세요,  6개 증권사 추천 종목어린이날 장난감 대신 어른이 될 때까지 보유할 주식을 사준다면 어떤 종목이 좋을까. 국내 주요 증권사들은 국내 주식 중에서는 삼성전자와 자율주행차 관련 주식, 해외 주식 중에서는 마이크로소프트(MS)와 애플 등을 추천했다./그래픽=김성규3일 본지가 국내 여섯 증권사에서 아이에게 사줄 만한 ‘장기 투자용’ 주식을 추천받은 결과 국내 주식은 삼성전자(NH투자증권·신한금융투자)가 두 증권사의 추천을 받았다. 미래에셋증권(LG전자), 삼성증권(현대오토에버),KB증권(LG이노텍)은 앞으로 자율주행차 기술이 발전하는 과정에서 함께 성장할 수 있는 기업들을 추천했다. 한국투자증권은 국내 대표 전자상거래·콘텐츠 기업인 네이버의 경쟁력을 주목했다.해외 주식 중에서는 마이크로소프트(미래에셋증권·NH투자증권·삼성증권)와 애플(한국투자증권·KB증권)이 증권사 2곳 이상의 추천을 받았다. 신한금융투자는 반도체 기업인 텍사스 인스트루먼트를 추천했다. 글로벌 증시가 약세를 보이면서 증권사들이 추천한 종목의 올해 수익률(지난달 말 기준)은 모두 ‘마이너스’.하지만 증권가에서는 “장기 투자할 종목을 고를 때는 당장의 수익률보다 성장 가능성을 살펴봐야 한다”고 조언했다.IT·자율주행 발전에 주목삼성전자는IT(정보 기술) 발전에 따라 수익이 증대될 수 있는 사업 포트폴리오를 갖추고 있다는 점에서 추천을 받았다.NH투자증권은 “삼성전자의 사업 포트폴리오가 모바일·반도체·가전·디스플레이 등IT분야 성장 시 수혜를 볼 것으로 기대되는 분야로 구성돼 있다”며 “주주 환원 정책 측면에서도 중장기 안정성이 높을 것으로 기대된다”고 했다. 신한금융투자는 “풍부한 보유 현금을 바탕으로 꾸준히 기술 개발에 투자하고 있고, 유망 기업 인수·합병(M&A)도 장기적으로는 기대할만한 부분”이라고 했다.미래에셋증권은 앞으로 자율주행차가 보급될 때 수혜를 볼 수 있는 기업이라는 측면에서LG전자를 추천했다. 미래에셋증권은 “자율주행차에 필요한 다양한 부품(배터리·디스플레이·통신 장비)을 공급하게 될LG그룹 계열사를 대표하는 기업이LG전자”라며 “자율주행차 생산과 관련해서는 애플이나 구글 등 빅테크 기업과 협력할 가능성도 기대해볼 부분”이라고 했다.KB증권은 “‘자율주행차의 눈’이라고 하는 자율주행차 대표 부품인 카메라·라이다(LiDAR)·레이더(Radar) 등을 생산하고 있으며, 광학 기술과 통신 기술을 동시에 확보한 유일한 전장(전자 장비) 부품 업체”라며LG이노텍을 추천했다.삼성증권은 “현대차그룹의 유일한 소프트웨어 기업을 주목할 필요가 있다”며 현대오토에버를 추천했다. 현대오토에버의 핵심적 사업은 정밀 지도(모빌진), 소프트웨어 업그레이드(OTA), 모빌리티 서비스(MaaS) 등인데, 자율주행 기술 발전과 함께 주목받을 분야다.AI·메타버스 선도할 기업은?마이크로소프트는 앞으로 인공지능(AI)과 메타버스(3차원 가상 세계) 관련 기술이 발전할 때 해당 분야에서 꾸준히 경쟁력을 확보할 수 있는 기업이라는 측면에서 주목받았다. 미래에셋증권은 “클라우드와 인공지능 분야에서 높은 경쟁력을 보유하고 있고, 최근 게임 사업 부문을 강화하고 있는데 이를 통해 구독형 게임 사업과 메타버스 영역에서도 경쟁력을 갖출 것으로 기대된다”고 했다.애플을 놓고 증권사들은 아이폰 등 제품 인기가 꾸준히 유지되고 있다는 점을 주목했다. 또한KB증권은 “최근 웨어러블 제품(이어폰·애플워치) 판매도 호조세여서 아이폰·아이패드 등에 집중되어 있던 사업 구조도 다양화되고 있다”고 평가했다.또한 증권사들은 마이크로소프트와 애플의 ‘주주 환원 정책’도 주목했다. 미래에셋증권은 “마이크로소프트는 20년간 매년 배당이 증가했고, 현재 시가 대비 배당수익률도 1.37% 수준”이라며 “안정 성장형 배당주로도 매력적”이라고 평가했다. 애플 역시 꾸준한 자사주 매입 등 주주 친화적 정책을 이어나가고 있다.신한금융투자는 반도체 업체인 텍사스 인스트루먼트를 추천했다. 신한금융투자는 “글로벌 아날로그 반도체 1위 업체로 반도체 업체 중 가장 광범위한 제품 포트폴리오를 구축하고 있다”며 “순이익률이 40%로 업종 평균(27%)을 넘어서는 등 압도적 수익성을 보여주고 있다”고 했다.증여 시 주의할 점은?미성년자 자녀는 10년 단위로 2000만원까지 증여세를 내지 않고 증여가 가능하다. 증여 시점 기준 직전 10년 이내 증여 금액을 합산해 증여세를 내야 하는지를 판단하게 된다.KB증권은 “다섯 살에 2000만원을 증여하고 열여섯 살에 2000만원을 증여하면 열여섯 살을 기준으로 볼 때 다섯 살에 증여받은 금액은 합산되지 않기 때문에 전액 증여 공제를 받을 수 있다”며 “10년을 두고 증여한다면 증여 공제액이 새롭게 생성되는 효과를 누릴 수 있다”고 했다.일반적으로 현금을 증여한 이후 투자에 대한 수익은 증여받은 것으로 보지 않는다. 그런데 부모가 자녀 계좌를 통해 빈번하게 주식을 매수·매도할 경우 상황이 달라질 수 있다. 국세청은 유경준 국민의힘 의원에게 제출한 자료에서 “‘빈번한 운용’만을 증여세 과세 여부에 대한 유일한 판단 기준으로 보기는 어렵다”면서도 “재산 취득 후 타인의 기여로 해당 재산 가치가 증가한 경우 증여세를 문다”고 했다."
