date,title,content
2024-12-03,"현대자동차, 울산광역시·中광저우시와 수소 협력","(왼쪽부터) 쑨즈양 광저우시장, 김두겸 울산광역시장, 장재훈 현대차 사장이 지난달 25일 열린 협약식에서 기념촬영을 하고 있다. /현대자동차세계 최초로 수소 전기차를 양산한 현대자동차가 울산광역시, 중국 광저우시와 함께 수소 사업에 속도를 낸다.현대차는 지난달 25일 중국 광둥성 광저우시에서 ‘현대차-울산시-광저우시 수소 생태계 공동 협력 추진 업무 협약’을 체결했다고 2일 밝혔다. 현대차와 울산시, 광저우시가 수소와 관련해 유기적 협력 체계를 구축하고, 수소 산업 생태계를 활성화하기 위한 협약으로 이날 행사는 쑨즈양 광저우시장, 김두겸 울산광역시장, 강상욱 주광저우 한국 총영사, 장재훈 현대차 대표이사 사장 등이 참석한 가운데 열렸다.현대차와 울산시, 광저우시는 수소 생태계 구축 선도 사례 공유 및 협력 방안 모색을 위한 수소 포럼을 개최하고, 수소에너지 생산·공급·활용 등 수소 산업 전(全) 주기에 걸쳐 실증 사업을 발굴하기로 했다. 또 산학연 공동 연구 과제 등을 통해 수소 생태계 조성을 위한 다양한 협력 사업도 추진한다. 3자는 ‘수소 산업 협의체’를 구성하고 분기마다 정기 회의를 열며, 실질적인 협업 성과를 도출해 나간다는 계획이다.울산시는 2019년 전국 최초로 ‘수소 시범 도시’에 선정돼 수소 전기차 보급과 수소 충전소 인프라 구축을 이끈 곳으로 꼽힌다. 지난 9월에는 ‘수소 도시 조성 사업’ 공모에도 선정됐다. 광저우시가 있는 광둥성은 2021년 중국 정부의 ‘5대 수소차 시범 지역’으로 지정된 곳으로 수소 산업 밸류체인을 강화하고 있다.장재훈 현대차 사장은 “울산시는 현대차와 함께 수소 인프라와 다양한 수소 모빌리티 확산에 노력하고 있고, 광저우는 현대차가 해외 지역에서 유일하게 구축한 수소 연료전지 시스템 생산 기지가 있는 도시”라며 “현대차는 두 도시 간 가교역할을 하면서 두 도시 모두 글로벌 대표 수소 도시로 성장할 수 있도록 함께 노력할 것”이라고 말했다."
2024-12-11,[경제계 인사] 현대자동차 외,▲현대자동차▷부사장 구자용 이항수 박상현 김창환 이승조 한동희▲기아▷부사장 김상대 이태훈 박준범▲현대모비스▷부사장 손찬모▲현대제철▷부사장 이보룡▷전무 고흥석 정유동▷상무 김광식 김동은 김용찬 안상우 오성호 이명호 이유철 이창우 장영훈 최주희 한학수 현주식▲현대건설▷부사장 유명근▲현대글로비스▷부사장 김태우▲현대로템▷부사장 이정엽
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-10-25,울산 자동차부품 공장 화재 6시간만 완진...현대차 일부 차질,"25일 오전 울산 남구 용연공단 내 한 자동차부품업체 공장에서 화재가 발생해 소방 당국이 진화 작업을 벌이고 있다. /울산소방본부울산 용연공단 내 자동차 부품업체 공장에서 발생한 화재가 6시간만에 완진됐다. 이 공장 화재로 현대차 일부 생산 차질이 불가피할 전망이다.25일 울산소방본부에 따르면 이날 오전 5시 7분쯤 남구 용연공단 내 한 자동차 부품업체 1공장에서 불이 났다. 이곳은 자동차용 연료탱크 등을 생산하는 곳으로, 현대차에 납품하는 2차 협력사로 알려졌다.불은 자동차 부품 생산용 로봇 공정에서 발생한 것으로 전해졌다. 남구는 이날 9시 20분쯤 ‘화재로 연기가 확산되고 있어 인근을 통행하는 차량은 유의하라’는 안전 안내 문자를 인근 주민들에게 보냈다.소방 당국은 펌프차와 고성능 화학차 등 소방 차량 30여 대, 헬기 2대를 동원해 화재 발생 6시간 10여분 만인 오전 11시 44분쯤 완진했다.25일 오전 울산 남구 용연공단 내 한 자동차부품업체 공장에서 화재가 발생해 소방 당국이 진화 작업을 벌이고 있다. /울산소방본부화재로 인한 인명피해는 없는 것으로 파악됐다. 하지만 공장 1개 동(8628㎡)이 대부분 불에 탔고, 내부 생산설비와 직원 체력단련실 등도 피해를 본 것으로 전해졌다.이에 따라 현대자동차 울산공장도 일부 생산 차질을 빚을 것으로 예상된다. 이날 불로 현대차에 납품해야 할 부품을 당장 공급하지 못하는 상황으로 알려졌다.소방당국은 정확한 화재 원인과 함께 피해규모를 조사할 예정이다."
2024-12-20,정의선 양궁협회장 6연임 확정… 만장일치 찬성,"현대차그룹은 정의선 회장이 제14대 대한양궁협회 회장에 선임됐다고 20일 밝혔다. 사진은 정의선 회장이 2024 파리올림픽에서 여자 단체전 금메달을 따낸 대표팀과 함께 프랑스 파리 앵발리드에서 기념 촬영을 하고 있는 모습. /연합뉴스정의선 현대차그룹 회장(54)이 제14대 대한양궁협회 회장에 당선돼 4년 더 한국 양궁을 이끈다. 정 회장은 이로써 양궁협회장직을 6연임 하게 됐다.대한양궁협회는 20일 “제14대 회장 선거에 단독 출마한 정의선 회장이 만장일치로 추대됐다”며 선거운영위원회의 후보자 결격 사유 심사를 거쳐 최종 당선인으로 공고했다.대한체육회 규정에 따르면 회원종목단체 임원은 한 차례 연임이 가능하지만, 종목 발전에 대한 기여도가 명확한 경우 추가 연임할 수 있다.정 회장은 지난 2005년 5월 제9대 대한양궁협회 회장으로 부임했다. 14대 회장 임기는 2029년까지다.정 회장은 한국 양궁을 세계 최고 수준으로 올려놓는데 큰 역할을 했다는 평가를 받는다. 지난 7월 프랑스 파리 올림픽에서는 여자 양궁 대표팀이 단체전 10연패 기록을 세우기도 했다.현대차그룹은 올해로 40년째 한국 양궁을 후원하고 있다. 국내에서 기업이 단일 종목 스포츠협회를 후원한 사례 중 최장 기간이다.현대차그룹은 올림픽을 앞두고 파리대회 양궁경기장인 앵발리드 경기장과 똑같은 시설을 진천선수촌에 지었다. 경기장의 특성을 몸에 익히며 연습을 하기 위해서였다. 파리에서는 앵발리드 경기장에서 10여km떨어진 곳의 스포츠클럽을 통째로 빌려 양궁 국가대표팀만을 위한 전용 연습장을 마련했다. 그 덕분에 체계적인 훈련을 하고, 시차도 빠르게 적응할 수 있었다고 한다.한편 정 회장은 2005년 11월 제8대 아시아 양궁연맹(WorldArcheryAsia) 회장으로 부임해 5선 연임 중이며 현대자동차그룹은 세계양궁연맹(WorldArcheryFederation)의 최대 후원사로 스포츠 외교에도 앞장서고 있다."
2024-12-19,대법 “재직자 조건 상여금도 통상임금”,"2013년 ‘고정적 상여금만 통상임금’ 기준 바꿔재계 “年 인건비 6.8조 올라” 반발조희대 대법원장이 19일 서울 서초구 대법원 대법정에서 전원합의체  선고에 앞서 발언하고 있다. /연합뉴스재직자만 받는 조건부 정기상여금은 통상임금에 해당된다는 대법원 전원합의체 판결이 나왔다. 2013년 대법원 전원합의체는 ‘특정 시점의 재직자에게만 지급한다’는 식의 조건이 붙은 상여금은 통상임금이 아니라고 판결했는데, 이를 11년 만에 뒤집은 것이다.대법원 전원합의체는 19일 한화생명보험과 현대자동차의 통상임금 소송 상고심에서 “근로자의 재직 여부나 근무 일수에 따라 조건부로 지급되는 정기상여금도 통상임금에 포함된다”고 판시했다. 다만 대법원은 법적 안정성과 신뢰보호를 위해 새로운 법리는 이날 이후 산정되는 통상임금부터 적용해야 한다고 밝혔다.이 사건 쟁점은 수당과 퇴직금 계산 기준이 되는 통상임금에 ‘조건부 상여금’을 포함해야 하는지였다. 앞서 대법원 전원합의체는 2013년 갑을오토텍 통상임금 사건에서 “정기적·일률적·고정적 정기상여금은 통상임금에 포함한다”고 하면서도 “재직 조건이나 근무 일수 등에 따라 지급되는 임금은 ‘고정성’이 부정돼 통상임금에 해당하지 않는다”고 판결했다.당시 법조계에서는 “상여금 지급 전에 퇴직하는 근로자와, 고용 관계를 계속 유지하는 근로자를 동일하게 취급하는 것은 맞지 않다”며 “조건부 상여금을 통상임금에서 배제하는 것은 타당하다”는 해석이 나왔다. 기업들도 전원합의체 판결 취지에 따라 근로자들에게 정기상여금을 지급하며 ‘재직자에게만 지급한다’ ‘특정 기간 동안 15일 이상 근무한 경우에만 지급한다‘는 등의 조건을 붙였다.그런데 이후 하급심에서 조건부 상여금에 대한 판단이 엇갈리기 시작했다. 한화생명보험 직원들은 “재직자에게만 지급하는 정기상여금을 통상임금에 포함해야 한다”며 회사를 상대로 소송을 냈는데, 2심은 이를 인정했다. 반면 현대차 직원들이 “15일 이상 근무해야 지급하는 정기상여금을 통상임금에 포함해야 한다”며 낸 소송에서 2심은 이를 부정했다.대법원은 이날 기존 전원합의체 판례를 뒤집고 이 같은 조건부 상여금도 통상임금에 해당된다고 판결했다. 대법원 전원합의체는 재직자 조건부 정기상여금에 대해 “근로자가 재직하는 것은 근로를 제공하기 위한 당연한 전제”라며 “재직 조건이 부가돼 있다는 이유만으로 임금의 근로 대가성이나 통상임금성이 부정되지 않는다”고 했다.이어 특정 일수 이상 근무를 요구하는 정기상여금에 대해서도 “근로를 온전하게 제공하는 근로자라면 충족할 소정 근로일수 이내의 근무 일수 조건이 부가돼 있다는 사정만으로 통상임금성이 부정되지 않는다”고 말했다.대법원은 통상임금 개념 변경의 파급 효과 등을 고려해 새로운 법리는 이날 이후 산정되는 통상임금부터 적용되도록 했다. 다만 동일한 쟁점으로 재판 중인 사건이 많은 만큼, 대법원 전원합의체는 “이 사건과 현재 조건부 상여금의 통상임금 여부가 재판의 전제가 된 사건들에 대해서는 이번 법리가 소급 적용된다”고 했다.대법원 관계자는 “통상임금의 고정성 개념을 폐기하고, 본질인 소정 근로 대가성을 중심으로 통상임금 개념을 재정립한 것”이라고 설명했다.재계는 이번 판결로 기업의 인건비 부담이 크게 늘어난다며 반발하는 분위기다. 한국경영자총협회는 지난달 보고서를 통해 “재직자 조건부 정기상여금이 통상임금에 산입되면 기업은 연간 약 6조7889억원의 추가 인건비를 부담해야 한다”고 주장하기도 했다."
2023-07-29,"[단독]현대자동차그룹, 상반기도 세계 톱3...스텔란티스·GM 등 제쳐","작년보다 10.9% 증가한 365만7000대1위는 도요타, 2위는 폴크스바겐그룹서울 서초구 양재동 현대자동차·기아 본사. /뉴스1현대자동차그룹이 올 상반기 전 세계 자동차 판매 대수에서 3위에 올랐다. 지난해 상반기 사상 처음으로 3위에 진입하고, 연간으로도 첫 3위에 오른 데 이어 스텔란티스, 르노닛산미쓰비시연합,GM을 제치고 글로벌 3대 자동차 제조사로 위상을 굳히는 모습이다.29일 자동차업계에 따르면 올 상반기 현대자동차그룹은 지난해 상반기보다 10.9% 늘어난 365만7000대를 전 세계 시장에 판매하며 도요타와 폴크스바겐에 이어 3위를 지켰다. 현대자동차그룹은 작년 상반기 329만9000대를 판매하며 사상 처음으로 3위에 올랐고, 지난해 연간으로도 684만대를 팔며 두 회사에 이어 3위를 나타냈다.현대차는 작년 상반기보다 10.8% 늘어난 208만1000대, 기아는 11% 증가한 157만6000대를 나타냈다.EV(전기차)를 중심으로 친환경·고부가 차량 판매가 늘며 영업이익도 급증했다. 현대차는 올 2분기 매출 42조2496억원, 영업이익 4조2379억원을 거두며 분기 사상 최대 실적을 나타냈고, 기아도 2분기 영업이익이 사상 처음으로 3조원을 돌파했다.일본 도요타자동차그룹은 작년 동기보다 5.5% 늘어난 542만대를 올 상반기 판매하며 4년 연속 1위를 지켰다. 도요타가 5.1% 증가한 493만8000대를 판매한 데 이어 다이하쓰는 15.1% 증가한 41만6000대를 기록했지만, 히노는 14.2% 감소했다. 독일 폴크스바겐그룹은 전 세계적으로 작년보다 11% 늘어난 444만8000대를 팔며 2위를 나타냈다.현대차·기아에 이어서는 크라이슬러·지프·피아트·시트로앵 등의 브랜드가 있는 스텔란티스가 4위에 올랐다. 스텔란티스는 지난 26일 실적 발표에서 그룹 전체 올 상반기 판매 대수가 작년보다 9.7% 증가한 332만7000대를 기록했다고 밝혔다. 이어 르노닛산미쓰비시연합이 332만대로 5위를 나타냈고,GM은 296만5000대를 기록했다."
2024-12-20,"“여기가 찐부촌”... 용산구, 강남 제치고 종합소득 1위","1인당 연평균 1억3000만원서울 용산구 한남동에서 바라본 고급 주택단지의 모습. 기사 내용과 무관한 사진. /뉴스1서울 용산구가 전국 1등의 부자 동네인 것으로 나타났다. 용산구의 1인당 평균 종합소득액 규모가 서울 강남구를 앞선 것이다. 강남 도곡·대치동 등에 사는 이른바 ‘강남 부자’보다 한남·동부이촌동 등에 사는 ‘용산 부자’가 더 많은 돈을 벌고 있다는 뜻이다. 용산 지역에 기업 오너나 금융계 큰손 등 이른바 ‘찐 부자’들이 집중적으로 분포하고 있기 때문이라는 분석이 나온다.20일 국세청은 작년 귀속 종합소득금액 신고 현황을 발표했다. 종합소득세를 매기는 근거가 되는 소득 자료다. 이에 따르면, 전국 229개 시·군·구 중 서울 용산구의 1인당 평균 종합소득금액이 1억2996만원으로 가장 높았다. 2등인 서울 강남구(1억1682만원)를 1314만원(11%) 차이로 앞섰다. 국세청이 지역별 종합소득액을 공개한 것은 이번이 처음이다.그래픽=양인성용산·강남·서초가 ‘톱3’종합소득이란 근로·사업·이자·배당소득 등 각종 소득을 합한 금액이다. 일터에서 번 월급, 자영업으로 번 돈, 부동산 임대료, 예·적금 이자나 주식 배당으로 탄 돈 등을 모두 모은 것이다. 다만 부동산이나 주식 거래로 번 양도소득은 제외한다.또 근로소득자 중에도 월급 외에 사업이나 재테크로 금융·사업소득을 어느 정도 올리는 사람들의 소득도 종합소득에 포함된다. 오로지 근로소득만 있으면 종합소득 집계 대상에서 빠진다. 이자·배당 등 금융소득은 2000만원을 초과해야 종합소득으로 계산된다.용산·강남에 이어 전국 3등인 서울 서초구(1억865만원)까지 평균 종합소득이 1억원을 넘었다. 이어 경기 과천시(6441만원), 서울 종로구(6084만원), 대구 수성구(6056만원) 등 순이었다. 강남·서초와 함께 ‘강남 3구’로 묶이는 서울 송파구는 평균 5320만원으로 8위를 기록했다. 전국 17개 광역 지자체 별로 보면, 1등인 서울(4565만원)에 이어 울산(3609만원), 세종(3575만원), 대구(3468만원)의 종합소득이 높았다.용산, 각종 호재로 고소득층 유입용산이 강남을 뛰어넘는 부자 동네가 된 것은, 최근 용산 지역이 각종 호재로 고소득자들의 ‘핫 플레이스’로 떠올랐기 때문이라는 분석이 나온다. 용산은 서울의 중심지로 교통이나 교육·의료 등 생활 시설이 잘 마련돼 있어 대표적인 대기업 오너들의 자택이 이 지역에 많다. 이재용 삼성전자 회장, 정의선 현대자동차그룹 회장, 최태원SK그룹 회장, 구광모LG그룹 회장 등 대표적인 대기업 오너들이 모두 용산구에 거주하고 있다. 용산은 지난 2018~2020년 부동산 가격 급등기에 이른바 ‘마용성(마포·용산·성동)’으로 불리며 집 값이 큰 폭으로 뛰었다.윤석열 정부 들어서는 대통령실이 들어서고 주변의 용산 국제업무지구와 한남뉴타운 개발 등이 속도를 내며 더욱더 부(富)의 집중이 이뤄졌다는 것이 전문가들의 분석이다.KB금융 경영연구소 관계자는 “용산 한남동 일대는 원래도 일부 대기업 오너들과 외국인 부유층들이 사는 부촌이었는데, 여기에 새로운 고소득층까지 유입되며 명실상부한 서울의 대표적 부자 지역으로 떠오른 것”이라고 말했다.반면, 1인당 평균 종합소득액이 전국에서 가장 낮은 지역은 경기 동두천시(2005만원)로 집계됐다. 가장 부자 동네인 용산구의 15% 수준에 그쳤다. 이어 인천 동구(2019만원), 전북 장수군(2029만원), 서울 강북구(2030만원), 인천 미추홀구(2071만원) 등 순으로 종합소득액이 낮았다.개인소득, 서울이 8년째 1위한편 국민 개개인의 평균적인 연 소득을 뜻하는 1인당 개인소득은 서울이 지난해까지 전국에서 8년 연속 1위를 유지한 것으로 나타났다. 통계청이 20일 발표한 ‘2023년 지역소득 통계(GRDP)’에 따르면, 작년 전국의 개인소득(명목)은 1321조원으로 전년보다 30조원 증가했다. 인구 1인당 개인소득은 2554만원으로 1년 전보다 56만원 늘었다. 지역별로 보면 서울의 1인당 개인소득이 1년새 4.2% 증가한 2937만원으로 전국 17개 시도 가운데 가장 많았다. 서울은 2016년 울산을 제치고 1위로 올라섰고 지난해까지 1위를 유지했다. 이어 울산(2810만원), 대전(2649만원), 세종(2600만원) 순이었다.☞종합소득근로·사업·이자·배당소득 등 각종 소득을 합한 금액이다. 다만 오직 근로소득만 있는 월급쟁이는 종합소득 집계 대상에서 빠진다. 부동산이나 주식 거래로 번 양도소득도 종합소득에서 제외된다."
2024-12-21,“해봤어?” “다 바꿔라”… 위기에 소환되는 창업 정신,"4대그룹, 선대회장 리더십 복기대내외 불확실성과 위기감이 커지는 가운데 국내 4대 그룹들이 잇따라 ‘도전’과 ‘혁신’으로 요약되는 ‘창업 정신’을 강조하고 있다. 반도체, 전자, 자동차 등 주력 산업에서 돌파구를 찾기 위해선 ‘제2의 창업’과 같은 도전이 필요하다고 보고, 창업회장이나 선대회장의 리더십과 지혜를 복기하는 것이다.국내 최대 기업 삼성의 최근 화두 중 하나는 ‘이건희 신경영 정신’의 회복이다. 최근 반도체 등 주력 사업의 부진, 잇단 품질 불량 문제 속에서 “마누라와 자식 빼고 다 바꿔라”란 말로 대표되는 이건희 선대회장의 ‘신경영 선언’이 자꾸 회자되고 있는 것이다. 이찬희 삼성준법감시위원장은 지난 17일 “삼성이 변해야 한다는 부분에 많은 분들이 공감할 것”이라며 “이건희 선대회장이 1993년 신경영 선언을 할 때 말씀하신 것처럼 모든 것을 바꾸는 생각의 전환이 필요하다”고 말했다.그래픽=이진영지난 10월 반도체 부문을 총괄하는 전영현 부회장이 낸 사과문에서도 “기술의 근원적 경쟁력을 복원하겠다” “두려움 없이 미래를 개척하고, 한번 세운 목표는 끝까지 물고 늘어져 달성해내고야 마는 우리 고유의 열정에 다시 불을 붙이겠다” “우리의 전통인 신뢰와 소통의 조직 문화를 재건하겠다” 등 삼성의 초심을 되찾겠다는 내용이 주를 이뤘다.재계 2위인SK그룹도 올해 최종현 선대회장의 메시지를 인공지능(AI)으로 구현하는 등 창업 정신을 강조하고 있다. 최 선대회장이 설립한 한국고등교육재단 창립 50주년 기념식이 열린 지난달, 최 선대회장은AI로 복원된 영상에서 “가능성을 따져볼 시간에 남들보다 먼저 도전을 시작하고 가끔 흔들려도 절대 꺾이지 않는 굳건한 나무로 성장하길 바란다”고 했다. 최 선대회장의 아들 최태원SK그룹 회장은 영상을 본 뒤 “(선대회장이 살아 계셨다면)‘이것밖에 못 하냐?’며 좀 더 잘하라는 야단을 쳤을 것”이라고 했다.최 회장과SK경영진은 올해 그룹 리밸런싱(사업 구조 재편)을 진행하면서 최 선대회장이 정립한 경영철학 ‘SKMS(SKManagementSystem)’도 꾸준히 강조하고 있다. 재계 관계자는 “올해SK가 각종 재무 리스크 속에서 대대적인 사업 재편에 나서며 강조했던 것이 바로 ‘BacktoBasic(기본으로 돌아가자)’이었고, 그 구심점이 바로 최 선대회장의SKMS였다”고 했다.구광모LG그룹 회장도 19일 발표한 신년사의 첫머리에 이례적으로 55년 전 작고한 구인회 창업회장을 언급했다. 구광모 회장은 “LG의 시작은 고객에게 꼭 필요한 제품과 서비스를 제공하기 위한 것이었다”며 “남이 미처 하지 못하는 것을 선택한다는 ‘데이원(Day1)’ 정신에 고객을 위한 도전과 변화의DNA가 자리 잡고 있다”고 했다.구인회 창업회장이 1951년 플라스틱 사업에 진출할 때 “기업 하는 사람으로서 남들이 미처 생각하지 못하고 손대지 못하는 사업을 착수해서 성공시킨다는 것이 얼마나 보람 있고 자랑스러운 일인가 생각해 봐라”라고 한 일화를 인용한 것이다. 구 회장은 지난 9월 사장단 워크숍에서도 “지금의LG는 세계 최고, 최초를 위한 목표를 세우고 도전해 온 결과”라고 말하는 등, 줄곧 초심을 강조하고 있다. 재계 고위 관계자는 “창업자는 존재하지 않는 새로운 길을 헤쳐 나가야 하지만, 후계자는 수성(守城)과 함께 새 먹거리를 찾아야 하는 과제를 안고 있다”며 “최근 위기 상황에서 후계자들이 초심으로 돌아가 ‘선대 경영자라면 어떤 길을 갔을까’라는 생각을 많이 하는 것 같다”고 했다.현대차그룹도 정주영 창업회장의 정신을 꾸준히 조명하고 있다. 현재 울산 현대차 공장 1층에 위치한 ‘헤리티지홀’에선 정 창업회장의AI육성이 흘러나온다. “훌륭하고 우수한 이들의 능력과 헌신으로 한국의 자동차, 우리의 자동차가 세계 시장을 휩쓰는 날이 온다고 나는 확신합니다”라는 격려다. 정의선 현대차그룹 회장은 지난해 이탈리아에서 열린 콘셉트카 ‘포니 쿠페’ 복원식에서도 “고 정주영 현대그룹 명예회장님, 고 정세영HDC그룹 명예회장님, 정몽구 현대자동차그룹 명예회장님, 그리고 우리 모두의 노력으로 이뤄낸 성과”라며 그룹 역사를 강조한 바 있다. 현대차 관계자는 “전통 내연차 사업에서 전기차를 포함한 ‘모빌리티’ 사업으로 업(業)의 개념이 완전히 바뀌고 있는 상황에서, 선대 회장의 기업가 정신을 되새기고 다시 한번 도전과 혁신을 강조하는 것”이라고 했다."
2022-08-19,"“현대차그룹, 자동차 판매 세계 3위 올라서... 도요타 1위”","일본 니혼게이자이 보도박지성 현대차 월드컵 캠페인 ‘세기의 골(GoaloftheCentury)’ 국내 앰버서더(왼쪽부터)와 장재훈 현대차 대표이사 사장, 유원하 현대차 국내사업본부장, 김흥수 현대자동차EV사업부장이 14일 부산 벡스코에서 열린 ‘2022 부산 국제모터쇼’ 보도발표회에서 ‘아이오닉 6’과 함께 기념촬영을 하고 있다.  2022.7.14/뉴스1현대자동차그룹이 올해 상반기 신차 판매량에서 도요타와 폴크스바겐에 이은 세계 3위로 올라섰다고 일본 니혼게이자이신문이 보도했다. 현대자동차그룹은 올 상반기 338만 대를 판매해 전년 같은 기간보다 7%가 감소했지만, 다른 경쟁자보다 감소폭이 적었다. 올 상반기 판매량 순위에서는 미국 테슬라와 중국BYD등 전기차(EV) 기업이 각각 14위와 17위로 껑충 순위가 뛰어올랐다. 전기차(EV)발 자동차 판도 변화가 점차 현실화되고 있는 것이다.19일 니혼게이자이신문은 조사회사 마클라인즈의 데이터와 자동차 각사의 발표를 기초로, 올 상반기 전세계의 자동차 판매 대수를 집계한 결과, 도요타그룹이 513만 대로 전년보다 6% 판매량이 감소했지만, 여전히 1위를 유지했다고 보도했다. 2위는 독일 폴크스바겐으로 387만대이었다. 폴크스바겐은 무려 22%나 판매량이 급감했다. 현대자동차그룹이 그 뒤를 이었다. 현대자동차그룹은 전년 같은 기간에 같은 방식 조사에선 4위였다. 르노·닛산·미쓰비시자동차 그룹(닛케이는 일본과 프랑스 연합으로 하나로 묶어 조사)이 전년 3위에서 4위로 밀렸다. 23%의 판매량 급감으로 313만 대에 그쳤다. 세계 톱10에서 판매량이 증가한 곳은 미국 포드(199만대, 9% 증가)와 일본 스즈키(146만대, 2% 증가)에 불과했다.눈에 띄는 대목은EV메이커의 급부상이다. 테슬라는 전년보다 약 50% 증가한 56만 대를 판매했다. 지난해 20위권 밖에서 17위로 올라섰다. 중국BYD는 작년보다 무려 2.6배에 달하는 64만 대를 판매해 14위를 기록했다.BYD는 지난 3월 가솔린 자동차 생산을 종료하고EV와 플러그인하이브리드(PHV)에 집중했다.EV와PHV를 합친 판매량은 같은 기간 테슬라를 넘어섰다.BYD는 2000만~4000만원 정도의 비교적 저가 모델을 폭넓게 보유해 젊은 층을 공략하는데 성공했다고 닛케이는 보도했다.니혼게이자이신문은 “반도체 부족과 중국 상하이의 도시봉쇄(록다운) 등 공급망이 두절된 상황에서 테슬라와BYD는 처음으로 일본의 마쓰다(55만대), 스바루(37만대)를 넘어섰다”고 보도했다. 일본의 자동차 강자가EV메이커에 밀리기 시작한 것이다. 스바루는 전년의 20위에서 21위로 하락했다.세계 1위인 도요타그룹(다이하쓰공업과 히노자동차 판매량 포함)도 선두긴 하지만 불안하다.EV분야에서 아직 1위다운 모습을 전혀 보이지 못하고 있기 때문이다. 올 상반기에는 중국을 포함한 아시아에서 3% 증가한 156만 대로 늘어난 반면, 북미(17% 감소)와 일본(19% 감소)에서는 줄었다. 2위인 독일 폴크스바겐(VW)은 무려 22% 감소했는데, 중국 의존도 너무 컸던게 주요 원인이다. 중국에선 20% 줄어든 146만대를 팔았고, 유럽에선 26% 줄어든 259만대 판매했다."
