date,title,content
2024-08-09,"현대百 지주사 현대지에프홀딩스, 2분기 영업이익 566% 증가","“현대그린푸드·현대홈쇼핑 등 종속회사 편입 결과”현대백화점그룹 지주사 현대지에프홀딩스가 올해 2분기 영업이익이 지난해 동기 대비 566.6% 증가한 744억원으로 집계됐다고 9일 공시했다. 매출은 2조816억원으로 295% 증가했다. 지난해 4분기에 계열사 현대그린푸드, 올해 2분기 현대홈쇼핑이 종속회사로 편입되면서 매출과 영업이익이 큰 폭으로 늘어난 것이다. 현대지에프홀딩스는 지주회사로 별도 영업 활동은 하지 않고, 유통, 패션, 식품, 리빙·인테리어 등 현대백화점그룹 내 27개 자회사 지분을 보유·관리하는 역할을 한다.현대백화점 사옥. /현대지에프홀딩스현대지에프홀딩스는 별도 기준으로는 16억원의 영업손실을 냈다. 현대지에프홀딩스의 별도 영업이익은 그룹 계열사에서 받는 경영 자문 수익, 보유한 부동산 자산에서 발생하는 임대 수익, 보유 지분을 통한 배당금으로 구성된다. 현대지에프홀딩스 측은 “임대 수익과 경영 자문 수익은 늘어났지만, 자문 인원이 늘어나면서 인건비가 32억원 늘어나는 등의 추가 비용이 발생했다”고 했다."
2024-11-08,"기업가치 제고 계획 내놓은 현대百그룹 ""반기 배당·자사주 소각""","현대백화점CI.현대백화점그룹은 지주회사인 현대지에프홀딩스를 비롯해 현대백화점, 현대그린푸드, 한섬 등 그룹 내 상장 계열사 4곳이 각각 이사회를 열고 향후 3년간의 기업가치 제고 계획을 세워 공시했다고 8일 밝혔다.공시된 각 사의 계획에 따르면, 지주회사인 현대지에프홀딩스는 우선 자회사에 대한 지배력을 높여 배당 수입을 확대하겠다는 구상이다. 시장 금리를 웃도는 4% 이상의 지분투자 수익률 달성을 중장기 목표로 정했다. 또 내년부터 기존 결산 배당과 별도로 100억원 이상의 반기 배당을 실시하고, 연간 배당지급 총액도 단계적으로 늘려 2027년까지 500억원으로 확대한다.특히 현대지에프홀딩스는 배당 확대를 통해 주주환원율도 80% 이상으로 끌어올린다는 계획을 내놨다. 주주환원율이란 기업이 배당과 자사주 매입에 쓴 돈을 당기순이익으로 나눈 것이다. 이 비율이 높을수록 기업이 이익을 주주들에게 더 많이 나눠준다는 뜻이다.현대백화점이 공개한 '더현대 광주' 건축디자인. /현대백화점현대백화점은 더현대 광주·부산 프리미엄아울렛 등에 힘을 실어줄 예정이다. 자회사인 면세점·지누스의 사업 경쟁력 제고도 나선다. 현대백화점은 더현대 광주에 1조2000억원, 부산 프리미엄아울렛에 7000억원을 각각 투자하기로 했다. 이를 통해 자본 대비 수익성을 나타내는 지표인 자기자본이익률(ROE)을 향후 3년 내 백화점업계 평균을 상회하는 6% 수준으로 높일 계획이다. 자산 대비 주가 수준을 나타내는 주가순자산비율(PBR)도 3년 내 0.4배, 중장기적으로는 0.8배까지 끌어올린다는 목표다.종합식품기업 현대그린푸드는 본업인 단체급식 사업의 수익성을 강화하고 케어푸드와 같은 미래 성장 사업에 대한 투자를 확대한다. 중장기적으로 자기자본이익률(ROE)은 11%를 유지하고, 주가순자산비율(PBR)은 3년 내 0.8배, 중장기적으로는 1배 이상을 지향하겠다는 목표도 제시했다. 배당 정책과 관련해선 내년부터 기존 결산 배당과 별도로 100억원 이상의 반기 배당을 실시하고, 연간 배당지급 총액도 200억원 수준으로 두 배 가까이 확대한다. 2028년까지 자사주 10.6%를 매년 2% 가량 균등하게 매입해 소각한다는 계획도 내놨다.한섬 사옥. /한섬패션전문기업 한섬은 타임·시스템 등 글로벌 경쟁력을 강화하고 수입포트폴리오 확대, 뷰티 등 라이프스타일 영역 확장 등 3대 중장기 성장전략을 추진한다. 자기자본이익률(ROE)은 향후 3년 내 6% 이상을 달성하고 중장기적으로는 9% 이상을 달성하겠다는 목표를 내놨다. 주가순자산비율(PBR)의 경우 3년 내 0.5배, 중장기적으로는 0.7배를 지향하겠다는 목표다.또 한섬은 올해부터 현금 배당 재원을 기존 별도 영업이익의 10%에서 15% 이상으로 상향해 지급하기로 했다. 또한 향후 3년간 최저 배당액 750원을 유지한다. 올해 초 자사주 5.0%(124억 규모)를 소각한데 이어, 현재 보유중인 자사주(8.2%)의 절반인 4.1%를 내년 초 소각할 방침이다.현대백화점그룹은 이번 밸류업 계획 발표와 더불어 시장과의 소통 강화에도 적극 나선다. 그룹 내 상장 계열사가 참여하는 통합IR행사인 ‘코퍼레이트 데이(CorporateDay)’를 정례화해 진행하고, 해외 투자자들을 위한 영문 공시 강화와 영문IR홈페이지 등을 통한 정보 제공도 확대할 계획이다."
2024-11-01,‘형제경영’ 다지는 현대백화점,"동생 정교선 홈쇼핑 회장 승진형 정지선 그룹회장 경영 보좌백화점 등 주요사 대표는 유임정교선(50) 현대백화점그룹 부회장이 31일 현대백화점그룹 정기 임원 인사에서 현대홈쇼핑 회장으로 승진했다. 현대백화점그룹 부회장직은 유지하며 형인 정지선(52) 현대백화점그룹 회장을 보좌한다. 전날 신세계그룹이 이마트와 신세계백화점을 계열 분리한다고 발표한 것과 달리, 현대백화점그룹은 정지선 회장과 정교선 부회장의 ‘형제 경영’을 강화하고 있다는 분석이 나온다.정교선 현대백화점그룹 부회장 겸 현대홈쇼핑 대표이사 회장수년 전만 해도 시장에서는 정지선 회장과 정교선 부회장 형제가 각각 백화점과 식품을 중심으로 분리 경영에 나서지 않겠냐는 전망이 많았다. 하지만 지난해 11월 현대백화점그룹이 단일 지주회사로 현대지에프홀딩스를 출범하며 계열 분리 가능성을 불식시켰다. 현대지에프홀딩스는 유통·패션·식품 등 27개 자회사를 편입했다. 정지선 회장과 정교선 부회장은 각각 지주회사 지분 39.7%와 29.1%를 보유한 채 공동 경영을 이어가고 있다.유통 업계에서는 정지선 회장이 동생을 예우해 현대홈쇼핑 회장으로 승진시키며 형제 경영이 더욱 탄력을 받게 됐다는 평가가 나온다. 정교선 부회장은 2009년부터 현대홈쇼핑 대표를 맡고 있다. 현대백화점그룹은 “정교선 부회장은 정지선 회장을 보좌하며 단일 지주회사 체제의 지배구조를 기반으로 그룹 경영 전반을 함께 이끌어 나갈 예정”이라고 밝혔다.현대백화점그룹은 이날 인사에서 현대백화점, 현대홈쇼핑, 현대그린푸드, 현대리바트, 한섬 등 주력 계열사의 대표를 유임시켰다. 회사 관계자는 “이번 정기 임원 인사의 핵심 키워드는 안정 기조 속 미래 성장을 위한 변화 추구”라고 했다. 이와 함께 현대면세점 대표이사에 박장서 영업본부장을 내정했다. 건자재 기업인 현대L&C 신임 대표에는 이진원 현대그린푸드 푸드서비스사업본부장이, 매트리스 전문 기업 지누스 대표에는 정백재 현대L&C 대표가 내정됐다. 복지 설루션 기업인 현대이지웰 대표는 박종선 상품운영본부장이 맡는다.▲현대백화점▷부사장 김창섭▷전무 나원중 이원철 이승원▷상무 이원근 이기호 지준우 이희석 박세원 김우형 박영배 ▲현대홈쇼핑▷상무 임호연 ▲현대그린푸드▷전무 장재락▷상무 이준재 강대림 박신영 ▲현대리바트▷상무 안은길 ▲한섬▷전무 윤인수▷상무 서정현 여유정 ▲현대L&C▷상무 홍진석 ▲현대에버다임▷상무 김일석 ▲현대바이오랜드▷부사장 이희준▷상무 박종택 ▲현대퓨처넷▷부사장 김성일 ▲지누스▷상무 박영빈 ▲현대지에프홀딩스▷전무 김준영▷상무 김택년"
2023-12-14,"순직·공상 경찰관 자녀에게 현대백화점, 장학금 5억 전달",현대백화점그룹은 공무 도중 순직하거나 다친 경찰관 자녀 340여 명에게 학비·생계비로 장학금 5억원을 전달했다고 13일 밝혔다.현대백화점그룹 지주회사인 현대지에프홀딩스는 이날 서울 서대문구 경찰청에서 ‘순직(殉職)·공상(公傷) 경찰관 자녀 장학금 전달식’을 진행했다고 밝혔다. 전달식엔 장호진 현대지에프홀딩스 사장과 윤희근 경찰청장이 참석했다. 현대백화점그룹은 지난 2011년부터 순직·공상 경찰관 자녀 2296명에게 40억원을 지원했다.
2023-11-03,"변화 나선 현대백화점, 주요 3사 대표 모두 교체","백화점 대표이사 사장 정지영홈쇼핑 대표이사 부사장 한광영현대지에프홀딩스 대표 장호진현대백화점그룹이 2일 정기 임원 인사에서 주요 3개 계열사 대표를 교체했다. 현대백화점 대표에 정지영(60) 영업본부장 겸 영업전략실장을 사장으로 승진 발령했다. 현대홈쇼핑 대표에는 한광영(57) 영업본부장을 부사장으로 승진·임명했다. 건축자재 계열사인 현대L&C 대표는 전무로 승진한 정백재(54) 경영전략본부장이 맡는다. 장호진(61) 현대백화점 사장은 지난 9월 출범한 지주회사인 현대지에프(GF)홀딩스 대표이사 사장으로 옮긴다.이번 인사는 현대백화점그룹의 지주회사 체제 전환을 앞두고 이뤄졌다. 현대백화점그룹은 오는 8일 현대지에프홀딩스 아래에 27개 계열사를 두는 단일 지주회사 체제로 공식 출범한다. 현대지에프홀딩스는 정지선 회장과 동생인 정교선 부회장, 장호진 현대백화점 사장을 사내이사로 선임하고, 정 회장과 장 사장 2인 대표이사 체제로 운영될 예정이다. 그룹 관계자는 “책임 경영 차원에서 정 회장이 지주사뿐만 아니라 백화점 대표이사직도 유지할 가능성이 높다”고 말했다.지주사 출범을 맞아 백화점과 홈쇼핑을 비롯한 주요 계열사 대표이사를 교체한 것은 미래 성장을 위한 변화를 추구한 것이라는 분석이다. 현대백화점그룹 관계자는 “이번 백화점과 홈쇼핑 대표로 영업 전문가를 배치한 것은 어려운 대내외 경영 환경을 돌파하기 위해 전문성과 업무 추진력을 갖춘 인사를 선택한 것”이라고 말했다.정지영 현대백화점 신임 대표는 1991년 현대백화점에 입사해 영업전략담당·영업전략실장·영업본부장 등을 역임했다. 한광영 현대홈쇼핑 신임 대표는 1991년 입사해 현대홈쇼핑에서Hmall사업부장 등을 지냈다. 정백재 현대L&C 새 대표는 1996년 입사해 현대L&C 경영전략본부장을 지냈다.▲현대백화점▷전무 김봉진 김수경▷상무 박근호 장경수 김은성 조재현 이동영 권순재 ▲현대홈쇼핑▷상무 김진성 ▲현대그린푸드▷전무 김해곤▷상무 박인규 김성윤 ▲한섬▷상무 임한오 ▲현대L&C▷상무 성재용"
2024-09-06,네슬레 손잡은 현대百 헬스케어 사업 키운다,"2030년까지 매출 4000억 목표현대백화점그룹이 연 매출 20조원으로 글로벌 헬스케어 사업을 선도하는 네슬레헬스사이언스와 협력해 헬스케어 사업 확장에 나선다. 네슬레헬스사이언스는 네슬레의 계열사로, 비타민 브랜드 솔가 등 25개 브랜드를 보유하고 있다. 양 사는 작년 8월 전략적 업무 협약을 맺은 데 이어, 5일 현대백화점그룹의 지주사인 현대지에프홀딩스 장호진 사장과 네슬레헬스사이언스 애나 몰 최고경영자가 서울 대치동 현대백화점그룹 사옥에서 만나 헬스케어 사업 확대 방안을 논의했다.현대백화점그룹은 네슬레헬스사이언스의 건강기능식품 브랜드를 국내에 독점 유통해 헬스케어 사업을 키운다는 계획이다. 헬스케어 사업 매출(작년 기준 약 1500억원)을 2030년까지 4000억원 이상으로 끌어올린다는 목표도 밝혔다. 네슬레헬스사이언스는 백화점, 홈쇼핑, 면세점 등을 보유한 현대백화점그룹을 통해 한국 시장을 공략하겠다는 전략이다. 현대백화점그룹 관계자는 “그룹의 헬스케어 기업인 현대바이오랜드가 보유한 원료와 네슬레헬스사이언스의 제품 생산능력이 결합해 부가가치가 높은 신제품 출시도 추진할 것”이라고 했다.우선 11월 현대백화점 목동점에 네슬레헬스사이언스의 건강식품 브랜드를 모아서 판매하는 전문 매장이 문을 연다. 현대백화점그룹은 3년 내에 그룹의 헬스케어 역량을 결집시킨 종합 헬스케어 플랫폼을 오프라인으로 출범시킨다는 계획이다. 장호진 사장은 “이번 협력 강화가 헬스케어 사업을 확장하고 도약하는 데 큰 발판이 될 것”이라고 했다."
2022-10-06,"‘쪼개기 상장’ 부담되네, 기업개편 트렌드는 인적분할","소액주주 반대·심사 강화…DB하이텍·풍산 등 ‘물적분할’ 잇단 철회최근 인적분할·물적분할 등 기업 지배구조 개편 움직임이 활발하다. 주가가 바닥을 기면서 지분 인수 등 지배구조 개편에 필요한 비용이 줄어들자, 상당수 기업은 “지금이 적기”라며 앞다퉈 기업분할에 뛰어들고 있다. 특히 재작년LG화학과LG에너지솔루션의 물적분할로 기존 투자자들이 거세게 반발한 사례를 겪으면서, 최근 시장에서는 인적분할이 활발하게 이뤄지고 있다. 반면 물적분할을 발표했던DB하이텍·풍산은 소액주주들의 집단 반발에 부딪혀 당초 계획을 줄줄이 철회하고 있다. 최근 금융 당국도 물적분할에 대한 규제를 강화해 앞으로 물적분할은 더욱 힘들어질 전망이다.한화·현대백·코오롱은 인적분할 중한화솔루션은 최근 갤러리아 부문을 9(존속법인 한화솔루션) 대 1(신설 한화갤러리아)로 인적분할한 뒤, 한화갤러리아를 내년 3월 신규 상장하겠다고 밝혔다. 재계 일각에서는 김승연 한화그룹의 셋째 아들 김동선 상무가 갤러리아 신사업전략실장으로 일하고 있는 점을 고려해, 이번 인적분할을 승계 문제와 연결지어 해석하는 시각도 있다. 김동관 한화솔루션 부회장, 김동원 한화생명 부사장, 김동선 한화솔루션 갤러리아부문 상무 등 한화 3형제가 각각 제조·금융·유통 이렇게 3부문으로 나눠 갖는다는 시나리오다.현대백화점그룹도 지난달 주력 계열사인 현대백화점과 현대그린푸드를 각각 인적분할해, 지주회사 체제로 전환하겠다고 밝혔다.현대백화점은 신설 법인인 현대백화점홀딩스와 존속법인인 현대백화점으로 분리된다. 현대백화점홀딩스는 현대백화점이 46.3%의 지분을 보유한 백화점 운영업체 한무쇼핑을 자회사로 지배하고, 현대백화점은 온라인 가구·매트리스 기업인 지누스와 면세점 사업을 자회사로 두는 방식이다. 현대그린푸드도 임대사업, 신규 투자 등을 목적으로 하는 사업 부문을 현대지에프홀딩스(존속회사)와 푸드서비스, 유통 사업, 식재 사업을 목적으로 하는 현대그린푸드(신설회사)로 분리하기로 했다.코오롱글로벌도 지난 7월 인적분할을 통해 수입차 판매·AS부문 신설 회사인 코오롱모빌리티그룹을 세우기로 했다. 코오롱모빌리티는 이웅열 명예회장의 아들 이규호 부사장이 대표로 선임됐다. 화학 소재 기업인 유니드, 건축자재 회사인 아주산업도 최근 이사회에서 인적분할을 결정해 각각 오는 11월, 12월 분할이 이뤄진다.주요 기업들이 최근 인적분할에 적극적으로 나서는 것은 규제 강화로 발목이 잡힌 물적분할의 대안으로 떠오른 측면도 있다. 금융위원회는 지난달 4일 상장 기업의 주주가 물적분할에 반대하는 경우 기업에 주식을 매수해달라고 요구할 수 있는 ‘주식매수청구권’을 부여하고, 물적분할 후 자회사 상장 시 심사를 강화하겠다고 밝혔다.소액주주 반대에DB하이텍·풍산 물적분할 줄줄이 중단반면 최근 물적분할을 추진했던 기업들은 소액 주주들의 반발로 계획을 속속 철회하고 있다. 파운드리(반도체 위탁생산)와 팹리스(반도체 설계) 부문을 운영하고 있는DB하이텍은 팹리스 부문을 물적분할해 자회사로 분사하는 방안을 검토해왔다. 이 소식이 알려지자 소액주주들은 온라인카페를 만들어 물적분할 반대 집단 행동에 나서며, 차라리 인적분할을 하라고 제안했다. 이들은 회사를 상대로 주주명부 열람·등사를 요구하며 가처분 신청을 제기했고, 국회의원들에게 김준기DB그룹 창업회장을 국정감사 증인으로 신청해달라고 요청하기도 했다. 이들의 거센 반발에DB하이텍은 지난달 “현재 진행 중인 분사 작업 검토를 중단하기로 했다”고 공시했다.풍산도 방산사업부를 풍산디펜스로 물적분할하는 안을 이달 말 임시주주총회에서 통과시킬 계획이었지만, 지난 4일 철회했다. 그룹 측은 기존 주주가치 훼손을 막기 위해 풍산디펜스 비상장 상태로 유지하겠다고 밝혔지만, 주주들이 유망 사업인 방위산업을 분리 계획에 반발하며 풍산 주가가 폭락했다. 게다가 물적분할에 대한 엄격한 규제가 시행되기 전의 꼼수 분할이라는 논란과 함께 류진 회장이 국감 증인으로 채택되는 일까지 발생하자 결국 계획을 접었다. 최준선 성균관대 법학전문대학원 명예교수는 “최근 물적분할에 대한 사회적 여론이 악화되고 기업 이미지까지 덩달아 나빠지자, 경영 효율화 등을 위해 기업분할을 고려하고 있는 많은 기업이 인적분할 방안에 눈을 돌리고 있다”고 말했다.☞물적분할·인적분할물적분할은 회사를 둘로 나눈 뒤 기존 회사가 신설 회사의 주식을 100% 소유하는 형태로, 기존 주주는 신설 회사 주식을 배정받지 못한다. 핵심 사업 부문을 떼낸 신설 회사 상장을 통해 대규모 자금 유치가 가능하지만 ‘주주 가치 훼손’ 논란이 불가피하다. 반면 인적분할은 기존 회사 주주들도 신설 회사 지분을 받기 때문에 이런 비판에서 상대적으로 자유롭다."
2024-11-14,‘장애인 지원 유공’ 장관 표창 장호진,"현대백화점그룹 지주회사인 현대지에프홀딩스의 장호진 사장이 13일 열린 전국 장애 경제인 대회에서 장애인 기업 지원 유공자 부문 중소벤처기업부장관 표창을 받았다. 2022년부터 발달장애인 특화 사업장의 설립과 운영, 내실화에 기여한 공로를 인정받았다. 장 사장은 “앞으로도 장애인 자립과 장애인 기업 활성화를 위해 노력하겠다”고 했다."
2023-09-13,삼성전자도 못한 일... 94분기 연속 흑자 낸 국내 기업 10곳,"국내 500대 기업 중 현대모비스,SK텔레콤, 고려아연, 신세계 등 10개 기업은 2000년부터 올해 2분기까지 23년 이상, 한 분기도 빠짐없이 94분기 연속 흑자를 기록한 것으로 나타났다.다만, 이들 기업처럼 장기간 흑자 기조를 이어왔던 기업 중 작년 하반기부터 심화한 글로벌 경기 침체, 반도체 불황 영향으로 적자 전환한 기업도 여럿 있었다. 삼성전자,SK하이닉스 등 17사는 지난해 하반기 이후 적자 전환으로 분기연속 흑자 기록이 중단됐다.서울 남산에서 바라본 도심의 기업 건물들./연합뉴스13일 기업데이터연구소CEO스코어가 국내 500대 기업 중 분기보고서를 제출한 352사의 개별(별도) 기준 분기 실적을 조사한 결과, 기업들이 금융감독원에 분기보고서를 제출하기 시작한 2000년부터 올 2분기까지 94분기 연속 흑자를 기록한 기업은KT&G,SK텔레콤, 한섬, 고려아연, 에스원,CJENM,신세계, 현대모비스, 유한양행, 국도화학 등 10사로 집계됐다. 이번 분석은 종속회사(자회사) 실적을 제외한 ‘개별’ 기준 실적을 기준으로 했다.이들 기업에 이어 올해 2분기까지 연속 흑자를 이어오고 있는 기업은 삼성화재(93분기), 금호석유화학(91분기), 광동제약(90분기), 고려제강(90분기),LG생활건강(89분기), 엔씨소프트(88분기),GSEPS(87분기),LS일렉트릭(87분기), 네이버(86분기), 카카오(86분기), 현대건설(86분기), 포스코인터내셔널(86분기) 등이었다.이번 조사 대상 기업 중 최근 10년(40분기) 이상 연속으로 흑자를 기록한 기업은 총 69곳(19.6%)에 달했다. 지난해 하반기 이후 적자 전환으로 연속 흑자 기록이 깨진 기업은 삼성전자(55분기),LX하우시스(54분기), 현대엔지니어링(53분기),TKG태광(45분기), 풀무원식품(45분기), 하나증권(40분기),SK하이닉스(39분기), 신한투자증권(35분기),GS건설(35분기), 유진증권(34분기), 삼성증권(33분기), 다올투자증권(33분기), 이베스트투자증권(28분기), 도이치모터스(26분기), 대창(23분기), 하이투자증권(21분기), 현대지에프홀딩스(21분기) 등 17곳으로 나타났다.한편 지난 2분기에는 조사 대상 352사 중 60곳(17.0%)이 영업손실을 기록했다. 특히 한화오션(11분기), 한국전력공사(10분기), 지역난방공사(9분기) 등은 최근 2년 이상 적자가 이어졌다."
2023-11-09,현대백화점그룹 단일 지주사 ‘현대지에프홀딩스’ 공식 출범,"정지선(左), 정교선(右)재계 20위 현대백화점그룹이 단일 지주회사인 현대지에프홀딩스 체제로 전환했다. 이로써 정지선 회장, 정교선 부회장의 ‘형제 경영’이 본격화할 전망이다.현대지에프홀딩스는 8일 오전 임시주주총회와 이사회를 잇달아 열어 정지선 현대백화점그룹 회장과 정교선 현대백화점그룹 부회장을 사내이사로 선임했다고 밝혔다. 정 회장과 장호진 현대백화점 기획조정본부 사장이 현대지에프홀딩스의 각자 대표이사를 맡는다. 장 사장은 현대백화점과 한섬 등 주력 계열사의 사내이사 업무도 계속 수행한다.앞서 현대지에프홀딩스는 공개 매수와 현물 출자 방식의 유상증자를 통해 주력 계열사인 현대백화점과 현대그린푸드를 자회사로 편입시킨 바 있다. 정 회장과 정 부회장은 현대지에프홀딩스 지분을 각각 38.08%, 27.97% 보유하고 있다. 두 사람은 현대지에프홀딩스 이사회에 합류하면서, 각각 현대백화점과 현대홈쇼핑의 대표이사직을 유지한다.이날 공식 출범한 현대지에프홀딩스는 자회사 지분을 보유·관리하는 순수 지주회사로, 산하에 유통·패션·식품·리빙·인테리어 관련 계열사 27개가 편제됐다. 그룹의 전체 규모는 지난해 말 기준 자산 21조6000억원, 매출 26조원이었다.사명인 현대지에프(GF)홀딩스는 현대백화점그룹의 새로운 역사와 미래(Future)를 만들어가는(Generate) 중추적 역할을 하겠다는 의미를 담고 있다. 현대백화점그룹 관계자는 “기존 사업을 미래 성장형 산업으로 변화시키고 신성장 동력을 발굴해 오는 2030년까지 매출 40조원을 달성하겠다”고 말했다.한편 현대백화점그룹은 지주회사 출범을 계기로 그룹의 경영 효율화와 함께 자회사의 기업가치가 재평가될 것으로 기대하고 있다. 현대지에프홀딩스는 이날 자기주식 전체 주식 수의 2.9%(470만7865주) 소각을 결의했다."
