date,title,content
2024-12-05,61회 무역의 날… 정순원 등 5명에 ‘금탑산업훈장’,"(왼쪽부터)정순원, 이상락, 윤승규, 아브라함 운가르, 조기준한국무역협회는 5일 열리는 ‘제61회 무역의 날’ 기념식에서 정순원 화신볼트산업 대표, 이상락SK하이닉스 부사장, 윤승규 기아 부사장, 아브라함 운가르 레이 쉬핑 그룹 회장, 조기준 신창에프에이 대표 등 5명이 금탑산업훈장을 수상한다고 4일 밝혔다.정 대표는 방산·원전용 특수 볼트의 국산화를 통해 지난해 수출 3100만달러를 기록한 공로다. 이 부사장은 고대역폭메모리(HBM)를 중심으로 올 상반기에만SK하이닉스가 186억달러의 수출 실적을 올리는 데 기여한 공로를, 윤 부사장은 기아가 북미 지역 거점을 늘려 해외 수출 250억달러를 최초로 달성하는 데 기여한 공로를 인정받았다. 운가르 회장은 자동차 운반선 최대 개인 선주로서 올해 국내 조선·자동차 산업 발전에 기여했고, 조 대표는 자동차 배터리·모터 부품을 기반으로 최근 3년간 수출 실적을 401% 늘린 공로다.또 이날 행사에서 백승한 클래시스 대표 등 6명은 은탑산업훈장을, 최성규 엘파워텍 대표 등 9명은 동탑산업훈장을 받게 된다. 이 밖에도 577명이 정부 포상과 산업부장관 표창을 받는다."
2022-01-20,인도서 팔‧다리 4개씩인 아기 태어나… 주민들 “신의 화신”,"부모는 “의사가 속였다” 고소인도 북동부에 위치한 비하르주의 한 병원에서 태어난 팔과 다리가 모두 4개를 가진 아기. /유튜브채널cityindianews인도에서 팔과 다리가 각 4개인 아기가 태어났다. 주민들은 “신의 화신(化身)이 태어났다”며 축복했지만, 정작 아기의 부모는 “의사를 고소하겠다”고 했다. 담당 의사가 뱃속 아기의 상태를 제대로 전달해주지 않았다는 이유에서다.지난 19일(현지시각) 현지 시티인디아뉴스에 따르면 인도 북동부에 위치한 비하르주의 한 병원에서 팔과 다리가 4개씩인 아기가 현지 기준으로 17일에 태어났다. 의료진은 쌍둥이가 적절하게 발달하지 못해 함께 태어났다면서 산모와 아기 모두 건강하다고 전했다.아기는 얼굴과 배 사이에 엉덩이와 다리로 보이는 신체가 달려있다. 또 그 위에는 양팔이 붙어 있다. 성기가 외형적으로 드러나지 않아 성별도 불분명하다. 다만 남자로 추정하는 것으로 알려졌다. 이를 두고 주민들은 “신의 화신”이라며 병원을 찾아 사진을 촬영하거나 기도하며 축복하고 있다.반면 아기 부모는 여전히 놀란 상태다. 아기의 배를 보면 장기 일부가 노출된 상태이기 때문이다. 이들은 출산 전 초음파 검사를 했지만, 의료진으로부터 이러한 사실을 전혀 듣지 못했다며 고소할 방침이라고 전했다.인도에서는 기형으로 태어난 아기를 ‘신의 화신’으로 여기는 문화가 있다. 앞서 2015년 3개의 코를 가진 한 아기는 코끼리를 닮은 신 ‘가네샤’ 또는 ‘가네샤의 화신’으로 불렸다. 이 아기가 일반적인 형태로 생긴 코 2개 외에 코끼리와 비슷한 형태로 생긴 코를 가졌기 때문이다. 올해 7살인 이 아이는 현재 코끼리와 비슷하게 생긴 코를 제거한 상태로 알려졌다."
2023-05-31,"김의겸 “한동훈은 뿔테 안경 쓴 깡패, 복수의 화신”","김의겸 더불어민주당 의원. /뉴스1김의겸 더불어민주당 의원이 경찰의 한동훈 법무부 장관 개인정보 유출 수사와 관련해 “한동훈 장관은 검은 뿔테 안경을 쓴 깡패”라고 했다. 개인의 가족 정보가 모두 담긴 주민등록 초본 등 유출에 대해서는 ‘심각한 문제가 아니다’는 취지의 주장을 폈다.김의겸 의원은 31일YTN라디오 ‘뉴스킹 박지훈입니다’에 출연해 “한동훈 장관이 이번 사건으로 ‘복수의 화신’으로 등극을 했다”며 “(인사청문회 당시 국회에 제출됐던) 한동훈 장관의 주민등록 초본, 부동산 매매계약서 이런 것들을MBC기자가 다른 언론사 기자에게 넘겨줬다는 것 때문에 이 문제가 발생하고 있다. 그 사안 자체가 그렇게 무거운 문제인가 의문”이라고 했다.김의겸 의원은 “이게 윤석열 정부의 황태자, 한동훈 장관이 아닌 다른 사람이었으면 이런 문제가 발생했을까? 또 그걸 유출했다라고 하는 언론사와 기자가 이번 정부에서 미운털이 단단히 박혀 있는MBC가 아니었으면 이런 일이 발생했을까?”라며 “특히 지금 압수수색을 당한 임모 기자라고 하는 분은 윤석열 대통령의 이른바 ‘바이든 날리면’ 발언을 보도했던 기자”라고 했다.이어 “윤석열 대통령이 (검사 시절) 수사권 가지고 보복하면 그게 깡패지 검사냐 이렇게 말하지 않았나”라며 “이거야말로 전형적인 깡패 짓이다. 저는 안경 쓴 깡패를 못 봤습니다마는 한동훈 장관은 정말 검은 뿔테 안경을 쓴 깡패다. 이렇게 생각을 한다”고 했다.한동훈 법무부 장관. /뉴스1김의겸 의원은 윤석열 대통령이 전날 한상혁 방송통신위원장의 면직안을 재가한 데 대해서는 “방통위원장이KBS,MBC등 공영방송에 이사를 추천할 수 있는 권한이 있지 않나? 한상혁 방통위원장을 보내버리고 자기 입맛에 맞는 방통위원장을 앉히겠다, 그러기 위해서 지금 무리를 하고 있다”고 했다.한편 서울경찰청 반부패·공공범죄수사대는 한동훈 장관 개인정보 유출 의혹과 관련해 전날(30일) 임모MBC기자의 자택과 서울 영등포구 국회사무처를 압수수색하고, 휴대전화 등 관련 자료를 확보했다. 서울 마포구 상암동MBC사옥 내 임 기자 소속 부서 사무실을 상대로도 압수수색을 시도했다."
2022-05-17,이재명 “吳하면 세금둥둥섬” 오세훈 “李는 조작의 화신”,"출마 지역 다른데도 직접 충돌6·1 지방선거를 앞두고 인천 계양을 국회의원 보궐선거에 출마하는 더불어민주당 이재명 전 경기지사와 국민의힘 오세훈 서울시장 후보가 서로 “(시장 되고) 1년간 뭘 했나” “조작의 화신”이라며 공방을 벌였다. 다른 지역에 출마하는 두 거물 후보가 직접 충돌한 것이다. 정치권에서는 “차기 대선을 염두에 둔 기싸움”이라는 해석이 나왔다.이 후보는 지난 15일 인천 대공원에서 지지자들을 만나 더불어민주당 김동연 경기지사 후보를 칭찬하다 갑자기 “저는 오세훈 시장 하면 ‘세금둥둥섬’밖에 생각 안 난다. (시장이 되고) 지금 1년 넘도록 뭐 하고 있느냐”고 했다. 민주당은 그동안 오 후보가 서울시장 시절인 2011년 한강에 만든 세빛섬을 전형적인 재정 낭비 사례로 규정하고 공격해왔다.그러자 오 후보는 16일CBS라디오에 출연해 이 후보의 ‘세금둥둥섬’ 발언과 관련, “제가 보기엔 이재명 후보는 조작 덩어리다. 존재 자체가 조작”이라며 “세빛섬은 민간 투자 사업으로 서울시 예산이 한 푼도 안 들어갔다”고 말했다. 그러면서 “대장동 사업으로 돈을 번 분들은 다 본인(이 후보)의 측근”이라며 “그런데 대장동의 본체가 국민의힘이라고 주장하며 대선을 치렀다. 그 적반하장의 모습을 보며 조작의 화신이라 생각했다”고 했다.이재명 후보는 이날YTN라디오에서도 “(2010년 지방선거에서) 한명숙 총리와 오세훈 시장이 맞붙었을 때 여론조사에서 18%포인트 지고 있었지만, 나중에 보니 1%포인트 전후였다”고 했다. 지지층 결집을 촉구하면서, 오 후보의 경쟁력을 깎아내린 것이다.이 후보와 국민의힘은 이날 ‘대장동 특검’을 놓고도 맞붙었다. 이 후보는 이날 “내가 (대장동 등에서) 부정을 저질렀다면 이명박·박근혜 정부에서 살아남았겠나”라며 “‘오공시티 화천’ 특검을 하자”고 했다. 제주 오등봉 개발(원희룡 국토교통부 장관 관련), 양평 공흥지구(윤석열 대통령 처가가 관련), 부산 엘시티 논란(박형준 부산시장 관련)에다 본인의 대장동 사업까지 묶어 특검을 하자는 것이다. 이에 대해 국민의힘 권성동 원내대표는 “오히려 대장동, 백현동, 성남FC의혹 사건에 대해 특검을 해야 한다”며 “그거 하면 우리가 나머지 것을 다 받겠다”고 했다. 이 후보와 관련된 다른 의혹들도 모두 수사 대상에 포함시켜야 한다는 것이다."
2022-05-16,"이재명 ‘세금둥둥섬’ 발언에…오세훈 “대장동 봐라, 조작의 화신”","오세훈 국민의힘 서울시장 후보와 이재명 더불어민주당 인천 계양을 국회의원 보궐선거 후보./뉴스1국민의힘 서울시장 후보인 오세훈 서울시장은 이재명 더불어민주당 인천 계양을 국회의원 보궐선거 후보에 대해 “존재 자체가 조작, 조작의 화신”이라고 비판했다.오 시장은 16일CBS라디오 ‘김현정의 뉴스쇼’를 통해 “(이 후보가) ‘세금둥둥섬’ 얘기를 했는데 세빛섬은 민간투자사업으로 서울시 예산이 한 푼도 들어가지 않았다. 그걸 세금둥둥섬으로 만든 이 후보는 조작 덩어리”라며 이 같이 말했다.이는 이 후보가 전날(15일) 인천 남동구 인천대공원에서 지지자들과 만나 한 발언을 언급한 것으로, 이 후보는 당시 “오세훈 시장하면 ‘세금둥둥섬’ 밖에 생각이 안난다”고 했다.오 시장은 “대장동 사업이라는 게 그렇지 않나. (이 후보는) 시장으로서 아주 싼값에 땅을 처분했다. 그리고 아주 비싸게 분양할 수 있도록 조치했다”며 “(공공개발이라) 임대주택도 많이 집어넣어야 되는데 10% 최소한만 집어넣도록 설계했다”고 말했다.이어 “그렇게 해서 누군가 엄청나게 돈을 벌도록 해 줬다”며 “돈 번 분들이 다 본인 측근들이자 계속 정치를 함께 도와줬던 분들”이라고 주장했다.그러면서 “그런데 대장동 사업의 본체가 국민의힘이라고 주장을 하면서 대선을 치렀다”며 “참 그 적반하장의 모습이, 저 분은 정말 조작의 화신이라고 생각했던 적이 한두 번이 아니다”고 했다.한편 세빛섬은 서울시 반포대교 남쪽의 한강 수상에 복합문화공간으로 조성된 인공섬으로, 공식 명칭은 ‘떠 있는 섬’이란 뜻의 플로팅 아일랜드(FloatingIsland)다. 오 시장이 서울시장으로 지내던 2006년 9월 서울시에서 추진한 ‘한강 르네상스 프로젝트’의 일환으로 계획됐으며 수익형 민자사업(BTO)으로 추진돼 2009년 4월에 착공, 2011년 5월 ‘세빛둥둥섬’이란 한글 이름으로 개장했다. 이후 경제적 타당성에 대한 문제제기 등으로 한동안 방치됐다가 2013년 일부 공간을 개방하고, 2014년 10월 ‘세빛섬’으로 명칭을 변경하면서 전면 개방했다."
2022-05-19,"“칭기즈칸 김우중, 청렴의 화신 박태준… 젊은이들, 이런 기업인 보며 영감 받았으면”","김덕형 법무법인 아태 고문 ‘한국의 명가’ 시리즈 재계편 출간“공익에 앞장선 30명 비화 담았죠”김덕형 법무법인 아태 고문이 16일 기업인 30명을 다룬 저서를 들어 보이고 있다. /남강호 기자“삼성을 창업한 호암 이병철의 부친 이찬우는 독립운동 자금을 댔고,LG를 세운 연암 구인회는 일본인 교장의 조선 학생 차별에 항의하며 동맹 휴학을 주도했습니다.”김덕형(80) 법무법인 아태 고문은 지난 16일 “대표적인 대기업 창업주들은 단지 영리를 목적으로만 사업을 한 것이 아니라, 국가와 민족을 위해 사업을 벌인 지사형 기업가였다”고 했다. 그는 이런 기업인 30명을 추려 최근 ‘한국의 명가: 재계편’(21세기북스)을 펴냈다. 맨손으로 굴지의 기업을 일군 1세대 창업가들의 이야기다.김 고문은 언론인으로 일하던 1970년대부터 ‘한국의 명가(名家)’ 시리즈를 연재했다. 1985년 펴낸 ‘한국의 명가’,2013년 쓴 ‘한국의 명가: 현대편’을 통해 전봉준, 안중근, 조봉암, 박정희 등 좌우를 막론하고 한국에 기여한 인물들 164명을 다뤘다. 기업인은 유한양행을 세운 유일한 박사 한 명뿐이었다.그가 생각을 바꿔 23개 재계 명가의 기업인 30명을 재조명했다. 그는 “현대편을 쓰고 나니 뭔가 빠진 것 같은 느낌이 들었다”며 “지사형 기업가들을 다뤄야 한다고 느꼈다”고 했다. 그는 일제강점기 ‘사업보국’에 나선 30명을 연장자 순으로 다뤘다. ‘활명수’로 제약 독립을 추구했던 동화제약 민병호부터 ‘세계 경영’을 표방했던 대우그룹 김우중 회장까지 두루 다뤘다. 그는 “이들의 공통점은 개인 돈벌이에 앞서 ‘공(公)’ 개념을 가지고 국가·사회와 관련한 공적인 일에 앞섰다는 것”이라며 “그렇지 않았던 재벌 가문은 대부분 살아남지 못했다”고 했다.그는 주식·부동산·암호화폐 등 각종 투자를 통해 경제적 독립을 삶의 목표로 삼는 젊은이들이 최근 늘고 있다는 데 대해 “김우중과 포항제철을 세운 박태준을 보고 영감을 얻었으면 좋겠다”고 했다. “김우중은 한국이 낳은 재계의 ‘칭기즈칸’이고, 박태준은 포항제철을 세계적 기업으로 일으키면서 자신은 회사 주식 한 주 가지지 않고, 자녀들에게 회사를 물려주지도 않았던 청렴한 사람”이라고 했다.1942년 평북 의주에서 태어났다. 올해 팔순이 됐지만 다음 집필 계획도 세웠다. 그는 “한국의 명가를 통해 다뤘던 194인을 다시 분류하고 취재 내용을 보완해 ‘완전판’을 내는 게 목표”라고 했다."
2024-12-17,[부동산 100자 정보] 영등포 1-11구역 재개발 사업 시공사로 선정 외,"영등포 1-11구역 재개발 사업 시공사로 선정대우건설은 서울 영등포구 ‘영등포 1-11구역 재개발 사업’의 시공사로 선정됐다고 16일 밝혔다. 영등포동 5가 25-18번지 일대 1만1961㎡ 부지에 지하 9층∼지상 39층 4동, 아파트 총 820가구를 신축하는 사업으로 총 공사 금액은 5102억원이다. 대우건설은 단지 이름으로 ‘영등포 써밋 드씨엘’을 제안했고, 영등포 최초로 스카이라운지와 스카이 게스트하우스 등을 마련할 계획이다.고덕신도시 P1 프로젝트 우선협상대상자로우미건설은GS건설,ESI와 컨소시엄을 구성해LH(한국토지주택공사)가 공모한 경기도 평택 고덕국제화신도시 P1 프로젝트의 우선협상대상자로 선정됐다고 16일 밝혔다. 신도시 설계와 아파트 건설을 패키지로 수행하는 사업으로 총 6개 블록, 4145가구 규모다. 사업비는 2조원에 달한다. 임대 아파트를 제외한 단지에는 올해 새롭게 개편한 우미건설 아파트 브랜드 ‘린’이 적용될 계획이다.건설 재해 근로자 치료비·생계비 1억원 지원반도건설은 지난 13일 경기도 안산에 있는 근로복지공단 안산병원에서 건설 재해 근로자 치료비와 생계비 지원금으로 1억원을 전달했다고 16일 밝혔다. 반도건설은 2017년부터 올해까지 건설 현장 부상 근로자 305명에게 치료비와 생계비를 지원했고, 내년에도 40여 명을 지원할 계획이다."
2024-05-20,스타 캐스팅·장기 공연… ‘대극장 연극 시대’가 왔다,"초호화 출연진 대극장 공연, 내달부터 잇달아 무대에연극은 늘 소극장의 장르로 여겨졌다. 우리 공연계에 대극장 연극이 드물었던 건 스타 배우 여러 명을 ‘멀티 캐스팅’하고 화려한 무대와 음악으로 관객을 유혹할 수 있는 뮤지컬과 달리, 오롯이 서사와 무대 위 배우들의 연기에 집중해야 하는 장르의 특성 때문이기도 하다.하지만 올여름은 다르다. ‘벚꽃동산’(연출 사이먼 스톤), ‘햄릿’(연출 손진책), ‘맥베스’(연출 양정웅) 등 대형 연극 3편이 앞서거니 뒤서거니 대극장에서 개막한다<그래픽>. 대중적 인기 높은 스타 캐스팅으로 장기간 공연하고, 티켓 값이 만만치 않은 것도 공통점이다.그래픽=정인성스타와 함께, 길고 비싸게‘벚꽃동산‘을 공연하는 강서구LG아트센터 서울의LG시그니처홀, ‘맥베스’를 올리는 서울 남산 국립극장 해오름극장은 각각 객석 수 1200석이 넘는다. 두 작품 모두 공연 기간이 한 달 이상. ‘햄릿’을 공연하는 서울 홍익대 대학로아트센터 대극장은 약 700석 규모로 상대적으로 작은 편이지만, 공연 기간은 가장 긴 석 달에 육박한다.러시아 극작가 안톤 체호프(1860~1904) 원작 ‘벚꽃동산’은 지금 세계에서 가장 각광받는 연출가로 첫손에 꼽히는 사이먼 스톤이 재창작해 내달 4일 가장 먼저 관객을 만난다. ‘칸의 여왕’ 배우 전도연이 27년 만에 연극에 도전하고, 그 파트너가 이제는 글로벌 스타가 된 배우 박해수라는 점만으로도 화제를 모았다. 스톤은 영국과 네덜란드의 국립극장, 미국 뉴욕의 메트로폴리탄 오페라 등과 함께 작업해온 연출가.제정 러시아 말기 몰락해가는 귀부인 ‘류바’와 농노에서 부유한 상인이 되는 젊은 ‘로파힌’의 이야기였던 원작은 고전을 초청받은 나라의 이야기로 다시 풀어내는 스톤의 작업 방식으로 재창작됐다. 원작의 귀부인 ‘류바’ 역할은 십여 년 전 아들이 죽은 뒤 미국으로 떠났다가 서울로 돌아온 여자 ‘송도영’으로 바뀌어 전도연이 연기한다. 원작의 ‘로파힌’은 한국 캐릭터 ‘황두식’으로 재해석돼 배우 박해수가 맡았다. 7월 7일까지, 4만~11만원.연륜·열정 다 눈부신 ‘햄릿’9일부터 서울 홍익대 대학로아트센터 대극장에서 개막하는 연극 ‘햄릿’은 창작진과 배우들의 명성만으로도 눈이 부실 지경이다. 우리 연극계 최고의 영예로 꼽히는 이해랑 연극상 수상자만 14명이 참여한다. 이호재, 전무송, 박정자, 손숙, 김재건, 정동환, 김성녀, 손봉숙, 남명렬, 박지일, 길해연 등 배우 수상자만 11명. 연출 손진책, 무대 디자이너 이태섭, 프로듀서 박명성 등 창작진에도 이해랑상 수상자 3명이 포진했다. ‘배우1′ 역의 박정자, ‘배우2′ 역의 손숙, ‘무덤파기’ 역의 김재건 등 무대에서 잔뼈 굵은 역전의 용사들이 오직 무대에 대한 열정으로 조연·단역 가리지 않고 참여한다.연극 '햄릿'에서 주인공 '햄릿'을 연기하는 배우 강필석과 이승주, '오필리어' 역의 루나. /신시컴퍼니여기에 ‘대학로 스타’ 강필석과 이승주가 ‘햄릿’을, 걸그룹 f(x) 출신의 배우 루나가 ‘오필리어’를 맡는 등 신구의 조화가 매력 포인트다. ‘나와 나타샤와 흰 당나귀’,‘번지 점프를 하다’,‘스위니 토드’ 등의 작품으로 널리 알려진 강필석은 셰익스피어와 경쟁하던 당대의 극작가가 뮤지컬이라는 새로운 장르를 만든다는 기발한 발상의 뮤지컬 ‘썸씽로튼’으로 제5회 한국뮤지컬어워즈 남자주연상을 받은 바 있다. 이승주 역시 ‘엠.버터플라이’,‘세인트 조앤’,‘벚꽃동산’,‘튜링머신’,‘와이프’ 등 예술성과 흥행성을 두루 갖춘 무대에 서온 인정 받는 배우다.최근 제작 발표회에서 올해 이해랑상 수상자인 ‘폴로니우스’ 역의 박지일 배우는 오늘도 호재 형, 무송이 형, 정자 누나, 숙이 누나, 이런 분들과 연습하는 게 너무 재미있다”고 농담을 했다. 이 배우들을 한 무대에서 볼 수 있다는 것만으로도 놓칠 수 없는 작품이다. 9월 1일까지, 6만~9만원.황정민, 무대 위 권력욕 화신으로영화 ‘아수라’의 안남시장, ‘서울의 봄’의 전두광 등 권력욕으로 일그러진 남자를 자주 연기했던 배우 황정민은 ‘맥베스’로 김소진, 송일국과 함께 7월 13일부터 국립극장 해오름극장 무대에 선다. 그가 셰익스피어 막장 드라마 중에서도 최강 권력욕의 화신이라 할 비극의 주인공 맥베스를 어떻게 표현할지 관심이 쏠린다. 소극장 학전의 ‘지하철 1호선’으로 무대를 배운 그는 영화와 드라마에서 연기로 일가를 이룬 뒤에도 ‘오이디푸스’ ‘리처드 3세’ 등 고전 연극을 꾸준히 해왔다. 비주얼과 연출적 아이디어에서 늘 높은 평가를 받아온 양정웅 연출은 “맥베스는 마녀의 예언이라는 초자연적 힘에 의해 권력에 이끌린다. 어쩌면 시대를 앞서간 오컬트물이라고 할 수 있다”며 “대극장에 걸맞은 확실한 비주얼의 무대를 보여드릴 것”이라고 했다. 8월 18일까지, 4만4000원~11만원."
2024-02-27,[일사일언] K컬처도 태국에 가면 태국법을,"태국에서 한류가 인기를 끌면서 많은 한국 기업들이 현지 진출 방법 등을 한국콘텐츠진흥원에 문의해오곤 한다. 그때마다 이른바 ‘문화적 할인(Culturaldiscount)’ 현상에 유의해줄 것을 당부한다. 이는 문화 콘텐츠가 해외 진출 지역의 문화코드를 사전에 제대로 반영하지 못하면 콘텐츠의 가치 하락이 일어날 수 있다는 의미다.예컨대, 가장 주의해야 하는 태국의 핵심 문화 코드 두 가지를 꼽는다면 바로 ‘국왕’과 ‘불교’다. 태국에서 국왕을 지칭하는 ‘프라짜우유후아’는 ‘머리에 계신 신’이란 뜻. 여기에는 태국의 신왕(神王) 사상이 담겨 있다. 태국 국왕은 즉위와 동시에 ‘신의 화신’을 의미하는 ‘라마’라는 존칭을 부여받는다. 2017년 치러진 라마9세의 장례식과 2019년 거행된 라마10세의 대관식은 ‘신의 화신’인 태국 왕의 면모를 잘 보여준 행사다. 이 때문에 국왕이나 왕실과 관련된 소재를 다룰 때는 특히 주의해야 한다. 경우에 따라 현행법상 사법 처리 대상이 될 수도 있다.불교도 태국인의 가치관과 세계관을 형성하는 중요한 기반이다. 태국인들의 윤리와 규범 잣대는 관습적으로 불법(佛法)이 기준이 된다. 태국의 대중문화 콘텐츠에서도 권선징악과 인과응보의 구도가 지배적이다. 드라마나 영화 속 선악의 대립구도 속에서 주인공을 괴롭혔던 빌런들의 최후는 대개 제거되거나, 출가해서 승려가 되거나, 업보가 되지 않도록 진심으로 서로를 용서하는 방식으로 결말을 맺는다. 승려도 태국에선 국민적 존경의 대상이다. 대중교통에는 승려를 위한 지정석이 따로 마련되어 있을 정도다. ‘피막프라카농’이라는 태국 영화에 등장하는 무능력하고 우스꽝스러운 모습의 승려는 불교도 비판의 대상이 될 수 있음을 시사하지만, 태국인들의 일상생활에 스며 있는 불교의 영향력을 고려하면 여전히 금단의 영역에 가깝다.‘로마에 가면 로마법을 따르라’는 속담은 국가 간 문화 교류에 있어서도 겸손과 관용이 중요함을 보여주는 황금률이다. ‘K콘텐츠’가 태국인들에게 계속 사랑받으려면 먼저 그들의 문화를 배려하고 존중하는 모습을 보여주어야 할 것이다."
2024-11-09,“성수 마실래!” 신도들 줄섰던 물… 알고보니 ‘에어컨 응축수’,"신도들이 벽에 달린 코끼리 장식에서 떨어지는 물을 '성수'라고 생각하고 이를 받아 마시거나 몸에 바르고 있다. /엑스(X·옛 트위터)힌두교 성수(聖水)로 알려져 수많은 신도들이 줄을 서 마셨던 물이, 사실은 에어컨에서 흘러나온 물이었다는 황당한 사실이 밝혀졌다.4일(현지시각) 인도 더이코노믹타임스 등에 따르면, 인도 브린다반 지역 ‘반케 비파리 만디르’ 사원의 코끼리 조각상에서 흘러나오는 물이 에어컨 응축수라는 사실이 드러났다.이 물은 벽에 붙어있는 코끼리 장식의 입 부분에서 흘러나오는데, 신도들 사이에서는 힌두교의 8번째 화신인 크리슈나의 발에서 나오는 성수로 알려져 있었다. 때문에 많은 신도들이 줄을 서서 이 물을 컵에 받아 마시거나, 자신의 몸에 문질러 왔다.이 사실을 확인한 사원 측은 해명문을 발표하고 신도들에게 “이 액체를 마시지 말라”고 당부했다. 사원 세바크(사제)인 디네쉬 고스와미는 “우리는 사람들의 신앙심을 존중하지만, 그들에게 반드시 사실을 알려야만 한다”라며 “그들이 ‘차란 암리트’(신의 발에서 나오는 성수)라고 믿는 건 에어컨에서 흘러나온 물일 뿐이다”라고 밝혔다.하지만 사원 측의 해명에도 불구하고 여전히 많은 신도들이 계속 이 물을 받아 마시고 있다고 매체는 전했다. 매체는 전문가를 인용해 “에어컨 응축수에는 여러 곰팡이나 박테리아가 번식하고 있기 때문에 감염 위험이 있을 수 있다. 심각한 질병을 초래할 수도 있다”고 경고했다.이러한 사실이 알려지면서 엑스(X‧옛 트위터) 등 소셜미디어에는 물을 받아 마시는 신도들의 모습이 담긴 영상이 공유되기도 했다. 영상을 본 네티즌들은 “정말로 교육이 필요하다” “실제로 보면 속기 쉬운가?” “미신을 믿기 보다는 과학적으로 생각해야 한다” 등 반응을 보였다."
