date,title,content
2024-12-14,"효성그룹, 연말 맞아 이웃 사랑 성금 8억원 기탁","효성그룹이 연말을 맞아 이웃 사랑 성금 8억원을 사회복지공동모금회에 기탁했다고 13일 밝혔다. ㈜효성, 효성티앤씨, 효성중공업, 효성화학 4사가 참여했다. 조현준 효성 회장은 “기업의 사회적 책임을 실천하며 함께 나누고 성장하는 사회를 위해 노력하겠다”고 했다."
2024-12-31,변압기 2代 52년 외길… “아프리카까지 수출 뚫었죠”,"[명문 장수 기업] [10·끝] 동미전기공업 한상욱 대표동미전기공업은 52년 동안 변압기를 전문적으로 생산, 미국·인도네시아·필리핀 등으로 수출을 확대해왔다. 지난달 경기도 화성시 본사 공장에서 만난 한상욱 대표가 고속철도 선로 전용 변압기 위에 앉아 있다. /조인원 기자AI(인공지능) 열풍이 거세지면서 전 세계적으로 전력 수요가 급격히 늘고 있다. 한국 전력기기 산업도 이 추세에 힘입어 차세대 성장 산업으로 각광받고 있다. 효성중공업,HD현대일렉트릭,LS일렉트릭 같은 대기업이 미국과 유럽 등지에 초고압 변압기를 공급해 굵직굵직한 수주 실적을 올리는가 하면, 국내 중소·중견 기업들도 탄탄한 기술력과 품질을 검증받은 중·고압 변압기를 생산·납품함으로써 해외 수출 시장을 확대하고 있다.동미전기공업은 지난 52년 동안 변압기를 전문적으로 생산, 해외 수출 시장을 확대해온 작지만 강한 기업이다. 주상 변압기와 지상 설치형 변압기를 비롯한 76만V 이하의 중·고압 변압기를 주로 만들어왔다. 미국과 필리핀을 시작으로, 인도네시아·몽골·사우디·과테말라 등에 변압기 납품 수주 계약을 따내며 수출액을 키워왔다. 2019년엔 102억원 정도였던 매출은 매년 두 자릿수 성장을 거듭해 올해는 800억원을 돌파할 것으로 보인다. 지난 5년 동안 매출이 8배가량 늘어났다. 수출 비율도 80%가 넘는다.그래픽=김하경동미전기공업은 1972년 경기도 화성에서 형제인 고(故) 한두성, 한두석 전 공동대표가 함께 창업했다. 평안남도 출신인 이들은 6·25전쟁이 터지자 남한으로 피란을 왔고, 1960년대부터 모터 수리 일을 해왔다. 1970년대 초 한국 경제가 급성장하고 전력 수요가 폭발적으로 늘자 두 창업자는 ‘동미기업주식회사’란 이름으로 회사를 열고 변압기를 비롯한 전력기기 수리·제조일에 본격적으로 뛰어들었다. 1976년 한국산업표준(KS) 인증을 받았고, 한국전력에 변압기를 납품하기 시작, 핵심 협력사로 자리 잡았다. 이후 코레일의KTX경부선 구간과 포스코,SK하이닉스 등에도 변압기를 납품하며 몸집을 키워나갔다.수출을 본격적으로 시작한 것은 2000년대 중반부터다. 창업자 한두석 전 대표의 아들 한상욱(50)씨는 회사 해외영업팀장으로 일할 때부터 수출 확대를 위해 뛰어왔다. 2008년 글로벌 금융 위기를 겪으며 해외 시장을 뚫어야만 회사가 안정적으로 성장할 수 있다고 생각한 그가 필리핀과 미국령 괌, 해외 주둔 미군 기지, 인도네시아, 몽골, 사우디, 과테말라, 케냐 등지까지 직접 다니며 변압기 수출 계약을 따냈다는 것이다. 한 대표는 “당시 국내 중소기업들엔 생소한 아프리카 모잠비크까지 날아가 그 나라 전력청 관계자부터 현지 업체 대표들을 만나고 영업해 수출 계약서에 도장을 찍게 만들었다”고 했다. 그는 2015년 대표로 취임했다.코로나 팬데믹으로 전 세계적인 공급망 위기가 닥쳤을 때도 동미전기공업은 성장을 거듭했다. 물류 차질로 해외에서 들여오던 핵심 부품을 제때 공급받지 못해 납기일을 맞추기 어렵게 되자, 한 대표는 직원들을 독일 등으로 직접 파견해 배 대신 비행기로 변압기를 옮겨 실어가며 납기를 맞췄다. 이는 해외 거래처들로부터 큰 신뢰를 얻은 계기가 됐다. 한 대표는 “외국 변압기 시장에선 한번 신뢰를 얻으면 거래처들이 장기 계약을 맺고 일거리를 계속 주는 경우가 적지 않다”고 했다.최근 1~2년 동안엔 미국 4주(州) 전력청과도 변압기 공급 계약을 맺었다. 미국의 전력기기가 노후화해 교체 수요 시기가 도래했고, 이에 위스콘신을 비롯한 주에서 새 변압기 공급 업체를 찾았는데 동미전기공업이 낙찰된 것이다. 최근엔 유럽 시장에도 수출을 모색하고 있다.동미전기공업은 매년 매출액의 최소 5%를 R&D에 투자하고 있다. 수년 내 미국 전력기기 규격이 이전보다 까다로워지는 데다 유럽 시장에서의 고효율·친환경 변압기 수요가 늘어날 것에 선제적으로 대응하겠다는 구상이다. 한 대표는 “앞으로 3년 안에 수출 1억달러(약 1460억원)를 넘어서겠다”고 했다."
2024-07-08,"효성중공업, 노르웨이 변압기 3300억원 공급키로... 역대 최대","효성중공업 창원 공장에서 직원들이 초고압변압기를 검사하고 있다. /효성효성중공업이 노르웨이 국영 송전청Statnett(스타트넷)에 총 3300억원 규모의 420kV초고압변압기를 공급하기로 하고, 지난 5일 이중 3040억원 규모의 물량을 계약했다고 8일 밝혔다. 이번에 계약한 물량은 노르웨이 신재생에너지 전력망 확충, 노후화된 설비 교체를 위한 것으로, 2029년까지 순차적으로 공급할 예정이다.유럽의 전력 시장은 지멘스, 알스톰 같은 기술력이 높은 글로벌 전력기기 경쟁사들이 집중돼 기술적 진입장벽이 매우 높은 시장이다.효성중공업은 2010년 국내 기업 최초로 영국전력청의 초고압변압기 주 공급자로 선정되며 유럽 시장에 진출한 이후 스웨덴, 아이슬란드, 핀란드, 프랑스 등에서 초고압전력기기 수주 계약을 체결하며 유럽 전역으로 보폭을 넓히고 있다.이번 노르웨이 수주 물량은 효성중공업이 2020년 처음 노르웨이 시장에 진입한 이래 최대 규모이며, 단일 계약으로 회사 역사상 최대이기도 하다. 효성중공업은 지난 해에도 1300억원 규모 420kV초고압변압기 프로젝트를 수주한 바 있다. 현재 노르웨이 초고압변압기 시장에서 80%의 시장점유율을 차지하고 있다.노르웨이는 95% 이상을 신재생에너지로 발전하고 있는데, 최근AI산업 등 발달로 전력 수요가 늘어나면서 전력망 확충하고 있다. 한국 기업은 가격, 납기 능력 등을 인정 받아 유럽, 미국 시장 진출을 확대중으로, 효성은 유럽에서 가장 선전하는 국내 기업으로 꼽힌다.우태희 효성중공업 대표는 “유럽 시장에서 효성중공업의 기술력과 품질을 인정받은 만큼 유럽을 기반으로 전세계 시장에서 영향력을 더욱 높여가겠다”고 말했다."
2024-05-09,"효성중공업, 세계 최초 100% 수소 연료 발전기 본격 가동","효성중공업은 세계 최초로 수소만을 연료로 전기를 생산하는 수소엔진발전기를 본격적으로 가동했다고 9일 밝혔다.효성중공업은 지난달 중순부터 울산 효성화학 용연2공장에서 1㎿(메가와트) 수소엔진 발전기를 가동하고 있다고 9일 밝혔다. 사진은 효성중공업 수소엔진 발전기./연합뉴스효성중공업이 상용화에 성공한 수소엔진발전기는 울산 효성화학 용연2공장에 설치한 1MW(메가와트) 규모 발전기로 지난 4월 중순 가동을 시작했다. 효성중공업 관계자는 “그간 국내외 기업들이 천연가스, 석탄 등 다른 연료를 수소와 함께 사용하는 수소 혼소(混燒) 발전기를 개발한 적은 있지만, 100% 수소 발전기 상용화는 이번이 처음”이라고 설명했다.효성중공업의 1MW수소엔진발전기는 석탄 발전과 비교해 한 해 이산화탄소를 7000t 더 줄일 수 있을 것으로 예상한다. 우태희 효성중공업 대표는 “수소엔진발전기 상용화 성공은 그동안 효성중공업이 전력기기를 비롯해 수소 충전소 건립 및 운영, 액화 수소 공장 건립 등 수소 사업 부문에서 쌓아온 기술력과 노하우를 결집한 결과”라고 했다."
2024-09-28,DL이앤씨·효성중공업 ‘리베이트 탈세’ 세무조사,"국세청, 47개 업체 조사 착수최근 국세청이 착수한 ‘리베이트 탈세’ 의심 세무조사 대상에DL이앤씨(옛 대림산업)와 효성중공업 등 대기업들도 포함된 것으로 27일 전해졌다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL이앤씨와 효성중공업 등에 대한 세무조사를 시작했다. 최근 이 업체들에 대한 현장 조사도 벌인 것으로 알려졌다.앞서 지난 25일 국세청은 건설·의료·보험 업계의 ‘불법 리베이트’ 사례를 47건 적발해 세무조사에 착수했다고 밝혔다. 대상은 건설 17곳, 의약품 16곳, 보험중개 14곳 등 3개 분야 47개 업체이다. 리베이트란 기업이 판매한 상품이나 용역의 대가 중 일부를 ‘뒷돈’으로 구매자에게 돌려주는 것으로, 시장의 공정성을 해치는 행위다.국세청은 대형 건설 업체(시공사)가 공사 일감을 따내기 위해 발주처인 재건축조합 자녀에게 허위 급여를 주거나, 시행사 직원의 가족 명의 업체에 용역비를 제공한 사례를 확인하고 세무조사에 나선 것으로 알려졌다.DL이앤씨는 ‘e편한세상’과 ‘아크로’ 브랜드를 보유한 국내 10대 건설사이자, 재계 18위인DL그룹의 핵심 계열사다. 효성중공업은 시공능력 39위 업체로 브랜드는 ‘해링턴 플레이스’다.법조계에서는 이번 세무조사 결과에 따라 건설 업계의 리베이트 관행이 검찰 수사로 이어질 수도 있다고 보고 있다. 기업의 탈세 행위가 최고경영자(CEO)나 사주 일가의 비자금 수사로 확대될 수 있기 때문이다. 국세청은 2013년 5월 효성그룹에 대한 특별 세무조사를 시작해 그해 9월 조석래 전 회장 등을 검찰에 고발했고, 서울중앙지검 특수2부가 수사해 2014년 1월 조 전 회장을 불구속 기소했다.DL이앤씨 관계자는 “기업 분할을 한 지 올해 4년 차가 됐고, 10대 건설사 중 최근 3년 동안 세무조사를 받지 않아서 이번에 세무조사를 받게 된 것으로 안다”고 했고, 효성중공업 측은 별다른 입장이 없다고 했다."
2024-12-29,한전 발전소 장치 입찰서 대·중소기업 담합...8년간 5630억원 나눠 먹어,"대기업군-중소기업군 나눠 사전에 낙찰 비율 설정기업군 총무 두고 총무 통해서만 연락세종시 정부세종청사 공정거래위원회 전경. /뉴스1한국전력공사가 발주한 설비 보호 장치 입찰에서 나눠 먹기식으로 담합을 벌인 대기업, 중소기업 등 10개 사업자에 시정명령과 과징금 391억원이 부과됐다.29일 공정거래위원회는 효성중공업·LS일렉트릭·HD현대일렉트릭·일진전기 등 대기업과 동남·디투엔지니어링·서전기전·인텍전기전자·제룡전기 등 중소기업, 그리고 한국중전기사업협동조합 등 10곳에 대해 공정거래법 위반 혐의로 시정명령과 과징금을 부과했다고 밝혔다. 이들은 2015~2022년 총 5630억원 규모의 ‘가스 절연 개폐 장치’ 입찰 134건에 참여하면서, 사전에 기업별로 낙찰받을 비율과 순번 등을 정하는 방식으로 담합을 벌인 것으로 조사됐다.가스 절연 개폐 장치는 한전의 발전소나 변전소에서 전력 설비를 보호하기 위해 설치하는 장치다. 당초 대기업 4곳만 입찰에 참여할 자격이 있었지만, 한전이 중소기업들에도 입찰 참여 자격을 부여하면서 가격경쟁이 발생할 가능성이 높아지자 담합이 시작됐다는 게 공정위 판단이다.이들은 대기업군과 중소기업군으로 나뉘어 기업군별 총무를 세운 뒤, 낙찰 비율과 순번 등을 협의했다. 또 담합 사실을 숨기기 위해 자신이 속한 기업군의 총무하고만 연락을 취했다. 대기업군과 중소기업군 간에 합의한 낙찰 비율은 87:13에서 시작해, 중소기업 진입이 늘면서 60:40, 55:45 등으로 바뀌었다.공정위는 대기업 4곳과 중소기업군의 총무 역할을 한 제룡전기·한국중전기사업협동조합은 검찰에 고발하기로 했다. 공정위 관계자는 “공기업의 비용 상승과 공공요금의 원가 인상을 초래하는 담합 행위를 엄정하게 제재한 사례”라고 했다."
2024-11-05,"효성重, 3000억 또 수주… 올해 유럽서 1조 뚫었다","英해상풍력 프로젝트 부품 공급효성중공업의 초고압변압기. /효성중공업효성중공업은 지난 1일 세계 최대 해상 풍력 기업인 덴마크 오스테드와 초고압 전력 기기 공급 계약을 체결했다고 4일 밝혔다. 오스테드가 2027년까지 영국에서 추진하는 ‘혼시4 해상 풍력 프로젝트’에 400㎸(킬로볼트) 초고압 변압기, 리액터(전력 품질 향상 장치) 등을 공급한다. 계약 규모는 약 3000억원으로, 효성중공업은 이번 수주를 통해 올해 유럽 지역에서 수주 1조원을 돌파했다.유럽 전력 시장은 독일, 프랑스 등 전통 전력 기기 기업의 경쟁이 치열하고, 요구하는 기술 수준도 높은 곳으로 꼽힌다. 효성중공업은 2010년 유럽에 진출한 대용량 초고압 변압기 경쟁력을 인정받아 영국, 스코틀랜드, 노르웨이 송전 전력 회사가 사용하는 400kV변압기 시장에서 점유율 1위를 차지하고 있다.신재생에너지 확대,AI(인공지능) 산업 성장에 따라 유럽에선 송전망 투자가 연평균 8.6% 성장률을 유지해 2030년 570억달러(약 78조원) 규모로 늘어날 전망이다. 효성중공업은 유럽 등 세계 각지의 초고압 전력 기기 수요에 대응하기 위해 미국 멤피스, 경남 창원 공장을 증설해 생산 능력을 기존 대비 40% 이상 늘린다는 계획이다."
2024-11-04,"효성重, 올해 유럽 전력기기 수주 1조원 돌파…英 해상풍력 추가 수주","효성중공업은 지난 1일 세계 최대 해상풍력 기업인 덴마크 오스테드와 초고압 전력기기 공급 계약을 체결했다고 4일 밝혔다. 오스테드가 2027년까지 영국에서 추진하는 ‘혼시4 해상풍력 프로젝트’에 400㎸(킬로볼트) 초고압변압기, 리액터(전력 품질 향상 장치) 등을 공급한다. 계약 규모는 약 3000억원으로 효성중공업은 이번 수주를 통해 올해 유럽 지역 수주 1조원을 돌파했다.효성중공업의 미국 테네시 멤피스 초고압변압기 공장 전경./뉴시스유럽 전력 시장은 독일, 프랑스 등 전통 전력기기 기업의 경쟁이 치열하고, 요구하는 기술 수준도 높은 시장으로 꼽힌다. 효성중공업은 2010년 유럽에 진출한 이후 품질을 인정받으며 수주를 꾸준히 늘리고 있다. 특히 대용량 초고압변압기 경쟁력을 인정받아 영국, 스코틀랜드, 노르웨이 송전 전력회사 400kV변압기 시장점유율 1위를 차지하고 있다.올해도 연초 내셔널 그리드의 대규모 위상조정변압기 프로젝트를 시작으로 지난 7월 노르웨이 국영 전력회사와 초고압변압기 수주 계약을, 이외에도 아이슬란드, 스웨덴 등에서 차단기를 수주했다.최근 유럽 전력시장은 신재생에너지 확대,AI(인공지능) 산업의 전력 수요 증가로 송전망 투자가 확대되고 있다. 업계에선 연평균 8.6% 성장률을 유지해 2030년 570억달러(약 78조원) 규모로 투자가 늘어날 것으로 전망하고 있다.효성중공업은 유럽뿐 아니라 세계 각지에서 늘어나는 초고압 전력기기 수요에 대응하며 추가 수주를 이어가고 있다. 향후 미국 멤피스, 경남 창원공장 초고압변압기 공장을 증설해 생산능력을 기존 대비 40% 이상 늘릴 계획이다.조현준 효성 회장은 “유럽에서의 전력기기 수주 성과는 고객의 소리(VOC)경영의 성과”라면서 “향후 유럽은 물론 전세계 고객의 목소리를 경청해 글로벌 전력 시장의 입지를 더욱 강화할 것”이라고 밝혔다."
2024-09-12,"효성중공업, 대전 ‘둔산 해링턴 플레이스 리버파크’ 10월 분양","효성중공업이 10월 분양하는 둔산 해링턴 플레이스 리버파크 준공 후 예상 모습. /효성중공업효성중공업㈜이 대전 서구에서 ‘둔산 해링턴 플레이스 리버파크’를 10월 분양할 예정이다.둔산 해링턴 플레이스 리버파크는 대전 서구 월평동 1491번지 일원에 지하 4층~지상 최고 35층, 3개 동, 전용 84~182㎡, 총 336가구 규모로 조성된다. 타입별 가구수는 84㎡A 183가구, 84㎡B 61가구, 115㎡ 87가구, 142㎡A 2가구, 142㎡B 2가구, 182㎡ 1가구 등이다.단지는 대전지하철 1호선 갑천역 초역세권에 들어서 둔산권역의 시청역과 정부청사역을 10분 내로 이동할 수 있다. 또 한 정거장 거리에 있는 유성온천역은 오는 2028년 대전 2호선 ‘트램’ 개통을 목표로 하고 있어 교통 여건이 한층 개선될 전망이다. 계룡로, 한밭대로 등 도로도 잘 조성돼 있어 대전 주요 도심들로 이동도 수월하다.교육·생활 인프라도 잘 갖춰져 있다. 도보 거리에 월평초등학교가 있고, 대전 명문학원가인 둔산 학원가와도 가깝다.NC백화점이 있는 유성 인프라와 갤러리아 백화점, 이마트,CGV등 둔산 인프라까지 함께 이용할 수 있다. 대전을 대표하는 친환경 생태하천인 갑천이 단지 바로 앞에 위치해 있어 쾌적성도 확보했다. 대부분의 가구에서 갑천뷰 또는 공원뷰가 가능할 예정이다.가구당 주차공간도 1.64대(아파트 554대)로 넉넉하게 설계해 입주민들은 주차난 걱정없이 편리하게 주차할 수 있다. 커뮤니티로는 도서실, 카페, 피트니스, 어린이집, 공동 커뮤니티 공간 등이 들어선다. 분양 관계자는 “갑천역 초역세권 입지를 갖춘데다 월평동 최초의 35층 최고층 단지라는 상징성까지 동시에 지니고 있다”고 말했다."
2024-09-27,"[단독] DL‧효성, 국세청 ‘리베이트 탈세’ 세무조사 받는다","민주원 국세청 조사국장이 지난 25일 세종시 국세청 기자실에서 건설, 의약품, 보험중개 등 3개 분야 47개 업체를 대상으로 한 리베이트 세무조사 추진 계획을 발표하고 있다. /연합뉴스국세청이 최근 착수한 리베이트 탈세 의심 세무조사 대상에DL이앤씨(옛 대림산업)와 효성중공업 등 대기업들도 포함된 것으로 27일 전해졌다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL이앤씨와 효성중공업 등에 대한 세무조사를 시작했다. 최근 이들 업체에 대한 현장조사도 벌인 것으로 알려졌다.앞서 국세청은 지난 25일 건설·의료·보험 업계의 ‘불법 리베이트’ 사례를 47건 적발해 세무조사에 착수했다고 밝혔다. 건설·의약품·보험중개 등 3개 분야 47개 업체가 대상이라고 했다. 리베이트란 기업이 판매한 상품이나 용역의 대가 중 일부를 ‘뒷돈’으로 구매자에게 돌려주는 것으로, 시장의 공정성을 해치는 행위다. 대형 건설업체(시공사)는 공사 일감을 따내기 위해 발주처인 재건축조합 자녀에게 허위 급여를 주거나, 시행사 직원의 가족 명의 업체에 용역비를 제공하는 경우가 있는데, 이는 건설 비용 증가를 불러 아파트 등 주택 품질 저하와 분양가 상승으로 이어질 수 있다.DL이앤씨는 아파트 브랜드 ‘e편한세상’과 하이엔드 브랜드 ‘아크로’를 보유한 국내 10대 건설사 중 한 곳이다. 재계 18위인DL그룹의 핵심 계열사로서 올해 국토교통부가 발표한 시공능력 순위에서 작년보다 한 계단 오른 5위를 기록했다. 효성중공업은 시공능력 39위 업체로서 브랜드는 ‘해링턴 플레이스’다.법조계에서는 이번 세무조사 결과에 따라 건설업계의 리베이트 관행이 검찰 수사로 이어질 수도 있다고 보고 있다. 기업의 탈세 행위가 최고경영자(CEO)나 사주 일가의 비자금 수사로 확대될 수 있기 때문이다. 국세청은 2013년 5월 효성그룹에 대한 특별 세무조사를 시작해 그 해 9월 조석래 전 회장 등을 검찰에 고발했고, 서울중앙지검 특수2부가 수사해 2014년 1월 조 전 회장을 불구속 기소했다. 효성그룹은 2019년 세무조사에서는 추징금 1522억원을 부과받기도 했다.한편 이해욱DL그룹 회장과 조현준 효성그룹 회장은 계열사 부당지원 혐의로 2019년 재판에 넘겨져 이 회장은 작년 8월 벌금 2억원이 확정됐고, 조 회장도 항소심에서 벌금 2억원이 선고됐다.DL이앤씨 관계자는 본지 통화에서 “내부적으로 확인한 결과, 지금까지 리베이트로 볼 만한 사안은 발견되지 않았다”면서 “기업분할을 한 지 올해 4년차가 됐고, 10대 건설사 중 최근 3년 동안 세무조사를 받지 않아서 이번에 세무조사를 받게 된 것으로 안다. 큰 회사를 하나쯤 포함시켜야 해서 포함된 것 같은 느낌도 든다”고 했다. 효성중공업은 별다른 입장이 없다고 했다."
