date,title,content
2022-12-28,"태광산업, 흥국화재 지분 19.5% 인수","태광산업 석유화학 3공장 전경. /뉴스1태광그룹 섬유·석유화학 계열사 태광산업이 흥국화재 지분 일부를 인수했다고 28일 공시했다.이날 태광산업은 지난 27일 흥국생명으로부터 흥국화재 보통주 1270만 7028주를 추가 매입했다고 밝혔다. 이에 따라 최대주주 흥국생명에 이어 2대주주인 태광산업이 보유한 흥국화재 지분은 기존 19.63%에서 39.13%로 늘었다.태광산업은 “최근 주식시장 하락으로 흥국화재 주식이 저평가됐다”며 “지분법 이익 증가 등 향후 기대되는 투자이익을 반영해 흥국화재 지분을 확대하기로 했다”고 밝혔다.이어 “자금지원적 성격의 증권 매입, 공정거래법상 부당지원 등에 대해서도 법률적 검토를 통해 문제가 없음을 확인했다”고 말했다."
2022-04-24,포항 대지진 손해 만회하려...임대주택 화재보험료 담합한 손보사들,"8개업체에 17억원대 과징금...KB손보와 공기업인스컨설팅은 검찰 고발포항대지진에서 입은 손해를 만회하기 위해 저소득층 임대주택 보험 입찰을 담합한 8개 손해보험사가 덜미를 잡혔다. 한국토지주택공사(LH)가 부담하는 임대주택 관련 보험을 담합해 보험료를 대폭 올려받은 것이다. 공기업인LH의 손실은 결국 국민들의 손실로 이어진다는 점에서 다른 유형의 담합보다 심각성이 크다는 지적이 나온다.KB손해보험 등 손보사의 입찰 담합 가담 내용 및 대가.공정거래위원회는 24일 “LH의 임대주택 재산종합보험 및 화재보험 입찰 과정에서 담합을 한KB손해보험과 삼성화재,MG손해보험, 한화손해보험, 흥국화재보험,DB손해보험, 메리츠화재보험, 공기업인스컨설팅 등 8개사에 대해 17억6400만원의 과징금을 부과하기로 했다”고 밝혔다. 이 가운데 담합을 주도한KB손해보험 등은 검찰에 고발하기로 했다.공정위에 따르면,KB손해보험은 2017년LH가 발주한 임대주택 등 재산종합보험 및 전세임대주택 화재보험 입찰 담합을 주도했다. 2017년 11월 15일 발생한 포항지진으로 100억원 가량의 손해가 발생했는데 이를 만회하기 위해 이듬해인 2018년 입찰에서 삼성화재보험을 들러리로 섭외하고, 한화손해보험 및 흥국화재보험은 입찰에 불참하게 한 것이다.이에 대한 대가로 삼성화재보험과 한화손해보험에게 지분 일부를 코리안리(재보험사)를 경유해 재재보험으로 인수하도록 했다. 재보험은 원보험의 위험을 분담하기 위한 ‘보험의 보험’이다. 재재보험은 재보험의 위험을 한번 더 분담한 ‘재보험의 보험’인데KB손해보험 공동수급체(원보험)→코리안리(재보험)→삼성화재보험 등으로 지분을 배정한 셈이다. 공정위 관계자는 “KB손보와 삼성화재가 재재보험을 통해 지분을 나눠갖기 한 것은 증거를 입수했지만 이 과정에서 코리안리가 개입했는 지 여부는 밝혀내지 못했다”고 했다.MG손해보험과DB손해보험은 삼성화재가 들러리로 입찰에 참가한다는 소식을 듣고KB공동수급체에 참여하는 방법으로 입찰담합에 가담했다.뉴시스/장혜림 공정거래위원회 입찰담합조사과장이 지난 22일 정부세종청사에서 한국토지주택공사가 발주한 2018년 임대주택 등 재산종합보험과 전세임대주택 화재보혐 입찰에서 들러리 참가·입찰불참 등의 방법으로 담합한KB손해보험, 삼성화재해상보험 등 8개 손해보험사에 대해 시정명령과 과징금 17억6400만 원을 부과하고 담합을 주도한KB손해보험 및 공기업인스컨설팅(주)를 검찰에 고발한다고 밝히고 있다.결국 담합을 하지 않고 정상적인 경쟁을 통해 입찰이 이뤄졌을 경우의 보험료에 비해 보험료가 크게 올랐다.KB공동수급체가 낙찰받은 금액은 2017년에 비해 약 4.3배였고, 설계가 대비 투찰률은 2017년 49.9%에서 2018년 93.0%로 급격히 상승했다.LH가 2016년부터 재산종합보험입찰을 통합해 실시한 이래 낙찰금액 및 설계가 대비 투찰률이 가장 높았다.이들 보험료는LH가 부담하지만, 보험료 상승에 따라 임차인(임대주택 거주자)이 내는 임대료가 올라갔을 가능성도 있다. 공정위 관계자는 “포항지진으로 인해 보험료가 어느정도 올라갈 수 있다는 점을 고려해도 보험사들이 너무 쉽게 담합을 통해서 부당한 이득을 챙겼다”며 “이때문에 그만큼 국민한테 돌아갈 수 있는 몫이 보험사에게 돌아갔다는 점에서 문제가 큰 담합이다”고 설명했다."
2024-02-02,최상목 “기업 밸류업 프로그램 이달 발표”,"금융·자동차 ‘만년 소외주’ 급등흥국화재 상한가, 한화손보 17%↑최상목 경제부총리가 1일 ‘비상 거시 경제 금융 회의’에서 “미흡한 주주 환원과 취약한 지배 구조를 개선해 우리 증시 매력도를 높일 것”이라며 “기업 스스로 기업 가치 제고를 위해 노력하도록 ‘기업 밸류업 프로그램’의 구체적인 방안을 이달 중 발표하겠다”고 했다. 코리아 디스카운트(한국 증시 저평가) 해소에 적극 나선다는 뜻이다.기업 밸류업 프로그램은 배당과 자사주 소각 등 주주 환원을 확대하도록 상장 기업을 압박해 증시를 부양한 일본을 벤치마킹하는 내용이 중심이 될 전망이다. 작년 4월 일본 도쿄증권거래소는 주가를 주당 순자산 가치로 나눈PBR(주가순자산비율)이 1배 미만인 저평가 상장사들에 기업 가치(주가)를 높이기 위한 구체적 방안을 요구했다. 이후 상장사들이 주주 친화 정책을 쏟아내며 일본 증시는 34년 만에 최고치를 경신하는 등 불이 붙었다.이날 국내 증시에선 대표 저PBR주로 꼽히는 금융, 자동차주(株)가 급등했다. 흥국화재가 상한가(30% 상승)를 기록했고, 한화손해보험이 17%, 삼성생명이 10% 상승했다.JB금융(10%)과KB금융(8%)도 크게 올랐다. 현대차(7%), 기아(3%)도 강세였다. 업계에선 ‘만년 소외주’들의 반란이 시작됐다는 평가가 나온다. 그 덕분에 미국 고금리 지속 우려에도 이날 코스피는 1.8% 올랐다.투자자와 증권 업계는 저PBR(주가순자산비율)주 골라내기에 분주하다. 정부가 코리아 디스카운트 해결책으로 내놓을 ‘기업 밸류업 프로그램’에 따라 주가가 오를 것으로 예상되는 저평가 종목을 미리 발굴하려는 것이다. 증시에선 장부 가치보다 주가가 낮아PBR이 낮으면 저평가됐다고 본다. 1일 한화투자증권 보고서에 따르면 유통 업종의PBR이 0.3배로 매우 낮고, 은행·보험(0.4배), 철강(0.5배), 건설(0.6배), 자동차(0.6배), 정유(0.6배), 증권(0.6배) 등도 저PBR종목으로 꼽힌다.연초 이후 코스피가 5% 가까이 하락했는데도 저PBR주엔 수요가 쏠리고 있다. 한국거래소에 따르면KRX지수 28개 중 올해 상승률이 높은 상위 1~4위는 모두 금융 관련 지수였다.KRX보험 지수가 13% 올라 가장 가파른 상승세를 보였고,KRX300 금융(12%),KRX증권(9%)이 뒤를 이었다.KRX자동차(3%)와KRX운송(2%) 등도 강세였다.김주현 금융위원장이 ‘기업 밸류업 프로그램’을 처음 언급한 지난달 17일 윤석열 대통령 주재 민생 토론회 이후 2주 사이 주가가 두 자릿수 급등한 종목도 상당수다. 이 기간 금융주 중에선 제주은행이 75% 올랐고, 흥국화재(50%), 하나금융(25%),KB금융(23%) 등의 상승세가 두드러졌다. 같은 기간 기아 주가는 21% 올라 지난달 31일엔 ‘형님’ 현대차를 제치고 코스피 시가총액 6위에 등극하기도 했다.유통주 중에선 최근 2주간 영원무역이 30% 올랐고, 현대백화점(26%), 신세계(13%) 등도 주가가 두 자릿수로 상승했다.증권가에선 최근 저PBR주가 대체로 반등하는 분위기이지만, 선별해서 투자할 필요가 있다고 조언한다. 향후 기업 이익이 뒷받침되지 않으면 배당을 늘리기 쉽지 않다는 점을 따져야 한다는 것이다. 양해정DS투자증권 연구위원은 “일부 산업은 전반적으로 성장이 정체됐거나 경기 흐름에 민감해 저평가가 지속되는 경우도 있다”며 “저PBR주 중 이익 흐름이 양호한 자동차, 은행 등을 중심으로 선별적으로 관심을 가질 필요가 있다”고 했다."
2023-05-10,"공정위, 백내장 관련 손보사 현장조사","현대·DB·메리츠·흥국화재 등보험금 지급 거부 등 불공정 조사공정거래위원회 전경. /연합뉴스공정거래위원회가 손해보험협회와 손해보험사에 대한 현장 조사에 착수했다. 손보사가 담합해 백내장 관련 보험금 지급을 거부하는 등 불공정거래 행위 여부가 있었는지 확인하기 위한 것으로 알려졌다.9일 손해보험 업계 등에 따르면 공정위는 이날 손해보험협회와 현대해상,DB손해보험, 메리츠화재, 흥국화재 등에 조사관을 보내 현장 조사를 벌였다. 공정위는 백내장 등과 관련한 보험금 지급 거부 과정에서 손보사들이 담합했는지 등을 들여다보는 것으로 전해졌다. 공정위 관계자는 “구체적인 사건 조사 여부와 내용에 대해 언급할 수 없다”고 했다. 이날 조사에서 제외된 다른 손보사도 공정위가 조사 대상을 확대할 상황에 대비하는 것으로 알려졌다.작년 4월 금융감독원은 백내장 과잉 진료와 실손보험금 누수 방지를 막기 위해 ‘보험사기 예방 모범규준’을 개정해 보험금 심사 기준을 강화했다. 기준이 엄격해지면서 보험금을 받지 못한 소비자가 늘었고, 이에 따른 관련 민원이 증가한 상태다. 공정위는 “민원이 증가한 사건에 대해서 소비자 피해 측면에서 가격이나 보험료율 등 담합 여부를 들여다볼 수 있다”는 입장이다.이번 조사는 대통령실 관심 사안이기도 하다. 올해 1월 대통령실은 ‘국민제안’ 홈페이지에 올라온 내용을 추린 1차 보고서에서 “소비자 불편 개선 등을 위해 백내장 수술 보험금 지급 기준을 개선한다”는 내용을 담았다. “과도한 수술 서류 증빙 요구로 선의의 소비자가 불편을 겪고 있어 심사 기준을 합리적으로 정비하겠다”고 했다. 지난달 발표한 2차 보고서에서도 백내장 수술 보험금 지급 기준 표준화에 대해 “이행 중”이라고 밝혔다."
2022-11-15,검찰 ‘LH 발주 임대주택 보험 입찰 담합’ 보험사 7곳 압수 수색,"서울중앙지검 공정거래조사부(부장 이정섭)는 15일 한국토지주택공사(LH)가 발주하는 저소득층 임대주택 보험 입찰 담합 사건과 관련해KB손해보험 등 7개 보험사를 압수 수색했다.서울중앙지검 공정거래조사부가 15일 압수 수색에 나선 서울 강남구KB손해보험./뉴스1검찰은 이날 오전KB손해보험과 삼성화재보험, 한화손해보험, 흥국화재보험,MG손해보험, 메리츠화재보험, 코리안리재보험 등에 수사관을 보내 관련 자료를 확보 중이다.공정거래위원회는 앞서 지난 4월 “LH의 임대주택 재산종합보험 및 화재보험 입찰 과정에서 담합을 했다”며KB손해보험 등에 17억6400만원의 과징금을 부과하면서 이들 회사를 검찰에 고발했다.KB손해보험 등은 2017년 포항대지진으로 발생한 손해를 만회하기 위하여 이듬해LH의 저소득층 임대주택 보험 입찰 과정에서 담합해LH가 부담하는 보험료를 대폭 올려받은 혐의를 받는다.공정위는KB손해보험이 입찰 담합을 주도했고KB손해보험가 낙찰받은 금액이 2017년에 비해 4.3배 높았다고 발표한 바 있다.KB손해보험이 2018년 입찰 때 삼성화재보험을 들러리로 섭외하고 한화손해보험·흥국화재보험은 입찰에 불참하게 하는 대신, 삼성화재보험 등이 그 대가로 재보험사인 코리안리를 거쳐 지분 일부를 재재보험으로 인수하도록 했다는 것이다. 공정위가KB손해보험 등에 과징금을 부과할 당시 공기업인LH의 손실은 결국 국민들의 손해로 이어진다는 점에서 다른 담합에 비해 심각성이 크다는 지적이 나왔다.검찰은 압수물 분석을 마치는 대로 각 회사 관계자를 불러 조사할 예정이다."
2022-05-05,보험사 ‘위탁 지점장’은 근로자?… 대법 “개별 업무따라 다르게 판단”,"서울 서초구 대법원 모습./뉴스1보험사의 영업 위탁계약을 맺은 지점장이 근로기준법상 근로자에 해당하는지에 대해 대법원의 엇갈린 판단이 나왔다.위탁계약을 맺은 지점장(BM)의 근로자성에 관한 대법 판단은 이번이 처음인데, 대법원 각 재판부는 형식적인 계약 내용보다 지점을 관리하는 방식 등 실질적 업무 관계를 판단해 근로자성을 따져야 한다고 봤다.대법원 1부(주심 오경미 대법관)는 한화생명보험 주식회사와 위탁계약을 맺은 지점장 A씨가 중앙노동위원회 위원장을 상대로 낸 부당해고구제재심판정 취소소송에서 원고 패소 판결한 원심을 파기하고 사건을 서울고법으로 돌려보냈다고 5일 밝혔다.위탁계약 지점장으로 일했던 A씨는 2018년 규정 위반을 이유로 위탁계약이 해지되자 부당해고라며 노동위원회에 구제신청을 냈다. 그러나 중앙노동위원회에서 ‘근로기준법에서 정한 근로자에 해당하지 않는다’는 이유로 재심판정까지 각하되자, A씨는 법원에 중노위 재심판정을 취소해달라며 소송을 제기했다.1·2심은 A씨가 임금을 목적으로 지휘·감독 아래 종속적 관계에서 근로를 제공한 근로자로 보기 어렵다며 청구를 기각했다. A씨가 한화생명보험의 취업규칙과 인사규정을 적용받지 않았고 근무시간도 따로 정해져 있지 않았으며 근태이력 등 인사관리시스템의 적용을 받지도 않았다는 것이다.그러나 대법원은 원심 판단을 뒤집고 A씨가 근로자에 해당한다고 판단했다. A씨의 실제 업무시간이 정규직 지점장과 크게 다르지 않은 점, 휴가일정·업무활동 등 근태 상황이 보험사 지역본부가 관리하는 지역단에 보고된 점 등이 고려됐다. 위탁계약형 지점장이 운영하는 지점에 보험사 정규직 직원이 배치된 점도 근거가 됐다.대법원 2부(주심 이동원 대법관)도 농협생명보험 주식회사의 위탁계약형 지점장 B씨가 농협생명보험을 상대로 낸 해고무효확인 소송에서 상고를 기각하고 B씨의 근로자성을 인정해 원고 승소 판결을 내린 원심을 확정했다.반면, 대법원 1부(주심 오경미 대법관)와 대법원 2부(주심 조재연 대법관), 대법원 3부(주심 김재형 대법관)는 오렌지라이프생명보험 주식회사 및 흥국화재해상보험 주식회사와 위탁계약을 맺은 지점장에게는 근로자성을 인정하지 않았다.각 사건의 구체적인 조건을 따졌을 때 오렌지라이프생명보험 및 흥국화재해상보험이 위탁계약을 맺은 지점장들의 업무를 정하고 상당한 지휘·감독을 했다고 보기는 어렵다는 이유다. 각 보험사는 ‘위임직 지점장’ 등 형태로 일한 위탁계약 지점장에게 업무계획이나 실적 목표 등을 알리긴 했지만 공지 내용이 추상적이거나 일반적이었고 보험사가 지점장 업무를 일일이 지휘·감독하지는 않았다는 것이다.일부 위탁계약 지점장들이 사비를 들여 업무보조 직원을 직접 채용하고, 소속 설계사의 해촉으로 발생한 수수료를 환수당하기도 한 점 등을 들어 근로자가 아니라 독립된 사업자로서 볼 여지가 있다고 지적했다.대법원 관계자는 “근로자성 판단 대상이 모두 보험회사 위탁계약형 지점장으로 같다고 해도 개별 사건에서 업무 형태 등 구체적인 사실관계는 각기 다르게 나타난다”며 “직종이나 지위 등에 따라 기계적으로 같은 결론을 내리는 것은 구체적인 사실관계를 충분히 반영하지 못한다”고 했다.그러면서 이번 소송들에서는 △본사 방침이나 영업조직을 통해 위탁계약형 지점장을 관리하는 방식이나 정도가 업무 수행에 관한 상당한 지휘·감독에 해당한다고 평가할 수 있는지 △근무시간 등에 구속을 당했다고 평가할 수 있는지 △자신의 계산으로 지점 운영비용을 투입하거나 사업상 위험을 부담하는지 등이 고려됐다고 대법원은 설명했다."
2023-12-18,[경제계 인사] 태광산업 새 대표에 성회용 외,태광산업 새 대표에 성회용태광그룹은 태광산업 신임 대표에 성회용(60) 티캐스트 대표를 선임했다고 17일 밝혔다.SBS보도국장을 지낸 성 대표는 지난 6월 태광그룹에 합류해 계열사 대표 협의체인 경영협의회 부의장을 맡아 왔다.▲태광산업▷상무 이명철▷상무보 이두열 황태영▲대한화섬▷대표 오용근▲흥국생명▷전무 허정민▷상무 오세일▷상무보 강현호 김정배▲흥국화재▷전무 유진우▷상무 최강환▷상무보 김주희 정영구▲흥국증권▷상무보 박성진▲고려저축은행▷상무보 김정기▲티캐스트▷대표 엄재용 ▷상무보 이충효
2023-10-30,[부음] 고규창 前 행정안전부 차관 별세 외,"▲고규창前 행정안전부 차관 별세,박정은남편상,고승화·고승연TV조선 사회부 기자·고경진부친상=29일6시55분 충북대병원, 발인 31일10시, (043)269-7211▲권기헌별세,권세호한국철도공사 상임감사위원·권봉식트임성형외과의원 원장 부친상=26일23시55분 서울아산병원, 발인 29일5시, (02)3010-2000▲김영례별세,문병천前 흥국화재 대표·문병옥前 전자신문인터넷 이사·문영복·문영숙·문영란모친상,이무송·현종규·이도용장모상=28일5시54분 삼성서울병원, 발인 31일5시, (02)3410-6915▲김운용성균관대 법학전문대학원 명예교수 별세,백봉자前 연세대 언어연구교육원 교수 남편상,김수진미국 국세청 변호사·김유정MBC전문연구위원·김지영닐슨아이큐 이사 부친상,개리 민츠미국 심장혈관연구재단 대표·허정호LG전자 상무 장인상=27일15시47분 신촌세브란스병원, 발인 30일7시, (02)2227-7580▲류남하별세,박호준前 한국문화재재단 이사장 아내상,박정미·박정훈조선일보 논설실장 모친상=29일20시44분 서울성모병원, 발인 1일7시, (02)2258-5940▲박우순별세,김우진前 전북교통방송 편성제작국장 모친상=29일1시40분 전북 전주 효사랑장례문화원, 발인 31일9시30분, (063)250-4444▲서경수별세,서현아그랜드코리아레저 부장·서영욱한국교통연구원 연구원·서강욱서울신문 광고1팀 부장 부친상,이원규파라다이스 워커힐 차장 장인상=29일8시 서울아산병원, 발인 31일4시30분, (02)3010-2000▲안용선별세,박상재한국아동문학인협회 이사장·박영재보령제약 이사 모친상=29일1시30분 이대목동병원, 발인 31일7시30분, (02)2650-2745▲임영목前 공영건설 전무 별세,임수미이대서울병원장·임양미ABLBio이사 부친상,정진호명지병원 국제진료센터 부원장·이남규인천공항운영서비스 소장·조지성LGCNS책임 장인상=28일3시 이대서울병원, 발인 30일11시30분, (02)6986-4453▲장정순별세,오재섭아내상,오광희·오충석前 주이탈리아 한국문화원장·오민석대전대 한의대 교수·오상희대전 우송대 교수 모친상,박재찬인천 부개내과의원 원장 장모상,최인영가톨릭대 의대 교수·최수미시모상=27일17시30분 대전성모병원, 발인 30일7시, (042)220-9973▲한계순별세,임숙경충북 청주상당도서관 팀장 모친상=29일8시 충북대병원, 발인 31일6시30분, (043)269-7215▲황성규前 한신대 신학대학원 원장 별세,김수자남편상,황은영·황은진부친상,김기호삼성증권 지점장·나영훈SK브로드밴드 금융솔루션 팀장 장인상=29일7시 서울성모병원, 발인 31일6시50분, (02)2258-5961"
2023-06-30,"상장폐지 앞둔 우선주, 40% 떨어졌다 상한가 치기도","발행주식 너무 적어 퇴출 예정인데 주가 널뛰기29일 유가증권(코스피)시장에서 현대비앤지스틸우는 주가가 가격 제한 폭(30%)까지 급등하며 2만6000원을 기록했다. 지난 22일부터 5거래일 연속 약 40% 하락해 2만원까지 떨어졌지만, 이날 갑자기별 이유 없이 상한가를 찍었다. 이 주식은 의결권은 없지만 보통주보다 이익 배당 우선순위가 높은 우선주였다.또 다른 우선주DB하이텍우도 이날 상한가 가까이(28%) 급등하다 전날 대비 12% 오른 3만4050원에 거래를 마쳤다.SK네트웍스우, 흥국화재2우B도 각각 17%, 12% 동반 급등하다 각각 전날보다 3%, 6% 오른 가격에 마감했다.그런데 이런 널뛰기 움직임을 보이는 우선주들이 다음 달 상장폐지가 예고되어 있다는 점에서 증시에선 우려의 목소리가 나온다. 전문가들은 이 주식들은 유통 주식 수가 적은 탓에 주가가 큰 폭으로 출렁이고 있어 투자자들이 손해를 볼 수 있다고 경고한다. 이남우 연세대 교수는 “정상적인 투자자라면 투자를 하지 말아야 한다”며 “금융 당국이 안내를 해야 하고 주식 발행 기업도 주주들에게 상장폐지와 관련한 사전 설명을 충분히 해야 한다”고 말했다.그래픽=양진경그래픽=양진경상폐 종목, 작전 표적 가능성금융당국은 2020년 6월 ‘우선주 관련 투자자 보호 강화방안’을 내고, 상장 주식 수가 20만주가 되지 않는 우선주들은 2022년 말까지 상장 주식 수를 늘리라고 요청했다. 하지만 삼성중공업·현대비앤지스틸·SK네트웍스·흥국화재·DB하이텍 등의 5개 우선주는 상장 주식 수를 늘리지 않아 관리 종목으로 지정됐다. 이후 이달 말까지 같은 상태를 유지할 경우 상장폐지하도록 했는데, 29일 현재 이들 우선주 주식 수는 10만주대에 그치고 있다.한국거래소는 지난 1일 이들에 대해 상장폐지 우려가 있다고 예고 공시했다. 실제 상장폐지 예고 기간과 정리 매매 기간을 거쳐 다음 달 중순 최종 상장폐지될 예정이다.그런데 난데없이 상장폐지를 앞둔 이 종목들이 최근 급등락하고 있는 것이다.SK네트웍스우는 지난 21일 별 이유 없이 상한가를 친 뒤 지난 28일까지 33% 급락했다. 삼성중공우(삼성중공업 우선주)도 지난 20일 14% 상승한 뒤 이틀간 연달아 7%씩 하락했다.증시 전문가들은 작전 세력이 움직인 것으로 의심한다. 이들 주식은 시가총액 규모가 수십억원대로 매우 적어 소액의 자금으로도 쉽게 주가를 띄울 수 있는 상태다.보통주와 가격 차이도 커우선주는 보통주에 있는 의결권이 없기 때문에 통상 보통주에 비해 주가가 낮은 반면, 배당은 많이 받는 특성이 있다.하지만 최근 가격이 급등락한 우선주들은 적자 등의 문제로 배당을 아예 주지 않거나 매우 적다. 따라서 투자 대상으로서 가치가 낮은 것으로 평가된다.SK네트웍스우선주의 배당금을 주가로 나눈 시가배당률은 0%다. 보통주도 시가배당률이 2~3% 수준인데 우선주가 더 낮은 것이다. 연속적인 적자를 보고 있는 삼성중공업 우선주 역시 보통주와 함께 9년째 배당을 지급하지 않고 있다.우선주 주가도DB하이텍만 빼고 보통주와의 격차가 지나치게 벌어져 있는 상태다. 이날 삼성중공우는 10만8000원인데, 삼성중공업은 6560원에 거래됐다. 통상 보통주 주가보다 우선주 주가가 낮은데, 우선주 주가가 오히려 높은 상태다. 그 격차도 16배까지 벌어져 있다.상폐 후, 우선주들 어떻게 되나상장 주식 수를 늘릴 방법을 마땅히 찾지 못한 이 우선주들은 다음 달 중 상장폐지될 예정이다. 한 기업 관계자는 “내부적으로 유상증자나 액면분할 등 다양한 방법을 검토했으나 현실적으로 어렵다는 결론을 내렸다”고 했다. 3~5일까지 상장폐지 예고 기간을 갖고, 6~14일까지는 정리 매매가 진행된다. 이후 15일 상장폐지된다.상장폐지돼도 주식이 완전히 사라지는 것은 아니다. 상장 주식처럼 손쉽게 거래를 할 수 없게 되는 것이다. 비상장 거래소를 통해 거래를 할 수는 있다. 배당이 나온다면 정상적으로 지급은 된다. 황세운 자본시장연구원 선임연구위원은 “상장폐지를 앞둔 주식을 도박처럼 생각하며 투자하는 사람들이 있기 때문에 주가가 크게 출렁이는 것”이라며 “작전 세력 개입도 배제할 수 없기 때문에 투자자들은 유의해야 한다”고 했다."
2023-06-02,"공공기관 입찰, 담합 판친다… 과징금 162건 중 71건","공정위 조사… 한전·토공·철도공·가스公 등 ‘담합 놀이터’로한기정 공정거래위원장이 1일 오후 서울 중구 대한상공회의소에서 열린 공공분야 입찰담합 관여행위 개선방안 선포식에서 인사말을 하고 있다. /뉴스1공정거래위원회가 1일 대한상공회의소에서 한국전력공사·한국가스공사·한국토지주택공사(LH) 등 14개 공공기관과 ‘공공분야 입찰 담합 관여 개선방안 선포식’을 열고, 자율 개선 방안을 발표했다. 입찰 담합 관여 행위에 대한 인사 및 감사 규정 정비, 주기적 감사 실시, 익명 신고센터 운영 등 내용이 담겼다.한기정 공정거래위원장은 이날 “사실 그동안 업무 편의를 위해 담합을 유도하는 사례부터 임직원이 사익을 추구하거나 공정성을 훼손하는 등 공공기관 임직원들이 입찰에 암묵적으로 관여하거나 방조한다는 문제 제기가 있었다”고 지적했다. 그는 “일본은 별도 특별법을 제정해 입찰 담합 관여 행위자에 대한 징계, 형사처벌, 손해배상 등 제재 수단을 마련했다”며 “저희도 조금 늦은 감이 있지만, 오늘 기관별 자율 개선 방안을 마련했다”고 했다. 각 기관의 자진 시정을 기대하지만, 제대로 이뤄지지 않을 경우 추가 제재를 검토할 수 있다는 경고로 풀이된다.담합 놀이터 된 공공분야 입찰공정위는 왜 이런 행사를 열고 엄포를 놨을까? 공공기관 입찰이 담합의 ‘놀이터’가 됐기 때문이다. 지난 3년간(2020~2022년) 공정위의 담합 관련 과징금 부과 사건 162건 중 공공 분야 입찰 담합은 71건(44%)으로 집계됐다. 전체 사건의 절반에 육박한다. 검찰 처분까지 포함하면 적발 건수는 더 많을 것으로 추정된다. 입찰 제도의 기본 원리는 경쟁을 유도해 발주자가 높은 품질의 물건을 비싸지 않은 가격에 살 수 있도록 하는 것이다. 하지만 공공 분야 입찰에서 시장 경쟁은 제대로 이뤄지지 않고 있다. 국민 세금인 정부 예산이 투입된 공공기관 조달 계약 금액이 작년 70조원에 달하는 만큼 공공 분야 입찰 담합 문제를 뿌리 뽑아야 한다는 지적이 나온다.사례는 차고 넘친다. 한국전력공사가 9년간 발주한 맨홀 뚜껑 입찰에서 미리 낙찰 예정자와 들러리를 정하고, 희망 낙찰 가격을 합의하는 등 입찰 담합을 벌인 5개 업체가 공정거래위원회로부터 작년 7월 과징금 21억3500만원을 부과받았다. 이 업체들은 경쟁을 피하기 위해 2011년 9월부터 2020년 1월까지 400억원 규모, 총 1016건의 맨홀 뚜껑 입찰에 참여해 낙찰 물량을 고루 나눴다.2018년LH가 발주한 재산종합보험 및 전세임대주택 화재보험 입찰에서KB손해보험 등 8사가 담합해 작년 4월 공정위로부터 과징금 17억6400만원을 부과받았다. 담합을 주도한KB와 보험대리점 공기업인스컨설팅 임직원 3명은 검찰에 고발됐다. 이들은KB가 낙찰받을 수 있도록 삼성화재를 들러리로 섭외하고, 한화와 흥국화재는 입찰에 참여하지 못하게 했다. 대신 그 대가로 담합에 가담한 보험사가 ‘KB공동수급체’의 지분 일부를 인수할 수 있게 하거나, 비공식적으로 지분을 나눠줘 이득을 볼 수 있게 했다.역대 최대 과징금은 한국가스공사가 2005년부터 2012년까지 발주한 12건의LNG저장탱크 건설공사 입찰에서 13개 건설사가 입찰 담합을 한 건이다. 공정위는 이 업체들에 총 3516억원의 과징금을 부과했다. 총 계약 금액(3조2269억원) 규모가 커 과징금 액수도 덩달아 커졌다.담합은 국민 안전도 위협전문가들은 공공 분야 입찰 담합에 대해 “하루 이틀 문제가 아니다”라고 한다. 이황 고려대학교 법학전문대학원 교수는 “공공 분야 입찰 담합은 단순히 소비자 후생을 저해하는 차원의 문제가 아니라 국민 안전과 직결된다”며 “적발률을 높이고 처벌을 강화해야 한다”고 했다. 한국철도공사가 발주한 침목(철도 노반에 일정한 간격으로 놓여 레일을 지지하는 구조물) 구매 입찰, 한국수력원자력·한국석유공사가 발주한 지진 관측 장비 구매 및 유지 보수 입찰 등 대형 안전사고로 이어질 수 있는 분야에서 담합이 벌어지는 것을 방치하면 안 된다는 것이다."
