companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
AJ네트웍스,렌탈·임대·리스,대기업,468억 2천만원 (2024.12.31),곽정호,"파렛트,OA장비,건설장비 등 대여,도소매,전자상거래",http://www.ajnetworks.co.kr,AJ네트웍스그룹 에이제이아이씨티(주) 에이제이대원(주) (주)월드컨설팅 에이제이토탈(주) 에이제이렌탈서비스(주) (주)포시즌컨설팅 에이제이스포츠(주) (주)티에스글로벌 (주)에이제이전국스카이 에이제이에너지(주) 에이제이리테일(주) 에이스산업기술(주) 에이아이앤솔루션즈(주) 에이제이트랜스밸류(주),500명,2000.02.10 (26년차),"6,116억 7천만원 (2024.12.31)","3,900만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 송파구 정의로8길 9 (문정동) AJ빌딩
AK홀딩스,기타 토목시설물 건설업,중소기업,-,김진성,"국민연금, 건강보험, 고용보험, 산재보험","서울 동작구 남부순환로 2077 (사당동, 건축회관) 6층",N/A,10명,2017.05.25 (9년차),-,토목공사,-,N/A
BGF,체인화 편의점,중견기업,172억 8천만원 (2024.12.31),민승배,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기,"2,869명 (2024.12.31)",2017.11.01 (9년차),"8조 5,921억원 (2024.12.31)",체인화 편의점,http://www.bgfretail.com,N/A
BGF리테일,체인화 편의점,중견기업,172억 8천만원 (2024.12.31),민승배,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기,"2,869명 (2024.12.31)",2017.11.01 (9년차),"8조 5,921억원 (2024.12.31)",체인화 편의점,http://www.bgfretail.com,N/A
BGF에코머티리얼즈,합성수지 및 기타 플라스틱 물질 제조업,중견기업,313억 8천만원 (2024.12.31),홍정혁,"국민연금, 건강보험, 고용보험, 산재보험",경기 화성시 장안면 상두원길 142 (장안리),BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 (주)비지에프리테일 더보기,161명 (2024.12.31),1997.10.13 (29년차),"1,807억 3백만원 (2024.12.31)","합성수지,칩(엔지니어링 플라스틱소재) 제조",http://www.bgfecomaterials.com,N/A
BNK금융지주,컨설팅·연구·조사,대기업,"1조 6,296억원 (2024.12.31)",빈대인,"국민연금, 건강보험, 고용보험, 산재보험","부산 남구 문현금융로 30 (문현동, 부산은행본점) (주)BNK금융지주",BNK금융그룹 비엔케이신용정보(주) (주)부산은행 비엔케이자산운용(주) 비엔케이캐피탈(주) (주)비엔케이시스템 (주)비엔케이저축은행 비엔케이벤처투자(주) (주)비엔케이투자증권 (주)경남은행,111명 (2024.12.31),2011.03.15 (15년차),"3,770억 6천만원 (2024.12.31)",금융지주회사/경영 관리,http://www.bnkfg.com,N/A
BNK캐피탈,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BYC,속옷 및 잠옷 제조업,중견기업,42억원 (2024.12.31),김대환,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",http://home.byc.co.kr,비와이씨그룹 (주)남호섬유 (주)바이콤광고 (학)신한학원 (주)창성상품 한영봉제(주) (주)리넥트 (주)인화상품 (주)백양 신한봉제(주) 경동흥업(주) (주)신한방 (주)백양네트웍스 (주)한정씨앤지 한흥물산(주) (주)제일상품 (주)신한에디피스 농업회사법인신한농림(주) (주)제원기업 (주)일관 더보기,517명 (2024.12.31),1955.05.13 (71년차),"1,642억 8천만원 (2024.12.31)","3,546만원","국민연금, 건강보험, 고용보험, 산재보험",서울 영등포구 디지털로38길 27 (대림동) byc
CJ,음식료·외식·프랜차이즈,대기업,"1,790억 4천만원 (2024.12.31)",손경식/김홍기,"식품서비스, 신유통, E&M, 생명공학",http://www.cj.net,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기,"50,000명",1953.08.01 (73년차),27조,"4,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 중구 남대문로5가 500번지 CJ빌딩
CJ CGV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
